time_captured,05_unb_raw_accX
1970-01-01 00:00:00.000000127,-737.49
1970-01-01 00:00:00.000000128,-156.892
1970-01-01 00:00:00.000000129,290.97
1970-01-01 00:00:00.000000130,253.028
1970-01-01 00:00:00.000000131,253.028
1970-01-01 00:00:00.000000132,799.954
1970-01-01 00:00:00.000000133,1390.678
1970-01-01 00:00:00.000000134,905.484
1970-01-01 00:00:00.000000135,-687.226
1970-01-01 00:00:00.000000136,-953.552
1970-01-01 00:00:00.000000137,-908.412
1970-01-01 00:00:00.000000138,-1000.644
1970-01-01 00:00:00.000000139,-466.284
1970-01-01 00:00:00.000000140,564.372
1970-01-01 00:00:00.000000141,1456.68
1970-01-01 00:00:00.000000142,612.318
1970-01-01 00:00:00.000000143,-441.884
1970-01-01 00:00:00.000000144,-924.028
1970-01-01 00:00:00.000000145,-585.112
1970-01-01 00:00:00.000000146,34.892
1970-01-01 00:00:00.000000147,38.43
1970-01-01 00:00:00.000000148,271.45
1970-01-01 00:00:00.000000149,521.306
1970-01-01 00:00:00.000000150,1104.954
1970-01-01 00:00:00.000000151,1632.482
1970-01-01 00:00:00.000000152,188.978
1970-01-01 00:00:00.000000153,-900.604
1970-01-01 00:00:00.000000154,-799.1
1970-01-01 00:00:00.000000155,-675.758
1970-01-01 00:00:00.000000156,-642.208
1970-01-01 00:00:00.000000157,-229.848
1970-01-01 00:00:00.000000158,521.306
1970-01-01 00:00:00.000000159,1135.82
1970-01-01 00:00:00.000000160,43.432
1970-01-01 00:00:00.000000161,-417.606
1970-01-01 00:00:00.000000162,-952.576
1970-01-01 00:00:00.000000163,-314.882
1970-01-01 00:00:00.000000164,-362.218
1970-01-01 00:00:00.000000165,302.804
1970-01-01 00:00:00.000000166,330.132
1970-01-01 00:00:00.000000167,923.54
1970-01-01 00:00:00.000000168,1425.936
1970-01-01 00:00:00.000000169,1140.7
1970-01-01 00:00:00.000000170,-277.184
1970-01-01 00:00:00.000000171,-1080.432
1970-01-01 00:00:00.000000172,-1058.35
1970-01-01 00:00:00.000000173,-851.682
1970-01-01 00:00:00.000000174,-663.436
1970-01-01 00:00:00.000000175,278.648
1970-01-01 00:00:00.000000176,1371.768
1970-01-01 00:00:00.000000177,996.008
1970-01-01 00:00:00.000000178,-406.382
1970-01-01 00:00:00.000000179,-987.956
1970-01-01 00:00:00.000000180,-459.818
1970-01-01 00:00:00.000000181,-8.052
1970-01-01 00:00:00.000000182,5.978
1970-01-01 00:00:00.000000183,395.646
1970-01-01 00:00:00.000000184,322.324
1970-01-01 00:00:00.000000185,1211.704
1970-01-01 00:00:00.000000186,1211.704
1970-01-01 00:00:00.000000187,512.644
1970-01-01 00:00:00.000000188,-752.74
1970-01-01 00:00:00.000000189,-802.516
1970-01-01 00:00:00.000000190,-769.942
1970-01-01 00:00:00.000000191,-1178.032
1970-01-01 00:00:00.000000192,-773.846
1970-01-01 00:00:00.000000193,-275.232
1970-01-01 00:00:00.000000194,1219.146
1970-01-01 00:00:00.000000195,1219.146
1970-01-01 00:00:00.000000196,-404.064
1970-01-01 00:00:00.000000197,-849.12
1970-01-01 00:00:00.000000198,-199.836
1970-01-01 00:00:00.000000199,-261.324
1970-01-01 00:00:00.000000200,1.83
1970-01-01 00:00:00.000000201,188.856
1970-01-01 00:00:00.000000202,453.84
1970-01-01 00:00:00.000000203,1688.236
1970-01-01 00:00:00.000000204,1688.236
1970-01-01 00:00:00.000000205,-200.446
1970-01-01 00:00:00.000000206,-1220.61
1970-01-01 00:00:00.000000207,-1051.03
1970-01-01 00:00:00.000000208,-773.968
1970-01-01 00:00:00.000000209,-924.516
1970-01-01 00:00:00.000000210,-723.582
1970-01-01 00:00:00.000000211,899.14
1970-01-01 00:00:00.000000212,940.742
1970-01-01 00:00:00.000000213,940.742
1970-01-01 00:00:00.000000214,-306.952
1970-01-01 00:00:00.000000215,-675.636
1970-01-01 00:00:00.000000216,-78.812
1970-01-01 00:00:00.000000217,-132.98
1970-01-01 00:00:00.000000218,55.998
1970-01-01 00:00:00.000000219,214.72
1970-01-01 00:00:00.000000220,463.966
1970-01-01 00:00:00.000000221,1416.42
1970-01-01 00:00:00.000000222,1416.42
1970-01-01 00:00:00.000000223,-538.63
1970-01-01 00:00:00.000000224,-1031.632
1970-01-01 00:00:00.000000225,-860.222
1970-01-01 00:00:00.000000226,-1075.186
1970-01-01 00:00:00.000000227,-844.118
1970-01-01 00:00:00.000000228,-369.782
1970-01-01 00:00:00.000000229,1153.876
1970-01-01 00:00:00.000000230,310.246
1970-01-01 00:00:00.000000231,310.246
1970-01-01 00:00:00.000000232,-1001.01
1970-01-01 00:00:00.000000233,-438.956
1970-01-01 00:00:00.000000234,-132.492
1970-01-01 00:00:00.000000235,-15.494
1970-01-01 00:00:00.000000236,275.598
1970-01-01 00:00:00.000000237,437.614
1970-01-01 00:00:00.000000238,721.02
1970-01-01 00:00:00.000000239,1568.676
1970-01-01 00:00:00.000000240,1568.676
1970-01-01 00:00:00.000000241,94.672
1970-01-01 00:00:00.000000242,-1129.476
1970-01-01 00:00:00.000000243,-811.666
1970-01-01 00:00:00.000000244,-1161.806
1970-01-01 00:00:00.000000245,-686.982
1970-01-01 00:00:00.000000246,-335.134
1970-01-01 00:00:00.000000247,828.502
1970-01-01 00:00:00.000000248,0.244
1970-01-01 00:00:00.000000249,0.244
1970-01-01 00:00:00.000000250,-320.494
1970-01-01 00:00:00.000000251,-771.772
1970-01-01 00:00:00.000000252,-154.086
1970-01-01 00:00:00.000000253,105.53
1970-01-01 00:00:00.000000254,277.184
1970-01-01 00:00:00.000000255,494.832
1970-01-01 00:00:00.000000256,896.944
1970-01-01 00:00:00.000000257,1261.358
1970-01-01 00:00:00.000000258,1146.434
