time_captured,GE_Open
2006-01-03,35.1
2006-01-04,35.35
2006-01-05,35.27
2006-01-06,35.38
2006-01-09,35.4
2006-01-10,35.27
2006-01-11,35.14
2006-01-12,35.45
2006-01-13,34.9
2006-01-17,35.63
2006-01-18,34.9
2006-01-19,34.9
2006-01-20,34.3
2006-01-23,33.53
2006-01-24,33.55
2006-01-25,33.15
2006-01-26,32.93
2006-01-27,32.95
2006-01-30,32.9
2006-01-31,32.9
2006-02-01,32.66
2006-02-02,33.07
2006-02-03,32.8
2006-02-06,32.85
2006-02-07,32.66
2006-02-08,32.31
2006-02-09,32.78
2006-02-10,32.92
2006-02-13,33.2
2006-02-14,33.18
2006-02-15,33.54
2006-02-16,33.44
2006-02-17,33.35
2006-02-21,33.61
2006-02-22,33.55
2006-02-23,33.25
2006-02-24,33.25
2006-02-27,33.22
2006-02-28,33.2
2006-03-01,32.97
2006-03-02,32.7
2006-03-03,32.75
2006-03-06,33.06
2006-03-07,33.04
2006-03-08,33.06
2006-03-09,33.38
2006-03-10,33.28
2006-03-13,33.66
2006-03-14,33.5
2006-03-15,33.78
2006-03-16,34.65
2006-03-17,34.47
2006-03-20,34.54
2006-03-21,34.51
2006-03-22,33.65
2006-03-23,34.45
2006-03-24,34.03
2006-03-27,33.87
2006-03-28,33.71
2006-03-29,33.55
2006-03-30,34.07
2006-03-31,34.74
2006-04-03,34.79
2006-04-04,34.87
2006-04-05,34.65
2006-04-06,34.3
2006-04-07,34.55
2006-04-10,34.06
2006-04-11,33.92
2006-04-12,34.3
2006-04-13,34.19
2006-04-17,33.76
2006-04-18,33.52
2006-04-19,33.95
2006-04-20,33.8
2006-04-21,34.25
2006-04-24,33.81
2006-04-25,34.0
2006-04-26,34.07
2006-04-27,33.9
2006-04-28,34.49
2006-05-01,34.02
2006-05-02,34.39
2006-05-03,34.22
2006-05-04,34.5
2006-05-05,34.94
2006-05-08,35.1
2006-05-09,34.95
2006-05-10,34.94
2006-05-11,34.5
2006-05-12,34.38
2006-05-15,34.1
2006-05-16,34.74
2006-05-17,34.62
2006-05-18,34.49
2006-05-19,34.23
2006-05-22,34.05
2006-05-23,34.1
2006-05-24,33.76
2006-05-25,34.35
2006-05-26,34.47
2006-05-30,34.34
2006-05-31,34.15
2006-06-01,34.3
2006-06-02,34.64
2006-06-05,34.55
2006-06-06,34.4
2006-06-07,34.55
2006-06-08,34.33
2006-06-09,34.52
2006-06-12,34.17
2006-06-13,33.73
2006-06-14,33.7
2006-06-15,33.98
2006-06-16,33.86
2006-06-19,33.95
2006-06-20,33.72
2006-06-21,33.83
2006-06-22,33.27
2006-06-23,33.18
2006-06-26,33.18
2006-06-27,33.05
2006-06-28,32.93
2006-06-29,32.98
2006-06-30,33.33
2006-07-03,33.1
2006-07-05,33.23
2006-07-06,33.31
2006-07-07,33.35
2006-07-10,33.3
2006-07-11,33.37
2006-07-12,33.21
2006-07-13,33.01
2006-07-14,32.29
2006-07-17,32.08
2006-07-18,32.36
2006-07-19,32.58
2006-07-20,32.85
2006-07-21,32.61
2006-07-24,32.48
2006-07-25,32.8
2006-07-26,32.74
2006-07-27,32.75
2006-07-28,32.8
2006-07-31,32.8
2006-08-01,32.65
2006-08-02,32.55
2006-08-03,32.55
2006-08-04,32.91
2006-08-07,32.68
2006-08-08,32.8
2006-08-09,32.48
2006-08-10,32.35
2006-08-11,32.62
2006-08-14,32.71
2006-08-15,33.19
2006-08-16,33.37
2006-08-17,33.7
2006-08-18,33.71
2006-08-21,34.0
2006-08-22,33.9
2006-08-23,33.75
2006-08-24,33.94
2006-08-25,33.72
2006-08-28,33.7
2006-08-29,33.9
2006-08-30,34.2
2006-08-31,34.29
2006-09-01,34.18
2006-09-05,34.08
2006-09-06,33.87
2006-09-07,33.85
2006-09-08,33.9
2006-09-11,33.85
2006-09-12,34.43
2006-09-13,34.7
2006-09-14,34.55
2006-09-15,34.9
2006-09-18,34.65
2006-09-19,34.85
2006-09-20,34.87
2006-09-21,34.9
2006-09-22,34.36
2006-09-25,34.33
2006-09-26,34.9
2006-09-27,35.33
2006-09-28,35.4
2006-09-29,35.42
2006-10-02,35.4
2006-10-03,35.51
2006-10-04,35.67
2006-10-05,36.01
2006-10-06,36.08
2006-10-09,36.14
2006-10-10,36.1
2006-10-11,36.2
2006-10-12,36.25
2006-10-13,35.93
2006-10-16,35.73
2006-10-17,35.35
2006-10-18,35.82
2006-10-19,35.4
2006-10-20,35.4
2006-10-23,35.28
2006-10-24,35.45
2006-10-25,35.55
2006-10-26,35.75
2006-10-27,35.46
2006-10-30,35.22
2006-10-31,35.28
2006-11-01,35.2
2006-11-02,34.88
2006-11-03,34.78
2006-11-06,35.02
2006-11-07,35.35
