time_captured,04_out_raw_accX
1970-01-01 00:00:00.000000127,-310.124
1970-01-01 00:00:00.000000128,-570.96
1970-01-01 00:00:00.000000129,-562.786
1970-01-01 00:00:00.000000130,-107.36
1970-01-01 00:00:00.000000131,1085.312
1970-01-01 00:00:00.000000132,1277.828
1970-01-01 00:00:00.000000133,-10.858
1970-01-01 00:00:00.000000134,-859.368
1970-01-01 00:00:00.000000135,-398.818
1970-01-01 00:00:00.000000136,-245.83
1970-01-01 00:00:00.000000137,-481.168
1970-01-01 00:00:00.000000138,-575.962
1970-01-01 00:00:00.000000139,-72.346
1970-01-01 00:00:00.000000140,394.06
1970-01-01 00:00:00.000000141,1260.748
1970-01-01 00:00:00.000000142,25.742
1970-01-01 00:00:00.000000143,-1064.694
1970-01-01 00:00:00.000000144,-623.42
1970-01-01 00:00:00.000000145,-623.42
1970-01-01 00:00:00.000000146,-481.29
1970-01-01 00:00:00.000000147,-668.926
1970-01-01 00:00:00.000000148,-163.968
1970-01-01 00:00:00.000000149,758.474
1970-01-01 00:00:00.000000150,1248.304
1970-01-01 00:00:00.000000151,856.806
1970-01-01 00:00:00.000000152,-228.75
1970-01-01 00:00:00.000000153,-426.268
1970-01-01 00:00:00.000000154,-426.268
1970-01-01 00:00:00.000000155,-366.366
1970-01-01 00:00:00.000000156,-483.852
1970-01-01 00:00:00.000000157,-281.82
1970-01-01 00:00:00.000000158,836.432
1970-01-01 00:00:00.000000159,1094.584
1970-01-01 00:00:00.000000160,671.854
1970-01-01 00:00:00.000000161,-413.336
1970-01-01 00:00:00.000000162,-665.022
1970-01-01 00:00:00.000000163,-273.89
1970-01-01 00:00:00.000000164,-572.912
1970-01-01 00:00:00.000000165,-559.614
1970-01-01 00:00:00.000000166,-281.332
1970-01-01 00:00:00.000000167,81.618
1970-01-01 00:00:00.000000168,991.494
1970-01-01 00:00:00.000000169,952.332
1970-01-01 00:00:00.000000170,453.84
1970-01-01 00:00:00.000000171,-613.172
1970-01-01 00:00:00.000000172,-328.668
1970-01-01 00:00:00.000000173,-328.668
1970-01-01 00:00:00.000000174,-394.426
1970-01-01 00:00:00.000000175,-495.442
1970-01-01 00:00:00.000000176,229.848
1970-01-01 00:00:00.000000177,763.964
1970-01-01 00:00:00.000000178,1030.534
1970-01-01 00:00:00.000000179,404.918
1970-01-01 00:00:00.000000180,-476.166
1970-01-01 00:00:00.000000181,-563.762
1970-01-01 00:00:00.000000182,-472.994
1970-01-01 00:00:00.000000183,-622.322
1970-01-01 00:00:00.000000184,-416.386
1970-01-01 00:00:00.000000185,-249.978
1970-01-01 00:00:00.000000186,468.236
1970-01-01 00:00:00.000000187,1078.236
1970-01-01 00:00:00.000000188,199.958
1970-01-01 00:00:00.000000189,-757.254
1970-01-01 00:00:00.000000190,-491.416
1970-01-01 00:00:00.000000191,-357.948
1970-01-01 00:00:00.000000192,-542.778
1970-01-01 00:00:00.000000193,-511.79
1970-01-01 00:00:00.000000194,-166.774
1970-01-01 00:00:00.000000195,618.174
1970-01-01 00:00:00.000000196,841.068
1970-01-01 00:00:00.000000197,1238.91
1970-01-01 00:00:00.000000198,204.716
1970-01-01 00:00:00.000000199,-972.218
1970-01-01 00:00:00.000000200,-789.34
1970-01-01 00:00:00.000000201,-776.774
1970-01-01 00:00:00.000000202,-765.55
1970-01-01 00:00:00.000000203,-513.376
1970-01-01 00:00:00.000000204,-156.404
1970-01-01 00:00:00.000000205,959.53
1970-01-01 00:00:00.000000206,932.324
1970-01-01 00:00:00.000000207,45.262
1970-01-01 00:00:00.000000208,-905.85
1970-01-01 00:00:00.000000209,-630.862
1970-01-01 00:00:00.000000210,-367.952
1970-01-01 00:00:00.000000211,-394.792
1970-01-01 00:00:00.000000212,-390.766
1970-01-01 00:00:00.000000213,-32.574
1970-01-01 00:00:00.000000214,467.504
1970-01-01 00:00:00.000000215,1180.106
1970-01-01 00:00:00.000000216,1199.016
1970-01-01 00:00:00.000000217,-981.856
1970-01-01 00:00:00.000000218,-646.844
1970-01-01 00:00:00.000000219,-388.57
1970-01-01 00:00:00.000000220,-607.194
1970-01-01 00:00:00.000000221,-441.518
1970-01-01 00:00:00.000000222,-34.892
1970-01-01 00:00:00.000000223,814.35
1970-01-01 00:00:00.000000224,1188.158
1970-01-01 00:00:00.000000225,740.784
1970-01-01 00:00:00.000000226,-458.354
1970-01-01 00:00:00.000000227,-626.47
1970-01-01 00:00:00.000000228,-448.838
1970-01-01 00:00:00.000000229,-482.388
1970-01-01 00:00:00.000000230,-482.388
1970-01-01 00:00:00.000000231,-400.16
1970-01-01 00:00:00.000000232,71.736
1970-01-01 00:00:00.000000233,921.344
1970-01-01 00:00:00.000000234,415.41
1970-01-01 00:00:00.000000235,-462.868
1970-01-01 00:00:00.000000236,-492.026
1970-01-01 00:00:00.000000237,-461.77
1970-01-01 00:00:00.000000238,-434.076
1970-01-01 00:00:00.000000239,-543.876
1970-01-01 00:00:00.000000240,-306.83
1970-01-01 00:00:00.000000241,-33.428
1970-01-01 00:00:00.000000242,1203.53
1970-01-01 00:00:00.000000243,1073.6
1970-01-01 00:00:00.000000244,227.896
1970-01-01 00:00:00.000000245,-512.644
1970-01-01 00:00:00.000000246,-653.676
1970-01-01 00:00:00.000000247,-363.682
1970-01-01 00:00:00.000000248,-354.41
1970-01-01 00:00:00.000000249,-354.41
1970-01-01 00:00:00.000000250,199.104
1970-01-01 00:00:00.000000251,1013.088
1970-01-01 00:00:00.000000252,1287.222
1970-01-01 00:00:00.000000253,317.078
1970-01-01 00:00:00.000000254,-752.13
1970-01-01 00:00:00.000000255,-683.078
1970-01-01 00:00:00.000000256,-484.828
1970-01-01 00:00:00.000000257,-664.656
1970-01-01 00:00:00.000000258,-664.656
1970-01-01 00:00:00.000000259,-242.048
1970-01-01 00:00:00.000000260,424.438
1970-01-01 00:00:00.000000261,1026.752
1970-01-01 00:00:00.000000262,29.524
1970-01-01 00:00:00.000000263,-829.6
1970-01-01 00:00:00.000000264,-629.276
1970-01-01 00:00:00.000000265,-338.062
1970-01-01 00:00:00.000000266,-309.392
1970-01-01 00:00:00.000000267,-417.728
1970-01-01 00:00:00.000000268,-128.1
1970-01-01 00:00:00.000000269,431.026
1970-01-01 00:00:00.000000270,1077.748
1970-01-01 00:00:00.000000271,1203.042
1970-01-01 00:00:00.000000272,96.136
1970-01-01 00:00:00.000000273,-507.886
1970-01-01 00:00:00.000000274,-400.404
1970-01-01 00:00:00.000000275,-574.864
1970-01-01 00:00:00.000000276,-482.754
1970-01-01 00:00:00.000000277,-482.754
1970-01-01 00:00:00.000000278,686.86
1970-01-01 00:00:00.000000279,1294.542
1970-01-01 00:00:00.000000280,939.156
1970-01-01 00:00:00.000000281,-161.772
1970-01-01 00:00:00.000000282,-795.44
1970-01-01 00:00:00.000000283,-496.418
1970-01-01 00:00:00.000000284,-428.098
1970-01-01 00:00:00.000000285,-307.318
1970-01-01 00:00:00.000000286,-307.318
1970-01-01 00:00:00.000000287,38.674
1970-01-01 00:00:00.000000288,797.758
1970-01-01 00:00:00.000000289,772.382
1970-01-01 00:00:00.000000290,-243.146
1970-01-01 00:00:00.000000291,-674.416
1970-01-01 00:00:00.000000292,-440.908
1970-01-01 00:00:00.000000293,-478.728
1970-01-01 00:00:00.000000294,-521.428
1970-01-01 00:00:00.000000295,78.08
1970-01-01 00:00:00.000000296,82.594
1970-01-01 00:00:00.000000297,954.406
1970-01-01 00:00:00.000000298,916.83
1970-01-01 00:00:00.000000299,439.566
1970-01-01 00:00:00.000000300,-537.044
1970-01-01 00:00:00.000000301,-268.034
1970-01-01 00:00:00.000000302,-497.028
1970-01-01 00:00:00.000000303,-542.412
1970-01-01 00:00:00.000000304,-174.826
1970-01-01 00:00:00.000000305,74.42
1970-01-01 00:00:00.000000306,770.674
1970-01-01 00:00:00.000000307,910.974
1970-01-01 00:00:00.000000308,458.72
1970-01-01 00:00:00.000000309,-493.124
1970-01-01 00:00:00.000000310,-419.802
1970-01-01 00:00:00.000000311,-539.24
1970-01-01 00:00:00.000000312,-762.134
1970-01-01 00:00:00.000000313,-525.21
1970-01-01 00:00:00.000000314,369.294
1970-01-01 00:00:00.000000315,365.268
1970-01-01 00:00:00.000000316,876.936
1970-01-01 00:00:00.000000317,936.838
1970-01-01 00:00:00.000000318,-687.592
1970-01-01 00:00:00.000000319,-332.816
1970-01-01 00:00:00.000000320,-323.178
1970-01-01 00:00:00.000000321,-561.322
1970-01-01 00:00:00.000000322,-477.508
1970-01-01 00:00:00.000000323,-181.536
1970-01-01 00:00:00.000000324,547.78
1970-01-01 00:00:00.000000325,861.808
1970-01-01 00:00:00.000000326,1229.272
1970-01-01 00:00:00.000000327,174.704
1970-01-01 00:00:00.000000328,-770.552
1970-01-01 00:00:00.000000329,-373.93
1970-01-01 00:00:00.000000330,-718.702
1970-01-01 00:00:00.000000331,-459.696
1970-01-01 00:00:00.000000332,-313.784
1970-01-01 00:00:00.000000333,547.17
1970-01-01 00:00:00.000000334,869.982
1970-01-01 00:00:00.000000335,943.182
1970-01-01 00:00:00.000000336,-60.268
1970-01-01 00:00:00.000000337,-851.072
1970-01-01 00:00:00.000000338,-938.79
1970-01-01 00:00:00.000000339,-301.218
1970-01-01 00:00:00.000000340,-403.698
1970-01-01 00:00:00.000000341,-127.002
1970-01-01 00:00:00.000000342,408.7
1970-01-01 00:00:00.000000343,408.7
1970-01-01 00:00:00.000000344,1007.964
1970-01-01 00:00:00.000000345,-12.688
1970-01-01 00:00:00.000000346,-1056.886
1970-01-01 00:00:00.000000347,-792.512
1970-01-01 00:00:00.000000348,-392.84
1970-01-01 00:00:00.000000349,-493.49
1970-01-01 00:00:00.000000350,-386.496
1970-01-01 00:00:00.000000351,-114.68
1970-01-01 00:00:00.000000352,781.044
1970-01-01 00:00:00.000000353,1122.156
1970-01-01 00:00:00.000000354,860.71
1970-01-01 00:00:00.000000355,-184.342
1970-01-01 00:00:00.000000356,-742.98
1970-01-01 00:00:00.000000357,-401.38
