time_captured,CVX_Close
2006-01-03,59.08
2006-01-04,58.91
2006-01-05,58.19
2006-01-06,59.25
2006-01-09,58.95
2006-01-10,59.24
2006-01-11,59.84
2006-01-12,59.89
2006-01-13,60.36
2006-01-17,61.86
2006-01-18,61.5
2006-01-19,61.6
2006-01-20,61.12
2006-01-23,62.21
2006-01-24,62.05
2006-01-25,61.26
2006-01-26,60.22
2006-01-27,60.38
2006-01-30,60.75
2006-01-31,59.38
2006-02-01,58.7
2006-02-02,58.51
2006-02-03,57.5
2006-02-06,58.84
2006-02-07,57.74
2006-02-08,57.89
2006-02-09,56.9
2006-02-10,56.61
2006-02-13,56.62
2006-02-14,55.72
2006-02-15,55.96
2006-02-16,56.3
2006-02-17,57.17
2006-02-21,57.9
2006-02-22,57.24
2006-02-23,57.14
2006-02-24,57.65
2006-02-27,57.1
2006-02-28,56.48
2006-03-01,57.24
2006-03-02,57.01
2006-03-03,56.97
2006-03-06,55.85
2006-03-07,55.32
2006-03-08,55.12
2006-03-09,54.45
2006-03-10,54.08
2006-03-13,55.18
2006-03-14,56.35
2006-03-15,56.5
2006-03-16,57.74
2006-03-17,57.18
2006-03-20,56.75
2006-03-21,56.57
2006-03-22,56.49
2006-03-23,56.63
2006-03-24,57.57
2006-03-27,58.21
2006-03-28,57.86
2006-03-29,58.63
2006-03-30,58.51
2006-03-31,57.97
2006-04-03,58.34
2006-04-04,58.91
2006-04-05,59.5
2006-04-06,59.41
2006-04-07,58.65
2006-04-10,59.72
2006-04-11,59.46
2006-04-12,58.67
2006-04-13,58.78
2006-04-17,59.32
2006-04-18,60.87
2006-04-19,61.01
2006-04-20,60.03
2006-04-21,61.48
2006-04-24,60.99
2006-04-25,60.41
2006-04-26,60.22
2006-04-27,59.98
2006-04-28,61.02
2006-05-01,61.17
2006-05-02,62.8
2006-05-03,61.9
2006-05-04,62.0
2006-05-05,62.35
2006-05-08,62.01
2006-05-09,62.86
2006-05-10,62.88
2006-05-11,62.71
2006-05-12,61.38
2006-05-15,60.56
2006-05-16,61.02
2006-05-17,58.94
2006-05-18,58.7
2006-05-19,58.47
2006-05-22,58.22
2006-05-23,58.1
2006-05-24,57.6
2006-05-25,59.49
2006-05-26,59.83
2006-05-30,58.45
2006-05-31,59.79
2006-06-01,59.98
2006-06-02,60.75
2006-06-05,59.35
2006-06-06,58.93
2006-06-07,57.17
2006-06-08,57.86
2006-06-09,57.53
2006-06-12,57.59
2006-06-13,56.78
2006-06-14,57.83
2006-06-15,59.43
2006-06-16,58.71
2006-06-19,57.51
2006-06-20,57.51
2006-06-21,58.28
2006-06-22,58.66
2006-06-23,58.71
2006-06-26,59.68
2006-06-27,60.1
2006-06-28,61.36
2006-06-29,62.45
2006-06-30,62.06
2006-07-03,62.75
2006-07-05,63.88
2006-07-06,63.98
2006-07-07,63.68
2006-07-10,64.27
2006-07-11,65.3
2006-07-12,64.87
2006-07-13,64.94
2006-07-14,66.38
2006-07-17,64.87
2006-07-18,65.55
2006-07-19,65.99
2006-07-20,65.32
2006-07-21,64.45
2006-07-24,66.27
2006-07-25,66.95
2006-07-26,67.5
2006-07-27,67.73
2006-07-28,66.05
2006-07-31,65.78
2006-08-01,66.25
2006-08-02,65.97
2006-08-03,65.5
2006-08-04,65.66
2006-08-07,66.83
2006-08-08,67.2
2006-08-09,67.48
2006-08-10,67.35
2006-08-11,67.85
2006-08-14,67.05
2006-08-15,66.86
2006-08-16,65.41
2006-08-17,66.15
2006-08-18,67.26
2006-08-21,66.89
2006-08-22,66.55
2006-08-23,65.68
2006-08-24,66.73
2006-08-25,66.77
2006-08-28,66.16
2006-08-29,65.74
2006-08-30,65.19
2006-08-31,64.4
2006-09-01,64.83
2006-09-05,66.34
2006-09-06,65.22
2006-09-07,65.4
2006-09-08,64.22
2006-09-11,62.0
2006-09-12,61.39
2006-09-13,62.39
2006-09-14,62.05
2006-09-15,61.79
2006-09-18,62.85
2006-09-19,61.89
2006-09-20,60.88
2006-09-21,62.05
2006-09-22,61.94
2006-09-25,62.18
2006-09-26,63.59
2006-09-27,64.2
2006-09-28,64.53
2006-09-29,64.86
2006-10-02,64.51
2006-10-03,62.94
2006-10-04,63.7
2006-10-05,63.88
2006-10-06,63.66
2006-10-09,63.24
2006-10-10,63.9
2006-10-11,63.1
2006-10-12,64.02
2006-10-13,64.2
2006-10-16,65.05
2006-10-17,64.93
2006-10-18,64.6
2006-10-19,65.64
2006-10-20,65.28
2006-10-23,65.64
2006-10-24,66.89
2006-10-25,67.58
2006-10-26,67.5
2006-10-27,67.68
2006-10-30,66.39
2006-10-31,67.2
2006-11-01,66.98
2006-11-02,67.79
