time_captured,05_unb_hrm_accX
1970-01-01 00:00:00.000000114,-952.576
1970-01-01 00:00:00.000000115,-337.163126496518
1970-01-01 00:00:00.000000116,255.158322582243
1970-01-01 00:00:00.000000117,575.582429081198
1970-01-01 00:00:00.000000118,1401.45276272054
1970-01-01 00:00:00.000000119,898.942639285396
1970-01-01 00:00:00.000000120,-762.21825855774
1970-01-01 00:00:00.000000121,-1016.11591848146
1970-01-01 00:00:00.000000122,-840.918081490282
1970-01-01 00:00:00.000000123,278.648
1970-01-01 00:00:00.000000124,1557.68472948731
1970-01-01 00:00:00.000000125,-191.837186556557
1970-01-01 00:00:00.000000126,-987.956
1970-01-01 00:00:00.000000127,-103.625857073508
1970-01-01 00:00:00.000000128,-32.4717056357982
1970-01-01 00:00:00.000000129,309.253211285893
1970-01-01 00:00:00.000000130,1288.28432977873
1970-01-01 00:00:00.000000131,999.84434904906
1970-01-01 00:00:00.000000132,-752.74
1970-01-01 00:00:00.000000133,-664.950655733823
1970-01-01 00:00:00.000000134,-1154.26473491452
1970-01-01 00:00:00.000000135,-559.836662174306
1970-01-01 00:00:00.000000136,947.095185963866
1970-01-01 00:00:00.000000137,943.784654635774
1970-01-01 00:00:00.000000138,-788.752996460336
1970-01-01 00:00:00.000000139,-140.845130990373
1970-01-01 00:00:00.000000140,-211.185744331467
1970-01-01 00:00:00.000000141,188.856
1970-01-01 00:00:00.000000142,994.890308620251
1970-01-01 00:00:00.000000143,1775.44411901847
1970-01-01 00:00:00.000000144,-200.446
1970-01-01 00:00:00.000000145,-1180.49495852914
1970-01-01 00:00:00.000000146,-769.093707186748
1970-01-01 00:00:00.000000147,-937.628250986523
1970-01-01 00:00:00.000000148,635.340636690817
1970-01-01 00:00:00.000000149,999.446009984602
1970-01-01 00:00:00.000000150,-306.952
1970-01-01 00:00:00.000000151,-576.273274140027
1970-01-01 00:00:00.000000152,-110.256141326799
1970-01-01 00:00:00.000000153,55.998
1970-01-01 00:00:00.000000154,341.326642504263
1970-01-01 00:00:00.000000155,1325.10600429764
1970-01-01 00:00:00.000000156,871.395724365261
1970-01-01 00:00:00.000000157,-986.779966720598
1970-01-01 00:00:00.000000158,-877.347912477075
1970-01-01 00:00:00.000000159,-990.271248737028
1970-01-01 00:00:00.000000160,-183.305598953804
1970-01-01 00:00:00.000000161,942.337408899144
1970-01-01 00:00:00.000000162,310.246
1970-01-01 00:00:00.000000163,-992.284907462769
1970-01-01 00:00:00.000000164,-148.695980408297
1970-01-01 00:00:00.000000165,-15.494
1970-01-01 00:00:00.000000166,389.790711192604
1970-01-01 00:00:00.000000167,889.073423257998
1970-01-01 00:00:00.000000168,1735.27844771444
1970-01-01 00:00:00.000000169,-158.60150977352
1970-01-01 00:00:00.000000170,-1028.94521120848
1970-01-01 00:00:00.000000171,-1161.806
1970-01-01 00:00:00.000000172,-652.733185573618
1970-01-01 00:00:00.000000173,703.657718583868
1970-01-01 00:00:00.000000174,0.244
1970-01-01 00:00:00.000000175,-144.111086251595
1970-01-01 00:00:00.000000176,-637.571054197253
1970-01-01 00:00:00.000000177,87.8296492125918
1970-01-01 00:00:00.000000178,308.170120445343
1970-01-01 00:00:00.000000179,829.412167177628
1970-01-01 00:00:00.000000180,1261.358
1970-01-01 00:00:00.000000181,634.754611491741
1970-01-01 00:00:00.000000182,-1025.75834928314
1970-01-01 00:00:00.000000183,-909.232489474709
1970-01-01 00:00:00.000000184,-758.850779400631
1970-01-01 00:00:00.000000185,598.663679903767
1970-01-01 00:00:00.000000186,1264.64750813828
1970-01-01 00:00:00.000000187,-518.090218073792
1970-01-01 00:00:00.000000188,-790.304730629475
1970-01-01 00:00:00.000000189,-56.73
1970-01-01 00:00:00.000000190,86.1112374461401
1970-01-01 00:00:00.000000191,510.451579349433
1970-01-01 00:00:00.000000192,1292.06935044416
1970-01-01 00:00:00.000000193,837.722882089109
1970-01-01 00:00:00.000000194,-540.306350225605
1970-01-01 00:00:00.000000195,-886.45713336671
1970-01-01 00:00:00.000000196,-860.159480086557
1970-01-01 00:00:00.000000197,-69.8154371914815
1970-01-01 00:00:00.000000198,1437.07306336506
1970-01-01 00:00:00.000000199,112.184220324323
1970-01-01 00:00:00.000000200,-606.02665517439
1970-01-01 00:00:00.000000201,-419.07
1970-01-01 00:00:00.000000202,2.66143663454455
1970-01-01 00:00:00.000000203,205.424339968352
1970-01-01 00:00:00.000000204,869.06780356959
1970-01-01 00:00:00.000000205,1500.88936770605
1970-01-01 00:00:00.000000206,101.499804008879
1970-01-01 00:00:00.000000207,-1277.00417711774
1970-01-01 00:00:00.000000208,-857.779170193993
1970-01-01 00:00:00.000000209,-620.117979873039
1970-01-01 00:00:00.000000210,170.16316724503
1970-01-01 00:00:00.000000211,1128.80803678949
1970-01-01 00:00:00.000000212,-521.703523710331
1970-01-01 00:00:00.000000213,-824.11
1970-01-01 00:00:00.000000214,-46.5025502858407
1970-01-01 00:00:00.000000215,179.755159786497
1970-01-01 00:00:00.000000216,517.120763441924
1970-01-01 00:00:00.000000217,1409.26580132489
1970-01-01 00:00:00.000000218,-339.811167216333
