time_captured,AXP_Close
2006-01-03,52.58
2006-01-04,51.95
2006-01-05,52.5
2006-01-06,52.68
2006-01-09,53.99
2006-01-10,53.83
2006-01-11,53.54
2006-01-12,53.55
2006-01-13,53.44
2006-01-17,52.96
2006-01-18,52.86
2006-01-19,52.59
2006-01-20,51.4
2006-01-23,51.44
2006-01-24,52.82
2006-01-25,52.9
2006-01-26,53.32
2006-01-27,53.3
2006-01-30,52.68
2006-01-31,52.45
2006-02-01,52.62
2006-02-02,52.56
2006-02-03,52.33
2006-02-06,52.22
2006-02-07,52.07
2006-02-08,52.73
2006-02-09,53.04
2006-02-10,53.0
2006-02-13,53.02
2006-02-14,53.51
2006-02-15,54.19
2006-02-16,54.48
2006-02-17,54.45
2006-02-21,53.86
2006-02-22,54.84
2006-02-23,54.57
2006-02-24,54.87
2006-02-27,54.74
2006-02-28,53.88
2006-03-01,54.12
2006-03-02,53.78
2006-03-03,53.75
2006-03-06,53.75
2006-03-07,53.59
2006-03-08,53.84
2006-03-09,53.2
2006-03-10,54.23
2006-03-13,53.84
2006-03-14,53.96
2006-03-15,54.02
2006-03-16,54.12
2006-03-17,54.65
2006-03-20,54.12
2006-03-21,53.59
2006-03-22,53.55
2006-03-23,53.1
2006-03-24,53.18
2006-03-27,53.36
2006-03-28,52.57
2006-03-29,52.5
2006-03-30,52.13
2006-03-31,52.55
2006-04-03,52.43
2006-04-04,53.23
2006-04-05,52.9
2006-04-06,52.27
2006-04-07,51.7
2006-04-10,51.85
2006-04-11,51.25
2006-04-12,51.19
2006-04-13,51.21
2006-04-17,51.0
2006-04-18,52.3
2006-04-19,51.87
2006-04-20,52.44
2006-04-21,52.25
2006-04-24,51.78
2006-04-25,51.31
2006-04-26,51.9
2006-04-27,53.7
2006-04-28,53.81
2006-05-01,52.81
2006-05-02,52.53
2006-05-03,52.38
2006-05-04,52.75
2006-05-05,53.75
2006-05-08,53.6
2006-05-09,53.57
2006-05-10,53.62
2006-05-11,52.71
2006-05-12,52.89
2006-05-15,53.13
2006-05-16,52.98
2006-05-17,52.0
2006-05-18,51.91
2006-05-19,52.23
2006-05-22,51.9
2006-05-23,52.22
2006-05-24,53.41
2006-05-25,54.09
2006-05-26,54.41
2006-05-30,53.8
2006-05-31,54.36
2006-06-01,54.78
2006-06-02,54.72
2006-06-05,53.6
2006-06-06,53.26
2006-06-07,53.48
2006-06-08,53.39
2006-06-09,53.46
2006-06-12,52.83
2006-06-13,52.22
2006-06-14,52.74
2006-06-15,53.57
2006-06-16,52.92
2006-06-19,52.22
