time_captured,07_c75_raw_accZ
1970-01-01 00:00:00.000000130,580.964
1970-01-01 00:00:00.000000131,1142.774
1970-01-01 00:00:00.000000132,389.058
1970-01-01 00:00:00.000000133,871.69
1970-01-01 00:00:00.000000134,991.128
1970-01-01 00:00:00.000000135,2253.95
1970-01-01 00:00:00.000000136,1192.916
1970-01-01 00:00:00.000000137,536.8
1970-01-01 00:00:00.000000138,368.44
1970-01-01 00:00:00.000000139,767.136
1970-01-01 00:00:00.000000140,278.77
1970-01-01 00:00:00.000000141,305.244
1970-01-01 00:00:00.000000142,-5.978
1970-01-01 00:00:00.000000143,889.868
1970-01-01 00:00:00.000000144,1277.828
1970-01-01 00:00:00.000000145,1020.652
1970-01-01 00:00:00.000000146,1006.622
1970-01-01 00:00:00.000000147,1069.33
1970-01-01 00:00:00.000000148,1008.208
1970-01-01 00:00:00.000000149,559.126
1970-01-01 00:00:00.000000150,419.436
1970-01-01 00:00:00.000000151,530.822
1970-01-01 00:00:00.000000152,1029.558
1970-01-01 00:00:00.000000153,1385.676
1970-01-01 00:00:00.000000154,869.25
1970-01-01 00:00:00.000000155,1199.138
1970-01-01 00:00:00.000000156,763.72
1970-01-01 00:00:00.000000157,695.278
1970-01-01 00:00:00.000000158,827.282
1970-01-01 00:00:00.000000159,597.922
1970-01-01 00:00:00.000000160,511.302
1970-01-01 00:00:00.000000161,993.69
1970-01-01 00:00:00.000000162,939.156
1970-01-01 00:00:00.000000163,1300.276
1970-01-01 00:00:00.000000164,1262.944
1970-01-01 00:00:00.000000165,711.382
1970-01-01 00:00:00.000000166,753.228
1970-01-01 00:00:00.000000167,241.316
1970-01-01 00:00:00.000000168,1062.864
1970-01-01 00:00:00.000000169,730.658
1970-01-01 00:00:00.000000170,1241.838
1970-01-01 00:00:00.000000171,1745.21
1970-01-01 00:00:00.000000172,1253.794
1970-01-01 00:00:00.000000173,1366.522
1970-01-01 00:00:00.000000174,617.564
1970-01-01 00:00:00.000000175,459.086
1970-01-01 00:00:00.000000176,703.574
1970-01-01 00:00:00.000000177,306.83
