time_captured,01_off_hrm_accY
1970-01-01 00:00:00.000000109,-14.0862608484723
1970-01-01 00:00:00.000000110,-13.4329944384656
1970-01-01 00:00:00.000000111,-14.4129087686699
1970-01-01 00:00:00.000000112,-15.2396623338316
1970-01-01 00:00:00.000000113,-14.2027955183033
1970-01-01 00:00:00.000000114,-14.7719163571122
1970-01-01 00:00:00.000000115,-13.6033387937193
1970-01-01 00:00:00.000000116,-14.5027667150137
1970-01-01 00:00:00.000000117,-16.408695767364
1970-01-01 00:00:00.000000118,-14.1760297292149
1970-01-01 00:00:00.000000119,-15.2553930350235
1970-01-01 00:00:00.000000120,-15.372
1970-01-01 00:00:00.000000121,-14.4268227705178
1970-01-01 00:00:00.000000122,-13.8836126595273
1970-01-01 00:00:00.000000123,-15.616
1970-01-01 00:00:00.000000124,-13.4153214531859
1970-01-01 00:00:00.000000125,-13.85878015343
1970-01-01 00:00:00.000000126,-13.8261238901756
1970-01-01 00:00:00.000000127,-15.2726009389625
1970-01-01 00:00:00.000000128,-14.0383382642753
1970-01-01 00:00:00.000000129,-15.1353185602418
1970-01-01 00:00:00.000000130,-14.6906214702225
1970-01-01 00:00:00.000000131,-15.6333325772934
1970-01-01 00:00:00.000000132,-14.7162429859424
1970-01-01 00:00:00.000000133,-14.7794125508204
1970-01-01 00:00:00.000000134,-14.4064183448446
1970-01-01 00:00:00.000000135,-13.908
1970-01-01 00:00:00.000000136,-15.3269763341029
1970-01-01 00:00:00.000000137,-14.7979884554207
1970-01-01 00:00:00.000000138,-15.006
1970-01-01 00:00:00.000000139,-14.907795632599
1970-01-01 00:00:00.000000140,-15.0353967980669
1970-01-01 00:00:00.000000141,-16.349245528692
1970-01-01 00:00:00.000000142,-14.3752585737877
1970-01-01 00:00:00.000000143,-12.6448833860816
1970-01-01 00:00:00.000000144,-14.4099174878457
1970-01-01 00:00:00.000000145,-15.0681174813231
1970-01-01 00:00:00.000000146,-14.4931993197887
1970-01-01 00:00:00.000000147,-15.7640083771525
1970-01-01 00:00:00.000000148,-15.5903617698464
1970-01-01 00:00:00.000000149,-16.6322282083186
1970-01-01 00:00:00.000000150,-14.152
1970-01-01 00:00:00.000000151,-16.8231576595391
1970-01-01 00:00:00.000000152,-13.3327904324867
1970-01-01 00:00:00.000000153,-14.64
1970-01-01 00:00:00.000000154,-15.9431223531835
1970-01-01 00:00:00.000000155,-13.2710822508549
1970-01-01 00:00:00.000000156,-14.3427777041188
1970-01-01 00:00:00.000000157,-16.0097147912356
1970-01-01 00:00:00.000000158,-12.2202148782569
1970-01-01 00:00:00.000000159,-16.2403791138592
1970-01-01 00:00:00.000000160,-16.4083141884728
1970-01-01 00:00:00.000000161,-15.3915465803233
1970-01-01 00:00:00.000000162,-15.1501507758102
1970-01-01 00:00:00.000000163,-15.7752277871425
1970-01-01 00:00:00.000000164,-15.421197972618
1970-01-01 00:00:00.000000165,-15.86
1970-01-01 00:00:00.000000166,-14.6494129096425
1970-01-01 00:00:00.000000167,-17.0028729067203
1970-01-01 00:00:00.000000168,-16.47
1970-01-01 00:00:00.000000169,-16.183233038472
1970-01-01 00:00:00.000000170,-14.1690391390823
1970-01-01 00:00:00.000000171,-15.6174944260339
1970-01-01 00:00:00.000000172,-14.5263172873239
1970-01-01 00:00:00.000000173,-14.7733282549905
1970-01-01 00:00:00.000000174,-16.0048221022389
1970-01-01 00:00:00.000000175,-15.3649355706039
1970-01-01 00:00:00.000000176,-14.4253819564554
1970-01-01 00:00:00.000000177,-13.5166507520999
1970-01-01 00:00:00.000000178,-14.4306884212841
1970-01-01 00:00:00.000000179,-15.7503229731405
1970-01-01 00:00:00.000000180,-14.518
1970-01-01 00:00:00.000000181,-14.775312356943
1970-01-01 00:00:00.000000182,-14.5274483542418
1970-01-01 00:00:00.000000183,-15.128
1970-01-01 00:00:00.000000184,-14.0493873743643
1970-01-01 00:00:00.000000185,-16.1709837642838
1970-01-01 00:00:00.000000186,-16.0688057608932
1970-01-01 00:00:00.000000187,-12.1590683380371
1970-01-01 00:00:00.000000188,-16.415009756729
1970-01-01 00:00:00.000000189,-13.614556743706
1970-01-01 00:00:00.000000190,-16.49647641667
1970-01-01 00:00:00.000000191,-14.6541341359438
1970-01-01 00:00:00.000000192,-14.5185036353474
1970-01-01 00:00:00.000000193,-12.8971513776266
1970-01-01 00:00:00.000000194,-15.686823873551
1970-01-01 00:00:00.000000195,-14.274
1970-01-01 00:00:00.000000196,-14.767964627048
1970-01-01 00:00:00.000000197,-15.6746959408618
1970-01-01 00:00:00.000000198,-14.274
1970-01-01 00:00:00.000000199,-16.1672734543212
1970-01-01 00:00:00.000000200,-16.0101102345423
1970-01-01 00:00:00.000000201,-13.566352253893
1970-01-01 00:00:00.000000202,-15.4644046746407
1970-01-01 00:00:00.000000203,-15.4648251979165
1970-01-01 00:00:00.000000204,-14.457664730967
1970-01-01 00:00:00.000000205,-14.0279216548877
1970-01-01 00:00:00.000000206,-14.6537375681632
1970-01-01 00:00:00.000000207,-14.774432166673
1970-01-01 00:00:00.000000208,-13.5989536477137
1970-01-01 00:00:00.000000209,-14.8992886317265
1970-01-01 00:00:00.000000210,-13.786
1970-01-01 00:00:00.000000211,-14.0617574918529
1970-01-01 00:00:00.000000212,-16.3846393520865
1970-01-01 00:00:00.000000213,-13.176
1970-01-01 00:00:00.000000214,-13.7132889173792
1970-01-01 00:00:00.000000215,-15.0846468634417
1970-01-01 00:00:00.000000216,-15.1719432426035
1970-01-01 00:00:00.000000217,-14.8122721794583
1970-01-01 00:00:00.000000218,-14.0819426054396
1970-01-01 00:00:00.000000219,-14.1986041434951
1970-01-01 00:00:00.000000220,-15.6223921595371
1970-01-01 00:00:00.000000221,-13.3231361548115
1970-01-01 00:00:00.000000222,-14.0159805662984
1970-01-01 00:00:00.000000223,-14.2329074920546
1970-01-01 00:00:00.000000224,-14.5792332748466
1970-01-01 00:00:00.000000225,-14.396
1970-01-01 00:00:00.000000226,-14.3528919034422
1970-01-01 00:00:00.000000227,-14.2307331004768
1970-01-01 00:00:00.000000228,-15.738
1970-01-01 00:00:00.000000229,-14.2662433051328
1970-01-01 00:00:00.000000230,-15.1706455656317
1970-01-01 00:00:00.000000231,-15.9434952237341
1970-01-01 00:00:00.000000232,-13.2805999819864
1970-01-01 00:00:00.000000233,-16.0392127567027
1970-01-01 00:00:00.000000234,-13.9680221741404
1970-01-01 00:00:00.000000235,-14.7983569706405
1970-01-01 00:00:00.000000236,-16.1492167561021
1970-01-01 00:00:00.000000237,-14.152
1970-01-01 00:00:00.000000238,-13.1106583365905
1970-01-01 00:00:00.000000239,-15.8723290008028
1970-01-01 00:00:00.000000240,-14.274
1970-01-01 00:00:00.000000241,-15.0049418576648
1970-01-01 00:00:00.000000242,-14.5047776031657
1970-01-01 00:00:00.000000243,-15.25
1970-01-01 00:00:00.000000244,-13.6907960843741
1970-01-01 00:00:00.000000245,-14.9593623394436
1970-01-01 00:00:00.000000246,-13.0226702910625
1970-01-01 00:00:00.000000247,-17.2186612841901
1970-01-01 00:00:00.000000248,-14.337869959874
1970-01-01 00:00:00.000000249,-14.9861008371361
1970-01-01 00:00:00.000000250,-14.0245137004108
1970-01-01 00:00:00.000000251,-13.899388563697
1970-01-01 00:00:00.000000252,-14.64
1970-01-01 00:00:00.000000253,-14.3371319748472
1970-01-01 00:00:00.000000254,-14.88542502849
1970-01-01 00:00:00.000000255,-14.518
1970-01-01 00:00:00.000000256,-13.6877561602186
1970-01-01 00:00:00.000000257,-15.0514471205608
1970-01-01 00:00:00.000000258,-13.908
