time_captured,02_on_hrm_accX
1970-01-01 00:00:00.000000114,730.662365009488
1970-01-01 00:00:00.000000115,1241.716
1970-01-01 00:00:00.000000116,-43.4658554070666
1970-01-01 00:00:00.000000117,-758.955312554202
1970-01-01 00:00:00.000000118,-457.134
1970-01-01 00:00:00.000000119,-417.160867219526
1970-01-01 00:00:00.000000120,324.957838796479
1970-01-01 00:00:00.000000121,1236.05916758788
1970-01-01 00:00:00.000000122,362.234822592942
1970-01-01 00:00:00.000000123,-1012.31293516213
1970-01-01 00:00:00.000000124,-459.33
1970-01-01 00:00:00.000000125,-426.32381182537
1970-01-01 00:00:00.000000126,-87.6357154255421
1970-01-01 00:00:00.000000127,1338.096
1970-01-01 00:00:00.000000128,534.138699477609
1970-01-01 00:00:00.000000129,-908.812548877063
1970-01-01 00:00:00.000000130,-544.974
1970-01-01 00:00:00.000000131,-484.563719229735
1970-01-01 00:00:00.000000132,-211.517478599308
1970-01-01 00:00:00.000000133,1048.02635938986
1970-01-01 00:00:00.000000134,1014.24996717715
1970-01-01 00:00:00.000000135,-545.925857536315
1970-01-01 00:00:00.000000136,-619.262308813828
1970-01-01 00:00:00.000000137,-474.714042381442
1970-01-01 00:00:00.000000138,-214.568009003708
1970-01-01 00:00:00.000000139,1077.26
1970-01-01 00:00:00.000000140,664.094325057558
1970-01-01 00:00:00.000000141,-437.546156031546
1970-01-01 00:00:00.000000142,-542.240671996714
1970-01-01 00:00:00.000000143,-435.567794914635
1970-01-01 00:00:00.000000144,-400.99903319753
1970-01-01 00:00:00.000000145,744.965559990151
1970-01-01 00:00:00.000000146,1108.04391840429
1970-01-01 00:00:00.000000147,-275.941146561012
1970-01-01 00:00:00.000000148,-787.998
1970-01-01 00:00:00.000000149,-337.164905791962
1970-01-01 00:00:00.000000150,-535.188154936376
1970-01-01 00:00:00.000000151,210.692383683639
1970-01-01 00:00:00.000000152,1315.59557199279
1970-01-01 00:00:00.000000153,208.180962495024
1970-01-01 00:00:00.000000154,-870.456276038991
1970-01-01 00:00:00.000000155,-271.137871334078
1970-01-01 00:00:00.000000156,-449.963933149092
1970-01-01 00:00:00.000000157,-281.454
1970-01-01 00:00:00.000000158,1309.95131955017
1970-01-01 00:00:00.000000159,580.465278752267
1970-01-01 00:00:00.000000160,-972.828
1970-01-01 00:00:00.000000161,-294.510253394864
1970-01-01 00:00:00.000000162,-453.401670362173
1970-01-01 00:00:00.000000163,-115.444490362957
1970-01-01 00:00:00.000000164,1064.32727155327
1970-01-01 00:00:00.000000165,712.563322092818
1970-01-01 00:00:00.000000166,-909.122852461982
1970-01-01 00:00:00.000000167,-442.95920842354
1970-01-01 00:00:00.000000168,-651.671651812322
1970-01-01 00:00:00.000000169,-327.448
1970-01-01 00:00:00.000000170,568.515425404448
1970-01-01 00:00:00.000000171,1069.28813772281
1970-01-01 00:00:00.000000172,-315.736
1970-01-01 00:00:00.000000173,-739.669722061704
1970-01-01 00:00:00.000000174,-422.207510580361
1970-01-01 00:00:00.000000175,-426.074240197408
1970-01-01 00:00:00.000000176,677.151848823923
1970-01-01 00:00:00.000000177,984.061151269742
1970-01-01 00:00:00.000000178,-356.24
1970-01-01 00:00:00.000000179,-906.54158372108
1970-01-01 00:00:00.000000180,-269.02943843142
1970-01-01 00:00:00.000000181,-710.894
1970-01-01 00:00:00.000000182,39.2767335241561
1970-01-01 00:00:00.000000183,1112.16842655238
1970-01-01 00:00:00.000000184,-321.373959219228
1970-01-01 00:00:00.000000185,-670.76455229277
1970-01-01 00:00:00.000000186,-320.921701697802
1970-01-01 00:00:00.000000187,-800.069772387865
1970-01-01 00:00:00.000000188,11.4529628959804
1970-01-01 00:00:00.000000189,745.859867842962
1970-01-01 00:00:00.000000190,134.322
1970-01-01 00:00:00.000000191,-609.318176761668
1970-01-01 00:00:00.000000192,-249.65309070049
1970-01-01 00:00:00.000000193,-709.525870641445
1970-01-01 00:00:00.000000194,-369.023633938093
1970-01-01 00:00:00.000000195,721.297349374777
1970-01-01 00:00:00.000000196,551.016505787024
1970-01-01 00:00:00.000000197,-709.807701894489
1970-01-01 00:00:00.000000198,-380.30407049744
1970-01-01 00:00:00.000000199,-452.254
1970-01-01 00:00:00.000000200,-488.518085396206
1970-01-01 00:00:00.000000201,450.834363637303
1970-01-01 00:00:00.000000202,1191.33
1970-01-01 00:00:00.000000203,-784.492268461048
1970-01-01 00:00:00.000000204,-805.531340182177
1970-01-01 00:00:00.000000205,-507.098491155581
1970-01-01 00:00:00.000000206,-394.636218336219
1970-01-01 00:00:00.000000207,-37.561456442298
1970-01-01 00:00:00.000000208,1181.92173302278
1970-01-01 00:00:00.000000209,-186.39262411342
1970-01-01 00:00:00.000000210,-1124.89926145895
1970-01-01 00:00:00.000000211,-410.652
1970-01-01 00:00:00.000000212,-449.626520033268
1970-01-01 00:00:00.000000213,-76.3351984110213
1970-01-01 00:00:00.000000214,900.904858293176
1970-01-01 00:00:00.000000215,286.130619787502
1970-01-01 00:00:00.000000216,-992.001071788005
1970-01-01 00:00:00.000000217,-394.554543015997
1970-01-01 00:00:00.000000218,-551.355470582793
1970-01-01 00:00:00.000000219,-67.5650943658465
1970-01-01 00:00:00.000000220,881.206
1970-01-01 00:00:00.000000221,384.518995528029
1970-01-01 00:00:00.000000222,-755.486780506106
1970-01-01 00:00:00.000000223,-355.386
1970-01-01 00:00:00.000000224,-573.77729254648
1970-01-01 00:00:00.000000225,-27.2151580259665
1970-01-01 00:00:00.000000226,601.568981256533
1970-01-01 00:00:00.000000227,1056.9561946987
1970-01-01 00:00:00.000000228,-706.634327502836
1970-01-01 00:00:00.000000229,-741.15
1970-01-01 00:00:00.000000230,-476.890129957673
1970-01-01 00:00:00.000000231,-263.027038486092
1970-01-01 00:00:00.000000232,265.716
1970-01-01 00:00:00.000000233,1130.78685328099
1970-01-01 00:00:00.000000234,-592.138649943566
1970-01-01 00:00:00.000000235,-552.962851112445
1970-01-01 00:00:00.000000236,-509.044471221316
1970-01-01 00:00:00.000000237,-478.631310069463
1970-01-01 00:00:00.000000238,51.0476092478545
1970-01-01 00:00:00.000000239,1247.78976486771
1970-01-01 00:00:00.000000240,-354.017160503358
1970-01-01 00:00:00.000000241,-647.698
1970-01-01 00:00:00.000000242,-266.404464987178
1970-01-01 00:00:00.000000243,-529.741130930693
1970-01-01 00:00:00.000000244,-246.196
1970-01-01 00:00:00.000000245,1074.62335086928
1970-01-01 00:00:00.000000246,276.38165388706
1970-01-01 00:00:00.000000247,-1052.6382240581
1970-01-01 00:00:00.000000248,-295.606358056346
1970-01-01 00:00:00.000000249,-415.307776685296
1970-01-01 00:00:00.000000250,-348.943612271215
1970-01-01 00:00:00.000000251,733.041525585995
1970-01-01 00:00:00.000000252,822.889857405662
1970-01-01 00:00:00.000000253,-1183.644
1970-01-01 00:00:00.000000254,-364.566316129442
1970-01-01 00:00:00.000000255,-564.609254722402
1970-01-01 00:00:00.000000256,-230.169435599933
1970-01-01 00:00:00.000000257,421.374995979654
1970-01-01 00:00:00.000000258,1261.54876799945
1970-01-01 00:00:00.000000259,-478.67347725475
1970-01-01 00:00:00.000000260,-335.975263999739
1970-01-01 00:00:00.000000261,-514.689532803001
1970-01-01 00:00:00.000000262,-215.696
1970-01-01 00:00:00.000000263,304.506487622412
1970-01-01 00:00:00.000000264,1269.10582672181
1970-01-01 00:00:00.000000265,-452.132
1970-01-01 00:00:00.000000266,-438.12372467
1970-01-01 00:00:00.000000267,-525.675438052543
1970-01-01 00:00:00.000000268,-401.861238329505
1970-01-01 00:00:00.000000269,12.2964467478814
1970-01-01 00:00:00.000000270,1190.19104080861
1970-01-01 00:00:00.000000271,304.268
1970-01-01 00:00:00.000000272,-595.689918463395
1970-01-01 00:00:00.000000273,-273.889489943926
1970-01-01 00:00:00.000000274,-742.492
1970-01-01 00:00:00.000000275,201.15520032844
1970-01-01 00:00:00.000000276,1358.63165405565
1970-01-01 00:00:00.000000277,376.948195860263
1970-01-01 00:00:00.000000278,-510.12055113357
1970-01-01 00:00:00.000000279,-292.620454412457
1970-01-01 00:00:00.000000280,-613.778184810213
1970-01-01 00:00:00.000000281,-139.403406010471
1970-01-01 00:00:00.000000282,762.217787478844
1970-01-01 00:00:00.000000283,1143.384
1970-01-01 00:00:00.000000284,-853.353414845953
1970-01-01 00:00:00.000000285,-448.769192938487
1970-01-01 00:00:00.000000286,-459.086
1970-01-01 00:00:00.000000287,-371.26268610886
1970-01-01 00:00:00.000000288,437.859392563559
1970-01-01 00:00:00.000000289,1376.78126566994
1970-01-01 00:00:00.000000290,-797.13296787366
1970-01-01 00:00:00.000000291,-485.362161941196
1970-01-01 00:00:00.000000292,-405.156003367078
1970-01-01 00:00:00.000000293,-211.453460211001
1970-01-01 00:00:00.000000294,387.574473026271
1970-01-01 00:00:00.000000295,1260.138
1970-01-01 00:00:00.000000296,389.95197677497
1970-01-01 00:00:00.000000297,-1215.47768553131
1970-01-01 00:00:00.000000298,-394.650267727677
1970-01-01 00:00:00.000000299,-544.864985510835
1970-01-01 00:00:00.000000300,159.922546587636
1970-01-01 00:00:00.000000301,1261.48
1970-01-01 00:00:00.000000302,158.765787694705
1970-01-01 00:00:00.000000303,-818.184430998459
1970-01-01 00:00:00.000000304,-347.657476897696
1970-01-01 00:00:00.000000305,-524.304619582192
1970-01-01 00:00:00.000000306,170.733506565918
1970-01-01 00:00:00.000000307,1039.99412532175
1970-01-01 00:00:00.000000308,676.679157450722
1970-01-01 00:00:00.000000309,-572.538688631146
1970-01-01 00:00:00.000000310,-396.256
1970-01-01 00:00:00.000000311,-529.676385405377
1970-01-01 00:00:00.000000312,-289.112794360416
1970-01-01 00:00:00.000000313,1148.63
1970-01-01 00:00:00.000000314,468.23292020913
1970-01-01 00:00:00.000000315,-545.700047248989
1970-01-01 00:00:00.000000316,-460.484466670746
1970-01-01 00:00:00.000000317,-369.634438405452
1970-01-01 00:00:00.000000318,-534.717945314071
1970-01-01 00:00:00.000000319,811.182279075364
1970-01-01 00:00:00.000000320,877.517416890124
1970-01-01 00:00:00.000000321,-596.609401914465
1970-01-01 00:00:00.000000322,-663.558
1970-01-01 00:00:00.000000323,-232.364595118462
1970-01-01 00:00:00.000000324,-607.066886599188
1970-01-01 00:00:00.000000325,97.7411992564818
1970-01-01 00:00:00.000000326,1175.29305670356
1970-01-01 00:00:00.000000327,-463.348075018175
1970-01-01 00:00:00.000000328,-760.792
1970-01-01 00:00:00.000000329,-147.705302519774
1970-01-01 00:00:00.000000330,-458.874663926925
1970-01-01 00:00:00.000000331,-208.01
1970-01-01 00:00:00.000000332,1154.47809528023
1970-01-01 00:00:00.000000333,372.737264357164
1970-01-01 00:00:00.000000334,-1261.21989647038
1970-01-01 00:00:00.000000335,-407.32951537886
1970-01-01 00:00:00.000000336,-452.479096079963
1970-01-01 00:00:00.000000337,-348.928822622532
1970-01-01 00:00:00.000000338,862.180032148673
1970-01-01 00:00:00.000000339,637.040895536798
1970-01-01 00:00:00.000000340,-1063.108
1970-01-01 00:00:00.000000341,-398.09541211516
1970-01-01 00:00:00.000000342,-486.229950590827
1970-01-01 00:00:00.000000343,-169.946
1970-01-01 00:00:00.000000344,672.013565906237
1970-01-01 00:00:00.000000345,806.16028376636
1970-01-01 00:00:00.000000346,-808.294412476922
1970-01-01 00:00:00.000000347,-642.188024510712
1970-01-01 00:00:00.000000348,-424.129478552354
1970-01-01 00:00:00.000000349,-312.969594042119
1970-01-01 00:00:00.000000350,292.566518275132
1970-01-01 00:00:00.000000351,1004.64470843339
1970-01-01 00:00:00.000000352,-592.432
1970-01-01 00:00:00.000000353,-567.839057030721
1970-01-01 00:00:00.000000354,-356.019609917772
1970-01-01 00:00:00.000000355,-462.676397450965
1970-01-01 00:00:00.000000356,47.840991443851
1970-01-01 00:00:00.000000357,1209.11155778894
1970-01-01 00:00:00.000000358,-349.494978838803
1970-01-01 00:00:00.000000359,-561.489795467439
1970-01-01 00:00:00.000000360,-302.799562815447
1970-01-01 00:00:00.000000361,-627.08
1970-01-01 00:00:00.000000362,15.7212046182076
1970-01-01 00:00:00.000000363,1031.19065245644
1970-01-01 00:00:00.000000364,-22.814
1970-01-01 00:00:00.000000365,-622.591380376672
1970-01-01 00:00:00.000000366,-362.887753211784
1970-01-01 00:00:00.000000367,-485.905589226793
1970-01-01 00:00:00.000000368,-332.718350947921
1970-01-01 00:00:00.000000369,884.637585634638
1970-01-01 00:00:00.000000370,572.55124517367
1970-01-01 00:00:00.000000371,-1076.23611646315
1970-01-01 00:00:00.000000372,-445.608798882144
1970-01-01 00:00:00.000000373,-462.38
1970-01-01 00:00:00.000000374,-473.82488794178
1970-01-01 00:00:00.000000375,649.021681337688
1970-01-01 00:00:00.000000376,913.17
1970-01-01 00:00:00.000000377,-830.890577097609
1970-01-01 00:00:00.000000378,-868.453787803377
1970-01-01 00:00:00.000000379,-409.298956099536
1970-01-01 00:00:00.000000380,-325.32052366453
1970-01-01 00:00:00.000000381,193.995369599787
1970-01-01 00:00:00.000000382,1016.42915126961
1970-01-01 00:00:00.000000383,-434.119973633868
1970-01-01 00:00:00.000000384,-702.589554933443
1970-01-01 00:00:00.000000385,-515.572
1970-01-01 00:00:00.000000386,-370.401031782856
1970-01-01 00:00:00.000000387,-31.3718811223211
1970-01-01 00:00:00.000000388,1164.0641748921
1970-01-01 00:00:00.000000389,-196.638320179459
1970-01-01 00:00:00.000000390,-754.581391799093
1970-01-01 00:00:00.000000391,-419.964300194837
1970-01-01 00:00:00.000000392,-525.148537949412
1970-01-01 00:00:00.000000393,-57.194957819338
1970-01-01 00:00:00.000000394,1241.594
1970-01-01 00:00:00.000000395,21.905954203729
1970-01-01 00:00:00.000000396,-569.323025046636
1970-01-01 00:00:00.000000397,-334.385310990385
1970-01-01 00:00:00.000000398,-409.92484617069
1970-01-01 00:00:00.000000399,-163.75127675129
1970-01-01 00:00:00.000000400,781.107534250457
1970-01-01 00:00:00.000000401,405.305836972758
1970-01-01 00:00:00.000000402,-774.922144145607
1970-01-01 00:00:00.000000403,-409.870792509354
1970-01-01 00:00:00.000000404,-483.530303983953
1970-01-01 00:00:00.000000405,-434.883519308248
