time_captured,07_c75_raw_accY
1970-01-01 00:00:00.000000000,288.53
1970-01-01 00:00:00.000000001,178.486
1970-01-01 00:00:00.000000002,172.996
1970-01-01 00:00:00.000000003,125.538
1970-01-01 00:00:00.000000004,228.384
1970-01-01 00:00:00.000000005,123.098
1970-01-01 00:00:00.000000006,-13.664
1970-01-01 00:00:00.000000007,-441.518
1970-01-01 00:00:00.000000008,-318.908
1970-01-01 00:00:00.000000009,-501.786
1970-01-01 00:00:00.000000010,-314.394
1970-01-01 00:00:00.000000011,-317.566
1970-01-01 00:00:00.000000012,356.728
1970-01-01 00:00:00.000000013,183.244
1970-01-01 00:00:00.000000014,293.166
1970-01-01 00:00:00.000000015,427.854
1970-01-01 00:00:00.000000016,370.27
1970-01-01 00:00:00.000000017,196.176
1970-01-01 00:00:00.000000018,-44.164
1970-01-01 00:00:00.000000019,18.3
1970-01-01 00:00:00.000000020,-337.33
1970-01-01 00:00:00.000000021,-404.064
1970-01-01 00:00:00.000000022,-92.964
1970-01-01 00:00:00.000000023,-208.864
1970-01-01 00:00:00.000000024,238.388
1970-01-01 00:00:00.000000025,-50.996
1970-01-01 00:00:00.000000026,165.798
1970-01-01 00:00:00.000000027,-10.858
1970-01-01 00:00:00.000000028,51.606
1970-01-01 00:00:00.000000029,42.822
1970-01-01 00:00:00.000000030,-109.8
1970-01-01 00:00:00.000000031,180.804
1970-01-01 00:00:00.000000032,-139.934
1970-01-01 00:00:00.000000033,-318.786
1970-01-01 00:00:00.000000034,-467.992
1970-01-01 00:00:00.000000035,-80.032
1970-01-01 00:00:00.000000036,-45.994
1970-01-01 00:00:00.000000037,484.95
1970-01-01 00:00:00.000000038,491.782
1970-01-01 00:00:00.000000039,489.464
1970-01-01 00:00:00.000000040,625.738
1970-01-01 00:00:00.000000041,-66.734
1970-01-01 00:00:00.000000042,416.752
1970-01-01 00:00:00.000000043,-67.344
1970-01-01 00:00:00.000000044,-147.132
1970-01-01 00:00:00.000000045,-500.932
1970-01-01 00:00:00.000000046,-96.99
1970-01-01 00:00:00.000000047,-94.55
