time_captured,KO_Open
2006-01-03,20.4
2006-01-04,20.5
2006-01-05,20.36
2006-01-06,20.53
2006-01-09,20.74
2006-01-10,20.59
2006-01-11,20.83
2006-01-12,20.64
2006-01-13,20.69
2006-01-17,20.54
2006-01-18,20.5
2006-01-19,20.47
2006-01-20,20.42
2006-01-23,20.0
2006-01-24,20.6
2006-01-25,20.57
2006-01-26,20.64
2006-01-27,20.74
2006-01-30,20.92
2006-01-31,20.87
2006-02-01,20.6
2006-02-02,20.66
2006-02-03,20.51
2006-02-06,20.42
2006-02-07,20.7
2006-02-08,20.63
2006-02-09,20.56
2006-02-10,20.46
2006-02-13,20.69
2006-02-14,20.5
2006-02-15,20.7
2006-02-16,20.64
2006-02-17,20.82
2006-02-21,20.9
2006-02-22,21.02
2006-02-23,21.09
2006-02-24,21.0
2006-02-27,21.14
2006-02-28,21.26
2006-03-01,20.95
2006-03-02,21.04
2006-03-03,20.82
2006-03-06,20.88
2006-03-07,20.98
2006-03-08,20.86
2006-03-09,21.06
2006-03-10,21.31
2006-03-13,21.3
2006-03-14,21.24
2006-03-15,21.34
2006-03-16,21.36
2006-03-17,21.34
2006-03-20,21.41
2006-03-21,21.4
2006-03-22,20.9
2006-03-23,21.38
2006-03-24,21.18
2006-03-27,21.28
2006-03-28,21.16
2006-03-29,21.05
2006-03-30,20.99
2006-03-31,21.06
2006-04-03,21.05
2006-04-04,20.91
2006-04-05,21.02
2006-04-06,21.0
2006-04-07,20.9
2006-04-10,20.68
2006-04-11,21.0
2006-04-12,20.63
2006-04-13,20.58
2006-04-17,20.65
2006-04-18,20.52
2006-04-19,20.74
2006-04-20,20.87
2006-04-21,21.0
2006-04-24,20.88
2006-04-25,20.78
2006-04-26,20.68
2006-04-27,20.82
2006-04-28,21.0
2006-05-01,21.04
2006-05-02,21.05
2006-05-03,21.08
2006-05-04,20.98
2006-05-05,21.14
2006-05-08,21.42
2006-05-09,21.59
2006-05-10,21.84
2006-05-11,21.77
2006-05-12,21.64
2006-05-15,21.6
2006-05-16,22.07
2006-05-17,21.88
2006-05-18,21.79
2006-05-19,21.87
2006-05-22,21.78
2006-05-23,21.86
2006-05-24,21.76
2006-05-25,22.1
2006-05-26,22.24
2006-05-30,22.1
2006-05-31,21.85
2006-06-01,21.99
2006-06-02,21.88
2006-06-05,21.9
2006-06-06,21.8
2006-06-07,21.81
2006-06-08,21.74
2006-06-09,21.9
2006-06-12,21.84
2006-06-13,21.59
2006-06-14,21.42
2006-06-15,21.48
2006-06-16,21.46
2006-06-19,21.6
2006-06-20,21.45
2006-06-21,21.34
2006-06-22,21.51
2006-06-23,21.37
2006-06-26,21.36
2006-06-27,21.34
2006-06-28,21.22
2006-06-29,21.28
2006-06-30,21.62
2006-07-03,21.6
2006-07-05,21.6
2006-07-06,21.59
2006-07-07,21.62
2006-07-10,21.65
2006-07-11,21.85
2006-07-12,21.92
2006-07-13,21.75
2006-07-14,21.5
2006-07-17,21.28
2006-07-18,21.68
2006-07-19,21.94
2006-07-20,21.9
2006-07-21,22.16
2006-07-24,21.94
2006-07-25,21.94
2006-07-26,22.05
2006-07-27,22.28
2006-07-28,22.24
2006-07-31,22.26
2006-08-01,22.25
2006-08-02,22.14
2006-08-03,22.1
2006-08-04,22.1
2006-08-07,21.92
2006-08-08,21.9
2006-08-09,21.98
2006-08-10,21.88
2006-08-11,21.86
2006-08-14,22.0
2006-08-15,22.12
2006-08-16,22.2
2006-08-17,22.08
2006-08-18,21.88
2006-08-21,22.18
2006-08-22,22.14
2006-08-23,22.16
2006-08-24,22.15
2006-08-25,22.22
2006-08-28,22.26
2006-08-29,22.34
2006-08-30,22.61
2006-08-31,22.56
2006-09-01,22.49
