time_captured,PG_Close
2006-01-03,58.78
2006-01-04,58.89
2006-01-05,58.7
2006-01-06,58.64
2006-01-09,59.08
2006-01-10,58.85
2006-01-11,59.06
2006-01-12,58.41
2006-01-13,58.9
2006-01-17,58.65
2006-01-18,58.55
2006-01-19,58.51
2006-01-20,57.84
2006-01-23,57.64
2006-01-24,57.87
2006-01-25,58.47
2006-01-26,58.82
2006-01-27,59.74
2006-01-30,59.14
2006-01-31,59.23
2006-02-01,59.82
2006-02-02,59.65
2006-02-03,59.68
2006-02-06,59.79
2006-02-07,59.32
2006-02-08,59.47
2006-02-09,59.62
2006-02-10,59.7
2006-02-13,59.44
2006-02-14,59.84
2006-02-15,60.11
2006-02-16,60.73
2006-02-17,61.0
2006-02-21,60.88
2006-02-22,61.94
2006-02-23,61.48
2006-02-24,61.5
2006-02-27,61.35
2006-02-28,59.93
2006-03-01,60.11
2006-03-02,59.55
2006-03-03,59.67
2006-03-06,59.67
2006-03-07,60.3
2006-03-08,61.07
2006-03-09,61.4
2006-03-10,62.25
2006-03-13,61.98
2006-03-14,60.01
2006-03-15,59.9
2006-03-16,59.39
2006-03-17,59.1
2006-03-20,59.18
2006-03-21,59.03
2006-03-22,59.49
2006-03-23,58.65
2006-03-24,58.74
2006-03-27,58.29
2006-03-28,57.53
2006-03-29,57.74
2006-03-30,57.63
2006-03-31,57.63
2006-04-03,57.88
2006-04-04,58.0
2006-04-05,57.62
2006-04-06,57.5
2006-04-07,57.28
2006-04-10,57.15
2006-04-11,56.49
2006-04-12,56.42
2006-04-13,56.6
2006-04-17,56.03
2006-04-18,56.16
2006-04-19,56.07
2006-04-20,56.26
2006-04-21,56.34
2006-04-24,56.6
2006-04-25,57.27
2006-04-26,58.01
2006-04-27,58.38
2006-04-28,58.21
2006-05-01,57.88
2006-05-02,58.11
2006-05-03,56.22
2006-05-04,55.86
2006-05-05,55.73
2006-05-08,56.34
2006-05-09,56.5
2006-05-10,56.34
2006-05-11,55.65
2006-05-12,55.01
2006-05-15,55.57
2006-05-16,56.04
2006-05-17,55.33
2006-05-18,54.89
2006-05-19,54.15
2006-05-22,54.28
2006-05-23,54.49
2006-05-24,54.82
2006-05-25,55.26
2006-05-26,55.13
2006-05-30,54.38
2006-05-31,54.25
2006-06-01,54.48
2006-06-02,53.95
2006-06-05,53.18
2006-06-06,53.37
2006-06-07,53.24
2006-06-08,54.74
2006-06-09,54.45
2006-06-12,54.31
2006-06-13,54.13
2006-06-14,54.83
2006-06-15,54.88
2006-06-16,55.02
2006-06-19,54.87
2006-06-20,55.58
2006-06-21,55.82
2006-06-22,55.85
2006-06-23,55.73
2006-06-26,55.99
2006-06-27,55.75
2006-06-28,55.77
2006-06-29,56.99
2006-06-30,55.6
2006-07-03,56.3
2006-07-05,55.93
2006-07-06,56.45
2006-07-07,56.5
2006-07-10,56.98
2006-07-11,57.25
2006-07-12,56.61
2006-07-13,56.54
2006-07-14,55.66
2006-07-17,55.82
2006-07-18,55.81
2006-07-19,56.64
2006-07-20,56.61
2006-07-21,56.07
2006-07-24,56.9
2006-07-25,56.88
2006-07-26,56.67
2006-07-27,56.44
2006-07-28,56.81
2006-07-31,56.2
2006-08-01,55.93
2006-08-02,58.29
2006-08-03,59.45
2006-08-04,59.45
2006-08-07,59.4
2006-08-08,59.72
2006-08-09,59.54
2006-08-10,60.26
2006-08-11,60.26
2006-08-14,59.76
2006-08-15,60.44
2006-08-16,60.42
2006-08-17,60.34
2006-08-18,60.39
2006-08-21,60.78
2006-08-22,61.05
2006-08-23,60.92
2006-08-24,61.05
2006-08-25,60.87
2006-08-28,60.98
2006-08-29,61.2
2006-08-30,61.75
2006-08-31,61.9
2006-09-01,61.91
2006-09-05,61.56
2006-09-06,61.44
2006-09-07,61.53
2006-09-08,61.14
2006-09-11,61.92
2006-09-12,61.85
2006-09-13,60.56
2006-09-14,60.77
2006-09-15,60.9
2006-09-18,60.5
2006-09-19,60.91
2006-09-20,61.63
2006-09-21,61.74
2006-09-22,61.81
2006-09-25,62.29
2006-09-26,62.48
2006-09-27,62.73
2006-09-28,62.26
2006-09-29,61.98
2006-10-02,62.04
2006-10-03,62.3
2006-10-04,63.34
2006-10-05,63.52
2006-10-06,63.09
2006-10-09,62.85
2006-10-10,62.72
2006-10-11,62.48
2006-10-12,62.41
2006-10-13,62.13
2006-10-16,62.05
2006-10-17,62.25
2006-10-18,62.59
2006-10-19,62.5
2006-10-20,62.68
2006-10-23,63.28
2006-10-24,62.88
2006-10-25,63.13
2006-10-26,63.5
2006-10-27,63.56
2006-10-30,63.81
2006-10-31,63.39
2006-11-01,63.04
2006-11-02,63.27
2006-11-03,63.4
2006-11-06,63.56
2006-11-07,64.11
2006-11-08,64.04
2006-11-09,63.8
2006-11-10,63.7
2006-11-13,63.25
2006-11-14,63.2
2006-11-15,63.12
2006-11-16,63.52
2006-11-17,63.86
2006-11-20,63.69
2006-11-21,63.26
2006-11-22,63.64
2006-11-24,63.53
2006-11-27,62.84
2006-11-28,63.07
2006-11-29,63.21
2006-11-30,62.79
2006-12-01,62.69
2006-12-04,63.42
2006-12-05,63.51
2006-12-06,63.8
2006-12-07,63.8
2006-12-08,63.89
2006-12-11,63.87
2006-12-12,63.7
2006-12-13,63.4
2006-12-14,63.35
2006-12-15,64.11
2006-12-18,64.16
2006-12-19,64.39
2006-12-20,64.47
2006-12-21,64.05
2006-12-22,63.8
2006-12-26,64.19
2006-12-27,64.42
2006-12-28,64.48
2006-12-29,64.27
2007-01-03,64.54
2007-01-04,64.05
2007-01-05,63.5
2007-01-08,63.64
2007-01-09,63.48
2007-01-10,64.24
2007-01-11,64.64
2007-01-12,65.0
2007-01-16,65.0
2007-01-17,65.36
2007-01-18,65.54
2007-01-19,66.09
2007-01-22,65.72
2007-01-23,65.64
2007-01-24,65.51
2007-01-25,64.92
2007-01-26,64.86
2007-01-29,64.88
2007-01-30,64.59
2007-01-31,64.87
2007-02-01,65.34
2007-02-02,65.34
2007-02-05,65.15
2007-02-06,64.59
2007-02-07,64.48
2007-02-08,64.59
2007-02-09,64.43
2007-02-12,64.16
2007-02-13,64.71
2007-02-14,64.88
2007-02-15,64.99
2007-02-16,65.07
2007-02-20,64.88
2007-02-21,64.69
2007-02-22,64.71
2007-02-23,64.82
2007-02-26,64.44
2007-02-27,61.25
2007-02-28,63.49
2007-03-01,63.68
2007-03-02,63.16
2007-03-05,63.17
2007-03-06,62.94
2007-03-07,62.08
2007-03-08,62.31
2007-03-09,62.16
2007-03-12,62.09
2007-03-13,61.17
2007-03-14,61.36
2007-03-15,61.91
2007-03-16,61.61
2007-03-19,61.98
2007-03-20,62.28
2007-03-21,62.96
2007-03-22,63.85
2007-03-23,63.8
2007-03-26,63.9
2007-03-27,63.27
2007-03-28,63.01
2007-03-29,63.26
2007-03-30,63.16
2007-04-02,63.02
2007-04-03,62.9
2007-04-04,63.05
2007-04-05,63.0
2007-04-09,63.26
2007-04-10,63.21
2007-04-11,63.04
2007-04-12,63.52
2007-04-13,63.38
2007-04-16,63.73
2007-04-17,63.9
2007-04-18,63.76
2007-04-19,63.62
2007-04-20,63.8
2007-04-23,63.63
2007-04-24,63.73
2007-04-25,63.53
2007-04-26,62.99
2007-04-27,62.98
2007-04-30,64.4
2007-05-01,62.96
2007-05-02,62.37
2007-05-03,62.0
2007-05-04,62.41
2007-05-07,62.18
2007-05-08,61.75
2007-05-09,62.01
2007-05-10,61.49
2007-05-11,61.65
