time_captured,MCD_Volume
2007-02-28,11719300
2007-03-01,10729819
2007-03-02,6448400
2007-03-05,6872900
2007-03-06,7306200
2007-03-07,5990100
2007-03-08,6853200
2007-03-09,6217700
2007-03-12,7331500
2007-03-13,8612900
2007-03-14,6574300
2007-03-15,5665500
2007-03-16,9813700
2007-03-19,4978400
2007-03-20,3929600
2007-03-21,4548900
2007-03-22,6411031
2007-03-23,6040874
2007-03-26,5300480
2007-03-27,4722700
2007-03-28,5982800
2007-03-29,5264746
2007-03-30,4770700
2007-04-02,4659500
2007-04-03,5775567
2007-04-04,3214696
2007-04-05,4870000
2007-04-09,7928168
2007-04-10,5558260
2007-04-11,8636327
2007-04-12,5691694
2007-04-13,9533752
2007-04-16,9647106
2007-04-17,14330021
2007-04-18,6733023
2007-04-19,6567297
2007-04-20,12584608
2007-04-23,6815061
2007-04-24,6641175
2007-04-25,6984795
2007-04-26,6849582
2007-04-27,4017978
2007-04-30,8215973
2007-05-01,6510340
2007-05-02,9455018
2007-05-03,7959440
2007-05-04,4896488
2007-05-07,9376339
2007-05-08,4710420
2007-05-09,6302649
2007-05-10,12965871
2007-05-11,10294750
2007-05-14,7409062
2007-05-15,9826300
2007-05-16,11053810
2007-05-17,13338404
2007-05-18,13455255
2007-05-21,11869830
2007-05-22,9919540
2007-05-23,7072870
2007-05-24,8137475
2007-05-25,4974500
2007-05-29,6444225
2007-05-30,8186934
2007-05-31,7921850
2007-06-01,3883234
2007-06-04,4972198
2007-06-05,6008750
2007-06-06,7471493
2007-06-07,8296073
2007-06-08,12047053
2007-06-11,6096892
2007-06-12,8642054
2007-06-13,7463000
2007-06-14,5097370
2007-06-15,6415010
2007-06-18,5850419
2007-06-19,6007249
2007-06-20,7597038
2007-06-21,5827971
2007-06-22,10491900
2007-06-25,10829081
2007-06-26,8577183
2007-06-27,8439762
2007-06-28,5495783
2007-06-29,6571995
2007-07-02,11794495
2007-07-03,4829626
2007-07-05,6198848
2007-07-06,5881740
2007-07-09,5003649
2007-07-10,6506503
2007-07-11,4307600
2007-07-12,6588469
2007-07-13,6972147
2007-07-16,6155723
2007-07-17,5487889
2007-07-18,5086865
2007-07-19,3352484
2007-07-20,7519178
2007-07-23,5431770
2007-07-24,7149411
2007-07-25,8705617
2007-07-26,17387391
2007-07-27,11278918
2007-07-30,8499984
2007-07-31,8498332
2007-08-01,12486858
2007-08-02,12177293
2007-08-03,7738150
2007-08-06,9994690
2007-08-07,7281651
2007-08-08,10242416
2007-08-09,13258974
2007-08-10,8513044
2007-08-13,6795800
2007-08-14,10058197
2007-08-15,8208144
2007-08-16,10930532
2007-08-17,12153615
2007-08-20,5143700
2007-08-21,5581200
2007-08-22,6385200
2007-08-23,6666200
2007-08-24,5848300
2007-08-27,4535512
2007-08-28,5780000
2007-08-29,6750400
2007-08-30,4129610
2007-08-31,4084400
2007-09-04,5795100
2007-09-05,4145700
2007-09-06,5867600
2007-09-07,5818820
2007-09-10,8939100
2007-09-11,17275900
2007-09-12,7710500
2007-09-13,20108740
2007-09-14,15606700
2007-09-17,11722222
2007-09-18,11114800
2007-09-19,11845700
2007-09-20,8236500
2007-09-21,10275502
2007-09-24,4712900
2007-09-25,13576336
2007-09-26,7709275
2007-09-27,6750398
2007-09-28,7248000
2007-10-01,8254200
2007-10-02,7951000
2007-10-03,5764700
2007-10-04,4871400
2007-10-05,6023000
2007-10-08,4225800
2007-10-09,6463400
2007-10-10,6547900
2007-10-11,7967400
2007-10-12,12561737
2007-10-15,9406550
2007-10-16,9602600
2007-10-17,5481800
2007-10-18,3714869
2007-10-19,8939895
2007-10-22,11976680
2007-10-23,8997500
2007-10-24,8250200
2007-10-25,7871100
2007-10-26,5832142
2007-10-29,6293900
2007-10-30,4555800
2007-10-31,7662400
2007-11-01,6922800
2007-11-02,7665300
2007-11-05,7032756
2007-11-06,7531972
2007-11-07,9703083
2007-11-08,17445228
2007-11-09,10049790
2007-11-12,16654272
2007-11-13,16885821
2007-11-14,8259341
2007-11-15,8701713
2007-11-16,12451086
2007-11-19,10722524
2007-11-20,9415577
2007-11-21,9121791
2007-11-23,4688570
2007-11-26,10469089
