time_captured,CVX_Open
2006-06-21,57.52
2006-06-22,58.44
2006-06-23,58.76
2006-06-26,58.72
2006-06-27,60.0
2006-06-28,60.35
2006-06-29,61.58
2006-06-30,62.45
2006-07-03,62.27
2006-07-05,62.76
2006-07-06,63.88
2006-07-07,64.15
2006-07-10,63.6
2006-07-11,64.53
2006-07-12,65.55
2006-07-13,65.06
2006-07-14,65.48
2006-07-17,65.71
2006-07-18,65.4
2006-07-19,65.55
2006-07-20,66.05
2006-07-21,65.78
2006-07-24,64.65
2006-07-25,66.42
2006-07-26,66.96
2006-07-27,68.44
2006-07-28,66.3
2006-07-31,65.7
2006-08-01,65.72
2006-08-02,66.5
2006-08-03,65.74
2006-08-04,65.97
2006-08-07,65.92
2006-08-08,66.84
2006-08-09,67.51
2006-08-10,67.29
2006-08-11,67.35
2006-08-14,67.5
2006-08-15,67.75
2006-08-16,67.0
2006-08-17,64.82
2006-08-18,66.35
2006-08-21,67.42
2006-08-22,66.6
2006-08-23,66.44
2006-08-24,65.68
2006-08-25,66.8
2006-08-28,66.31
2006-08-29,65.97
2006-08-30,65.75
2006-08-31,65.19
2006-09-01,64.72
2006-09-05,65.73
2006-09-06,66.09
2006-09-07,65.01
2006-09-08,65.4
2006-09-11,63.63
2006-09-12,62.0
2006-09-13,61.61
2006-09-14,62.46
2006-09-15,62.06
2006-09-18,62.0
2006-09-19,63.01
2006-09-20,61.9
2006-09-21,61.08
2006-09-22,62.3
2006-09-25,61.46
2006-09-26,62.18
2006-09-27,63.84
2006-09-28,64.11
2006-09-29,64.4
2006-10-02,64.9
2006-10-03,64.0
2006-10-04,63.25
2006-10-05,64.13
2006-10-06,63.52
2006-10-09,64.02
2006-10-10,63.09
2006-10-11,63.63
2006-10-12,63.49
2006-10-13,64.36
2006-10-16,64.41
2006-10-17,65.11
2006-10-18,64.94
2006-10-19,64.8
2006-10-20,65.83
2006-10-23,64.94
2006-10-24,65.64
2006-10-25,66.66
2006-10-26,68.28
2006-10-27,68.05
2006-10-30,67.21
2006-10-31,66.1
2006-11-01,67.2
2006-11-02,66.95
2006-11-03,68.0
2006-11-06,69.05
2006-11-07,69.85
2006-11-08,68.6
2006-11-09,69.86
2006-11-10,70.3
2006-11-13,69.54
2006-11-14,70.46
2006-11-15,69.85
2006-11-16,70.31
2006-11-17,68.11
2006-11-20,68.84
2006-11-21,69.58
2006-11-22,70.22
2006-11-24,68.97
2006-11-27,69.29
2006-11-28,68.89
2006-11-29,70.2
2006-11-30,71.25
2006-12-01,72.33
2006-12-04,73.11
2006-12-05,73.66
2006-12-06,73.85
2006-12-07,73.66
2006-12-08,73.62
2006-12-11,72.83
2006-12-12,74.46
2006-12-13,74.53
2006-12-14,74.72
2006-12-15,75.99
2006-12-18,75.1
2006-12-19,72.98
2006-12-20,74.46
2006-12-21,73.66
2006-12-22,73.3
2006-12-26,72.64
2006-12-27,73.28
2006-12-28,74.26
2006-12-29,73.89
2007-01-03,72.77
2007-01-04,70.9
2007-01-05,70.28
2007-01-08,71.06
2007-01-09,70.98
2007-01-10,69.75
2007-01-11,69.32
2007-01-12,69.1
2007-01-16,70.08
2007-01-17,69.71
2007-01-18,70.83
2007-01-19,71.33
2007-01-22,72.51
2007-01-23,71.61
2007-01-24,72.49
2007-01-25,72.5
2007-01-26,72.14
2007-01-29,71.51
2007-01-30,71.95
2007-01-31,72.99
2007-02-01,73.25
2007-02-02,73.8
2007-02-05,74.05
2007-02-06,74.15
2007-02-07,73.87
2007-02-08,72.46
2007-02-09,73.93
2007-02-12,73.32
2007-02-13,72.73
2007-02-14,72.64
2007-02-15,72.06
2007-02-16,71.36
2007-02-20,70.65
2007-02-21,70.12
2007-02-22,70.02
2007-02-23,71.19
2007-02-26,71.42
2007-02-27,70.71
2007-02-28,68.58
2007-03-01,67.32
2007-03-02,67.58
2007-03-05,66.2
2007-03-06,66.43
2007-03-07,67.67
2007-03-08,68.95
2007-03-09,68.83
2007-03-12,68.37
2007-03-13,68.83
2007-03-14,68.3
2007-03-15,68.2
2007-03-16,68.87
2007-03-19,68.58
2007-03-20,69.39
2007-03-21,70.38
2007-03-22,71.55
2007-03-23,73.39
2007-03-26,74.14
2007-03-27,74.01
2007-03-28,74.47
2007-03-29,74.36
2007-03-30,74.81
2007-04-02,74.05
2007-04-03,74.61
2007-04-04,75.34
2007-04-05,75.56
2007-04-09,75.32
2007-04-10,75.79
2007-04-11,77.04
2007-04-12,76.75
2007-04-13,77.5
2007-04-16,77.25
2007-04-17,78.0
2007-04-18,77.97
2007-04-19,77.47
2007-04-20,77.29
2007-04-23,78.06
2007-04-24,77.56
2007-04-25,77.58
2007-04-26,78.17
2007-04-27,78.42
2007-04-30,78.09
2007-05-01,77.97
2007-05-02,78.48
2007-05-03,78.65
2007-05-04,79.57
2007-05-07,78.63
2007-05-08,79.59
2007-05-09,79.92
2007-05-10,79.52
2007-05-11,78.2
2007-05-14,80.0
2007-05-15,80.88
2007-05-16,80.15
2007-05-17,80.75
2007-05-18,81.46
2007-05-21,83.11
2007-05-22,82.84
2007-05-23,82.19
2007-05-24,81.41
2007-05-25,79.97
2007-05-29,80.98
2007-05-30,80.71
2007-05-31,82.15
2007-06-01,81.5
2007-06-04,82.24
2007-06-05,82.71
2007-06-06,82.73
2007-06-07,81.65
2007-06-08,80.01
2007-06-11,80.66
2007-06-12,81.37
2007-06-13,80.81
2007-06-14,81.41
2007-06-15,82.86
2007-06-18,83.27
2007-06-19,82.99
2007-06-20,83.29
2007-06-21,81.49
2007-06-22,82.85
2007-06-25,81.56
2007-06-26,82.96
2007-06-27,82.71
2007-06-28,84.89
2007-06-29,84.79
2007-07-02,84.25
2007-07-03,83.6
2007-07-05,86.79
2007-07-06,86.57
2007-07-09,87.68
2007-07-10,89.0
2007-07-11,89.48
2007-07-12,90.91
2007-07-13,93.3
2007-07-16,93.5
2007-07-17,92.12
2007-07-18,91.09
2007-07-19,93.08
2007-07-20,93.0
2007-07-23,92.17
2007-07-24,91.64
2007-07-25,89.85
2007-07-26,89.26
2007-07-27,88.31
2007-07-30,85.85
2007-07-31,86.43
2007-08-01,84.77
2007-08-02,84.51
2007-08-03,83.71
2007-08-06,81.19
2007-08-07,81.33
2007-08-08,82.98
2007-08-09,83.1
2007-08-10,80.14
2007-08-13,83.42
2007-08-14,82.45
2007-08-15,82.25
2007-08-16,79.79
2007-08-17,83.69
2007-08-20,84.0
2007-08-21,84.14
2007-08-22,84.81
2007-08-23,85.8
2007-08-24,85.9
2007-08-27,86.63
2007-08-28,86.6
2007-08-29,85.2
2007-08-30,86.7
2007-08-31,88.31
2007-09-04,87.19
2007-09-05,88.47
2007-09-06,88.48
2007-09-07,87.93
2007-09-10,87.56
2007-09-11,87.51
2007-09-12,88.59
2007-09-13,89.19
2007-09-14,89.4
2007-09-17,90.01
2007-09-18,91.2
2007-09-19,93.7
2007-09-20,94.02
2007-09-21,94.28
2007-09-24,95.0
2007-09-25,93.09
2007-09-26,93.18
2007-09-27,93.26
2007-09-28,93.55
2007-10-01,93.3
2007-10-02,93.92
2007-10-03,91.51
2007-10-04,91.49
2007-10-05,92.1
2007-10-08,91.55
2007-10-09,91.83
2007-10-10,90.33
2007-10-11,92.52
2007-10-12,91.53
2007-10-15,92.27
2007-10-16,92.4
2007-10-17,93.88
2007-10-18,93.07
2007-10-19,92.7
2007-10-22,88.16
2007-10-23,88.93
2007-10-24,89.12
2007-10-25,90.46
2007-10-26,91.86
2007-10-29,91.86
2007-10-30,91.75
2007-10-31,90.4
2007-11-01,90.05
2007-11-02,87.65
2007-11-05,87.47
2007-11-06,88.69
2007-11-07,90.91
2007-11-08,87.97
2007-11-09,88.9
2007-11-12,87.0
2007-11-13,85.82
2007-11-14,87.35
2007-11-15,85.94
2007-11-16,84.88
2007-11-19,85.98
2007-11-20,85.05
2007-11-21,87.8
2007-11-23,86.46
2007-11-26,86.85
2007-11-27,83.45
2007-11-28,84.52
2007-11-29,85.61
2007-11-30,87.13
2007-12-03,87.1
2007-12-04,87.14
2007-12-05,87.79
2007-12-06,89.27
2007-12-07,90.69
2007-12-10,91.23
2007-12-11,91.68
2007-12-12,91.91
2007-12-13,91.51
2007-12-14,92.5
2007-12-17,91.7
2007-12-18,90.6
2007-12-19,91.39
2007-12-20,90.93
2007-12-21,92.3
2007-12-24,93.63
2007-12-26,94.31
2007-12-27,95.08
2007-12-28,94.01
2007-12-31,94.37
2008-01-02,93.96
2008-01-03,93.8
2008-01-04,93.88
2008-01-07,93.74
2008-01-08,92.41
2008-01-09,90.88
2008-01-10,91.6
2008-01-11,91.6
2008-01-14,91.22
2008-01-15,89.96
2008-01-16,87.69
2008-01-17,86.5
2008-01-18,82.75
2008-01-22,78.23
2008-01-23,78.76
2008-01-24,81.85
2008-01-25,84.68
2008-01-28,81.13
2008-01-29,83.21
2008-01-30,82.11
2008-01-31,82.1
2008-02-01,84.71
2008-02-04,82.51
2008-02-05,80.73
2008-02-06,80.13
2008-02-07,77.11
2008-02-08,79.29
2008-02-11,80.22
2008-02-12,80.84
2008-02-13,80.92
2008-02-14,82.98
2008-02-15,82.52
2008-02-19,84.39
2008-02-20,83.99
2008-02-21,85.57
2008-02-22,85.27
2008-02-25,85.54
2008-02-26,86.75
2008-02-27,87.43
2008-02-28,88.22
2008-02-29,88.47
2008-03-03,86.38
2008-03-04,86.66
2008-03-05,87.03
2008-03-06,88.53
2008-03-07,87.23
2008-03-10,85.55
2008-03-11,85.71
2008-03-12,87.5
2008-03-13,86.0
2008-03-14,87.51
2008-03-17,83.47
2008-03-18,85.11
2008-03-19,86.14
2008-03-20,81.28
2008-03-24,83.38
2008-03-25,84.27
2008-03-26,84.62
2008-03-27,85.32
2008-03-28,84.89
2008-03-31,84.95
2008-04-01,85.08
2008-04-02,86.65
2008-04-03,86.91
2008-04-04,88.03
2008-04-07,88.65
2008-04-08,87.9
2008-04-09,89.51
2008-04-10,90.19
2008-04-11,89.03
2008-04-14,88.8
2008-04-15,89.7
2008-04-16,90.33
2008-04-17,91.2
2008-04-18,91.76
2008-04-21,93.15
2008-04-22,92.49
2008-04-23,94.25
2008-04-24,93.88
2008-04-25,92.66
2008-04-28,92.8
2008-04-29,92.61
2008-04-30,95.06
2008-05-01,94.86
2008-05-02,95.53
2008-05-05,95.33
2008-05-06,95.09
2008-05-07,96.76
2008-05-08,95.5
2008-05-09,97.5
2008-05-12,97.2
2008-05-13,97.42
2008-05-14,97.98
2008-05-15,98.48
2008-05-16,99.02
2008-05-19,100.62
2008-05-20,102.76
2008-05-21,103.25
2008-05-22,102.85
2008-05-23,102.12
2008-05-27,99.95
2008-05-28,98.86
2008-05-29,100.04
