time_captured,03_cap_hrm_accX
1970-01-01 00:00:00.000000113,-498.540439018762
1970-01-01 00:00:00.000000114,-527.894
1970-01-01 00:00:00.000000115,-777.224621938753
1970-01-01 00:00:00.000000116,-424.857550903627
1970-01-01 00:00:00.000000117,609.84754680539
1970-01-01 00:00:00.000000118,1429.70214835989
1970-01-01 00:00:00.000000119,-250.71813457348
1970-01-01 00:00:00.000000120,-667.161448666276
1970-01-01 00:00:00.000000121,-356.087974640313
1970-01-01 00:00:00.000000122,-232.867033780048
1970-01-01 00:00:00.000000123,243.634
1970-01-01 00:00:00.000000124,1759.0612371502
1970-01-01 00:00:00.000000125,264.451599582807
1970-01-01 00:00:00.000000126,-915.272793841396
1970-01-01 00:00:00.000000127,-527.535952445295
1970-01-01 00:00:00.000000128,-511.001956216885
1970-01-01 00:00:00.000000129,-254.434423881246
1970-01-01 00:00:00.000000130,1264.34682630414
1970-01-01 00:00:00.000000131,1078.56241039238
1970-01-01 00:00:00.000000132,-1055.788
1970-01-01 00:00:00.000000133,-565.294115664053
1970-01-01 00:00:00.000000134,-281.782698199139
1970-01-01 00:00:00.000000135,-368.75433762496
1970-01-01 00:00:00.000000136,1129.20179206498
1970-01-01 00:00:00.000000137,1258.71253159723
1970-01-01 00:00:00.000000138,-494.157169190954
1970-01-01 00:00:00.000000139,-755.765205570608
1970-01-01 00:00:00.000000140,-549.956410297579
1970-01-01 00:00:00.000000141,-707.16360030935
1970-01-01 00:00:00.000000142,422.335956809804
1970-01-01 00:00:00.000000143,1609.63639163529
1970-01-01 00:00:00.000000144,6.588
1970-01-01 00:00:00.000000145,-744.707751870401
1970-01-01 00:00:00.000000146,-400.830226469522
1970-01-01 00:00:00.000000147,-442.791718466354
1970-01-01 00:00:00.000000148,-136.219397377161
1970-01-01 00:00:00.000000149,1946.76537899914
1970-01-01 00:00:00.000000150,692.496988559977
1970-01-01 00:00:00.000000151,-1104.91819577885
1970-01-01 00:00:00.000000152,-408.02345968209
1970-01-01 00:00:00.000000153,-568.032
1970-01-01 00:00:00.000000154,-198.13549030422
1970-01-01 00:00:00.000000155,1320.31181618117
1970-01-01 00:00:00.000000156,1127.28
1970-01-01 00:00:00.000000157,-908.831000763456
1970-01-01 00:00:00.000000158,-565.100794226496
1970-01-01 00:00:00.000000159,-402.504609264473
1970-01-01 00:00:00.000000160,-158.108793667901
1970-01-01 00:00:00.000000161,704.334172762233
1970-01-01 00:00:00.000000162,1278.926
1970-01-01 00:00:00.000000163,-122.471294874417
1970-01-01 00:00:00.000000164,-739.796716101804
1970-01-01 00:00:00.000000165,-564.982
1970-01-01 00:00:00.000000166,-397.825127995218
1970-01-01 00:00:00.000000167,457.919536525685
1970-01-01 00:00:00.000000168,1271.85509185314
1970-01-01 00:00:00.000000169,376.924865776774
1970-01-01 00:00:00.000000170,-973.506274372813
1970-01-01 00:00:00.000000171,-345.77564577756
1970-01-01 00:00:00.000000172,-294.028130730507
1970-01-01 00:00:00.000000173,-40.1425453139042
1970-01-01 00:00:00.000000174,1275.998
1970-01-01 00:00:00.000000175,973.554414173143
1970-01-01 00:00:00.000000176,-989.715285128565
1970-01-01 00:00:00.000000177,-584.011221002044
1970-01-01 00:00:00.000000178,-392.750216363193
1970-01-01 00:00:00.000000179,-271.362388325664
1970-01-01 00:00:00.000000180,967.831801203007
1970-01-01 00:00:00.000000181,1116.26480996198
1970-01-01 00:00:00.000000182,-571.746053161003
1970-01-01 00:00:00.000000183,-757.669291678636
1970-01-01 00:00:00.000000184,-394.060517075879
1970-01-01 00:00:00.000000185,-89.0782306684489
1970-01-01 00:00:00.000000186,331.962
1970-01-01 00:00:00.000000187,1485.8549061944
1970-01-01 00:00:00.000000188,500.998139945685
1970-01-01 00:00:00.000000189,-1194.05515726967
1970-01-01 00:00:00.000000190,-612.907897578281
1970-01-01 00:00:00.000000191,-204.251801120794
1970-01-01 00:00:00.000000192,8.56976171120678
1970-01-01 00:00:00.000000193,1351.29552741638
1970-01-01 00:00:00.000000194,894.929484949614
1970-01-01 00:00:00.000000195,-967.704
1970-01-01 00:00:00.000000196,-440.060928585872
1970-01-01 00:00:00.000000197,-252.4867399552
1970-01-01 00:00:00.000000198,28.67
1970-01-01 00:00:00.000000199,711.330625975668
1970-01-01 00:00:00.000000200,1675.05597144091
1970-01-01 00:00:00.000000201,-1167.784
1970-01-01 00:00:00.000000202,-468.343661218962
1970-01-01 00:00:00.000000203,-430.890192795825
1970-01-01 00:00:00.000000204,-250.288112792688
1970-01-01 00:00:00.000000205,233.699918130428
1970-01-01 00:00:00.000000206,1600.67045710256
1970-01-01 00:00:00.000000207,-424.721108807394
1970-01-01 00:00:00.000000208,-476.258453093491
1970-01-01 00:00:00.000000209,-436.184193842968
1970-01-01 00:00:00.000000210,-396.5
1970-01-01 00:00:00.000000211,-23.0305099163119
1970-01-01 00:00:00.000000212,1215.07817063347
1970-01-01 00:00:00.000000213,-88.694
1970-01-01 00:00:00.000000214,-777.695405548832
1970-01-01 00:00:00.000000215,-397.802897327099
1970-01-01 00:00:00.000000216,-649.418293305513
1970-01-01 00:00:00.000000217,-197.994369228246
1970-01-01 00:00:00.000000218,1085.45624562794
1970-01-01 00:00:00.000000219,482.66925756544
1970-01-01 00:00:00.000000220,-1003.24467809769
1970-01-01 00:00:00.000000221,-429.641709980839
