time_captured,01_off_raw_accX
1970-01-01 00:00:00.000000126,-8.54
1970-01-01 00:00:00.000000127,-6.1
1970-01-01 00:00:00.000000128,-9.394
1970-01-01 00:00:00.000000129,-11.468
1970-01-01 00:00:00.000000130,-11.468
1970-01-01 00:00:00.000000131,-5.856
1970-01-01 00:00:00.000000132,-8.052
1970-01-01 00:00:00.000000133,-10.492
1970-01-01 00:00:00.000000134,-10.248
1970-01-01 00:00:00.000000135,-5.002
1970-01-01 00:00:00.000000136,-13.176
1970-01-01 00:00:00.000000137,-5.002
1970-01-01 00:00:00.000000138,-7.93
1970-01-01 00:00:00.000000139,-8.906
1970-01-01 00:00:00.000000140,-3.904
1970-01-01 00:00:00.000000141,-3.538
1970-01-01 00:00:00.000000142,-6.71
1970-01-01 00:00:00.000000143,-8.296
1970-01-01 00:00:00.000000144,-6.222
1970-01-01 00:00:00.000000145,-4.148
1970-01-01 00:00:00.000000146,-9.272
1970-01-01 00:00:00.000000147,-7.442
1970-01-01 00:00:00.000000148,-4.758
1970-01-01 00:00:00.000000149,-9.394
1970-01-01 00:00:00.000000150,-8.296
1970-01-01 00:00:00.000000151,-9.638
1970-01-01 00:00:00.000000152,-8.052
1970-01-01 00:00:00.000000153,-9.394
1970-01-01 00:00:00.000000154,-5.002
1970-01-01 00:00:00.000000155,-4.514
1970-01-01 00:00:00.000000156,-7.564
1970-01-01 00:00:00.000000157,-5.612
1970-01-01 00:00:00.000000158,-5.246
1970-01-01 00:00:00.000000159,-7.93
1970-01-01 00:00:00.000000160,-7.564
1970-01-01 00:00:00.000000161,-8.418
1970-01-01 00:00:00.000000162,-8.662
1970-01-01 00:00:00.000000163,-6.954
1970-01-01 00:00:00.000000164,-6.832
1970-01-01 00:00:00.000000165,-2.806
1970-01-01 00:00:00.000000166,-6.1
1970-01-01 00:00:00.000000167,-6.1
1970-01-01 00:00:00.000000168,-3.172
1970-01-01 00:00:00.000000169,-6.71
1970-01-01 00:00:00.000000170,-5.978
1970-01-01 00:00:00.000000171,-5.246
1970-01-01 00:00:00.000000172,-6.344
1970-01-01 00:00:00.000000173,-6.832
1970-01-01 00:00:00.000000174,-6.588
1970-01-01 00:00:00.000000175,-5.124
1970-01-01 00:00:00.000000176,-6.588
1970-01-01 00:00:00.000000177,-7.808
1970-01-01 00:00:00.000000178,-3.416
1970-01-01 00:00:00.000000179,-8.418
1970-01-01 00:00:00.000000180,-5.612
1970-01-01 00:00:00.000000181,-2.44
1970-01-01 00:00:00.000000182,-7.32
1970-01-01 00:00:00.000000183,-7.442
1970-01-01 00:00:00.000000184,-4.636
1970-01-01 00:00:00.000000185,-3.294
1970-01-01 00:00:00.000000186,-7.686
1970-01-01 00:00:00.000000187,-7.686
1970-01-01 00:00:00.000000188,-8.54
1970-01-01 00:00:00.000000189,-7.686
1970-01-01 00:00:00.000000190,-6.588
1970-01-01 00:00:00.000000191,-5.734
1970-01-01 00:00:00.000000192,-7.93
1970-01-01 00:00:00.000000193,-6.832
1970-01-01 00:00:00.000000194,-8.052
1970-01-01 00:00:00.000000195,-5.612
1970-01-01 00:00:00.000000196,-7.686
1970-01-01 00:00:00.000000197,-7.686
1970-01-01 00:00:00.000000198,-8.54
1970-01-01 00:00:00.000000199,-5.49
1970-01-01 00:00:00.000000200,-7.442
1970-01-01 00:00:00.000000201,-4.026
1970-01-01 00:00:00.000000202,-7.076
1970-01-01 00:00:00.000000203,-7.808
1970-01-01 00:00:00.000000204,-7.686
1970-01-01 00:00:00.000000205,-6.832
1970-01-01 00:00:00.000000206,-8.906
1970-01-01 00:00:00.000000207,-8.906
1970-01-01 00:00:00.000000208,-6.466
1970-01-01 00:00:00.000000209,-5.368
1970-01-01 00:00:00.000000210,-6.832
1970-01-01 00:00:00.000000211,-10.736
1970-01-01 00:00:00.000000212,-6.954
1970-01-01 00:00:00.000000213,-8.052
1970-01-01 00:00:00.000000214,-7.32
1970-01-01 00:00:00.000000215,-6.344
1970-01-01 00:00:00.000000216,-8.052
1970-01-01 00:00:00.000000217,-8.052
1970-01-01 00:00:00.000000218,-7.564
1970-01-01 00:00:00.000000219,-4.27
1970-01-01 00:00:00.000000220,-6.466
1970-01-01 00:00:00.000000221,-8.662
1970-01-01 00:00:00.000000222,-3.66
1970-01-01 00:00:00.000000223,-4.758
1970-01-01 00:00:00.000000224,-7.076
1970-01-01 00:00:00.000000225,-9.028
1970-01-01 00:00:00.000000226,-9.272
1970-01-01 00:00:00.000000227,-9.272
1970-01-01 00:00:00.000000228,-8.174
1970-01-01 00:00:00.000000229,-5.978
1970-01-01 00:00:00.000000230,-7.808
1970-01-01 00:00:00.000000231,-7.564
1970-01-01 00:00:00.000000232,-5.002
1970-01-01 00:00:00.000000233,-4.758
1970-01-01 00:00:00.000000234,-11.59
1970-01-01 00:00:00.000000235,-4.026
1970-01-01 00:00:00.000000236,-9.638
1970-01-01 00:00:00.000000237,-9.638
1970-01-01 00:00:00.000000238,-5.978
1970-01-01 00:00:00.000000239,-3.782
1970-01-01 00:00:00.000000240,-8.296
1970-01-01 00:00:00.000000241,-7.808
1970-01-01 00:00:00.000000242,-5.368
1970-01-01 00:00:00.000000243,-7.076
1970-01-01 00:00:00.000000244,-9.76
1970-01-01 00:00:00.000000245,-5.978
1970-01-01 00:00:00.000000246,-6.832
1970-01-01 00:00:00.000000247,-7.32
1970-01-01 00:00:00.000000248,-4.514
1970-01-01 00:00:00.000000249,-6.222
1970-01-01 00:00:00.000000250,-9.15
1970-01-01 00:00:00.000000251,-10.126
1970-01-01 00:00:00.000000252,-5.002
1970-01-01 00:00:00.000000253,-8.54
1970-01-01 00:00:00.000000254,-9.272
1970-01-01 00:00:00.000000255,-5.734
1970-01-01 00:00:00.000000256,-4.148
1970-01-01 00:00:00.000000257,-8.052
1970-01-01 00:00:00.000000258,-7.93
1970-01-01 00:00:00.000000259,-9.272
1970-01-01 00:00:00.000000260,-7.808
1970-01-01 00:00:00.000000261,-11.59
1970-01-01 00:00:00.000000262,-7.686
1970-01-01 00:00:00.000000263,-5.612
1970-01-01 00:00:00.000000264,-10.98
1970-01-01 00:00:00.000000265,-4.27
1970-01-01 00:00:00.000000266,-4.758
1970-01-01 00:00:00.000000267,-7.32
1970-01-01 00:00:00.000000268,-6.222
1970-01-01 00:00:00.000000269,-9.272
1970-01-01 00:00:00.000000270,-9.882
1970-01-01 00:00:00.000000271,-3.538
1970-01-01 00:00:00.000000272,-6.466
1970-01-01 00:00:00.000000273,-9.028
1970-01-01 00:00:00.000000274,-6.71
1970-01-01 00:00:00.000000275,-5.978
1970-01-01 00:00:00.000000276,-6.71
1970-01-01 00:00:00.000000277,-8.784
1970-01-01 00:00:00.000000278,-9.394
1970-01-01 00:00:00.000000279,-5.368
1970-01-01 00:00:00.000000280,-9.028
1970-01-01 00:00:00.000000281,-7.564
1970-01-01 00:00:00.000000282,-5.612
1970-01-01 00:00:00.000000283,-6.832
1970-01-01 00:00:00.000000284,-8.418
1970-01-01 00:00:00.000000285,-6.1
1970-01-01 00:00:00.000000286,-2.806
1970-01-01 00:00:00.000000287,-7.564
1970-01-01 00:00:00.000000288,-8.418
1970-01-01 00:00:00.000000289,-4.392
1970-01-01 00:00:00.000000290,-11.956
1970-01-01 00:00:00.000000291,-9.028
1970-01-01 00:00:00.000000292,-4.758
1970-01-01 00:00:00.000000293,-7.808
1970-01-01 00:00:00.000000294,-8.662
1970-01-01 00:00:00.000000295,-6.344
1970-01-01 00:00:00.000000296,-8.784
1970-01-01 00:00:00.000000297,-11.468
1970-01-01 00:00:00.000000298,-5.734
1970-01-01 00:00:00.000000299,-3.782
1970-01-01 00:00:00.000000300,-11.712
1970-01-01 00:00:00.000000301,-8.54
1970-01-01 00:00:00.000000302,-4.392
1970-01-01 00:00:00.000000303,-10.492
1970-01-01 00:00:00.000000304,-7.198
1970-01-01 00:00:00.000000305,-6.954
1970-01-01 00:00:00.000000306,-6.344
1970-01-01 00:00:00.000000307,-7.808
1970-01-01 00:00:00.000000308,-6.954
1970-01-01 00:00:00.000000309,-3.782
1970-01-01 00:00:00.000000310,-9.272
1970-01-01 00:00:00.000000311,-5.246
1970-01-01 00:00:00.000000312,-6.222
1970-01-01 00:00:00.000000313,-5.856
1970-01-01 00:00:00.000000314,-6.1
1970-01-01 00:00:00.000000315,-6.71
1970-01-01 00:00:00.000000316,-6.1
1970-01-01 00:00:00.000000317,-7.32
1970-01-01 00:00:00.000000318,-7.32
1970-01-01 00:00:00.000000319,-8.174
1970-01-01 00:00:00.000000320,-6.954
1970-01-01 00:00:00.000000321,-7.076
1970-01-01 00:00:00.000000322,-5.978
1970-01-01 00:00:00.000000323,-8.174
1970-01-01 00:00:00.000000324,-6.466
1970-01-01 00:00:00.000000325,-7.32
1970-01-01 00:00:00.000000326,-8.052
1970-01-01 00:00:00.000000327,-7.564
1970-01-01 00:00:00.000000328,-7.564
1970-01-01 00:00:00.000000329,-7.442
1970-01-01 00:00:00.000000330,-2.928
1970-01-01 00:00:00.000000331,-6.1
1970-01-01 00:00:00.000000332,-6.954
1970-01-01 00:00:00.000000333,-8.54
1970-01-01 00:00:00.000000334,-8.418
1970-01-01 00:00:00.000000335,-5.368
