time_captured,08_vnt_raw_accZ
1970-01-01 00:00:00.000000129,568.642
1970-01-01 00:00:00.000000130,96.014
1970-01-01 00:00:00.000000131,550.464
1970-01-01 00:00:00.000000132,1297.104
1970-01-01 00:00:00.000000133,874.008
1970-01-01 00:00:00.000000134,1585.512
1970-01-01 00:00:00.000000135,1495.964
1970-01-01 00:00:00.000000136,1044.808
1970-01-01 00:00:00.000000137,893.406
1970-01-01 00:00:00.000000138,472.628
1970-01-01 00:00:00.000000139,-308.904
1970-01-01 00:00:00.000000140,467.626
1970-01-01 00:00:00.000000141,811.056
1970-01-01 00:00:00.000000142,1531.222
1970-01-01 00:00:00.000000143,1910.154
1970-01-01 00:00:00.000000144,1612.84
1970-01-01 00:00:00.000000145,948.184
1970-01-01 00:00:00.000000146,774.578
1970-01-01 00:00:00.000000147,533.872
1970-01-01 00:00:00.000000148,-49.044
1970-01-01 00:00:00.000000149,822.402
1970-01-01 00:00:00.000000150,1299.666
1970-01-01 00:00:00.000000151,1729.594
1970-01-01 00:00:00.000000152,1007.964
1970-01-01 00:00:00.000000153,1032.608
1970-01-01 00:00:00.000000154,1019.188
1970-01-01 00:00:00.000000155,924.882
1970-01-01 00:00:00.000000156,224.114
1970-01-01 00:00:00.000000157,126.758
1970-01-01 00:00:00.000000158,486.658
1970-01-01 00:00:00.000000159,1034.316
1970-01-01 00:00:00.000000160,1669.692
1970-01-01 00:00:00.000000161,1209.386
1970-01-01 00:00:00.000000162,916.464
1970-01-01 00:00:00.000000163,916.83
1970-01-01 00:00:00.000000164,650.26
1970-01-01 00:00:00.000000165,151.768
1970-01-01 00:00:00.000000166,330.62
1970-01-01 00:00:00.000000167,1613.816
1970-01-01 00:00:00.000000168,1329.922
1970-01-01 00:00:00.000000169,1387.262
1970-01-01 00:00:00.000000170,1171.322
1970-01-01 00:00:00.000000171,1225.856
1970-01-01 00:00:00.000000172,1113.25
1970-01-01 00:00:00.000000173,40.016
1970-01-01 00:00:00.000000174,114.436
1970-01-01 00:00:00.000000175,138.226
1970-01-01 00:00:00.000000176,-100.528
1970-01-01 00:00:00.000000177,1495.598
1970-01-01 00:00:00.000000178,1149.972
1970-01-01 00:00:00.000000179,1545.862
1970-01-01 00:00:00.000000180,1058.472
1970-01-01 00:00:00.000000181,677.832
1970-01-01 00:00:00.000000182,307.806
1970-01-01 00:00:00.000000183,-225.578
1970-01-01 00:00:00.000000184,809.958
1970-01-01 00:00:00.000000185,1612.23
1970-01-01 00:00:00.000000186,1399.218
1970-01-01 00:00:00.000000187,1638.948
1970-01-01 00:00:00.000000188,976.61
1970-01-01 00:00:00.000000189,1174.616
1970-01-01 00:00:00.000000190,963.922
1970-01-01 00:00:00.000000191,-92.72
1970-01-01 00:00:00.000000192,-125.172
1970-01-01 00:00:00.000000193,450.424
1970-01-01 00:00:00.000000194,419.436
1970-01-01 00:00:00.000000195,1808.528
1970-01-01 00:00:00.000000196,1837.442
1970-01-01 00:00:00.000000197,1227.442
1970-01-01 00:00:00.000000198,1065.182
1970-01-01 00:00:00.000000199,663.07
1970-01-01 00:00:00.000000200,208.986
1970-01-01 00:00:00.000000201,128.588
1970-01-01 00:00:00.000000202,597.8
1970-01-01 00:00:00.000000203,-122.488
1970-01-01 00:00:00.000000204,889.136
1970-01-01 00:00:00.000000205,1250.5
1970-01-01 00:00:00.000000206,1295.03
1970-01-01 00:00:00.000000207,1423.13
1970-01-01 00:00:00.000000208,239.242
1970-01-01 00:00:00.000000209,275.11
1970-01-01 00:00:00.000000210,391.376
1970-01-01 00:00:00.000000211,531.066
1970-01-01 00:00:00.000000212,1395.924
1970-01-01 00:00:00.000000213,1117.764
1970-01-01 00:00:00.000000214,1367.01
1970-01-01 00:00:00.000000215,1378.966
1970-01-01 00:00:00.000000216,819.352
1970-01-01 00:00:00.000000217,606.34
1970-01-01 00:00:00.000000218,272.67
1970-01-01 00:00:00.000000219,706.624
1970-01-01 00:00:00.000000220,1411.784
1970-01-01 00:00:00.000000221,1469.124
1970-01-01 00:00:00.000000222,1143.018
1970-01-01 00:00:00.000000223,1436.794
1970-01-01 00:00:00.000000224,1248.182
1970-01-01 00:00:00.000000225,820.45
1970-01-01 00:00:00.000000226,-298.778
1970-01-01 00:00:00.000000227,702.964
1970-01-01 00:00:00.000000228,170.8
1970-01-01 00:00:00.000000229,1636.386
1970-01-01 00:00:00.000000230,1819.264
1970-01-01 00:00:00.000000231,1692.018
1970-01-01 00:00:00.000000232,1189.866
1970-01-01 00:00:00.000000233,909.144
1970-01-01 00:00:00.000000234,491.538
1970-01-01 00:00:00.000000235,-162.382
1970-01-01 00:00:00.000000236,657.824
1970-01-01 00:00:00.000000237,520.086
1970-01-01 00:00:00.000000238,1555.866
1970-01-01 00:00:00.000000239,1731.18
1970-01-01 00:00:00.000000240,1482.666
1970-01-01 00:00:00.000000241,1281.0
1970-01-01 00:00:00.000000242,857.538
1970-01-01 00:00:00.000000243,230.336
1970-01-01 00:00:00.000000244,17.08
1970-01-01 00:00:00.000000245,232.41
1970-01-01 00:00:00.000000246,1308.084
1970-01-01 00:00:00.000000247,1435.818
1970-01-01 00:00:00.000000248,1437.526
1970-01-01 00:00:00.000000249,1286.612
1970-01-01 00:00:00.000000250,580.598
1970-01-01 00:00:00.000000251,715.53
1970-01-01 00:00:00.000000252,290.238
1970-01-01 00:00:00.000000253,108.946
1970-01-01 00:00:00.000000254,1375.184
1970-01-01 00:00:00.000000255,1149.362
1970-01-01 00:00:00.000000256,1318.942
1970-01-01 00:00:00.000000257,1355.786
1970-01-01 00:00:00.000000258,1032.974
1970-01-01 00:00:00.000000259,830.698
1970-01-01 00:00:00.000000260,463.844
1970-01-01 00:00:00.000000261,-70.272
1970-01-01 00:00:00.000000262,-150.426
1970-01-01 00:00:00.000000263,512.034
1970-01-01 00:00:00.000000264,1450.092
1970-01-01 00:00:00.000000265,1650.172
1970-01-01 00:00:00.000000266,1377.746
1970-01-01 00:00:00.000000267,1078.236
1970-01-01 00:00:00.000000268,623.664
1970-01-01 00:00:00.000000269,660.142
1970-01-01 00:00:00.000000270,-7.198
1970-01-01 00:00:00.000000271,728.584
1970-01-01 00:00:00.000000272,1062.986
1970-01-01 00:00:00.000000273,1500.112
1970-01-01 00:00:00.000000274,1662.494
1970-01-01 00:00:00.000000275,1195.844
1970-01-01 00:00:00.000000276,1065.06
1970-01-01 00:00:00.000000277,924.394
1970-01-01 00:00:00.000000278,505.934
1970-01-01 00:00:00.000000279,49.288
1970-01-01 00:00:00.000000280,393.45
1970-01-01 00:00:00.000000281,1048.59
1970-01-01 00:00:00.000000282,1595.638
1970-01-01 00:00:00.000000283,1641.632
1970-01-01 00:00:00.000000284,1533.052
