time_captured,04_out_raw_accY
1970-01-01 00:00:00.000000129,237.534
1970-01-01 00:00:00.000000130,-7.808
1970-01-01 00:00:00.000000131,-129.686
1970-01-01 00:00:00.000000132,-262.3
1970-01-01 00:00:00.000000133,-60.756
1970-01-01 00:00:00.000000134,-179.218
1970-01-01 00:00:00.000000135,177.266
1970-01-01 00:00:00.000000136,-116.51
1970-01-01 00:00:00.000000137,-213.012
1970-01-01 00:00:00.000000138,183.366
1970-01-01 00:00:00.000000139,-445.056
1970-01-01 00:00:00.000000140,146.766
1970-01-01 00:00:00.000000141,211.304
1970-01-01 00:00:00.000000142,-108.702
1970-01-01 00:00:00.000000143,-133.224
1970-01-01 00:00:00.000000144,10.858
1970-01-01 00:00:00.000000145,37.21
1970-01-01 00:00:00.000000146,-359.168
1970-01-01 00:00:00.000000147,106.384
1970-01-01 00:00:00.000000148,-310.612
1970-01-01 00:00:00.000000149,-251.93
1970-01-01 00:00:00.000000150,37.454
1970-01-01 00:00:00.000000151,-429.562
1970-01-01 00:00:00.000000152,-181.78
1970-01-01 00:00:00.000000153,89.426
1970-01-01 00:00:00.000000154,217.16
1970-01-01 00:00:00.000000155,-131.394
1970-01-01 00:00:00.000000156,37.332
1970-01-01 00:00:00.000000157,5.368
1970-01-01 00:00:00.000000158,228.872
1970-01-01 00:00:00.000000159,58.438
1970-01-01 00:00:00.000000160,-69.052
1970-01-01 00:00:00.000000161,-249.002
1970-01-01 00:00:00.000000162,78.69
1970-01-01 00:00:00.000000163,-3.782
1970-01-01 00:00:00.000000164,-232.166
1970-01-01 00:00:00.000000165,-0.732
1970-01-01 00:00:00.000000166,-359.9
1970-01-01 00:00:00.000000167,-91.134
1970-01-01 00:00:00.000000168,181.292
1970-01-01 00:00:00.000000169,-133.102
1970-01-01 00:00:00.000000170,199.958
1970-01-01 00:00:00.000000171,-50.142
1970-01-01 00:00:00.000000172,204.838
1970-01-01 00:00:00.000000173,-271.206
1970-01-01 00:00:00.000000174,37.698
1970-01-01 00:00:00.000000175,333.06
1970-01-01 00:00:00.000000176,109.312
1970-01-01 00:00:00.000000177,219.844
1970-01-01 00:00:00.000000178,-258.884
1970-01-01 00:00:00.000000179,263.398
1970-01-01 00:00:00.000000180,-91.866
1970-01-01 00:00:00.000000181,-397.842
1970-01-01 00:00:00.000000182,102.236
1970-01-01 00:00:00.000000183,90.646
1970-01-01 00:00:00.000000184,-237.412
1970-01-01 00:00:00.000000185,-237.412
1970-01-01 00:00:00.000000186,-23.18
1970-01-01 00:00:00.000000187,-97.6
1970-01-01 00:00:00.000000188,58.194
1970-01-01 00:00:00.000000189,1.098
1970-01-01 00:00:00.000000190,-507.764
1970-01-01 00:00:00.000000191,17.08
1970-01-01 00:00:00.000000192,160.918
1970-01-01 00:00:00.000000193,5.002
1970-01-01 00:00:00.000000194,9.638
1970-01-01 00:00:00.000000195,-68.564
1970-01-01 00:00:00.000000196,-549.61
1970-01-01 00:00:00.000000197,-274.744
1970-01-01 00:00:00.000000198,87.84
1970-01-01 00:00:00.000000199,-50.02
1970-01-01 00:00:00.000000200,-585.234
1970-01-01 00:00:00.000000201,120.536
1970-01-01 00:00:00.000000202,-66.612
1970-01-01 00:00:00.000000203,216.306
1970-01-01 00:00:00.000000204,-105.286
1970-01-01 00:00:00.000000205,-360.022
1970-01-01 00:00:00.000000206,-191.296
1970-01-01 00:00:00.000000207,-48.19
1970-01-01 00:00:00.000000208,-268.766
1970-01-01 00:00:00.000000209,-468.48
1970-01-01 00:00:00.000000210,232.41
1970-01-01 00:00:00.000000211,47.214
1970-01-01 00:00:00.000000212,40.016
1970-01-01 00:00:00.000000213,40.016
1970-01-01 00:00:00.000000214,-281.088
1970-01-01 00:00:00.000000215,-390.4
1970-01-01 00:00:00.000000216,-71.614
1970-01-01 00:00:00.000000217,-273.158
1970-01-01 00:00:00.000000218,444.324
1970-01-01 00:00:00.000000219,-182.634
1970-01-01 00:00:00.000000220,-574.132
1970-01-01 00:00:00.000000221,31.232
1970-01-01 00:00:00.000000222,-150.304
1970-01-01 00:00:00.000000223,-41.236
1970-01-01 00:00:00.000000224,-140.91
1970-01-01 00:00:00.000000225,328.18
1970-01-01 00:00:00.000000226,15.86
1970-01-01 00:00:00.000000227,-36.112
1970-01-01 00:00:00.000000228,499.956
1970-01-01 00:00:00.000000229,75.64
1970-01-01 00:00:00.000000230,-350.384
1970-01-01 00:00:00.000000231,18.056
1970-01-01 00:00:00.000000232,18.056
1970-01-01 00:00:00.000000233,-383.202
1970-01-01 00:00:00.000000234,-182.634
1970-01-01 00:00:00.000000235,-33.672
1970-01-01 00:00:00.000000236,560.712
1970-01-01 00:00:00.000000237,-108.214
1970-01-01 00:00:00.000000238,-127.734
1970-01-01 00:00:00.000000239,240.706
1970-01-01 00:00:00.000000240,75.396
1970-01-01 00:00:00.000000241,101.016
1970-01-01 00:00:00.000000242,222.772
1970-01-01 00:00:00.000000243,230.946
1970-01-01 00:00:00.000000244,247.05
1970-01-01 00:00:00.000000245,356.24
1970-01-01 00:00:00.000000246,-219.234
1970-01-01 00:00:00.000000247,-264.862
1970-01-01 00:00:00.000000248,-304.634
1970-01-01 00:00:00.000000249,-114.314
1970-01-01 00:00:00.000000250,-70.516
1970-01-01 00:00:00.000000251,-512.034
1970-01-01 00:00:00.000000252,-135.298
1970-01-01 00:00:00.000000253,86.986
1970-01-01 00:00:00.000000254,-28.548
1970-01-01 00:00:00.000000255,-172.508
1970-01-01 00:00:00.000000256,364.658
1970-01-01 00:00:00.000000257,225.578
1970-01-01 00:00:00.000000258,39.528
1970-01-01 00:00:00.000000259,-168.97
1970-01-01 00:00:00.000000260,-266.326
1970-01-01 00:00:00.000000261,-407.48
1970-01-01 00:00:00.000000262,-148.23
1970-01-01 00:00:00.000000263,-347.334
1970-01-01 00:00:00.000000264,-316.468
1970-01-01 00:00:00.000000265,-301.218
1970-01-01 00:00:00.000000266,-68.442
1970-01-01 00:00:00.000000267,159.698
1970-01-01 00:00:00.000000268,-99.918
1970-01-01 00:00:00.000000269,214.964
1970-01-01 00:00:00.000000270,214.964
1970-01-01 00:00:00.000000271,68.076
1970-01-01 00:00:00.000000272,253.638
1970-01-01 00:00:00.000000273,-13.542
1970-01-01 00:00:00.000000274,-64.416
1970-01-01 00:00:00.000000275,-114.436
1970-01-01 00:00:00.000000276,111.264
1970-01-01 00:00:00.000000277,-388.814
1970-01-01 00:00:00.000000278,-197.152
1970-01-01 00:00:00.000000279,127.978
1970-01-01 00:00:00.000000280,-68.93
1970-01-01 00:00:00.000000281,-29.89
1970-01-01 00:00:00.000000282,-267.424
1970-01-01 00:00:00.000000283,621.834
1970-01-01 00:00:00.000000284,-237.29
1970-01-01 00:00:00.000000285,247.172
1970-01-01 00:00:00.000000286,251.076
1970-01-01 00:00:00.000000287,-112.484
1970-01-01 00:00:00.000000288,-91.256
1970-01-01 00:00:00.000000289,-332.938
1970-01-01 00:00:00.000000290,-264.374
1970-01-01 00:00:00.000000291,-396.012
1970-01-01 00:00:00.000000292,-3.294
1970-01-01 00:00:00.000000293,-123.708
1970-01-01 00:00:00.000000294,143.716
1970-01-01 00:00:00.000000295,-207.766
1970-01-01 00:00:00.000000296,388.204
1970-01-01 00:00:00.000000297,-6.588
1970-01-01 00:00:00.000000298,-6.588
1970-01-01 00:00:00.000000299,369.538
1970-01-01 00:00:00.000000300,-18.422
1970-01-01 00:00:00.000000301,372.344
1970-01-01 00:00:00.000000302,-387.594
1970-01-01 00:00:00.000000303,-7.442
1970-01-01 00:00:00.000000304,191.174
1970-01-01 00:00:00.000000305,25.498
1970-01-01 00:00:00.000000306,182.024
1970-01-01 00:00:00.000000307,-267.302
1970-01-01 00:00:00.000000308,309.392
1970-01-01 00:00:00.000000309,-14.274
1970-01-01 00:00:00.000000310,-335.988
1970-01-01 00:00:00.000000311,188.856
1970-01-01 00:00:00.000000312,-61.854
1970-01-01 00:00:00.000000313,161.65
1970-01-01 00:00:00.000000314,107.36
1970-01-01 00:00:00.000000315,-67.954
1970-01-01 00:00:00.000000316,-155.428
1970-01-01 00:00:00.000000317,-155.428
1970-01-01 00:00:00.000000318,-15.738
1970-01-01 00:00:00.000000319,-538.996
1970-01-01 00:00:00.000000320,-379.176
1970-01-01 00:00:00.000000321,-145.668
1970-01-01 00:00:00.000000322,-117.486
1970-01-01 00:00:00.000000323,-72.712
1970-01-01 00:00:00.000000324,-148.474
1970-01-01 00:00:00.000000325,-214.72
1970-01-01 00:00:00.000000326,-214.72
1970-01-01 00:00:00.000000327,-62.83
1970-01-01 00:00:00.000000328,-456.28
1970-01-01 00:00:00.000000329,90.768
1970-01-01 00:00:00.000000330,74.054
1970-01-01 00:00:00.000000331,-12.444
1970-01-01 00:00:00.000000332,256.444
1970-01-01 00:00:00.000000333,217.038
1970-01-01 00:00:00.000000334,-337.696
1970-01-01 00:00:00.000000335,-497.272
1970-01-01 00:00:00.000000336,-50.02
1970-01-01 00:00:00.000000337,74.908
1970-01-01 00:00:00.000000338,-167.994
1970-01-01 00:00:00.000000339,364.902
1970-01-01 00:00:00.000000340,-120.658
1970-01-01 00:00:00.000000341,78.08
1970-01-01 00:00:00.000000342,-34.404
1970-01-01 00:00:00.000000343,-303.414
1970-01-01 00:00:00.000000344,-276.086
1970-01-01 00:00:00.000000345,-4.514
1970-01-01 00:00:00.000000346,-61.0
1970-01-01 00:00:00.000000347,119.56
1970-01-01 00:00:00.000000348,419.558
1970-01-01 00:00:00.000000349,26.84
1970-01-01 00:00:00.000000350,-155.55
1970-01-01 00:00:00.000000351,-20.374
1970-01-01 00:00:00.000000352,-157.014
1970-01-01 00:00:00.000000353,-167.506
1970-01-01 00:00:00.000000354,-81.496
1970-01-01 00:00:00.000000355,-186.05
1970-01-01 00:00:00.000000356,-445.544
1970-01-01 00:00:00.000000357,508.252
1970-01-01 00:00:00.000000358,-28.06
1970-01-01 00:00:00.000000359,23.79
1970-01-01 00:00:00.000000360,-362.95
1970-01-01 00:00:00.000000361,-857.782
1970-01-01 00:00:00.000000362,-211.06
1970-01-01 00:00:00.000000363,266.692
1970-01-01 00:00:00.000000364,-29.402
1970-01-01 00:00:00.000000365,430.172
1970-01-01 00:00:00.000000366,-78.08
1970-01-01 00:00:00.000000367,-250.588
1970-01-01 00:00:00.000000368,0.854
1970-01-01 00:00:00.000000369,-240.34
1970-01-01 00:00:00.000000370,143.838
1970-01-01 00:00:00.000000371,311.588
1970-01-01 00:00:00.000000372,144.57
1970-01-01 00:00:00.000000373,532.164
1970-01-01 00:00:00.000000374,2.562
1970-01-01 00:00:00.000000375,260.226
1970-01-01 00:00:00.000000376,-140.3
1970-01-01 00:00:00.000000377,43.188
1970-01-01 00:00:00.000000378,75.884
1970-01-01 00:00:00.000000379,23.424
1970-01-01 00:00:00.000000380,-142.252
1970-01-01 00:00:00.000000381,-308.05
1970-01-01 00:00:00.000000382,62.586
1970-01-01 00:00:00.000000383,75.64
1970-01-01 00:00:00.000000384,-371.124
1970-01-01 00:00:00.000000385,158.356
1970-01-01 00:00:00.000000386,672.464
1970-01-01 00:00:00.000000387,220.576
1970-01-01 00:00:00.000000388,212.402
1970-01-01 00:00:00.000000389,176.168
1970-01-01 00:00:00.000000390,-206.668
1970-01-01 00:00:00.000000391,-30.012
1970-01-01 00:00:00.000000392,-133.956
1970-01-01 00:00:00.000000393,178.974
1970-01-01 00:00:00.000000394,-65.026
1970-01-01 00:00:00.000000395,173.728
1970-01-01 00:00:00.000000396,140.666
1970-01-01 00:00:00.000000397,-228.018
1970-01-01 00:00:00.000000398,-167.018
1970-01-01 00:00:00.000000399,-110.776
1970-01-01 00:00:00.000000400,178.608
1970-01-01 00:00:00.000000401,-129.442
1970-01-01 00:00:00.000000402,178.974
1970-01-01 00:00:00.000000403,266.082
1970-01-01 00:00:00.000000404,-302.56
1970-01-01 00:00:00.000000405,-157.746
1970-01-01 00:00:00.000000406,81.74
1970-01-01 00:00:00.000000407,-376.492
1970-01-01 00:00:00.000000408,-176.9
1970-01-01 00:00:00.000000409,-266.448
1970-01-01 00:00:00.000000410,-468.358
1970-01-01 00:00:00.000000411,-468.358
1970-01-01 00:00:00.000000412,223.87
1970-01-01 00:00:00.000000413,-47.336
1970-01-01 00:00:00.000000414,462.624
1970-01-01 00:00:00.000000415,302.194
1970-01-01 00:00:00.000000416,429.196
1970-01-01 00:00:00.000000417,121.756
1970-01-01 00:00:00.000000418,13.298
1970-01-01 00:00:00.000000419,-128.832
1970-01-01 00:00:00.000000420,-282.552
1970-01-01 00:00:00.000000421,289.14
1970-01-01 00:00:00.000000422,-282.43
1970-01-01 00:00:00.000000423,-114.314
1970-01-01 00:00:00.000000424,-139.08
1970-01-01 00:00:00.000000425,92.598
1970-01-01 00:00:00.000000426,-303.658
1970-01-01 00:00:00.000000427,151.28
1970-01-01 00:00:00.000000428,-107.238
1970-01-01 00:00:00.000000429,132.614
1970-01-01 00:00:00.000000430,172.264
1970-01-01 00:00:00.000000431,-671.244
1970-01-01 00:00:00.000000432,77.104
1970-01-01 00:00:00.000000433,128.1
1970-01-01 00:00:00.000000434,-170.678
1970-01-01 00:00:00.000000435,81.496
1970-01-01 00:00:00.000000436,-248.758
1970-01-01 00:00:00.000000437,309.27
1970-01-01 00:00:00.000000438,-94.184
1970-01-01 00:00:00.000000439,-94.184
1970-01-01 00:00:00.000000440,-22.57
1970-01-01 00:00:00.000000441,274.744
