time_captured,05_unb_hrm_accY
1970-01-01 00:00:00.000000114,454.938
1970-01-01 00:00:00.000000115,479.044660282727
1970-01-01 00:00:00.000000116,-267.762980025269
1970-01-01 00:00:00.000000117,-431.195113632328
1970-01-01 00:00:00.000000118,-1041.33662195651
1970-01-01 00:00:00.000000119,-224.366613676696
1970-01-01 00:00:00.000000120,4.38901553859397
1970-01-01 00:00:00.000000121,111.888344183588
1970-01-01 00:00:00.000000122,299.21091358032
1970-01-01 00:00:00.000000123,-92.72
1970-01-01 00:00:00.000000124,-187.43993072156
1970-01-01 00:00:00.000000125,-246.161135935262
1970-01-01 00:00:00.000000126,-531.066
1970-01-01 00:00:00.000000127,-10.6625497087399
1970-01-01 00:00:00.000000128,-7.24551287219788
1970-01-01 00:00:00.000000129,-71.596102341114
1970-01-01 00:00:00.000000130,8.77708824032707
1970-01-01 00:00:00.000000131,174.078231414835
1970-01-01 00:00:00.000000132,129.686
1970-01-01 00:00:00.000000133,285.303633319034
1970-01-01 00:00:00.000000134,172.59109545999
1970-01-01 00:00:00.000000135,-27.4536792826622
1970-01-01 00:00:00.000000136,-477.147044145389
1970-01-01 00:00:00.000000137,-235.983835171032
1970-01-01 00:00:00.000000138,145.638893069968
1970-01-01 00:00:00.000000139,263.886673276341
1970-01-01 00:00:00.000000140,153.221177298101
1970-01-01 00:00:00.000000141,-74.664
1970-01-01 00:00:00.000000142,-429.676354060672
1970-01-01 00:00:00.000000143,-354.731096658241
1970-01-01 00:00:00.000000144,333.914
1970-01-01 00:00:00.000000145,-22.055202798527
1970-01-01 00:00:00.000000146,-293.380412700491
1970-01-01 00:00:00.000000147,26.6331996899727
1970-01-01 00:00:00.000000148,224.556553830212
1970-01-01 00:00:00.000000149,-70.1348205360102
1970-01-01 00:00:00.000000150,445.178
1970-01-01 00:00:00.000000151,-59.953391292478
1970-01-01 00:00:00.000000152,-3.65555608976976
1970-01-01 00:00:00.000000153,25.986
1970-01-01 00:00:00.000000154,-394.978494961889
1970-01-01 00:00:00.000000155,-463.505163432763
1970-01-01 00:00:00.000000156,73.79772570167
1970-01-01 00:00:00.000000157,-242.93431962094
1970-01-01 00:00:00.000000158,896.296900358889
1970-01-01 00:00:00.000000159,177.076229656445
1970-01-01 00:00:00.000000160,256.740517471918
1970-01-01 00:00:00.000000161,-226.724002113832
