time_captured,05_unb_raw_accY
1970-01-01 00:00:00.000000129,317.932
1970-01-01 00:00:00.000000130,-381.86
1970-01-01 00:00:00.000000131,-365.512
1970-01-01 00:00:00.000000132,-162.26
1970-01-01 00:00:00.000000133,243.512
1970-01-01 00:00:00.000000134,141.52
1970-01-01 00:00:00.000000135,-13.542
1970-01-01 00:00:00.000000136,145.546
1970-01-01 00:00:00.000000137,405.406
1970-01-01 00:00:00.000000138,94.184
1970-01-01 00:00:00.000000139,-121.756
1970-01-01 00:00:00.000000140,-383.812
1970-01-01 00:00:00.000000141,-86.132
1970-01-01 00:00:00.000000142,-631.106
1970-01-01 00:00:00.000000143,-606.096
1970-01-01 00:00:00.000000144,-445.3
1970-01-01 00:00:00.000000145,529.724
1970-01-01 00:00:00.000000146,135.786
1970-01-01 00:00:00.000000147,239.852
1970-01-01 00:00:00.000000148,285.724
1970-01-01 00:00:00.000000149,63.806
1970-01-01 00:00:00.000000150,-433.588
1970-01-01 00:00:00.000000151,-311.466
1970-01-01 00:00:00.000000152,-124.318
1970-01-01 00:00:00.000000153,43.554
1970-01-01 00:00:00.000000154,-552.172
1970-01-01 00:00:00.000000155,-48.312
1970-01-01 00:00:00.000000156,-156.892
1970-01-01 00:00:00.000000157,214.232
1970-01-01 00:00:00.000000158,492.026
1970-01-01 00:00:00.000000159,254.736
1970-01-01 00:00:00.000000160,377.59
1970-01-01 00:00:00.000000161,942.938
1970-01-01 00:00:00.000000162,454.938
1970-01-01 00:00:00.000000163,563.884
1970-01-01 00:00:00.000000164,363.194
1970-01-01 00:00:00.000000165,-343.308
1970-01-01 00:00:00.000000166,-562.176
1970-01-01 00:00:00.000000167,-379.298
1970-01-01 00:00:00.000000168,-1093.73
1970-01-01 00:00:00.000000169,-425.292
1970-01-01 00:00:00.000000170,5.734
1970-01-01 00:00:00.000000171,18.544
1970-01-01 00:00:00.000000172,115.412
1970-01-01 00:00:00.000000173,93.818
1970-01-01 00:00:00.000000174,328.302
1970-01-01 00:00:00.000000175,-92.72
1970-01-01 00:00:00.000000176,-72.468
1970-01-01 00:00:00.000000177,-346.968
1970-01-01 00:00:00.000000178,-230.946
1970-01-01 00:00:00.000000179,-531.066
1970-01-01 00:00:00.000000180,-563.762
1970-01-01 00:00:00.000000181,222.528
1970-01-01 00:00:00.000000182,-34.648
1970-01-01 00:00:00.000000183,60.756
1970-01-01 00:00:00.000000184,-190.93
1970-01-01 00:00:00.000000185,8.662
1970-01-01 00:00:00.000000186,-83.204
1970-01-01 00:00:00.000000187,327.692
1970-01-01 00:00:00.000000188,129.686
1970-01-01 00:00:00.000000189,379.786
1970-01-01 00:00:00.000000190,70.394
1970-01-01 00:00:00.000000191,201.056
1970-01-01 00:00:00.000000192,153.232
1970-01-01 00:00:00.000000193,-232.166
1970-01-01 00:00:00.000000194,-492.392
1970-01-01 00:00:00.000000195,-368.562
1970-01-01 00:00:00.000000196,189.832
1970-01-01 00:00:00.000000197,77.226
1970-01-01 00:00:00.000000198,234.972
1970-01-01 00:00:00.000000199,235.216
1970-01-01 00:00:00.000000200,1.098
1970-01-01 00:00:00.000000201,-74.664
1970-01-01 00:00:00.000000202,-373.32
1970-01-01 00:00:00.000000203,-394.914
