time_captured,08_vnt_hrm_accY
1970-01-01 00:00:00.000000114,-221.43
1970-01-01 00:00:00.000000115,-5.1542879418917
1970-01-01 00:00:00.000000116,-301.591063890857
1970-01-01 00:00:00.000000117,-204.96
1970-01-01 00:00:00.000000118,8.65252633076751
1970-01-01 00:00:00.000000119,-219.398282651324
1970-01-01 00:00:00.000000120,-34.404
1970-01-01 00:00:00.000000121,-29.6323206805204
1970-01-01 00:00:00.000000122,-128.385554332178
1970-01-01 00:00:00.000000123,82.5396538501616
1970-01-01 00:00:00.000000124,416.846327803092
1970-01-01 00:00:00.000000125,109.100630104499
1970-01-01 00:00:00.000000126,21.106
1970-01-01 00:00:00.000000127,-94.9442480627595
1970-01-01 00:00:00.000000128,-93.8598589055875
1970-01-01 00:00:00.000000129,472.384
1970-01-01 00:00:00.000000130,-435.526327578209
1970-01-01 00:00:00.000000131,43.7840162035658
1970-01-01 00:00:00.000000132,-113.855131308494
1970-01-01 00:00:00.000000133,-175.656025256709
1970-01-01 00:00:00.000000134,-8.81145132181882
1970-01-01 00:00:00.000000135,-31.9442461572189
1970-01-01 00:00:00.000000136,199.498196404779
1970-01-01 00:00:00.000000137,204.125743896193
1970-01-01 00:00:00.000000138,227.408
1970-01-01 00:00:00.000000139,-375.625985435061
1970-01-01 00:00:00.000000140,-72.7285252026763
1970-01-01 00:00:00.000000141,-151.28
1970-01-01 00:00:00.000000142,202.828878694643
1970-01-01 00:00:00.000000143,634.615499956465
1970-01-01 00:00:00.000000144,59.49595935088
1970-01-01 00:00:00.000000145,-31.3225547820733
1970-01-01 00:00:00.000000146,-512.779936165029
1970-01-01 00:00:00.000000147,-257.623624504496
1970-01-01 00:00:00.000000148,-320.485456716385
1970-01-01 00:00:00.000000149,205.838075680792
1970-01-01 00:00:00.000000150,74.176
1970-01-01 00:00:00.000000151,309.341793954884
1970-01-01 00:00:00.000000152,-710.160864271578
1970-01-01 00:00:00.000000153,-247.294
1970-01-01 00:00:00.000000154,-61.1262087308984
1970-01-01 00:00:00.000000155,136.717879012369
1970-01-01 00:00:00.000000156,-118.722845432663
1970-01-01 00:00:00.000000157,-160.994247002546
1970-01-01 00:00:00.000000158,-230.171851254222
1970-01-01 00:00:00.000000159,-263.155130646433
1970-01-01 00:00:00.000000160,-204.722104723217
1970-01-01 00:00:00.000000161,420.187580075377
1970-01-01 00:00:00.000000162,641.062148771077
1970-01-01 00:00:00.000000163,14.2926797673192
1970-01-01 00:00:00.000000164,97.2518731254841
1970-01-01 00:00:00.000000165,-193.126
1970-01-01 00:00:00.000000166,-119.904750219963
1970-01-01 00:00:00.000000167,-32.3420727736584
1970-01-01 00:00:00.000000168,-302.438
1970-01-01 00:00:00.000000169,29.8316062817598
1970-01-01 00:00:00.000000170,3.29219724965617
1970-01-01 00:00:00.000000171,-567.105811093306
1970-01-01 00:00:00.000000172,121.463374599637
1970-01-01 00:00:00.000000173,-327.941007438444
