time_captured,08_vnt_raw_accX
1970-01-01 00:00:00.000000127,-353.556
1970-01-01 00:00:00.000000128,-490.318
1970-01-01 00:00:00.000000129,-470.676
1970-01-01 00:00:00.000000130,315.004
1970-01-01 00:00:00.000000131,1082.994
1970-01-01 00:00:00.000000132,1101.538
1970-01-01 00:00:00.000000133,1097.39
1970-01-01 00:00:00.000000134,-84.18
1970-01-01 00:00:00.000000135,-506.3
1970-01-01 00:00:00.000000136,-650.748
1970-01-01 00:00:00.000000137,-959.408
1970-01-01 00:00:00.000000138,-888.038
1970-01-01 00:00:00.000000139,301.584
1970-01-01 00:00:00.000000140,951.844
1970-01-01 00:00:00.000000141,1318.21
1970-01-01 00:00:00.000000142,-100.528
1970-01-01 00:00:00.000000143,-581.574
1970-01-01 00:00:00.000000144,-517.89
1970-01-01 00:00:00.000000145,-238.876
1970-01-01 00:00:00.000000146,-478.85
1970-01-01 00:00:00.000000147,-170.678
1970-01-01 00:00:00.000000148,588.894
1970-01-01 00:00:00.000000149,993.08
1970-01-01 00:00:00.000000150,1478.396
1970-01-01 00:00:00.000000151,536.312
1970-01-01 00:00:00.000000152,-482.754
1970-01-01 00:00:00.000000153,-707.112
1970-01-01 00:00:00.000000154,-769.088
1970-01-01 00:00:00.000000155,-978.928
1970-01-01 00:00:00.000000156,-794.464
1970-01-01 00:00:00.000000157,518.744
1970-01-01 00:00:00.000000158,1233.42
1970-01-01 00:00:00.000000159,761.524
1970-01-01 00:00:00.000000160,-351.848
1970-01-01 00:00:00.000000161,-708.332
1970-01-01 00:00:00.000000162,-430.416
1970-01-01 00:00:00.000000163,-464.576
1970-01-01 00:00:00.000000164,-415.532
1970-01-01 00:00:00.000000165,-266.082
1970-01-01 00:00:00.000000166,910.364
1970-01-01 00:00:00.000000167,1592.832
1970-01-01 00:00:00.000000168,1266.726
1970-01-01 00:00:00.000000169,-176.778
1970-01-01 00:00:00.000000170,-711.26
1970-01-01 00:00:00.000000171,-757.62
1970-01-01 00:00:00.000000172,-845.338
1970-01-01 00:00:00.000000173,-679.54
1970-01-01 00:00:00.000000174,-102.602
1970-01-01 00:00:00.000000175,956.48
1970-01-01 00:00:00.000000176,1166.564
1970-01-01 00:00:00.000000177,247.05
1970-01-01 00:00:00.000000178,-417.362
1970-01-01 00:00:00.000000179,-598.288
1970-01-01 00:00:00.000000180,-284.748
1970-01-01 00:00:00.000000181,-607.804
1970-01-01 00:00:00.000000182,-337.208
1970-01-01 00:00:00.000000183,540.46
1970-01-01 00:00:00.000000184,930.25
1970-01-01 00:00:00.000000185,1351.15
1970-01-01 00:00:00.000000186,1029.436
1970-01-01 00:00:00.000000187,-204.96
1970-01-01 00:00:00.000000188,-878.4
1970-01-01 00:00:00.000000189,-817.4
1970-01-01 00:00:00.000000190,-897.92
1970-01-01 00:00:00.000000191,-904.02
1970-01-01 00:00:00.000000192,297.314
1970-01-01 00:00:00.000000193,1061.766
1970-01-01 00:00:00.000000194,992.47
1970-01-01 00:00:00.000000195,-248.636
1970-01-01 00:00:00.000000196,-496.54
1970-01-01 00:00:00.000000197,-464.21
1970-01-01 00:00:00.000000198,-384.91
1970-01-01 00:00:00.000000199,-273.646
1970-01-01 00:00:00.000000200,-2.806
1970-01-01 00:00:00.000000201,693.326
1970-01-01 00:00:00.000000202,1001.254
1970-01-01 00:00:00.000000203,1443.87
1970-01-01 00:00:00.000000204,235.582
1970-01-01 00:00:00.000000205,-535.824
1970-01-01 00:00:00.000000206,-667.584
1970-01-01 00:00:00.000000207,-691.13
1970-01-01 00:00:00.000000208,-778.97
1970-01-01 00:00:00.000000209,-239.486
1970-01-01 00:00:00.000000210,465.43
1970-01-01 00:00:00.000000211,1392.02
1970-01-01 00:00:00.000000212,638.182
1970-01-01 00:00:00.000000213,-91.134
1970-01-01 00:00:00.000000214,-554.124
1970-01-01 00:00:00.000000215,-554.124
1970-01-01 00:00:00.000000216,-268.034
1970-01-01 00:00:00.000000217,-175.192
1970-01-01 00:00:00.000000218,190.686
1970-01-01 00:00:00.000000219,728.706
1970-01-01 00:00:00.000000220,1589.782
1970-01-01 00:00:00.000000221,1115.446
1970-01-01 00:00:00.000000222,-927.2
1970-01-01 00:00:00.000000223,-653.31
1970-01-01 00:00:00.000000224,-824.11
1970-01-01 00:00:00.000000225,-1022.116
1970-01-01 00:00:00.000000226,-858.88
1970-01-01 00:00:00.000000227,416.752
1970-01-01 00:00:00.000000228,815.692
1970-01-01 00:00:00.000000229,1112.03
1970-01-01 00:00:00.000000230,-529.846
1970-01-01 00:00:00.000000231,-743.102
1970-01-01 00:00:00.000000232,-335.988
1970-01-01 00:00:00.000000233,-436.15
1970-01-01 00:00:00.000000234,-219.478
1970-01-01 00:00:00.000000235,-197.518
1970-01-01 00:00:00.000000236,388.204
1970-01-01 00:00:00.000000237,1135.088
1970-01-01 00:00:00.000000238,763.598
1970-01-01 00:00:00.000000239,-515.694
1970-01-01 00:00:00.000000240,-704.184
1970-01-01 00:00:00.000000241,-606.218
1970-01-01 00:00:00.000000242,-939.522
1970-01-01 00:00:00.000000243,-799.71
