time_captured,GS_Open
2007-11-07,218.9
2007-11-08,213.67
2007-11-09,202.57
2007-11-12,210.9
2007-11-13,220.94
2007-11-14,239.75
2007-11-15,230.11
2007-11-16,228.26
2007-11-19,223.52
2007-11-20,220.4
2007-11-21,213.41
2007-11-23,212.52
2007-11-26,214.65
2007-11-27,210.0
2007-11-28,217.58
2007-11-29,226.02
2007-11-30,232.65
2007-12-03,226.09
2007-12-04,221.06
2007-12-05,219.46
2007-12-06,214.5
2007-12-07,223.01
2007-12-10,219.19
2007-12-11,224.11
2007-12-12,217.05
2007-12-13,209.85
2007-12-14,208.74
2007-12-17,209.76
2007-12-18,209.8
2007-12-19,202.68
2007-12-20,206.06
2007-12-21,205.85
2007-12-24,211.0
2007-12-26,214.09
2007-12-27,214.88
2007-12-28,214.45
2007-12-31,211.59
2008-01-02,214.8
2008-01-03,208.92
2008-01-04,201.0
2008-01-07,200.23
2008-01-08,195.81
2008-01-09,189.04
2008-01-10,189.35
2008-01-11,196.96
2008-01-14,200.17
2008-01-15,199.55
2008-01-16,193.31
2008-01-17,198.29
2008-01-18,192.17
2008-01-22,178.17
2008-01-23,186.04
2008-01-24,200.1
2008-01-25,201.51
2008-01-28,190.62
2008-01-29,197.04
2008-01-30,195.27
2008-01-31,196.45
2008-02-01,199.15
2008-02-04,207.84
2008-02-05,194.66
2008-02-06,191.48
2008-02-07,185.77
2008-02-08,189.0
2008-02-11,187.87
2008-02-12,186.18
2008-02-13,180.29
2008-02-14,178.5
2008-02-15,175.1
2008-02-19,180.31
2008-02-20,171.97
2008-02-21,178.5
2008-02-22,175.55
2008-02-25,175.35
2008-02-26,175.48
2008-02-27,171.84
2008-02-28,180.28
2008-02-29,174.39
2008-03-03,169.29
2008-03-04,163.61
2008-03-05,163.91
2008-03-06,162.95
2008-03-07,157.0
2008-03-10,159.99
2008-03-11,161.9
2008-03-12,164.03
2008-03-13,160.44
2008-03-14,167.0
2008-03-17,142.03
2008-03-18,164.96
2008-03-19,177.94
2008-03-20,166.3
2008-03-24,179.0
2008-03-25,177.51
2008-03-26,178.49
2008-03-27,176.61
2008-03-28,169.57
2008-03-31,164.17
2008-04-01,171.49
2008-04-02,177.0
2008-04-03,174.79
2008-04-04,176.55
2008-04-07,178.56
2008-04-08,177.3
2008-04-09,178.25
2008-04-10,173.9
2008-04-11,168.0
2008-04-14,166.45
2008-04-15,165.06
2008-04-16,166.15
2008-04-17,167.74
2008-04-18,176.91
2008-04-21,179.57
2008-04-22,179.78
2008-04-23,180.84
2008-04-24,180.34
2008-04-25,190.26
2008-04-28,192.49
2008-04-29,190.25
2008-04-30,193.38
2008-05-01,191.77
2008-05-02,203.39
2008-05-05,198.61
2008-05-06,194.6
2008-05-07,197.6
2008-05-08,190.75
2008-05-09,186.02
2008-05-12,189.45
2008-05-13,191.18
2008-05-14,190.6
2008-05-15,189.78
2008-05-16,189.55
2008-05-19,185.67
2008-05-20,183.33
2008-05-21,182.55
2008-05-22,176.2
2008-05-23,176.01
2008-05-27,171.76
2008-05-28,174.76
2008-05-29,174.49
2008-05-30,177.8
2008-06-02,177.0
2008-06-03,173.35
2008-06-04,170.0
2008-06-05,173.21
2008-06-06,175.07
2008-06-09,170.85
2008-06-10,163.75
2008-06-11,167.0
2008-06-12,163.24
2008-06-13,169.47
2008-06-16,177.74
2008-06-17,185.04
2008-06-18,176.66
2008-06-19,183.69
2008-06-20,185.02
2008-06-23,184.6
2008-06-24,177.62
2008-06-25,183.11
2008-06-26,179.01
2008-06-27,177.01
2008-06-30,175.56
2008-07-01,173.13
2008-07-02,176.77
2008-07-03,180.3
2008-07-07,180.69
2008-07-08,171.37
2008-07-09,175.85
2008-07-10,167.51
2008-07-11,166.35
2008-07-14,167.92
2008-07-15,157.04
2008-07-16,161.21
2008-07-17,175.62
2008-07-18,183.08
2008-07-21,184.16
2008-07-22,178.46
2008-07-23,187.98
2008-07-24,188.49
2008-07-25,181.26
2008-07-28,178.94
