time_captured,07_c75_hrm_accY
1970-01-01 00:00:00.000000113,-146.208261785804
1970-01-01 00:00:00.000000114,582.11242194541
1970-01-01 00:00:00.000000115,412.136274136598
1970-01-01 00:00:00.000000116,202.049850080681
1970-01-01 00:00:00.000000117,279.38
1970-01-01 00:00:00.000000118,121.964173565436
1970-01-01 00:00:00.000000119,37.3572268930666
1970-01-01 00:00:00.000000120,-287.491747727239
1970-01-01 00:00:00.000000121,-405.988283537673
1970-01-01 00:00:00.000000122,-262.09128223463
1970-01-01 00:00:00.000000123,205.663089400181
1970-01-01 00:00:00.000000124,-145.125121065938
1970-01-01 00:00:00.000000125,-96.9355321507631
1970-01-01 00:00:00.000000126,-307.088545950094
1970-01-01 00:00:00.000000127,39.2201776777994
1970-01-01 00:00:00.000000128,-328.957256162088
1970-01-01 00:00:00.000000129,-39.162
1970-01-01 00:00:00.000000130,-153.57424942681
1970-01-01 00:00:00.000000131,-424.666574295247
1970-01-01 00:00:00.000000132,250.384783568465
1970-01-01 00:00:00.000000133,297.229390372359
1970-01-01 00:00:00.000000134,-38.6246431798385
1970-01-01 00:00:00.000000135,356.068810128929
1970-01-01 00:00:00.000000136,8.56218698263316
1970-01-01 00:00:00.000000137,-81.7856967616087
1970-01-01 00:00:00.000000138,-104.92
1970-01-01 00:00:00.000000139,-30.8524377651467
1970-01-01 00:00:00.000000140,-25.7483102555133
1970-01-01 00:00:00.000000141,496.41708131414
1970-01-01 00:00:00.000000142,189.280546391779
1970-01-01 00:00:00.000000143,-298.725558397714
1970-01-01 00:00:00.000000144,-273.658936220124
1970-01-01 00:00:00.000000145,-149.908320351389
1970-01-01 00:00:00.000000146,-67.7873709039904
1970-01-01 00:00:00.000000147,-88.206
1970-01-01 00:00:00.000000148,-425.720424944632
1970-01-01 00:00:00.000000149,-134.970175644095
1970-01-01 00:00:00.000000150,163.114
1970-01-01 00:00:00.000000151,432.688254215258
1970-01-01 00:00:00.000000152,494.014340602387
1970-01-01 00:00:00.000000153,33.5834528246677
1970-01-01 00:00:00.000000154,-317.038507723341
1970-01-01 00:00:00.000000155,-181.332593608698
