time_captured,CVX_High
2007-02-28,69.75
2007-03-01,68.52
2007-03-02,67.75
2007-03-05,67.33
2007-03-06,67.71
2007-03-07,69.81
2007-03-08,69.06
2007-03-09,69.04
2007-03-12,69.2
2007-03-13,69.6
2007-03-14,68.64
2007-03-15,69.29
2007-03-16,69.5
2007-03-19,69.75
2007-03-20,70.14
2007-03-21,71.49
2007-03-22,73.46
2007-03-23,74.09
2007-03-26,74.55
2007-03-27,74.37
2007-03-28,74.68
2007-03-29,74.98
2007-03-30,74.81
2007-04-02,75.05
2007-04-03,75.59
2007-04-04,75.75
2007-04-05,75.9
2007-04-09,76.4
2007-04-10,77.22
2007-04-11,77.47
2007-04-12,77.23
2007-04-13,77.5
2007-04-16,77.97
2007-04-17,78.57
2007-04-18,78.12
2007-04-19,77.64
2007-04-20,78.63
2007-04-23,78.88
2007-04-24,77.81
2007-04-25,78.93
2007-04-26,78.38
2007-04-27,78.5
2007-04-30,79.07
2007-05-01,78.63
2007-05-02,78.98
2007-05-03,79.86
2007-05-04,80.35
2007-05-07,79.7
2007-05-08,80.19
2007-05-09,79.97
2007-05-10,79.68
2007-05-11,80.13
2007-05-14,80.94
2007-05-15,81.37
2007-05-16,80.93
2007-05-17,82.0
2007-05-18,82.92
2007-05-21,83.56
2007-05-22,83.23
2007-05-23,82.91
2007-05-24,81.88
2007-05-25,81.13
2007-05-29,81.0
2007-05-30,82.29
2007-05-31,82.36
2007-06-01,82.52
2007-06-04,83.25
2007-06-05,83.04
2007-06-06,82.73
2007-06-07,82.06
2007-06-08,80.74
2007-06-11,81.78
2007-06-12,81.81
2007-06-13,81.55
2007-06-14,82.55
2007-06-15,83.6
2007-06-18,84.0
2007-06-19,83.75
2007-06-20,83.7
2007-06-21,83.02
2007-06-22,82.94
2007-06-25,83.66
2007-06-26,83.78
2007-06-27,84.0
2007-06-28,84.89
2007-06-29,85.19
2007-07-02,85.28
2007-07-03,86.69
2007-07-05,87.14
2007-07-06,87.96
2007-07-09,89.8
2007-07-10,90.21
2007-07-11,90.87
2007-07-12,93.37
2007-07-13,95.0
2007-07-16,94.05
2007-07-17,93.08
2007-07-18,93.43
2007-07-19,93.73
2007-07-20,93.31
2007-07-23,93.16
2007-07-24,92.15
2007-07-25,91.69
2007-07-26,90.45
2007-07-27,88.94
2007-07-30,87.0
2007-07-31,87.45
2007-08-01,89.5
2007-08-02,86.0
2007-08-03,85.0
2007-08-06,82.08
2007-08-07,83.89
2007-08-08,85.63
2007-08-09,84.74
2007-08-10,83.73
2007-08-13,84.31
2007-08-14,83.7
2007-08-15,83.81
2007-08-16,81.96
2007-08-17,85.1
2007-08-20,85.55
2007-08-21,85.25
2007-08-22,85.56
2007-08-23,86.47
2007-08-24,87.53
2007-08-27,87.39
2007-08-28,86.73
2007-08-29,87.38
2007-08-30,87.6
2007-08-31,88.86
2007-09-04,89.27
2007-09-05,88.65
2007-09-06,89.33
2007-09-07,89.03
2007-09-10,88.29
2007-09-11,89.13
2007-09-12,89.84
2007-09-13,90.82
2007-09-14,91.27
2007-09-17,91.54
2007-09-18,93.53
2007-09-19,94.94
2007-09-20,94.63
2007-09-21,95.36
2007-09-24,95.5
2007-09-25,93.59
2007-09-26,93.32
2007-09-27,93.63
2007-09-28,94.4
2007-10-01,94.53
2007-10-02,93.99
2007-10-03,91.98
2007-10-04,92.03
2007-10-05,92.57
2007-10-08,91.96
2007-10-09,93.0
2007-10-10,92.48
2007-10-11,92.82
2007-10-12,91.74
2007-10-15,92.94
2007-10-16,93.85
2007-10-17,93.94
2007-10-18,93.75
2007-10-19,92.7
2007-10-22,88.51
2007-10-23,89.71
2007-10-24,90.42
2007-10-25,91.6
2007-10-26,92.3
2007-10-29,93.57
2007-10-30,91.95
2007-10-31,92.13
2007-11-01,91.48
2007-11-02,89.27
2007-11-05,89.2
2007-11-06,90.7
2007-11-07,90.92
2007-11-08,90.59
2007-11-09,88.9
2007-11-12,87.0
2007-11-13,86.99
2007-11-14,88.33
2007-11-15,86.48
2007-11-16,86.47
2007-11-19,86.37
2007-11-20,88.61
2007-11-21,88.49
2007-11-23,87.06
2007-11-26,87.33
2007-11-27,84.59
2007-11-28,86.51
2007-11-29,87.33
2007-11-30,87.77
2007-12-03,88.18
2007-12-04,87.78
2007-12-05,89.72
2007-12-06,91.7
2007-12-07,91.59
2007-12-10,92.01
2007-12-11,92.59
2007-12-12,92.97
2007-12-13,93.21
2007-12-14,92.96
2007-12-17,91.76
2007-12-18,91.63
