time_captured,02_on_hrm_accY
1970-01-01 00:00:00.000000114,-111.04999984654
1970-01-01 00:00:00.000000115,-597.19
1970-01-01 00:00:00.000000116,-16.846291491316
1970-01-01 00:00:00.000000117,-164.993542311271
1970-01-01 00:00:00.000000118,336.11
1970-01-01 00:00:00.000000119,87.7482978404938
1970-01-01 00:00:00.000000120,2.53680129201189
1970-01-01 00:00:00.000000121,-153.023253974057
1970-01-01 00:00:00.000000122,2.78596444590113
1970-01-01 00:00:00.000000123,89.6326313638361
1970-01-01 00:00:00.000000124,177.144
1970-01-01 00:00:00.000000125,-152.049038097384
1970-01-01 00:00:00.000000126,-242.279639896412
1970-01-01 00:00:00.000000127,-306.464
1970-01-01 00:00:00.000000128,-106.910901305876
1970-01-01 00:00:00.000000129,-141.86089629819
1970-01-01 00:00:00.000000130,391.986
1970-01-01 00:00:00.000000131,10.6592985938972
1970-01-01 00:00:00.000000132,-109.566268279277
1970-01-01 00:00:00.000000133,-223.234857305081
1970-01-01 00:00:00.000000134,0.66603574607937
1970-01-01 00:00:00.000000135,-43.6826691296334
1970-01-01 00:00:00.000000136,171.794584421976
1970-01-01 00:00:00.000000137,-0.185526407321619
1970-01-01 00:00:00.000000138,-73.134332692143
1970-01-01 00:00:00.000000139,131.638
1970-01-01 00:00:00.000000140,306.179411111831
1970-01-01 00:00:00.000000141,344.985230580318
1970-01-01 00:00:00.000000142,197.944719465346
1970-01-01 00:00:00.000000143,-157.656103394356
1970-01-01 00:00:00.000000144,-160.77858162676
1970-01-01 00:00:00.000000145,-161.355904833476
1970-01-01 00:00:00.000000146,-332.347422683167
1970-01-01 00:00:00.000000147,263.666672542521
1970-01-01 00:00:00.000000148,-235.826
1970-01-01 00:00:00.000000149,218.292818819893
1970-01-01 00:00:00.000000150,-32.411008336101
1970-01-01 00:00:00.000000151,243.658382008947
1970-01-01 00:00:00.000000152,-623.996163218782
1970-01-01 00:00:00.000000153,-198.856279752454
1970-01-01 00:00:00.000000154,-223.398752192868
1970-01-01 00:00:00.000000155,-225.524127511144
1970-01-01 00:00:00.000000156,12.0405017621339
1970-01-01 00:00:00.000000157,237.29
1970-01-01 00:00:00.000000158,-124.419227281691
1970-01-01 00:00:00.000000159,-428.541615274628
1970-01-01 00:00:00.000000160,-200.568
1970-01-01 00:00:00.000000161,79.1610253599241
1970-01-01 00:00:00.000000162,-142.868320431791
1970-01-01 00:00:00.000000163,362.357951458436
1970-01-01 00:00:00.000000164,-12.7733071700293
1970-01-01 00:00:00.000000165,29.9329611228415
1970-01-01 00:00:00.000000166,104.022496299815
1970-01-01 00:00:00.000000167,282.727995693668
1970-01-01 00:00:00.000000168,-157.516906661781
1970-01-01 00:00:00.000000169,125.294
1970-01-01 00:00:00.000000170,-238.962938803902
1970-01-01 00:00:00.000000171,-211.334298648302
1970-01-01 00:00:00.000000172,110.776
1970-01-01 00:00:00.000000173,229.040760666138
1970-01-01 00:00:00.000000174,504.950548922409
1970-01-01 00:00:00.000000175,106.783745682987
1970-01-01 00:00:00.000000176,-220.682183163583
1970-01-01 00:00:00.000000177,90.9482711821472
1970-01-01 00:00:00.000000178,-308.782
1970-01-01 00:00:00.000000179,-344.323450388251
1970-01-01 00:00:00.000000180,420.930584510923
1970-01-01 00:00:00.000000181,101.138
1970-01-01 00:00:00.000000182,-116.45921588942
1970-01-01 00:00:00.000000183,-89.6299163843793
1970-01-01 00:00:00.000000184,248.162547233253
1970-01-01 00:00:00.000000185,-395.969188642794
1970-01-01 00:00:00.000000186,613.888393641552
1970-01-01 00:00:00.000000187,-51.9876372049584
1970-01-01 00:00:00.000000188,-81.9084270967155
1970-01-01 00:00:00.000000189,-552.741985151754
1970-01-01 00:00:00.000000190,15.616
1970-01-01 00:00:00.000000191,-162.299099806337
1970-01-01 00:00:00.000000192,162.113058683948
1970-01-01 00:00:00.000000193,-219.479281305809
1970-01-01 00:00:00.000000194,131.515046685303
1970-01-01 00:00:00.000000195,-154.422996550962
1970-01-01 00:00:00.000000196,-161.883095829104
1970-01-01 00:00:00.000000197,286.192701096892
1970-01-01 00:00:00.000000198,-246.105785404235
1970-01-01 00:00:00.000000199,-267.668
1970-01-01 00:00:00.000000200,290.927467831591
1970-01-01 00:00:00.000000201,139.642506490493
1970-01-01 00:00:00.000000202,-268.888
1970-01-01 00:00:00.000000203,517.103652740943
1970-01-01 00:00:00.000000204,111.555701882157
1970-01-01 00:00:00.000000205,11.3268813711432
1970-01-01 00:00:00.000000206,-73.375250666963
1970-01-01 00:00:00.000000207,173.947342233532
1970-01-01 00:00:00.000000208,-423.895118942349
1970-01-01 00:00:00.000000209,33.6809133302181
1970-01-01 00:00:00.000000210,34.2236709071602
1970-01-01 00:00:00.000000211,501.542
1970-01-01 00:00:00.000000212,-198.331295282832
1970-01-01 00:00:00.000000213,150.66999791838
1970-01-01 00:00:00.000000214,-621.228224739681
1970-01-01 00:00:00.000000215,-249.408064595842
1970-01-01 00:00:00.000000216,-314.920356918517
1970-01-01 00:00:00.000000217,389.48737592006
1970-01-01 00:00:00.000000218,-108.961256071774
1970-01-01 00:00:00.000000219,-34.7188707835519
1970-01-01 00:00:00.000000220,-194.956
1970-01-01 00:00:00.000000221,61.1805961791421
1970-01-01 00:00:00.000000222,-196.300849157218
1970-01-01 00:00:00.000000223,400.648
1970-01-01 00:00:00.000000224,60.1229750621674
1970-01-01 00:00:00.000000225,-158.986741404693
1970-01-01 00:00:00.000000226,127.395535940578
1970-01-01 00:00:00.000000227,210.66829109589
1970-01-01 00:00:00.000000228,-134.754874231644
1970-01-01 00:00:00.000000229,528.87
1970-01-01 00:00:00.000000230,-94.3088331266888
1970-01-01 00:00:00.000000231,-96.834050777977
1970-01-01 00:00:00.000000232,-250.466
1970-01-01 00:00:00.000000233,-149.6523087697
1970-01-01 00:00:00.000000234,295.08929467992
1970-01-01 00:00:00.000000235,26.0602012683384
1970-01-01 00:00:00.000000236,-234.36756256718
1970-01-01 00:00:00.000000237,42.0096250810804
1970-01-01 00:00:00.000000238,81.7306330007418
1970-01-01 00:00:00.000000239,-123.067249098809
1970-01-01 00:00:00.000000240,265.003514948303
1970-01-01 00:00:00.000000241,-70.272
1970-01-01 00:00:00.000000242,-129.121303976812
1970-01-01 00:00:00.000000243,-244.824268442763
1970-01-01 00:00:00.000000244,161.65
1970-01-01 00:00:00.000000245,-282.648332362885
1970-01-01 00:00:00.000000246,17.7983111758287
1970-01-01 00:00:00.000000247,151.635640436459
1970-01-01 00:00:00.000000248,45.336971296627
1970-01-01 00:00:00.000000249,-103.843434607111
1970-01-01 00:00:00.000000250,84.7666305417301
1970-01-01 00:00:00.000000251,-158.740003805538
1970-01-01 00:00:00.000000252,18.7202979902945
1970-01-01 00:00:00.000000253,50.874
1970-01-01 00:00:00.000000254,347.897189862125
1970-01-01 00:00:00.000000255,-121.669009872521
1970-01-01 00:00:00.000000256,198.07755395229
1970-01-01 00:00:00.000000257,-246.59674975649
1970-01-01 00:00:00.000000258,-188.857705999119
1970-01-01 00:00:00.000000259,-369.231748446409
1970-01-01 00:00:00.000000260,579.311512540759
1970-01-01 00:00:00.000000261,191.386105491283
1970-01-01 00:00:00.000000262,-63.44
1970-01-01 00:00:00.000000263,-290.526242436
1970-01-01 00:00:00.000000264,-64.6936512942714
1970-01-01 00:00:00.000000265,38.796
1970-01-01 00:00:00.000000266,377.794490447897
1970-01-01 00:00:00.000000267,218.097072234807
1970-01-01 00:00:00.000000268,146.709833601712
1970-01-01 00:00:00.000000269,-166.025137993272
1970-01-01 00:00:00.000000270,200.784947451048
1970-01-01 00:00:00.000000271,323.544
1970-01-01 00:00:00.000000272,236.911915514163
1970-01-01 00:00:00.000000273,-73.1968747139981
1970-01-01 00:00:00.000000274,178.12
1970-01-01 00:00:00.000000275,-331.196777686918
1970-01-01 00:00:00.000000276,-347.386348520609
1970-01-01 00:00:00.000000277,-227.651881823432
1970-01-01 00:00:00.000000278,-399.285333402687
1970-01-01 00:00:00.000000279,150.004326702931
1970-01-01 00:00:00.000000280,33.4349849192782
1970-01-01 00:00:00.000000281,-236.428994411052
1970-01-01 00:00:00.000000282,-322.96117047436
1970-01-01 00:00:00.000000283,-753.106
1970-01-01 00:00:00.000000284,603.883749164833
1970-01-01 00:00:00.000000285,-133.624741325582
1970-01-01 00:00:00.000000286,-68.564
1970-01-01 00:00:00.000000287,77.3887915075246
1970-01-01 00:00:00.000000288,49.6171062122206
1970-01-01 00:00:00.000000289,-144.168867221532
1970-01-01 00:00:00.000000290,97.5551606728884
1970-01-01 00:00:00.000000291,-45.5607858184646
1970-01-01 00:00:00.000000292,11.7049926198824
1970-01-01 00:00:00.000000293,52.7804065305451
1970-01-01 00:00:00.000000294,64.2814545999401
1970-01-01 00:00:00.000000295,94.306
1970-01-01 00:00:00.000000296,-108.708235814022
1970-01-01 00:00:00.000000297,-73.5822170150214
1970-01-01 00:00:00.000000298,-100.577502774445
1970-01-01 00:00:00.000000299,130.478452443702
1970-01-01 00:00:00.000000300,-24.8197214698384
1970-01-01 00:00:00.000000301,239.364
1970-01-01 00:00:00.000000302,70.0497004568836
1970-01-01 00:00:00.000000303,3.96409303444602
1970-01-01 00:00:00.000000304,374.453938487667
1970-01-01 00:00:00.000000305,-132.624906598875
