time_captured,01_off_hrm_accZ
1970-01-01 00:00:00.000000118,966.450581020802
1970-01-01 00:00:00.000000119,961.827306176422
1970-01-01 00:00:00.000000120,964.898
1970-01-01 00:00:00.000000121,961.105828805906
1970-01-01 00:00:00.000000122,964.449721156003
1970-01-01 00:00:00.000000123,965.386
1970-01-01 00:00:00.000000124,964.591289430029
1970-01-01 00:00:00.000000125,964.003482740463
1970-01-01 00:00:00.000000126,962.778194925948
1970-01-01 00:00:00.000000127,961.602954835092
1970-01-01 00:00:00.000000128,964.659469515574
1970-01-01 00:00:00.000000129,964.896732749761
1970-01-01 00:00:00.000000130,961.626317798089
1970-01-01 00:00:00.000000131,964.324485174477
1970-01-01 00:00:00.000000132,961.978184907111
1970-01-01 00:00:00.000000133,961.178528507127
1970-01-01 00:00:00.000000134,963.069975114867
1970-01-01 00:00:00.000000135,963.8
1970-01-01 00:00:00.000000136,960.865000232702
1970-01-01 00:00:00.000000137,968.237598065119
1970-01-01 00:00:00.000000138,959.652
1970-01-01 00:00:00.000000139,965.100117831188
1970-01-01 00:00:00.000000140,962.745142136916
1970-01-01 00:00:00.000000141,965.573929407452
1970-01-01 00:00:00.000000142,961.236876457187
1970-01-01 00:00:00.000000143,965.789813728475
1970-01-01 00:00:00.000000144,961.43451320232
1970-01-01 00:00:00.000000145,962.354212801213
1970-01-01 00:00:00.000000146,964.047947301883
1970-01-01 00:00:00.000000147,961.233445196865
1970-01-01 00:00:00.000000148,964.765819824031
1970-01-01 00:00:00.000000149,964.866736677789
1970-01-01 00:00:00.000000150,963.434
1970-01-01 00:00:00.000000151,959.574652916124
1970-01-01 00:00:00.000000152,967.303919423151
1970-01-01 00:00:00.000000153,961.726
1970-01-01 00:00:00.000000154,964.154876309835
1970-01-01 00:00:00.000000155,960.46191458956
1970-01-01 00:00:00.000000156,966.147225058607
1970-01-01 00:00:00.000000157,960.671116473198
1970-01-01 00:00:00.000000158,963.291998430868
1970-01-01 00:00:00.000000159,960.918762772868
1970-01-01 00:00:00.000000160,964.939822327386
1970-01-01 00:00:00.000000161,960.765780019473
1970-01-01 00:00:00.000000162,962.70432598867
1970-01-01 00:00:00.000000163,960.345333139994
1970-01-01 00:00:00.000000164,960.354964167109
1970-01-01 00:00:00.000000165,967.948
1970-01-01 00:00:00.000000166,963.71386472124
1970-01-01 00:00:00.000000167,965.783122328092
1970-01-01 00:00:00.000000168,965.508
1970-01-01 00:00:00.000000169,962.878090165019
1970-01-01 00:00:00.000000170,962.98718110889
1970-01-01 00:00:00.000000171,964.722114581725
1970-01-01 00:00:00.000000172,963.530438186441
1970-01-01 00:00:00.000000173,966.788444203101
1970-01-01 00:00:00.000000174,962.129062051626
1970-01-01 00:00:00.000000175,965.545799008431
1970-01-01 00:00:00.000000176,960.938385304089
1970-01-01 00:00:00.000000177,958.878394320892
1970-01-01 00:00:00.000000178,961.003420649501
1970-01-01 00:00:00.000000179,963.759653002322
1970-01-01 00:00:00.000000180,961.36
1970-01-01 00:00:00.000000181,966.929426849786
1970-01-01 00:00:00.000000182,958.552009048406
1970-01-01 00:00:00.000000183,961.726
1970-01-01 00:00:00.000000184,961.849762329924
1970-01-01 00:00:00.000000185,963.199702667602
1970-01-01 00:00:00.000000186,962.347395342835
1970-01-01 00:00:00.000000187,963.245926828629
1970-01-01 00:00:00.000000188,959.745017948737
1970-01-01 00:00:00.000000189,965.290671488601
1970-01-01 00:00:00.000000190,961.333270700088
1970-01-01 00:00:00.000000191,962.508333997682
1970-01-01 00:00:00.000000192,965.606077269003
1970-01-01 00:00:00.000000193,961.006068019236
1970-01-01 00:00:00.000000194,965.697012733121
1970-01-01 00:00:00.000000195,961.97
1970-01-01 00:00:00.000000196,961.939301405995
1970-01-01 00:00:00.000000197,962.615205359468
1970-01-01 00:00:00.000000198,965.874
1970-01-01 00:00:00.000000199,959.865047373342
1970-01-01 00:00:00.000000200,961.253834113173
1970-01-01 00:00:00.000000201,960.28667671264
1970-01-01 00:00:00.000000202,964.467630041263
1970-01-01 00:00:00.000000203,961.192217201404
1970-01-01 00:00:00.000000204,964.244738706912
1970-01-01 00:00:00.000000205,961.758913609652
1970-01-01 00:00:00.000000206,964.776969830405
1970-01-01 00:00:00.000000207,961.355976761006
1970-01-01 00:00:00.000000208,964.637212476806
1970-01-01 00:00:00.000000209,959.43350892558
1970-01-01 00:00:00.000000210,964.044
1970-01-01 00:00:00.000000211,963.332449680443
1970-01-01 00:00:00.000000212,960.333371404619
1970-01-01 00:00:00.000000213,964.898
1970-01-01 00:00:00.000000214,962.991515178372
1970-01-01 00:00:00.000000215,963.916734767317
1970-01-01 00:00:00.000000216,963.042416566576
1970-01-01 00:00:00.000000217,967.717856996222
1970-01-01 00:00:00.000000218,961.685329683297
1970-01-01 00:00:00.000000219,967.21597409718
1970-01-01 00:00:00.000000220,962.052906710532
1970-01-01 00:00:00.000000221,962.790845783252
1970-01-01 00:00:00.000000222,959.91831693291
1970-01-01 00:00:00.000000223,965.166411001351
1970-01-01 00:00:00.000000224,962.412178969826
1970-01-01 00:00:00.000000225,964.776
1970-01-01 00:00:00.000000226,960.490538517538
1970-01-01 00:00:00.000000227,960.836856511649
1970-01-01 00:00:00.000000228,961.604
1970-01-01 00:00:00.000000229,962.485035634126
1970-01-01 00:00:00.000000230,962.958254075264
1970-01-01 00:00:00.000000231,963.941079249043
1970-01-01 00:00:00.000000232,962.060562479775
1970-01-01 00:00:00.000000233,960.978607463127
1970-01-01 00:00:00.000000234,968.800407979338
1970-01-01 00:00:00.000000235,959.287514289241
1970-01-01 00:00:00.000000236,965.195886865227
1970-01-01 00:00:00.000000237,961.238
1970-01-01 00:00:00.000000238,962.503067540738
