time_captured,03_cap_raw_accX
1970-01-01 00:00:00.000000127,-611.83
1970-01-01 00:00:00.000000128,-794.342
1970-01-01 00:00:00.000000129,-402.112
1970-01-01 00:00:00.000000130,1528.172
1970-01-01 00:00:00.000000131,1353.224
1970-01-01 00:00:00.000000132,45.872
1970-01-01 00:00:00.000000133,-714.31
1970-01-01 00:00:00.000000134,-681.004
1970-01-01 00:00:00.000000135,-379.786
1970-01-01 00:00:00.000000136,-379.786
1970-01-01 00:00:00.000000137,-511.302
1970-01-01 00:00:00.000000138,231.434
1970-01-01 00:00:00.000000139,1532.076
1970-01-01 00:00:00.000000140,1483.886
1970-01-01 00:00:00.000000141,188.856
1970-01-01 00:00:00.000000142,-621.59
1970-01-01 00:00:00.000000143,-736.514
1970-01-01 00:00:00.000000144,-707.6
1970-01-01 00:00:00.000000145,-707.6
1970-01-01 00:00:00.000000146,-802.15
1970-01-01 00:00:00.000000147,156.16
1970-01-01 00:00:00.000000148,1448.018
1970-01-01 00:00:00.000000149,1106.296
1970-01-01 00:00:00.000000150,73.81
1970-01-01 00:00:00.000000151,-611.586
1970-01-01 00:00:00.000000152,-617.198
1970-01-01 00:00:00.000000153,-387.838
1970-01-01 00:00:00.000000154,-387.838
1970-01-01 00:00:00.000000155,-349.652
1970-01-01 00:00:00.000000156,157.868
1970-01-01 00:00:00.000000157,1340.414
1970-01-01 00:00:00.000000158,1478.64
1970-01-01 00:00:00.000000159,337.208
1970-01-01 00:00:00.000000160,-591.212
1970-01-01 00:00:00.000000161,-527.894
1970-01-01 00:00:00.000000162,-642.94
1970-01-01 00:00:00.000000163,-765.794
1970-01-01 00:00:00.000000164,-340.38
1970-01-01 00:00:00.000000165,215.208
1970-01-01 00:00:00.000000166,1331.996
1970-01-01 00:00:00.000000167,1287.71
1970-01-01 00:00:00.000000168,177.022
1970-01-01 00:00:00.000000169,-837.164
1970-01-01 00:00:00.000000170,-443.226
1970-01-01 00:00:00.000000171,-350.628
1970-01-01 00:00:00.000000172,-350.628
1970-01-01 00:00:00.000000173,-110.898
1970-01-01 00:00:00.000000174,243.634
1970-01-01 00:00:00.000000175,1323.7
1970-01-01 00:00:00.000000176,1466.562
1970-01-01 00:00:00.000000177,23.668
1970-01-01 00:00:00.000000178,-820.938
1970-01-01 00:00:00.000000179,-864.37
1970-01-01 00:00:00.000000180,-453.84
1970-01-01 00:00:00.000000181,-453.84
1970-01-01 00:00:00.000000182,-582.55
1970-01-01 00:00:00.000000183,131.638
1970-01-01 00:00:00.000000184,1130.208
1970-01-01 00:00:00.000000185,1383.236
1970-01-01 00:00:00.000000186,177.998
1970-01-01 00:00:00.000000187,-1055.788
1970-01-01 00:00:00.000000188,-909.51
1970-01-01 00:00:00.000000189,-284.992
1970-01-01 00:00:00.000000190,-284.992
1970-01-01 00:00:00.000000191,-277.428
1970-01-01 00:00:00.000000192,21.96
1970-01-01 00:00:00.000000193,1573.678
1970-01-01 00:00:00.000000194,1464.122
1970-01-01 00:00:00.000000195,213.378
1970-01-01 00:00:00.000000196,-1011.624
1970-01-01 00:00:00.000000197,-820.206
1970-01-01 00:00:00.000000198,-566.446
1970-01-01 00:00:00.000000199,-566.446
1970-01-01 00:00:00.000000200,-605.608
1970-01-01 00:00:00.000000201,239.608
1970-01-01 00:00:00.000000202,1255.868
1970-01-01 00:00:00.000000203,1328.092
1970-01-01 00:00:00.000000204,6.588
1970-01-01 00:00:00.000000205,-975.146
1970-01-01 00:00:00.000000206,-546.682
1970-01-01 00:00:00.000000207,-408.944
1970-01-01 00:00:00.000000208,-408.944
1970-01-01 00:00:00.000000209,-479.948
1970-01-01 00:00:00.000000210,239.486
1970-01-01 00:00:00.000000211,1774.734
1970-01-01 00:00:00.000000212,1197.43
1970-01-01 00:00:00.000000213,82.35
1970-01-01 00:00:00.000000214,-1105.686
1970-01-01 00:00:00.000000215,-513.986
1970-01-01 00:00:00.000000216,-568.032
1970-01-01 00:00:00.000000217,-568.032
1970-01-01 00:00:00.000000218,-271.816
1970-01-01 00:00:00.000000219,407.968
1970-01-01 00:00:00.000000220,1452.776
1970-01-01 00:00:00.000000221,1127.28
1970-01-01 00:00:00.000000222,-22.204
1970-01-01 00:00:00.000000223,-1165.466
1970-01-01 00:00:00.000000224,-472.994
1970-01-01 00:00:00.000000225,-382.104
1970-01-01 00:00:00.000000226,-382.104
1970-01-01 00:00:00.000000227,-68.564
1970-01-01 00:00:00.000000228,389.058
1970-01-01 00:00:00.000000229,1308.328
1970-01-01 00:00:00.000000230,1278.926
1970-01-01 00:00:00.000000231,29.524
1970-01-01 00:00:00.000000232,-685.762
1970-01-01 00:00:00.000000233,-623.908
1970-01-01 00:00:00.000000234,-564.982
1970-01-01 00:00:00.000000235,-502.518
1970-01-01 00:00:00.000000236,-95.404
1970-01-01 00:00:00.000000237,583.16
1970-01-01 00:00:00.000000238,1198.04
1970-01-01 00:00:00.000000239,1173.884
1970-01-01 00:00:00.000000240,-2.318
1970-01-01 00:00:00.000000241,-1017.968
1970-01-01 00:00:00.000000242,-546.682
1970-01-01 00:00:00.000000243,-357.948
1970-01-01 00:00:00.000000244,-295.484
1970-01-01 00:00:00.000000245,-283.894
1970-01-01 00:00:00.000000246,411.506
1970-01-01 00:00:00.000000247,1275.998
1970-01-01 00:00:00.000000248,1319.796
1970-01-01 00:00:00.000000249,113.826
1970-01-01 00:00:00.000000250,-1103.246
1970-01-01 00:00:00.000000251,-792.39
1970-01-01 00:00:00.000000252,-428.83
1970-01-01 00:00:00.000000253,-397.598
1970-01-01 00:00:00.000000254,-389.912
1970-01-01 00:00:00.000000255,562.298
1970-01-01 00:00:00.000000256,1259.162
1970-01-01 00:00:00.000000257,1204.994
1970-01-01 00:00:00.000000258,-166.164
1970-01-01 00:00:00.000000259,-1119.716
1970-01-01 00:00:00.000000260,-484.828
1970-01-01 00:00:00.000000261,-423.462
1970-01-01 00:00:00.000000262,-142.374
1970-01-01 00:00:00.000000263,-58.072
1970-01-01 00:00:00.000000264,331.962
1970-01-01 00:00:00.000000265,1066.89
1970-01-01 00:00:00.000000266,1465.586
1970-01-01 00:00:00.000000267,222.894
1970-01-01 00:00:00.000000268,-1218.902
1970-01-01 00:00:00.000000269,-532.896
1970-01-01 00:00:00.000000270,-660.996
1970-01-01 00:00:00.000000271,-286.212
1970-01-01 00:00:00.000000272,-136.396
1970-01-01 00:00:00.000000273,312.076
1970-01-01 00:00:00.000000274,1230.98
1970-01-01 00:00:00.000000275,1270.386
1970-01-01 00:00:00.000000276,-51.484
1970-01-01 00:00:00.000000277,-967.704
1970-01-01 00:00:00.000000278,-459.818
1970-01-01 00:00:00.000000279,-489.952
1970-01-01 00:00:00.000000280,-197.64
1970-01-01 00:00:00.000000281,28.67
1970-01-01 00:00:00.000000282,325.374
1970-01-01 00:00:00.000000283,1337.852
1970-01-01 00:00:00.000000284,1562.698
1970-01-01 00:00:00.000000285,-1167.784
1970-01-01 00:00:00.000000286,-883.89
1970-01-01 00:00:00.000000287,-356.972
1970-01-01 00:00:00.000000288,-443.104
1970-01-01 00:00:00.000000289,-344.528
1970-01-01 00:00:00.000000290,-155.916
1970-01-01 00:00:00.000000291,508.74
1970-01-01 00:00:00.000000292,1538.786
1970-01-01 00:00:00.000000293,1118.252
1970-01-01 00:00:00.000000294,-890.966
1970-01-01 00:00:00.000000295,-544.852
1970-01-01 00:00:00.000000296,-428.22
1970-01-01 00:00:00.000000297,-424.438
1970-01-01 00:00:00.000000298,-396.5
1970-01-01 00:00:00.000000299,-81.74
1970-01-01 00:00:00.000000300,464.454
1970-01-01 00:00:00.000000301,1276.242
1970-01-01 00:00:00.000000302,-88.694
1970-01-01 00:00:00.000000303,-986.736
1970-01-01 00:00:00.000000304,-582.184
1970-01-01 00:00:00.000000305,-439.078
1970-01-01 00:00:00.000000306,-718.092
1970-01-01 00:00:00.000000307,-308.416
1970-01-01 00:00:00.000000308,-103.578
1970-01-01 00:00:00.000000309,686.616
1970-01-01 00:00:00.000000310,1556.11
1970-01-01 00:00:00.000000311,-290.726
1970-01-01 00:00:00.000000312,-1002.23
1970-01-01 00:00:00.000000313,-500.2
1970-01-01 00:00:00.000000314,-460.428
1970-01-01 00:00:00.000000315,-646.478
1970-01-01 00:00:00.000000316,-249.734
1970-01-01 00:00:00.000000317,21.228
1970-01-01 00:00:00.000000318,829.356
1970-01-01 00:00:00.000000319,1076.162
1970-01-01 00:00:00.000000320,-297.802
1970-01-01 00:00:00.000000321,-1146.068
1970-01-01 00:00:00.000000322,-580.598
1970-01-01 00:00:00.000000323,-655.994
1970-01-01 00:00:00.000000324,-379.664
1970-01-01 00:00:00.000000325,-379.664
1970-01-01 00:00:00.000000326,-92.354
1970-01-01 00:00:00.000000327,1173.884
1970-01-01 00:00:00.000000328,802.272
1970-01-01 00:00:00.000000329,-390.4
1970-01-01 00:00:00.000000330,-1007.598
1970-01-01 00:00:00.000000331,-523.014
1970-01-01 00:00:00.000000332,-533.384
1970-01-01 00:00:00.000000333,-164.578
1970-01-01 00:00:00.000000334,-164.578
1970-01-01 00:00:00.000000335,-38.308
1970-01-01 00:00:00.000000336,1221.098
1970-01-01 00:00:00.000000337,932.812
1970-01-01 00:00:00.000000338,-109.19
1970-01-01 00:00:00.000000339,-1012.966
1970-01-01 00:00:00.000000340,-707.6
1970-01-01 00:00:00.000000341,-716.018
1970-01-01 00:00:00.000000342,-671.732
1970-01-01 00:00:00.000000343,-220.82
1970-01-01 00:00:00.000000344,-157.502
1970-01-01 00:00:00.000000345,1259.406
1970-01-01 00:00:00.000000346,656.238
1970-01-01 00:00:00.000000347,-290.238
1970-01-01 00:00:00.000000348,-788.852
1970-01-01 00:00:00.000000349,-607.316
1970-01-01 00:00:00.000000350,-539.85
1970-01-01 00:00:00.000000351,-76.616
1970-01-01 00:00:00.000000352,134.932
1970-01-01 00:00:00.000000353,563.64
1970-01-01 00:00:00.000000354,1204.628
1970-01-01 00:00:00.000000355,909.754
1970-01-01 00:00:00.000000356,-102.48
1970-01-01 00:00:00.000000357,-1006.744
1970-01-01 00:00:00.000000358,-610.488
1970-01-01 00:00:00.000000359,-661.606
1970-01-01 00:00:00.000000360,-238.388
1970-01-01 00:00:00.000000361,24.522
1970-01-01 00:00:00.000000362,874.374
1970-01-01 00:00:00.000000363,1720.444
1970-01-01 00:00:00.000000364,628.788
1970-01-01 00:00:00.000000365,-396.622
1970-01-01 00:00:00.000000366,-376.492
1970-01-01 00:00:00.000000367,-371.368
1970-01-01 00:00:00.000000368,-343.43
1970-01-01 00:00:00.000000369,-305.976
1970-01-01 00:00:00.000000370,-61.854
1970-01-01 00:00:00.000000371,690.154
1970-01-01 00:00:00.000000372,1512.434
1970-01-01 00:00:00.000000373,810.324
1970-01-01 00:00:00.000000374,-372.344
1970-01-01 00:00:00.000000375,-588.406
1970-01-01 00:00:00.000000376,-556.93
1970-01-01 00:00:00.000000377,-731.634
1970-01-01 00:00:00.000000378,-296.826
1970-01-01 00:00:00.000000379,134.932
1970-01-01 00:00:00.000000380,845.704
1970-01-01 00:00:00.000000381,1534.028
1970-01-01 00:00:00.000000382,753.594
1970-01-01 00:00:00.000000383,-429.074
1970-01-01 00:00:00.000000384,-409.188
1970-01-01 00:00:00.000000385,-491.294
1970-01-01 00:00:00.000000386,-498.98
1970-01-01 00:00:00.000000387,-275.964
1970-01-01 00:00:00.000000388,15.982
1970-01-01 00:00:00.000000389,732.122
1970-01-01 00:00:00.000000390,1249.524
1970-01-01 00:00:00.000000391,619.882
1970-01-01 00:00:00.000000392,-228.628
1970-01-01 00:00:00.000000393,-1013.698
1970-01-01 00:00:00.000000394,-458.598
1970-01-01 00:00:00.000000395,-782.386
1970-01-01 00:00:00.000000396,-361.974
1970-01-01 00:00:00.000000397,-179.584
1970-01-01 00:00:00.000000398,1068.354
1970-01-01 00:00:00.000000399,1539.762
1970-01-01 00:00:00.000000400,332.694
1970-01-01 00:00:00.000000401,-618.906
1970-01-01 00:00:00.000000402,-331.962
1970-01-01 00:00:00.000000403,-244.244
1970-01-01 00:00:00.000000404,-681.858
1970-01-01 00:00:00.000000405,-123.83
1970-01-01 00:00:00.000000406,86.62
1970-01-01 00:00:00.000000407,951.356
1970-01-01 00:00:00.000000408,1407.88
1970-01-01 00:00:00.000000409,698.206
1970-01-01 00:00:00.000000410,-775.066
1970-01-01 00:00:00.000000411,-301.828
1970-01-01 00:00:00.000000412,-358.68
1970-01-01 00:00:00.000000413,-767.624
1970-01-01 00:00:00.000000414,-282.918
1970-01-01 00:00:00.000000415,61.61
1970-01-01 00:00:00.000000416,966.85
1970-01-01 00:00:00.000000417,1471.076
1970-01-01 00:00:00.000000418,436.394
1970-01-01 00:00:00.000000419,-745.786
1970-01-01 00:00:00.000000420,-313.54
1970-01-01 00:00:00.000000421,-466.284
1970-01-01 00:00:00.000000422,-801.296
1970-01-01 00:00:00.000000423,-145.546
1970-01-01 00:00:00.000000424,5.002
1970-01-01 00:00:00.000000425,1039.684
1970-01-01 00:00:00.000000426,1324.432
1970-01-01 00:00:00.000000427,602.924
1970-01-01 00:00:00.000000428,-762.378
1970-01-01 00:00:00.000000429,-395.158
1970-01-01 00:00:00.000000430,-571.448
1970-01-01 00:00:00.000000431,-718.702
1970-01-01 00:00:00.000000432,-142.618
1970-01-01 00:00:00.000000433,13.176
1970-01-01 00:00:00.000000434,868.396
1970-01-01 00:00:00.000000435,1287.588
1970-01-01 00:00:00.000000436,-259.25
1970-01-01 00:00:00.000000437,-690.642
1970-01-01 00:00:00.000000438,-501.664
1970-01-01 00:00:00.000000439,-627.202
1970-01-01 00:00:00.000000440,-857.416
1970-01-01 00:00:00.000000441,-158.478
1970-01-01 00:00:00.000000442,125.782
1970-01-01 00:00:00.000000443,1020.652
1970-01-01 00:00:00.000000444,1248.06
1970-01-01 00:00:00.000000445,575.352
1970-01-01 00:00:00.000000446,-676.612
1970-01-01 00:00:00.000000447,-518.988
1970-01-01 00:00:00.000000448,-580.11
