time_captured,IBM_Open
2007-11-27,102.7
2007-11-28,104.82
2007-11-29,107.24
2007-11-30,108.57
2007-12-03,105.55
2007-12-04,105.41
2007-12-05,107.83
2007-12-06,108.0
2007-12-07,109.68
2007-12-10,109.38
2007-12-11,109.34
2007-12-12,109.17
2007-12-13,108.0
2007-12-14,107.31
2007-12-17,105.37
2007-12-18,105.08
2007-12-19,106.54
2007-12-20,107.78
2007-12-21,109.9
2007-12-24,111.2
2007-12-26,110.9
2007-12-27,110.53
2007-12-28,110.76
2007-12-31,109.51
2008-01-02,108.99
2008-01-03,104.83
2008-01-04,103.95
2008-01-07,100.25
2008-01-08,100.05
2008-01-09,97.76
2008-01-10,97.39
2008-01-11,99.2
2008-01-14,105.01
2008-01-15,102.03
2008-01-16,100.14
2008-01-17,102.0
2008-01-18,106.72
2008-01-22,98.55
2008-01-23,99.63
2008-01-24,106.38
2008-01-25,107.79
2008-01-28,104.44
2008-01-29,105.5
2008-01-30,105.85
2008-01-31,104.21
2008-02-01,107.16
2008-02-04,108.67
2008-02-05,107.06
2008-02-06,105.05
2008-02-07,102.89
2008-02-08,102.19
2008-02-11,103.05
2008-02-12,105.16
2008-02-13,107.13
2008-02-14,107.94
2008-02-15,105.27
2008-02-19,106.94
2008-02-20,105.43
2008-02-21,108.1
2008-02-22,107.14
2008-02-25,107.43
2008-02-26,109.52
2008-02-27,113.84
2008-02-28,115.6
2008-02-29,114.04
2008-03-03,113.86
2008-03-04,113.4
2008-03-05,116.41
2008-03-06,115.06
2008-03-07,111.85
2008-03-10,113.12
2008-03-11,115.8
2008-03-12,116.44
2008-03-13,115.69
2008-03-14,116.07
2008-03-17,113.0
2008-03-18,116.6
2008-03-19,118.29
2008-03-20,117.09
2008-03-24,118.57
2008-03-25,119.1
2008-03-26,117.59
2008-03-27,116.02
2008-03-28,115.86
2008-03-31,114.15
2008-04-01,115.2
2008-04-02,116.84
2008-04-03,114.35
2008-04-04,116.05
2008-04-07,116.37
2008-04-08,115.72
2008-04-09,116.5
2008-04-10,116.93
2008-04-11,117.31
2008-04-14,116.2
2008-04-15,117.1
2008-04-16,118.15
2008-04-17,122.39
2008-04-18,123.92
2008-04-21,123.62
2008-04-22,123.87
2008-04-23,123.69
2008-04-24,123.38
2008-04-25,124.5
2008-04-28,122.61
2008-04-29,122.04
2008-04-30,123.34
2008-05-01,121.06
2008-05-02,123.3
2008-05-05,122.29
2008-05-06,121.5
2008-05-07,122.78
2008-05-08,124.2
2008-05-09,124.37
2008-05-12,123.82
2008-05-13,125.12
2008-05-14,126.52
2008-05-15,127.33
2008-05-16,128.46
2008-05-19,127.68
2008-05-20,126.05
2008-05-21,125.05
2008-05-22,123.55
2008-05-23,124.35
2008-05-27,124.01
2008-05-28,127.5
2008-05-29,128.76
2008-05-30,129.22
2008-06-02,128.49
2008-06-03,127.47
2008-06-04,127.87
2008-06-05,127.41
2008-06-06,127.77
2008-06-09,125.38
2008-06-10,124.88
