time_captured,05_unb_raw_accZ
1970-01-01 00:00:00.000000129,901.58
1970-01-01 00:00:00.000000130,639.89
1970-01-01 00:00:00.000000131,853.268
1970-01-01 00:00:00.000000132,1549.522
1970-01-01 00:00:00.000000133,1534.15
1970-01-01 00:00:00.000000134,1093.12
1970-01-01 00:00:00.000000135,458.598
1970-01-01 00:00:00.000000136,1138.626
1970-01-01 00:00:00.000000137,308.538
1970-01-01 00:00:00.000000138,132.736
1970-01-01 00:00:00.000000139,65.026
1970-01-01 00:00:00.000000140,672.83
1970-01-01 00:00:00.000000141,1323.456
1970-01-01 00:00:00.000000142,1196.21
1970-01-01 00:00:00.000000143,821.914
1970-01-01 00:00:00.000000144,1152.534
1970-01-01 00:00:00.000000145,832.65
1970-01-01 00:00:00.000000146,416.386
1970-01-01 00:00:00.000000147,611.098
1970-01-01 00:00:00.000000148,692.472
1970-01-01 00:00:00.000000149,1151.802
1970-01-01 00:00:00.000000150,1394.948
1970-01-01 00:00:00.000000151,1140.212
1970-01-01 00:00:00.000000152,1041.88
1970-01-01 00:00:00.000000153,946.232
1970-01-01 00:00:00.000000154,578.28
1970-01-01 00:00:00.000000155,796.782
1970-01-01 00:00:00.000000156,750.422
1970-01-01 00:00:00.000000157,648.552
1970-01-01 00:00:00.000000158,1166.198
1970-01-01 00:00:00.000000159,472.018
1970-01-01 00:00:00.000000160,1803.404
1970-01-01 00:00:00.000000161,1491.816
1970-01-01 00:00:00.000000162,897.676
1970-01-01 00:00:00.000000163,559.004
1970-01-01 00:00:00.000000164,409.554
1970-01-01 00:00:00.000000165,803.37
1970-01-01 00:00:00.000000166,706.868
1970-01-01 00:00:00.000000167,1095.682
1970-01-01 00:00:00.000000168,1651.392
1970-01-01 00:00:00.000000169,1128.378
1970-01-01 00:00:00.000000170,986.98
1970-01-01 00:00:00.000000171,914.39
1970-01-01 00:00:00.000000172,503.738
1970-01-01 00:00:00.000000173,558.516
1970-01-01 00:00:00.000000174,591.578
1970-01-01 00:00:00.000000175,350.262
1970-01-01 00:00:00.000000176,725.656
1970-01-01 00:00:00.000000177,1344.44
1970-01-01 00:00:00.000000178,1746.43
1970-01-01 00:00:00.000000179,1112.152
1970-01-01 00:00:00.000000180,967.338
1970-01-01 00:00:00.000000181,212.89
1970-01-01 00:00:00.000000182,778.116
1970-01-01 00:00:00.000000183,736.27
1970-01-01 00:00:00.000000184,1009.062
1970-01-01 00:00:00.000000185,1425.082
1970-01-01 00:00:00.000000186,1272.338
1970-01-01 00:00:00.000000187,1103.734
1970-01-01 00:00:00.000000188,1023.824
1970-01-01 00:00:00.000000189,1193.892
1970-01-01 00:00:00.000000190,-11.346
1970-01-01 00:00:00.000000191,514.23
1970-01-01 00:00:00.000000192,305.976
1970-01-01 00:00:00.000000193,590.846
1970-01-01 00:00:00.000000194,768.6
1970-01-01 00:00:00.000000195,1825.608
1970-01-01 00:00:00.000000196,1534.882
1970-01-01 00:00:00.000000197,1530.734
1970-01-01 00:00:00.000000198,613.538
1970-01-01 00:00:00.000000199,649.528
1970-01-01 00:00:00.000000200,491.538
1970-01-01 00:00:00.000000201,951.6
1970-01-01 00:00:00.000000202,1189.622
1970-01-01 00:00:00.000000203,1861.964
1970-01-01 00:00:00.000000204,774.334
1970-01-01 00:00:00.000000205,1224.636
1970-01-01 00:00:00.000000206,748.714
1970-01-01 00:00:00.000000207,703.452
1970-01-01 00:00:00.000000208,789.096
1970-01-01 00:00:00.000000209,517.158
1970-01-01 00:00:00.000000210,200.324
1970-01-01 00:00:00.000000211,733.708
1970-01-01 00:00:00.000000212,1015.284
1970-01-01 00:00:00.000000213,2053.504
1970-01-01 00:00:00.000000214,1449.238
1970-01-01 00:00:00.000000215,1319.918
1970-01-01 00:00:00.000000216,635.864
1970-01-01 00:00:00.000000217,679.906
1970-01-01 00:00:00.000000218,1013.576
1970-01-01 00:00:00.000000219,755.79
1970-01-01 00:00:00.000000220,1649.928
1970-01-01 00:00:00.000000221,1367.864
1970-01-01 00:00:00.000000222,1283.806
1970-01-01 00:00:00.000000223,974.658
1970-01-01 00:00:00.000000224,647.088
1970-01-01 00:00:00.000000225,816.79
1970-01-01 00:00:00.000000226,511.912
1970-01-01 00:00:00.000000227,452.742
1970-01-01 00:00:00.000000228,552.66
1970-01-01 00:00:00.000000229,1122.766
1970-01-01 00:00:00.000000230,1606.984
1970-01-01 00:00:00.000000231,1416.42
1970-01-01 00:00:00.000000232,1007.476
1970-01-01 00:00:00.000000233,913.414
1970-01-01 00:00:00.000000234,721.386
1970-01-01 00:00:00.000000235,537.776
1970-01-01 00:00:00.000000236,1034.438
1970-01-01 00:00:00.000000237,408.212
1970-01-01 00:00:00.000000238,1711.416
1970-01-01 00:00:00.000000239,1158.512
1970-01-01 00:00:00.000000240,1028.216
1970-01-01 00:00:00.000000241,861.32
1970-01-01 00:00:00.000000242,1014.43
1970-01-01 00:00:00.000000243,783.362
1970-01-01 00:00:00.000000244,999.79
1970-01-01 00:00:00.000000245,141.52
1970-01-01 00:00:00.000000246,692.472
1970-01-01 00:00:00.000000247,776.896
1970-01-01 00:00:00.000000248,1864.77
1970-01-01 00:00:00.000000249,1103.856
1970-01-01 00:00:00.000000250,1595.76
1970-01-01 00:00:00.000000251,919.148
1970-01-01 00:00:00.000000252,619.516
1970-01-01 00:00:00.000000253,616.832
1970-01-01 00:00:00.000000254,455.426
1970-01-01 00:00:00.000000255,616.1
1970-01-01 00:00:00.000000256,1043.344
1970-01-01 00:00:00.000000257,1938.946
1970-01-01 00:00:00.000000258,819.108
1970-01-01 00:00:00.000000259,689.3
1970-01-01 00:00:00.000000260,782.264
1970-01-01 00:00:00.000000261,534.482
1970-01-01 00:00:00.000000262,1259.04
1970-01-01 00:00:00.000000263,340.868
1970-01-01 00:00:00.000000264,102.968
1970-01-01 00:00:00.000000265,1032.974
1970-01-01 00:00:00.000000266,1115.202
1970-01-01 00:00:00.000000267,1896.612
1970-01-01 00:00:00.000000268,1302.106
1970-01-01 00:00:00.000000269,531.554
1970-01-01 00:00:00.000000270,1045.174
1970-01-01 00:00:00.000000271,284.992
1970-01-01 00:00:00.000000272,409.31
1970-01-01 00:00:00.000000273,1258.064
1970-01-01 00:00:00.000000274,1247.206
1970-01-01 00:00:00.000000275,1592.344
1970-01-01 00:00:00.000000276,986.736
1970-01-01 00:00:00.000000277,706.99
1970-01-01 00:00:00.000000278,1019.798
1970-01-01 00:00:00.000000279,654.774
1970-01-01 00:00:00.000000280,-29.036
1970-01-01 00:00:00.000000281,505.568
1970-01-01 00:00:00.000000282,980.392
1970-01-01 00:00:00.000000283,1238.544
1970-01-01 00:00:00.000000284,1269.654
1970-01-01 00:00:00.000000285,1311.866
1970-01-01 00:00:00.000000286,1087.996
1970-01-01 00:00:00.000000287,739.93
1970-01-01 00:00:00.000000288,285.114
1970-01-01 00:00:00.000000289,837.164
1970-01-01 00:00:00.000000290,687.958
1970-01-01 00:00:00.000000291,1200.114
1970-01-01 00:00:00.000000292,1603.69
1970-01-01 00:00:00.000000293,905.24
1970-01-01 00:00:00.000000294,778.482
1970-01-01 00:00:00.000000295,1041.514
1970-01-01 00:00:00.000000296,691.984
1970-01-01 00:00:00.000000297,808.006
1970-01-01 00:00:00.000000298,245.708
1970-01-01 00:00:00.000000299,509.228
1970-01-01 00:00:00.000000300,814.106
1970-01-01 00:00:00.000000301,785.314
1970-01-01 00:00:00.000000302,1362.618
1970-01-01 00:00:00.000000303,1440.454
1970-01-01 00:00:00.000000304,765.428
1970-01-01 00:00:00.000000305,915.366
1970-01-01 00:00:00.000000306,477.874
1970-01-01 00:00:00.000000307,596.092
1970-01-01 00:00:00.000000308,1100.074
1970-01-01 00:00:00.000000309,1237.202
1970-01-01 00:00:00.000000310,1463.512
1970-01-01 00:00:00.000000311,1009.672
1970-01-01 00:00:00.000000312,853.024
1970-01-01 00:00:00.000000313,726.022
1970-01-01 00:00:00.000000314,340.136
1970-01-01 00:00:00.000000315,457.378
1970-01-01 00:00:00.000000316,455.792
1970-01-01 00:00:00.000000317,737.246
1970-01-01 00:00:00.000000318,1406.66
1970-01-01 00:00:00.000000319,1871.602
1970-01-01 00:00:00.000000320,1159.854
1970-01-01 00:00:00.000000321,1468.148
1970-01-01 00:00:00.000000322,665.022
1970-01-01 00:00:00.000000323,514.23
1970-01-01 00:00:00.000000324,790.438
1970-01-01 00:00:00.000000325,694.912
1970-01-01 00:00:00.000000326,1257.454
1970-01-01 00:00:00.000000327,1640.534
1970-01-01 00:00:00.000000328,1381.04
1970-01-01 00:00:00.000000329,1086.41
1970-01-01 00:00:00.000000330,1004.06
1970-01-01 00:00:00.000000331,578.036
1970-01-01 00:00:00.000000332,709.918
1970-01-01 00:00:00.000000333,631.716
1970-01-01 00:00:00.000000334,552.538
1970-01-01 00:00:00.000000335,1004.182
1970-01-01 00:00:00.000000336,772.504
1970-01-01 00:00:00.000000337,1619.55
1970-01-01 00:00:00.000000338,1313.33
1970-01-01 00:00:00.000000339,571.326
1970-01-01 00:00:00.000000340,808.25
1970-01-01 00:00:00.000000341,467.016
1970-01-01 00:00:00.000000342,881.084
1970-01-01 00:00:00.000000343,622.566
1970-01-01 00:00:00.000000344,1283.196
1970-01-01 00:00:00.000000345,1840.248
1970-01-01 00:00:00.000000346,1548.424
1970-01-01 00:00:00.000000347,630.008
1970-01-01 00:00:00.000000348,554.49
1970-01-01 00:00:00.000000349,762.5
1970-01-01 00:00:00.000000350,619.76
1970-01-01 00:00:00.000000351,503.25
1970-01-01 00:00:00.000000352,303.414
1970-01-01 00:00:00.000000353,422.364
1970-01-01 00:00:00.000000354,1417.884
1970-01-01 00:00:00.000000355,1076.284
1970-01-01 00:00:00.000000356,1026.508
1970-01-01 00:00:00.000000357,778.116
1970-01-01 00:00:00.000000358,407.602
1970-01-01 00:00:00.000000359,888.282
1970-01-01 00:00:00.000000360,682.834
