time_captured,07_c75_hrm_accX
1970-01-01 00:00:00.000000114,714.972562469363
1970-01-01 00:00:00.000000115,-579.85464605687
1970-01-01 00:00:00.000000116,-628.891992141606
1970-01-01 00:00:00.000000117,-159.82
1970-01-01 00:00:00.000000118,287.561086973155
1970-01-01 00:00:00.000000119,750.763492172559
1970-01-01 00:00:00.000000120,1038.31082982059
1970-01-01 00:00:00.000000121,211.888478122369
1970-01-01 00:00:00.000000122,-1171.09297610084
1970-01-01 00:00:00.000000123,-860.086266670031
1970-01-01 00:00:00.000000124,-792.031426791209
1970-01-01 00:00:00.000000125,364.339366759993
1970-01-01 00:00:00.000000126,1229.65442715442
1970-01-01 00:00:00.000000127,-499.308360440955
1970-01-01 00:00:00.000000128,-801.593946163785
1970-01-01 00:00:00.000000129,-99.43
1970-01-01 00:00:00.000000130,-41.9135239182387
1970-01-01 00:00:00.000000131,367.484093291784
1970-01-01 00:00:00.000000132,1247.31068567427
1970-01-01 00:00:00.000000133,801.061449754313
1970-01-01 00:00:00.000000134,-812.011656202627
1970-01-01 00:00:00.000000135,-621.138392606406
1970-01-01 00:00:00.000000136,-1082.11463247104
1970-01-01 00:00:00.000000137,-262.978068294569
1970-01-01 00:00:00.000000138,1208.532
1970-01-01 00:00:00.000000139,-16.2777463701304
1970-01-01 00:00:00.000000140,-768.586338648091
1970-01-01 00:00:00.000000141,-200.084268039428
1970-01-01 00:00:00.000000142,-146.08358185433
1970-01-01 00:00:00.000000143,97.0335520062679
1970-01-01 00:00:00.000000144,1357.9366107447
1970-01-01 00:00:00.000000145,1204.49401226191
1970-01-01 00:00:00.000000146,30.5519752204905
1970-01-01 00:00:00.000000147,-716.75
1970-01-01 00:00:00.000000148,-795.309905245901
1970-01-01 00:00:00.000000149,-888.373995164034
1970-01-01 00:00:00.000000150,872.178
1970-01-01 00:00:00.000000151,190.661371336839
1970-01-01 00:00:00.000000152,-776.668729801529
1970-01-01 00:00:00.000000153,-252.216557396684
1970-01-01 00:00:00.000000154,-87.5052655729443
1970-01-01 00:00:00.000000155,27.7533799339853
1970-01-01 00:00:00.000000156,326.838
1970-01-01 00:00:00.000000157,1400.53152449205
1970-01-01 00:00:00.000000158,1047.71355429306
1970-01-01 00:00:00.000000159,-1101.05
1970-01-01 00:00:00.000000160,-997.507215059365
1970-01-01 00:00:00.000000161,-887.63318911441
1970-01-01 00:00:00.000000162,31.0725343316906
1970-01-01 00:00:00.000000163,766.678648181511
1970-01-01 00:00:00.000000164,-517.636509934611
1970-01-01 00:00:00.000000165,-646.966
1970-01-01 00:00:00.000000166,-82.6045295505575
1970-01-01 00:00:00.000000167,156.330052693531
1970-01-01 00:00:00.000000168,332.572
1970-01-01 00:00:00.000000169,966.79687482438
1970-01-01 00:00:00.000000170,82.804234782713
1970-01-01 00:00:00.000000171,-381.890780376857
1970-01-01 00:00:00.000000172,-943.566159826416
1970-01-01 00:00:00.000000173,-852.10675054966
1970-01-01 00:00:00.000000174,-159.21
1970-01-01 00:00:00.000000175,1002.60877265601
1970-01-01 00:00:00.000000176,-32.3876290998044
1970-01-01 00:00:00.000000177,-470.188
1970-01-01 00:00:00.000000178,-621.550862689107
1970-01-01 00:00:00.000000179,103.923896533244
1970-01-01 00:00:00.000000180,328.886538821801
1970-01-01 00:00:00.000000181,657.383277135075
1970-01-01 00:00:00.000000182,1343.10421140904
1970-01-01 00:00:00.000000183,-619.093048481752
1970-01-01 00:00:00.000000184,-905.335119721281
1970-01-01 00:00:00.000000185,-899.566000033351
