time_captured,AXP_Volume
2007-02-28,11590800
2007-03-01,8759784
2007-03-02,7281000
2007-03-05,6491800
2007-03-06,8311400
2007-03-07,5464100
2007-03-08,5424500
2007-03-09,3819800
2007-03-12,3702294
2007-03-13,7980226
2007-03-14,10665564
2007-03-15,8899200
2007-03-16,7967573
2007-03-19,6295000
2007-03-20,3857400
2007-03-21,7200015
2007-03-22,5546073
2007-03-23,3505600
2007-03-26,3708770
2007-03-27,5419500
2007-03-28,7592740
2007-03-29,4587975
2007-03-30,4139043
2007-04-02,6908060
2007-04-03,7565074
2007-04-04,3600167
2007-04-05,4643565
2007-04-09,3592481
2007-04-10,4464552
2007-04-11,4523239
2007-04-12,5294969
2007-04-13,7326000
2007-04-16,6472205
2007-04-17,5115700
2007-04-18,8385919
2007-04-19,7124373
2007-04-20,14274223
2007-04-23,7559336
2007-04-24,8817622
2007-04-25,10412293
2007-04-26,9451203
2007-04-27,5486866
2007-04-30,9399742
2007-05-01,10964650
2007-05-02,8619421
2007-05-03,8395143
2007-05-04,3754208
2007-05-07,2837200
2007-05-08,3190000
2007-05-09,3213400
2007-05-10,5553147
2007-05-11,3434320
2007-05-14,4400466
2007-05-15,5757193
2007-05-16,5614370
2007-05-17,3041240
2007-05-18,4855250
2007-05-21,4986460
2007-05-22,3237231
2007-05-23,4596678
2007-05-24,6676152
2007-05-25,3606650
2007-05-29,3269120
2007-05-30,5704501
2007-05-31,4768120
2007-06-01,5078813
2007-06-04,3748404
2007-06-05,5707738
2007-06-06,5384661
2007-06-07,6424863
2007-06-08,4290978
2007-06-11,4451030
2007-06-12,4649544
2007-06-13,4263925
2007-06-14,4570300
2007-06-15,7128287
2007-06-18,3807524
2007-06-19,4853100
2007-06-20,4035051
2007-06-21,6375839
2007-06-22,8427200
2007-06-25,5426175
2007-06-26,5585077
2007-06-27,4573455
2007-06-28,6978556
2007-06-29,6528539
2007-07-02,6016933
2007-07-03,2958300
2007-07-05,3458000
2007-07-06,3401520
2007-07-09,4884750
2007-07-10,9896163
2007-07-11,7928200
2007-07-12,9537100
2007-07-13,6013100
2007-07-16,4823957
2007-07-17,10397103
2007-07-18,9492952
2007-07-19,6084851
2007-07-20,7313882
2007-07-23,7266752
2007-07-24,12173169
2007-07-25,8240072
2007-07-26,14111433
2007-07-27,13403800
2007-07-30,9060600
2007-07-31,12150800
2007-08-01,10756149
2007-08-02,8367300
2007-08-03,14938256
2007-08-06,17552100
2007-08-07,13139000
2007-08-08,13356000
2007-08-09,17310300
2007-08-10,16210100
2007-08-13,9661250
2007-08-14,11376800
2007-08-15,10352233
2007-08-16,17405800
2007-08-17,13244900
2007-08-20,6323900
2007-08-21,6913300
2007-08-22,8487600
2007-08-23,5901300
2007-08-24,4784997
2007-08-27,4405334
2007-08-28,10827200
2007-08-29,9129000
2007-08-30,7822900
2007-08-31,6146400
2007-09-04,8269863
2007-09-05,6854600
2007-09-06,4407300
2007-09-07,8603300
2007-09-10,6174900
2007-09-11,4355900
2007-09-12,5698300
2007-09-13,8098900
2007-09-14,8821100
2007-09-17,7563334
2007-09-18,10324432
2007-09-19,8102706
2007-09-20,8866800
2007-09-21,11867500
2007-09-24,6434968
2007-09-25,6697700
2007-09-26,6371539
2007-09-27,4683140
2007-09-28,4368000
2007-10-01,6364461
2007-10-02,5350720
2007-10-03,8577400
2007-10-04,4062885
2007-10-05,6846517
2007-10-08,3533600
2007-10-09,8783700
2007-10-10,6626381
2007-10-11,7308592
2007-10-12,5580194
2007-10-15,11470368
2007-10-16,9367100
2007-10-17,8003922
2007-10-18,7926086
2007-10-19,13624600
2007-10-22,17462479
2007-10-23,11212800
2007-10-24,10623800
2007-10-25,11858719
2007-10-26,8457680
2007-10-29,4744600
2007-10-30,4085464
2007-10-31,8590079
2007-11-01,9596200
2007-11-02,9617050
2007-11-05,7017277
2007-11-06,6741398
2007-11-07,13784075
2007-11-08,14768403
2007-11-09,13740851
2007-11-12,10770521
2007-11-13,10496451
2007-11-14,8479007
2007-11-15,8275670
2007-11-16,12302872
2007-11-19,9430667
2007-11-20,15794023
2007-11-21,13980734
2007-11-23,4450264
2007-11-26,9650956
2007-11-27,12608733
2007-11-28,11814249
2007-11-29,7566820
2007-11-30,11113100
2007-12-03,9793859
2007-12-04,8001250
2007-12-05,6944393
2007-12-06,6898000
2007-12-07,13486136
2007-12-10,6887602
2007-12-11,14313235
2007-12-12,13739708
2007-12-13,14128479
2007-12-14,11098594
2007-12-17,10501417
2007-12-18,9968448
2007-12-19,7927712
2007-12-20,11066200
2007-12-21,11772041
2007-12-24,4108718
2007-12-26,5221440
2007-12-27,7887002
2007-12-28,6574494
2007-12-31,8381294
2008-01-02,8053636
2008-01-03,7753487
2008-01-04,8501487
2008-01-07,14031022
2008-01-08,11721738
2008-01-09,10971923
2008-01-10,18732265
2008-01-11,57228713
2008-01-14,18554976
2008-01-15,16956777
2008-01-16,17365210
