time_captured,PG_Open
2006-06-14,54.0
2006-06-15,54.97
2006-06-16,54.89
2006-06-19,55.98
2006-06-20,55.23
2006-06-21,55.52
2006-06-22,55.63
2006-06-23,55.56
2006-06-26,55.74
2006-06-27,55.25
2006-06-28,55.75
2006-06-29,56.24
2006-06-30,57.0
2006-07-03,56.02
2006-07-05,55.7
2006-07-06,55.97
2006-07-07,56.45
2006-07-10,56.43
2006-07-11,56.78
2006-07-12,57.25
2006-07-13,56.61
2006-07-14,56.29
2006-07-17,55.63
2006-07-18,55.65
2006-07-19,55.8
2006-07-20,56.41
2006-07-21,56.85
2006-07-24,56.35
2006-07-25,56.6
2006-07-26,56.65
2006-07-27,56.85
2006-07-28,56.87
2006-07-31,56.41
2006-08-01,56.0
2006-08-02,57.98
2006-08-03,58.46
2006-08-04,59.59
2006-08-07,59.14
2006-08-08,59.75
2006-08-09,59.8
2006-08-10,59.6
2006-08-11,59.99
2006-08-14,60.27
2006-08-15,60.25
2006-08-16,60.38
2006-08-17,60.14
2006-08-18,60.35
2006-08-21,60.3
2006-08-22,60.72
2006-08-23,60.9
2006-08-24,60.88
2006-08-25,60.83
2006-08-28,60.42
2006-08-29,61.0
2006-08-30,61.45
2006-08-31,61.57
2006-09-01,61.99
2006-09-05,61.5
2006-09-06,61.56
2006-09-07,61.89
2006-09-08,62.34
2006-09-11,61.1
2006-09-12,61.92
2006-09-13,61.83
2006-09-14,60.05
2006-09-15,61.1
2006-09-18,60.73
2006-09-19,60.32
2006-09-20,61.1
2006-09-21,61.81
2006-09-22,61.65
2006-09-25,61.57
2006-09-26,62.03
2006-09-27,62.48
2006-09-28,62.41
2006-09-29,62.13
2006-10-02,61.99
2006-10-03,61.89
2006-10-04,62.08
2006-10-05,63.23
2006-10-06,63.15
2006-10-09,62.78
2006-10-10,62.61
2006-10-11,62.28
2006-10-12,62.57
2006-10-13,62.16
2006-10-16,61.82
2006-10-17,61.79
2006-10-18,62.15
2006-10-19,62.29
2006-10-20,62.73
2006-10-23,62.28
2006-10-24,63.0
2006-10-25,62.98
2006-10-26,63.1
2006-10-27,63.31
2006-10-30,63.57
2006-10-31,62.21
2006-11-01,63.2
2006-11-02,62.84
2006-11-03,63.27
2006-11-06,63.23
2006-11-07,63.56
2006-11-08,64.13
2006-11-09,63.86
2006-11-10,63.96
2006-11-13,63.77
2006-11-14,63.18
2006-11-15,63.12
2006-11-16,63.27
2006-11-17,63.5
2006-11-20,63.9
2006-11-21,63.45
2006-11-22,63.27
2006-11-24,63.64
2006-11-27,63.17
2006-11-28,62.7
2006-11-29,62.95
2006-11-30,63.04
2006-12-01,63.01
2006-12-04,63.08
2006-12-05,63.42
2006-12-06,63.57
2006-12-07,63.95
2006-12-08,63.7
2006-12-11,63.7
2006-12-12,63.92
2006-12-13,63.73
2006-12-14,63.3
2006-12-15,63.49
2006-12-18,64.02
2006-12-19,63.72
2006-12-20,64.3
2006-12-21,64.3
2006-12-22,64.23
2006-12-26,63.67
2006-12-27,64.4
2006-12-28,64.17
2006-12-29,64.36
2007-01-03,63.72
2007-01-04,64.34
2007-01-05,63.87
2007-01-08,63.59
2007-01-09,63.39
2007-01-10,63.27
2007-01-11,64.16
2007-01-12,64.4
2007-01-16,64.91
2007-01-17,65.21
2007-01-18,65.25
2007-01-19,65.69
2007-01-22,65.95
2007-01-23,66.0
2007-01-24,65.55
2007-01-25,65.36
2007-01-26,65.0
2007-01-29,65.23
2007-01-30,64.41
2007-01-31,64.5
2007-02-01,64.9
2007-02-02,65.58
2007-02-05,65.12
2007-02-06,65.15
2007-02-07,64.82
2007-02-08,64.11
2007-02-09,64.59
2007-02-12,64.36
2007-02-13,64.16
2007-02-14,64.85
2007-02-15,64.8
2007-02-16,64.89
2007-02-20,65.07
2007-02-21,64.75
2007-02-22,64.48
2007-02-23,64.78
2007-02-26,64.66
2007-02-27,64.44
2007-02-28,62.5
2007-03-01,62.75
2007-03-02,63.35
2007-03-05,62.84
2007-03-06,63.0
2007-03-07,62.8
2007-03-08,62.29
2007-03-09,62.4
2007-03-12,62.13
2007-03-13,61.75
2007-03-14,62.09
2007-03-15,61.36
2007-03-16,62.14
2007-03-19,61.72
2007-03-20,61.98
2007-03-21,62.34
2007-03-22,63.5
2007-03-23,63.53
2007-03-26,63.6
2007-03-27,63.55
2007-03-28,63.48
2007-03-29,63.49
2007-03-30,63.11
2007-04-02,63.22
2007-04-03,63.22
2007-04-04,63.1
2007-04-05,62.81
2007-04-09,63.03
2007-04-10,63.24
2007-04-11,63.21
2007-04-12,63.03
2007-04-13,63.52
2007-04-16,63.5
2007-04-17,63.58
2007-04-18,63.65
2007-04-19,63.77
2007-04-20,63.99
2007-04-23,63.8
2007-04-24,63.48
2007-04-25,63.35
2007-04-26,63.26
2007-04-27,62.91
2007-04-30,63.36
2007-05-01,63.21
2007-05-02,63.21
2007-05-03,62.63
2007-05-04,62.25
2007-05-07,62.61
2007-05-08,61.83
2007-05-09,61.75
2007-05-10,62.01
2007-05-11,61.67
2007-05-14,61.75
2007-05-15,61.72
2007-05-16,62.3
2007-05-17,63.05
2007-05-18,63.5
2007-05-21,63.3
2007-05-22,63.01
2007-05-23,63.03
2007-05-24,63.36
2007-05-25,63.3
2007-05-29,62.91
2007-05-30,63.4
2007-05-31,63.75
2007-06-01,63.55
2007-06-04,63.46
2007-06-05,63.09
2007-06-06,63.46
2007-06-07,62.61
2007-06-08,62.36
2007-06-11,62.8
2007-06-12,62.7
2007-06-13,62.29
2007-06-14,62.29
2007-06-15,62.66
2007-06-18,62.5
2007-06-19,61.81
2007-06-20,61.82
2007-06-21,62.03
2007-06-22,61.88
2007-06-25,61.1
2007-06-26,61.2
2007-06-27,61.15
2007-06-28,61.6
2007-06-29,61.45
2007-07-02,61.19
2007-07-03,61.45
2007-07-05,61.93
2007-07-06,61.5
2007-07-09,61.48
2007-07-10,61.54
2007-07-11,61.06
2007-07-12,61.57
2007-07-13,62.59
2007-07-16,62.66
2007-07-17,63.15
2007-07-18,62.4
2007-07-19,62.48
2007-07-20,62.24
2007-07-23,62.29
2007-07-24,62.57
2007-07-25,62.96
2007-07-26,62.32
2007-07-27,62.56
2007-07-30,62.51
2007-07-31,63.27
2007-08-01,61.52
2007-08-02,63.05
2007-08-03,63.25
2007-08-06,63.0
2007-08-07,65.0
2007-08-08,65.35
2007-08-09,65.16
2007-08-10,64.31
2007-08-13,65.2
2007-08-14,64.23
2007-08-15,63.95
2007-08-16,62.53
2007-08-17,64.9
2007-08-20,65.15
2007-08-21,64.65
2007-08-22,64.88
2007-08-23,64.99
2007-08-24,65.31
2007-08-27,65.67
2007-08-28,65.15
2007-08-29,64.89
2007-08-30,64.81
2007-08-31,65.13
2007-09-04,65.04
2007-09-05,65.38
2007-09-06,65.14
2007-09-07,65.69
2007-09-10,65.55
2007-09-11,66.29
2007-09-12,66.9
2007-09-13,67.32
2007-09-14,67.0
2007-09-17,67.49
2007-09-18,68.29
2007-09-19,68.95
2007-09-20,68.49
2007-09-21,69.67
2007-09-24,69.32
2007-09-25,69.4
2007-09-26,69.91
2007-09-27,70.51
2007-09-28,69.95
2007-10-01,70.44
2007-10-02,70.85
2007-10-03,70.72
2007-10-04,70.2
2007-10-05,70.9
