time_captured,04_out_raw_accZ
1970-01-01 00:00:00.000000129,959.774
1970-01-01 00:00:00.000000130,854.0
1970-01-01 00:00:00.000000131,1220.366
1970-01-01 00:00:00.000000132,1403.976
1970-01-01 00:00:00.000000133,1154.12
1970-01-01 00:00:00.000000134,1114.714
1970-01-01 00:00:00.000000135,757.01
1970-01-01 00:00:00.000000136,675.148
1970-01-01 00:00:00.000000137,523.868
1970-01-01 00:00:00.000000138,835.334
1970-01-01 00:00:00.000000139,1260.382
1970-01-01 00:00:00.000000140,1197.308
1970-01-01 00:00:00.000000141,1501.454
1970-01-01 00:00:00.000000142,1143.14
1970-01-01 00:00:00.000000143,542.656
1970-01-01 00:00:00.000000144,464.454
1970-01-01 00:00:00.000000145,668.316
1970-01-01 00:00:00.000000146,538.508
1970-01-01 00:00:00.000000147,1141.92
1970-01-01 00:00:00.000000148,218.624
1970-01-01 00:00:00.000000149,1299.788
1970-01-01 00:00:00.000000150,2068.266
1970-01-01 00:00:00.000000151,1211.216
1970-01-01 00:00:00.000000152,1449.482
1970-01-01 00:00:00.000000153,739.076
1970-01-01 00:00:00.000000154,406.382
1970-01-01 00:00:00.000000155,636.718
1970-01-01 00:00:00.000000156,758.352
1970-01-01 00:00:00.000000157,488.61
1970-01-01 00:00:00.000000158,1193.526
1970-01-01 00:00:00.000000159,1335.534
1970-01-01 00:00:00.000000160,1280.756
1970-01-01 00:00:00.000000161,1134.6
1970-01-01 00:00:00.000000162,941.962
1970-01-01 00:00:00.000000163,399.184
1970-01-01 00:00:00.000000164,431.27
1970-01-01 00:00:00.000000165,941.718
1970-01-01 00:00:00.000000166,928.176
1970-01-01 00:00:00.000000167,1245.254
1970-01-01 00:00:00.000000168,1214.022
1970-01-01 00:00:00.000000169,1191.574
1970-01-01 00:00:00.000000170,1139.236
1970-01-01 00:00:00.000000171,789.34
1970-01-01 00:00:00.000000172,219.356
1970-01-01 00:00:00.000000173,513.254
1970-01-01 00:00:00.000000174,1251.72
1970-01-01 00:00:00.000000175,763.598
1970-01-01 00:00:00.000000176,708.454
1970-01-01 00:00:00.000000177,1479.616
1970-01-01 00:00:00.000000178,1271.606
1970-01-01 00:00:00.000000179,1374.086
1970-01-01 00:00:00.000000180,891.942
1970-01-01 00:00:00.000000181,447.984
1970-01-01 00:00:00.000000182,285.48
1970-01-01 00:00:00.000000183,600.606
1970-01-01 00:00:00.000000184,401.38
1970-01-01 00:00:00.000000185,846.436
1970-01-01 00:00:00.000000186,1247.206
1970-01-01 00:00:00.000000187,1417.274
1970-01-01 00:00:00.000000188,1378.356
1970-01-01 00:00:00.000000189,1353.468
1970-01-01 00:00:00.000000190,224.846
1970-01-01 00:00:00.000000191,657.58
1970-01-01 00:00:00.000000192,1039.562
1970-01-01 00:00:00.000000193,691.374
1970-01-01 00:00:00.000000194,646.722
1970-01-01 00:00:00.000000195,885.11
1970-01-01 00:00:00.000000196,1320.65
1970-01-01 00:00:00.000000197,1590.148
1970-01-01 00:00:00.000000198,1278.316
1970-01-01 00:00:00.000000199,873.154
1970-01-01 00:00:00.000000200,769.454
1970-01-01 00:00:00.000000201,882.182
1970-01-01 00:00:00.000000202,612.928
1970-01-01 00:00:00.000000203,608.17
1970-01-01 00:00:00.000000204,893.894
1970-01-01 00:00:00.000000205,1536.102
1970-01-01 00:00:00.000000206,1272.338
1970-01-01 00:00:00.000000207,1106.906
1970-01-01 00:00:00.000000208,250.1
1970-01-01 00:00:00.000000209,736.27
1970-01-01 00:00:00.000000210,516.914
1970-01-01 00:00:00.000000211,436.394
1970-01-01 00:00:00.000000212,677.222
1970-01-01 00:00:00.000000213,1149.606
1970-01-01 00:00:00.000000214,1580.022
1970-01-01 00:00:00.000000215,1219.634
1970-01-01 00:00:00.000000216,1033.584
1970-01-01 00:00:00.000000217,2.806
1970-01-01 00:00:00.000000218,216.794
1970-01-01 00:00:00.000000219,701.744
1970-01-01 00:00:00.000000220,468.846
1970-01-01 00:00:00.000000221,745.908
1970-01-01 00:00:00.000000222,838.384
1970-01-01 00:00:00.000000223,947.696
1970-01-01 00:00:00.000000224,1087.386
1970-01-01 00:00:00.000000225,1331.874
1970-01-01 00:00:00.000000226,865.468
1970-01-01 00:00:00.000000227,1292.956
1970-01-01 00:00:00.000000228,448.838
1970-01-01 00:00:00.000000229,535.58
1970-01-01 00:00:00.000000230,533.262
1970-01-01 00:00:00.000000231,977.098
1970-01-01 00:00:00.000000232,917.562
1970-01-01 00:00:00.000000233,1698.362
1970-01-01 00:00:00.000000234,1110.322
1970-01-01 00:00:00.000000235,833.138
1970-01-01 00:00:00.000000236,1360.788
1970-01-01 00:00:00.000000237,1062.132
1970-01-01 00:00:00.000000238,477.63
1970-01-01 00:00:00.000000239,624.518
1970-01-01 00:00:00.000000240,831.674
1970-01-01 00:00:00.000000241,830.942
1970-01-01 00:00:00.000000242,1043.222
1970-01-01 00:00:00.000000243,965.142
1970-01-01 00:00:00.000000244,965.142
1970-01-01 00:00:00.000000245,1011.746
1970-01-01 00:00:00.000000246,773.48
1970-01-01 00:00:00.000000247,489.342
1970-01-01 00:00:00.000000248,635.864
1970-01-01 00:00:00.000000249,729.316
1970-01-01 00:00:00.000000250,953.674
1970-01-01 00:00:00.000000251,1642.242
1970-01-01 00:00:00.000000252,1163.026
1970-01-01 00:00:00.000000253,1108.126
1970-01-01 00:00:00.000000254,1233.664
1970-01-01 00:00:00.000000255,684.298
1970-01-01 00:00:00.000000256,186.66
1970-01-01 00:00:00.000000257,847.9
1970-01-01 00:00:00.000000258,778.482
1970-01-01 00:00:00.000000259,1093.364
1970-01-01 00:00:00.000000260,1124.352
1970-01-01 00:00:00.000000261,1040.538
1970-01-01 00:00:00.000000262,1570.14
1970-01-01 00:00:00.000000263,557.662
1970-01-01 00:00:00.000000264,574.01
1970-01-01 00:00:00.000000265,-39.04
1970-01-01 00:00:00.000000266,500.688
1970-01-01 00:00:00.000000267,1228.296
1970-01-01 00:00:00.000000268,775.92
1970-01-01 00:00:00.000000269,1191.696
1970-01-01 00:00:00.000000270,1654.808
1970-01-01 00:00:00.000000271,1047.858
1970-01-01 00:00:00.000000272,700.768
1970-01-01 00:00:00.000000273,468.236
1970-01-01 00:00:00.000000274,591.578
1970-01-01 00:00:00.000000275,535.58
1970-01-01 00:00:00.000000276,984.784
1970-01-01 00:00:00.000000277,458.476
1970-01-01 00:00:00.000000278,954.406
1970-01-01 00:00:00.000000279,2027.152
1970-01-01 00:00:00.000000280,1304.546
1970-01-01 00:00:00.000000281,471.53
1970-01-01 00:00:00.000000282,484.34
1970-01-01 00:00:00.000000283,378.322
1970-01-01 00:00:00.000000284,438.956
1970-01-01 00:00:00.000000285,614.758
1970-01-01 00:00:00.000000286,908.29
1970-01-01 00:00:00.000000287,647.088
1970-01-01 00:00:00.000000288,1805.966
1970-01-01 00:00:00.000000289,1290.638
1970-01-01 00:00:00.000000290,1296.25
1970-01-01 00:00:00.000000291,440.42
1970-01-01 00:00:00.000000292,622.688
1970-01-01 00:00:00.000000293,208.864
1970-01-01 00:00:00.000000294,941.23
1970-01-01 00:00:00.000000295,584.99
1970-01-01 00:00:00.000000296,1205.97
1970-01-01 00:00:00.000000297,1192.672
1970-01-01 00:00:00.000000298,1224.27
1970-01-01 00:00:00.000000299,1028.46
1970-01-01 00:00:00.000000300,794.83
1970-01-01 00:00:00.000000301,454.572
1970-01-01 00:00:00.000000302,416.142
1970-01-01 00:00:00.000000303,970.144
1970-01-01 00:00:00.000000304,785.07
1970-01-01 00:00:00.000000305,837.408
1970-01-01 00:00:00.000000306,1321.26
1970-01-01 00:00:00.000000307,1072.014
1970-01-01 00:00:00.000000308,1188.402
1970-01-01 00:00:00.000000309,1016.382
1970-01-01 00:00:00.000000310,453.84
1970-01-01 00:00:00.000000311,385.642
1970-01-01 00:00:00.000000312,615.612
1970-01-01 00:00:00.000000313,598.776
1970-01-01 00:00:00.000000314,839.97
1970-01-01 00:00:00.000000315,1524.512
1970-01-01 00:00:00.000000316,1165.222
1970-01-01 00:00:00.000000317,1424.35
1970-01-01 00:00:00.000000318,1270.508
1970-01-01 00:00:00.000000319,679.052
1970-01-01 00:00:00.000000320,722.606
1970-01-01 00:00:00.000000321,1068.354
1970-01-01 00:00:00.000000322,552.294
1970-01-01 00:00:00.000000323,481.168
1970-01-01 00:00:00.000000324,988.322
1970-01-01 00:00:00.000000325,1533.784
1970-01-01 00:00:00.000000326,1164.612
1970-01-01 00:00:00.000000327,1002.352
1970-01-01 00:00:00.000000328,434.686
1970-01-01 00:00:00.000000329,568.764
1970-01-01 00:00:00.000000330,984.906
1970-01-01 00:00:00.000000331,259.86
1970-01-01 00:00:00.000000332,379.298
1970-01-01 00:00:00.000000333,1031.022
1970-01-01 00:00:00.000000334,1474.736
1970-01-01 00:00:00.000000335,1252.086
1970-01-01 00:00:00.000000336,655.14
1970-01-01 00:00:00.000000337,67.588
1970-01-01 00:00:00.000000338,67.588
1970-01-01 00:00:00.000000339,869.128
1970-01-01 00:00:00.000000340,44.408
1970-01-01 00:00:00.000000341,351.848
1970-01-01 00:00:00.000000342,1008.818
1970-01-01 00:00:00.000000343,1361.154
1970-01-01 00:00:00.000000344,1415.566
1970-01-01 00:00:00.000000345,986.492
1970-01-01 00:00:00.000000346,-46.97
1970-01-01 00:00:00.000000347,384.544
1970-01-01 00:00:00.000000348,540.338
1970-01-01 00:00:00.000000349,373.808
1970-01-01 00:00:00.000000350,603.778
1970-01-01 00:00:00.000000351,896.212
1970-01-01 00:00:00.000000352,594.018
1970-01-01 00:00:00.000000353,934.642
1970-01-01 00:00:00.000000354,1198.894
1970-01-01 00:00:00.000000355,771.65
1970-01-01 00:00:00.000000356,870.714
1970-01-01 00:00:00.000000357,320.006
1970-01-01 00:00:00.000000358,365.024
1970-01-01 00:00:00.000000359,869.494
1970-01-01 00:00:00.000000360,630.008
1970-01-01 00:00:00.000000361,1343.22
1970-01-01 00:00:00.000000362,1733.376
1970-01-01 00:00:00.000000363,1326.506
1970-01-01 00:00:00.000000364,647.698
1970-01-01 00:00:00.000000365,673.318
1970-01-01 00:00:00.000000366,673.318
1970-01-01 00:00:00.000000367,549.61
1970-01-01 00:00:00.000000368,799.466
1970-01-01 00:00:00.000000369,910.974
1970-01-01 00:00:00.000000370,1227.198
1970-01-01 00:00:00.000000371,1393.24
1970-01-01 00:00:00.000000372,965.996
1970-01-01 00:00:00.000000373,1424.838
1970-01-01 00:00:00.000000374,1104.954
1970-01-01 00:00:00.000000375,279.746
1970-01-01 00:00:00.000000376,857.538
1970-01-01 00:00:00.000000377,725.168
1970-01-01 00:00:00.000000378,796.782
1970-01-01 00:00:00.000000379,971.364
1970-01-01 00:00:00.000000380,1771.806
1970-01-01 00:00:00.000000381,1108.492
1970-01-01 00:00:00.000000382,1117.642
1970-01-01 00:00:00.000000383,588.406
1970-01-01 00:00:00.000000384,307.318
1970-01-01 00:00:00.000000385,776.164
1970-01-01 00:00:00.000000386,604.022
1970-01-01 00:00:00.000000387,703.696
1970-01-01 00:00:00.000000388,1161.684
1970-01-01 00:00:00.000000389,1254.038
1970-01-01 00:00:00.000000390,873.764
1970-01-01 00:00:00.000000391,1403.854
1970-01-01 00:00:00.000000392,637.938
1970-01-01 00:00:00.000000393,787.754
1970-01-01 00:00:00.000000394,560.102
1970-01-01 00:00:00.000000395,654.652
1970-01-01 00:00:00.000000396,930.372
1970-01-01 00:00:00.000000397,891.088
1970-01-01 00:00:00.000000398,1361.398
1970-01-01 00:00:00.000000399,1279.048
1970-01-01 00:00:00.000000400,1174.616
1970-01-01 00:00:00.000000401,486.17
1970-01-01 00:00:00.000000402,374.174
1970-01-01 00:00:00.000000403,609.512
1970-01-01 00:00:00.000000404,733.952
1970-01-01 00:00:00.000000405,842.532
1970-01-01 00:00:00.000000406,744.932
1970-01-01 00:00:00.000000407,788.364
1970-01-01 00:00:00.000000408,1627.236
1970-01-01 00:00:00.000000409,1609.79
1970-01-01 00:00:00.000000410,515.572
1970-01-01 00:00:00.000000411,284.748
1970-01-01 00:00:00.000000412,683.444
1970-01-01 00:00:00.000000413,308.782
1970-01-01 00:00:00.000000414,922.442
1970-01-01 00:00:00.000000415,490.928
1970-01-01 00:00:00.000000416,982.466
1970-01-01 00:00:00.000000417,1574.776
1970-01-01 00:00:00.000000418,1306.376
1970-01-01 00:00:00.000000419,1236.714
1970-01-01 00:00:00.000000420,482.632
1970-01-01 00:00:00.000000421,231.922
1970-01-01 00:00:00.000000422,794.098
1970-01-01 00:00:00.000000423,740.662
1970-01-01 00:00:00.000000424,673.196
1970-01-01 00:00:00.000000425,1311.256
1970-01-01 00:00:00.000000426,1145.946
1970-01-01 00:00:00.000000427,1230.614
1970-01-01 00:00:00.000000428,1093.974
1970-01-01 00:00:00.000000429,992.958
1970-01-01 00:00:00.000000430,338.428
1970-01-01 00:00:00.000000431,522.77
1970-01-01 00:00:00.000000432,954.772
1970-01-01 00:00:00.000000433,717.116
1970-01-01 00:00:00.000000434,747.86
1970-01-01 00:00:00.000000435,1376.77
1970-01-01 00:00:00.000000436,862.418
1970-01-01 00:00:00.000000437,1232.322
1970-01-01 00:00:00.000000438,223.626
1970-01-01 00:00:00.000000439,238.998
1970-01-01 00:00:00.000000440,718.58
1970-01-01 00:00:00.000000441,843.63
1970-01-01 00:00:00.000000442,489.098
1970-01-01 00:00:00.000000443,793.366
1970-01-01 00:00:00.000000444,1188.158
1970-01-01 00:00:00.000000445,1254.038
1970-01-01 00:00:00.000000446,1235.25
1970-01-01 00:00:00.000000447,1396.29
1970-01-01 00:00:00.000000448,392.718
1970-01-01 00:00:00.000000449,1097.756
