time_captured,08_vnt_raw_accY
1970-01-01 00:00:00.000000129,-141.398
1970-01-01 00:00:00.000000130,-321.47
1970-01-01 00:00:00.000000131,-54.778
1970-01-01 00:00:00.000000132,-578.158
1970-01-01 00:00:00.000000133,125.416
1970-01-01 00:00:00.000000134,382.836
1970-01-01 00:00:00.000000135,410.286
1970-01-01 00:00:00.000000136,-67.344
1970-01-01 00:00:00.000000137,14.762
1970-01-01 00:00:00.000000138,119.926
1970-01-01 00:00:00.000000139,190.442
1970-01-01 00:00:00.000000140,326.838
1970-01-01 00:00:00.000000141,589.504
1970-01-01 00:00:00.000000142,72.956
1970-01-01 00:00:00.000000143,147.742
1970-01-01 00:00:00.000000144,16.714
1970-01-01 00:00:00.000000145,-123.83
1970-01-01 00:00:00.000000146,-423.096
1970-01-01 00:00:00.000000147,-436.394
1970-01-01 00:00:00.000000148,-219.478
1970-01-01 00:00:00.000000149,469.09
1970-01-01 00:00:00.000000150,336.354
1970-01-01 00:00:00.000000151,287.066
1970-01-01 00:00:00.000000152,57.584
1970-01-01 00:00:00.000000153,308.05
1970-01-01 00:00:00.000000154,3.05
1970-01-01 00:00:00.000000155,-392.84
1970-01-01 00:00:00.000000156,66.002
1970-01-01 00:00:00.000000157,-71.736
1970-01-01 00:00:00.000000158,-13.42
1970-01-01 00:00:00.000000159,541.07
1970-01-01 00:00:00.000000160,381.982
1970-01-01 00:00:00.000000161,-12.688
1970-01-01 00:00:00.000000162,-221.43
1970-01-01 00:00:00.000000163,21.594
1970-01-01 00:00:00.000000164,-263.764
1970-01-01 00:00:00.000000165,-290.238
1970-01-01 00:00:00.000000166,-204.96
1970-01-01 00:00:00.000000167,-122.61
1970-01-01 00:00:00.000000168,35.746
1970-01-01 00:00:00.000000169,-248.026
1970-01-01 00:00:00.000000170,-34.404
1970-01-01 00:00:00.000000171,-183.122
1970-01-01 00:00:00.000000172,52.094
1970-01-01 00:00:00.000000173,-167.628
1970-01-01 00:00:00.000000174,-166.652
1970-01-01 00:00:00.000000175,341.356
1970-01-01 00:00:00.000000176,430.05
1970-01-01 00:00:00.000000177,201.788
1970-01-01 00:00:00.000000178,-29.036
1970-01-01 00:00:00.000000179,21.106
1970-01-01 00:00:00.000000180,-90.89
1970-01-01 00:00:00.000000181,-90.89
1970-01-01 00:00:00.000000182,-60.512
1970-01-01 00:00:00.000000183,472.384
1970-01-01 00:00:00.000000184,-12.322
1970-01-01 00:00:00.000000185,-520.94
1970-01-01 00:00:00.000000186,100.04
1970-01-01 00:00:00.000000187,14.762
1970-01-01 00:00:00.000000188,-250.1
1970-01-01 00:00:00.000000189,-112.728
1970-01-01 00:00:00.000000190,7.93
1970-01-01 00:00:00.000000191,-71.126
1970-01-01 00:00:00.000000192,27.45
1970-01-01 00:00:00.000000193,168.726
1970-01-01 00:00:00.000000194,305.122
1970-01-01 00:00:00.000000195,154.208
1970-01-01 00:00:00.000000196,227.408
1970-01-01 00:00:00.000000197,-209.596
1970-01-01 00:00:00.000000198,-305.0
1970-01-01 00:00:00.000000199,-39.772
1970-01-01 00:00:00.000000200,-151.28
1970-01-01 00:00:00.000000201,-173.728
1970-01-01 00:00:00.000000202,419.68
1970-01-01 00:00:00.000000203,566.568
1970-01-01 00:00:00.000000204,28.914
1970-01-01 00:00:00.000000205,174.216
1970-01-01 00:00:00.000000206,-144.326
1970-01-01 00:00:00.000000207,-423.828
1970-01-01 00:00:00.000000208,-518.256
1970-01-01 00:00:00.000000209,-72.834
1970-01-01 00:00:00.000000210,-313.784
1970-01-01 00:00:00.000000211,130.296
1970-01-01 00:00:00.000000212,207.888
1970-01-01 00:00:00.000000213,74.176
1970-01-01 00:00:00.000000214,326.228
1970-01-01 00:00:00.000000215,-74.664
1970-01-01 00:00:00.000000216,-773.846
1970-01-01 00:00:00.000000217,-247.294
1970-01-01 00:00:00.000000218,-182.024
1970-01-01 00:00:00.000000219,129.198
1970-01-01 00:00:00.000000220,120.048
1970-01-01 00:00:00.000000221,-32.208
1970-01-01 00:00:00.000000222,-208.498
1970-01-01 00:00:00.000000223,-132.37
1970-01-01 00:00:00.000000224,-275.232
1970-01-01 00:00:00.000000225,-467.748
1970-01-01 00:00:00.000000226,89.792
1970-01-01 00:00:00.000000227,-231.312
1970-01-01 00:00:00.000000228,479.948
1970-01-01 00:00:00.000000229,107.97
1970-01-01 00:00:00.000000230,781.044
1970-01-01 00:00:00.000000231,74.176
1970-01-01 00:00:00.000000232,198.128
1970-01-01 00:00:00.000000233,-214.598
1970-01-01 00:00:00.000000234,-193.126
1970-01-01 00:00:00.000000235,-37.332
1970-01-01 00:00:00.000000236,-482.022
1970-01-01 00:00:00.000000237,46.482
1970-01-01 00:00:00.000000238,-302.438
1970-01-01 00:00:00.000000239,-211.914
1970-01-01 00:00:00.000000240,205.57
1970-01-01 00:00:00.000000241,-66.124
1970-01-01 00:00:00.000000242,-469.7
1970-01-01 00:00:00.000000243,-332.328
1970-01-01 00:00:00.000000244,243.756
1970-01-01 00:00:00.000000245,-364.414
1970-01-01 00:00:00.000000246,-74.664
1970-01-01 00:00:00.000000247,20.252
1970-01-01 00:00:00.000000248,-205.692
1970-01-01 00:00:00.000000249,-414.434
1970-01-01 00:00:00.000000250,-204.106
1970-01-01 00:00:00.000000251,-309.392
1970-01-01 00:00:00.000000252,-368.318
1970-01-01 00:00:00.000000253,-165.188
1970-01-01 00:00:00.000000254,-50.264
1970-01-01 00:00:00.000000255,196.42
1970-01-01 00:00:00.000000256,51.728
1970-01-01 00:00:00.000000257,-142.13
1970-01-01 00:00:00.000000258,-277.55
1970-01-01 00:00:00.000000259,-144.204
1970-01-01 00:00:00.000000260,60.39
1970-01-01 00:00:00.000000261,-220.576
1970-01-01 00:00:00.000000262,67.466
1970-01-01 00:00:00.000000263,261.202
1970-01-01 00:00:00.000000264,220.332
1970-01-01 00:00:00.000000265,7.076
1970-01-01 00:00:00.000000266,-56.242
1970-01-01 00:00:00.000000267,-66.734
1970-01-01 00:00:00.000000268,85.156
1970-01-01 00:00:00.000000269,56.974
1970-01-01 00:00:00.000000270,-252.54
1970-01-01 00:00:00.000000271,-117.12
1970-01-01 00:00:00.000000272,-165.676
1970-01-01 00:00:00.000000273,173.362
1970-01-01 00:00:00.000000274,230.824
1970-01-01 00:00:00.000000275,51.972
1970-01-01 00:00:00.000000276,-178.486
1970-01-01 00:00:00.000000277,-163.114
1970-01-01 00:00:00.000000278,3.904
1970-01-01 00:00:00.000000279,118.95
1970-01-01 00:00:00.000000280,566.69
1970-01-01 00:00:00.000000281,618.296
1970-01-01 00:00:00.000000282,566.324
1970-01-01 00:00:00.000000283,569.74
1970-01-01 00:00:00.000000284,451.156
1970-01-01 00:00:00.000000285,272.06
1970-01-01 00:00:00.000000286,-485.926
1970-01-01 00:00:00.000000287,-295.118
1970-01-01 00:00:00.000000288,-624.03
1970-01-01 00:00:00.000000289,-0.244
1970-01-01 00:00:00.000000290,-55.51
1970-01-01 00:00:00.000000291,111.264
1970-01-01 00:00:00.000000292,153.72
1970-01-01 00:00:00.000000293,195.322
1970-01-01 00:00:00.000000294,-194.834
1970-01-01 00:00:00.000000295,-119.804
1970-01-01 00:00:00.000000296,-193.98
1970-01-01 00:00:00.000000297,147.742
1970-01-01 00:00:00.000000298,-172.02
1970-01-01 00:00:00.000000299,115.778
1970-01-01 00:00:00.000000300,-37.21
1970-01-01 00:00:00.000000301,-140.3
1970-01-01 00:00:00.000000302,-333.914
1970-01-01 00:00:00.000000303,-387.106
1970-01-01 00:00:00.000000304,50.752
1970-01-01 00:00:00.000000305,-57.096
1970-01-01 00:00:00.000000306,27.694
1970-01-01 00:00:00.000000307,165.066
1970-01-01 00:00:00.000000308,269.376
1970-01-01 00:00:00.000000309,143.594
1970-01-01 00:00:00.000000310,-127.49
1970-01-01 00:00:00.000000311,145.912
1970-01-01 00:00:00.000000312,-45.262
1970-01-01 00:00:00.000000313,-313.052
1970-01-01 00:00:00.000000314,-496.052
1970-01-01 00:00:00.000000315,-8.906
1970-01-01 00:00:00.000000316,157.746
1970-01-01 00:00:00.000000317,406.748
1970-01-01 00:00:00.000000318,267.912
1970-01-01 00:00:00.000000319,53.07
1970-01-01 00:00:00.000000320,-3.66
1970-01-01 00:00:00.000000321,258.03
1970-01-01 00:00:00.000000322,-171.898
1970-01-01 00:00:00.000000323,100.772
1970-01-01 00:00:00.000000324,97.356
1970-01-01 00:00:00.000000325,-592.92
1970-01-01 00:00:00.000000326,159.332
1970-01-01 00:00:00.000000327,234.24
1970-01-01 00:00:00.000000328,237.29
1970-01-01 00:00:00.000000329,62.586
1970-01-01 00:00:00.000000330,-365.512
1970-01-01 00:00:00.000000331,-269.254
1970-01-01 00:00:00.000000332,426.512
1970-01-01 00:00:00.000000333,80.52
1970-01-01 00:00:00.000000334,158.234
1970-01-01 00:00:00.000000335,340.38
1970-01-01 00:00:00.000000336,608.536
1970-01-01 00:00:00.000000337,31.964
1970-01-01 00:00:00.000000338,-228.018
1970-01-01 00:00:00.000000339,10.492
1970-01-01 00:00:00.000000340,-356.972
1970-01-01 00:00:00.000000341,-297.07
1970-01-01 00:00:00.000000342,-94.428
1970-01-01 00:00:00.000000343,430.66
1970-01-01 00:00:00.000000344,-159.942
1970-01-01 00:00:00.000000345,-178.364
1970-01-01 00:00:00.000000346,133.468
1970-01-01 00:00:00.000000347,-466.04
1970-01-01 00:00:00.000000348,-123.586
1970-01-01 00:00:00.000000349,58.926
1970-01-01 00:00:00.000000350,-214.476
1970-01-01 00:00:00.000000351,-238.754
1970-01-01 00:00:00.000000352,56.73
1970-01-01 00:00:00.000000353,-310.856
1970-01-01 00:00:00.000000354,-399.184
1970-01-01 00:00:00.000000355,-101.626
1970-01-01 00:00:00.000000356,-211.914
1970-01-01 00:00:00.000000357,72.834
1970-01-01 00:00:00.000000358,-68.564
1970-01-01 00:00:00.000000359,159.576
1970-01-01 00:00:00.000000360,355.63
1970-01-01 00:00:00.000000361,419.924
1970-01-01 00:00:00.000000362,278.282
1970-01-01 00:00:00.000000363,147.01
1970-01-01 00:00:00.000000364,-37.21
1970-01-01 00:00:00.000000365,-271.45
1970-01-01 00:00:00.000000366,125.782
1970-01-01 00:00:00.000000367,-28.06
1970-01-01 00:00:00.000000368,539.972
1970-01-01 00:00:00.000000369,212.402
1970-01-01 00:00:00.000000370,283.894
1970-01-01 00:00:00.000000371,262.056
1970-01-01 00:00:00.000000372,-124.074
1970-01-01 00:00:00.000000373,287.188
1970-01-01 00:00:00.000000374,157.624
1970-01-01 00:00:00.000000375,-383.202
1970-01-01 00:00:00.000000376,-200.69
1970-01-01 00:00:00.000000377,43.432
1970-01-01 00:00:00.000000378,225.334
1970-01-01 00:00:00.000000379,-219.6
1970-01-01 00:00:00.000000380,431.758
1970-01-01 00:00:00.000000381,-42.578
1970-01-01 00:00:00.000000382,-594.14
1970-01-01 00:00:00.000000383,-283.04
1970-01-01 00:00:00.000000384,-15.372
1970-01-01 00:00:00.000000385,-252.174
1970-01-01 00:00:00.000000386,-387.594
1970-01-01 00:00:00.000000387,176.412
1970-01-01 00:00:00.000000388,20.252
1970-01-01 00:00:00.000000389,-128.588
1970-01-01 00:00:00.000000390,72.712
1970-01-01 00:00:00.000000391,-145.546
1970-01-01 00:00:00.000000392,39.772
1970-01-01 00:00:00.000000393,-579.744
1970-01-01 00:00:00.000000394,-189.1
1970-01-01 00:00:00.000000395,60.878
1970-01-01 00:00:00.000000396,-42.7
1970-01-01 00:00:00.000000397,-42.7
1970-01-01 00:00:00.000000398,-206.546
1970-01-01 00:00:00.000000399,-337.574
1970-01-01 00:00:00.000000400,-116.022
1970-01-01 00:00:00.000000401,159.576
1970-01-01 00:00:00.000000402,-20.496
1970-01-01 00:00:00.000000403,204.106
1970-01-01 00:00:00.000000404,392.84
1970-01-01 00:00:00.000000405,88.938
1970-01-01 00:00:00.000000406,16.104
1970-01-01 00:00:00.000000407,92.842
1970-01-01 00:00:00.000000408,31.964
1970-01-01 00:00:00.000000409,-81.374
1970-01-01 00:00:00.000000410,-135.054
1970-01-01 00:00:00.000000411,-362.096
1970-01-01 00:00:00.000000412,-101.87
1970-01-01 00:00:00.000000413,-388.692
1970-01-01 00:00:00.000000414,112.85
1970-01-01 00:00:00.000000415,563.884
1970-01-01 00:00:00.000000416,305.244
1970-01-01 00:00:00.000000417,-189.71
1970-01-01 00:00:00.000000418,-11.834
1970-01-01 00:00:00.000000419,-92.11
1970-01-01 00:00:00.000000420,221.064
1970-01-01 00:00:00.000000421,144.57
1970-01-01 00:00:00.000000422,70.76
1970-01-01 00:00:00.000000423,517.28
1970-01-01 00:00:00.000000424,559.492
1970-01-01 00:00:00.000000425,118.584
1970-01-01 00:00:00.000000426,-204.716
1970-01-01 00:00:00.000000427,-361.608
1970-01-01 00:00:00.000000428,-124.074
1970-01-01 00:00:00.000000429,-417.118
1970-01-01 00:00:00.000000430,454.572
1970-01-01 00:00:00.000000431,278.282
1970-01-01 00:00:00.000000432,361.486
1970-01-01 00:00:00.000000433,67.344
1970-01-01 00:00:00.000000434,67.344
1970-01-01 00:00:00.000000435,-64.416
1970-01-01 00:00:00.000000436,-648.674
1970-01-01 00:00:00.000000437,-479.216
1970-01-01 00:00:00.000000438,-228.628
1970-01-01 00:00:00.000000439,-76.616
1970-01-01 00:00:00.000000440,98.088
1970-01-01 00:00:00.000000441,235.582
1970-01-01 00:00:00.000000442,0.976
1970-01-01 00:00:00.000000443,0.976
1970-01-01 00:00:00.000000444,-326.472
1970-01-01 00:00:00.000000445,223.87
1970-01-01 00:00:00.000000446,-179.218
1970-01-01 00:00:00.000000447,307.806
1970-01-01 00:00:00.000000448,98.454
1970-01-01 00:00:00.000000449,122.0
1970-01-01 00:00:00.000000450,-97.356
1970-01-01 00:00:00.000000451,-290.238
1970-01-01 00:00:00.000000452,-149.572
1970-01-01 00:00:00.000000453,-111.142
1970-01-01 00:00:00.000000454,-174.46
