time_captured,02_on_raw_accX
1970-01-01 00:00:00.000000127,573.766
1970-01-01 00:00:00.000000128,1212.924
1970-01-01 00:00:00.000000129,1212.924
1970-01-01 00:00:00.000000130,-323.666
1970-01-01 00:00:00.000000131,-891.454
1970-01-01 00:00:00.000000132,-572.302
1970-01-01 00:00:00.000000133,-331.352
1970-01-01 00:00:00.000000134,-587.552
1970-01-01 00:00:00.000000135,-136.03
1970-01-01 00:00:00.000000136,1084.214
1970-01-01 00:00:00.000000137,1250.744
1970-01-01 00:00:00.000000138,1250.744
1970-01-01 00:00:00.000000139,-386.862
1970-01-01 00:00:00.000000140,-743.224
1970-01-01 00:00:00.000000141,-330.742
1970-01-01 00:00:00.000000142,-402.356
1970-01-01 00:00:00.000000143,-652.578
1970-01-01 00:00:00.000000144,73.566
1970-01-01 00:00:00.000000145,1205.116
1970-01-01 00:00:00.000000146,1086.41
1970-01-01 00:00:00.000000147,103.944
1970-01-01 00:00:00.000000148,-484.95
1970-01-01 00:00:00.000000149,-499.224
1970-01-01 00:00:00.000000150,-374.052
1970-01-01 00:00:00.000000151,-445.91
1970-01-01 00:00:00.000000152,-708.454
1970-01-01 00:00:00.000000153,-148.23
1970-01-01 00:00:00.000000154,1301.252
1970-01-01 00:00:00.000000155,1060.912
1970-01-01 00:00:00.000000156,117.486
1970-01-01 00:00:00.000000157,-723.216
1970-01-01 00:00:00.000000158,-557.296
1970-01-01 00:00:00.000000159,-434.198
1970-01-01 00:00:00.000000160,-542.29
1970-01-01 00:00:00.000000161,-487.634
1970-01-01 00:00:00.000000162,418.704
1970-01-01 00:00:00.000000163,1237.324
1970-01-01 00:00:00.000000164,1241.716
1970-01-01 00:00:00.000000165,173.972
1970-01-01 00:00:00.000000166,-952.21
1970-01-01 00:00:00.000000167,-675.514
1970-01-01 00:00:00.000000168,-457.134
1970-01-01 00:00:00.000000169,-387.228
1970-01-01 00:00:00.000000170,-394.304
1970-01-01 00:00:00.000000171,470.432
1970-01-01 00:00:00.000000172,1229.028
1970-01-01 00:00:00.000000173,1054.568
1970-01-01 00:00:00.000000174,20.374
1970-01-01 00:00:00.000000175,-1027.24
1970-01-01 00:00:00.000000176,-636.84
1970-01-01 00:00:00.000000177,-459.33
1970-01-01 00:00:00.000000178,-446.398
1970-01-01 00:00:00.000000179,-282.064
1970-01-01 00:00:00.000000180,349.53
1970-01-01 00:00:00.000000181,1338.096
1970-01-01 00:00:00.000000182,998.936
1970-01-01 00:00:00.000000183,-154.208
1970-01-01 00:00:00.000000184,-987.712
1970-01-01 00:00:00.000000185,-544.974
1970-01-01 00:00:00.000000186,-495.198
1970-01-01 00:00:00.000000187,-467.382
1970-01-01 00:00:00.000000188,-121.634
1970-01-01 00:00:00.000000189,679.296
1970-01-01 00:00:00.000000190,1273.192
1970-01-01 00:00:00.000000191,749.69
1970-01-01 00:00:00.000000192,-278.648
1970-01-01 00:00:00.000000193,-815.936
1970-01-01 00:00:00.000000194,-477.02
1970-01-01 00:00:00.000000195,-464.088
1970-01-01 00:00:00.000000196,-463.356
1970-01-01 00:00:00.000000197,-122.366
1970-01-01 00:00:00.000000198,1077.26
1970-01-01 00:00:00.000000199,1320.65
1970-01-01 00:00:00.000000200,280.722
1970-01-01 00:00:00.000000201,-482.51
1970-01-01 00:00:00.000000202,-648.064
1970-01-01 00:00:00.000000203,-411.384
1970-01-01 00:00:00.000000204,-456.89
1970-01-01 00:00:00.000000205,-413.214
1970-01-01 00:00:00.000000206,102.602
1970-01-01 00:00:00.000000207,1299.3
1970-01-01 00:00:00.000000208,1209.752
1970-01-01 00:00:00.000000209,30.256
1970-01-01 00:00:00.000000210,-755.302
1970-01-01 00:00:00.000000211,-787.998
1970-01-01 00:00:00.000000212,-391.986
1970-01-01 00:00:00.000000213,-448.838
1970-01-01 00:00:00.000000214,-546.56
1970-01-01 00:00:00.000000215,-327.082
1970-01-01 00:00:00.000000216,1313.574
1970-01-01 00:00:00.000000217,1152.412
1970-01-01 00:00:00.000000218,59.78
1970-01-01 00:00:00.000000219,-754.082
1970-01-01 00:00:00.000000220,-779.824
1970-01-01 00:00:00.000000221,-207.888
1970-01-01 00:00:00.000000222,-398.208
