time_captured,WMT_Close
2006-01-03,46.23
2006-01-04,46.32
2006-01-05,45.69
2006-01-06,45.88
2006-01-09,45.71
2006-01-10,45.86
2006-01-11,46.57
2006-01-12,45.74
2006-01-13,45.4
2006-01-17,44.95
2006-01-18,44.88
2006-01-19,45.8
2006-01-20,45.0
2006-01-23,45.25
2006-01-24,45.72
2006-01-25,45.97
2006-01-26,46.32
2006-01-27,45.84
2006-01-30,46.41
2006-01-31,46.11
2006-02-01,46.14
2006-02-02,46.28
2006-02-03,45.49
2006-02-06,45.08
2006-02-07,44.74
2006-02-08,45.4
2006-02-09,45.7
2006-02-10,45.75
2006-02-13,45.51
2006-02-14,46.45
2006-02-15,46.89
2006-02-16,46.63
2006-02-17,46.1
2006-02-21,45.74
2006-02-22,45.48
2006-02-23,45.7
2006-02-24,45.45
2006-02-27,45.76
2006-02-28,45.36
2006-03-01,45.15
2006-03-02,45.06
2006-03-03,45.33
2006-03-06,45.12
2006-03-07,45.27
2006-03-08,45.27
2006-03-09,45.24
2006-03-10,45.33
2006-03-13,45.27
2006-03-14,45.54
2006-03-15,45.32
2006-03-16,46.36
2006-03-17,46.69
2006-03-20,47.76
2006-03-21,48.11
2006-03-22,48.1
2006-03-23,48.54
2006-03-24,48.19
2006-03-27,47.95
2006-03-28,47.75
2006-03-29,48.05
2006-03-30,47.66
2006-03-31,47.24
2006-04-03,46.77
2006-04-04,46.5
2006-04-05,46.87
2006-04-06,46.56
2006-04-07,46.02
2006-04-10,45.7
2006-04-11,45.5
2006-04-12,45.9
2006-04-13,45.77
2006-04-17,45.82
2006-04-18,46.4
2006-04-19,46.47
2006-04-20,46.4
2006-04-21,45.82
2006-04-24,45.54
2006-04-25,45.63
2006-04-26,45.98
2006-04-27,45.64
2006-04-28,45.03
2006-05-01,45.93
2006-05-02,46.16
2006-05-03,46.69
2006-05-04,46.4
2006-05-05,47.25
2006-05-08,47.57
2006-05-09,47.87
2006-05-10,47.78
2006-05-11,47.25
2006-05-12,46.54
2006-05-15,47.43
2006-05-16,48.07
2006-05-17,46.84
2006-05-18,47.22
2006-05-19,47.32
2006-05-22,47.35
2006-05-23,47.52
2006-05-24,48.03
2006-05-25,49.45
2006-05-26,49.65
2006-05-30,48.3
2006-05-31,48.45
2006-06-01,48.39
2006-06-02,47.83
2006-06-05,47.19
2006-06-06,47.03
2006-06-07,47.04
2006-06-08,47.3
2006-06-09,47.13
2006-06-12,46.99
2006-06-13,47.53
2006-06-14,47.71
2006-06-15,48.66
2006-06-16,48.31
2006-06-19,48.27
2006-06-20,48.43
2006-06-21,48.9
2006-06-22,48.48
2006-06-23,47.94
2006-06-26,48.07
2006-06-27,47.63
2006-06-28,47.92
2006-06-29,48.71
2006-06-30,48.17
2006-07-03,47.57
2006-07-05,47.02
2006-07-06,46.72
2006-07-07,46.0
2006-07-10,46.18
2006-07-11,46.13
2006-07-12,45.15
2006-07-13,44.16
2006-07-14,43.05
2006-07-17,43.02
2006-07-18,43.17
2006-07-19,44.2
2006-07-20,44.29
2006-07-21,43.72
2006-07-24,44.43
2006-07-25,44.67
2006-07-26,43.67
2006-07-27,43.53
2006-07-28,44.46
2006-07-31,44.5
2006-08-01,44.09
2006-08-02,44.37
2006-08-03,44.73
2006-08-04,44.87
2006-08-07,44.82
2006-08-08,44.46
2006-08-09,43.9
2006-08-10,44.89
2006-08-11,44.69
2006-08-14,45.1
2006-08-15,44.55
2006-08-16,44.43
2006-08-17,44.63
2006-08-18,44.49
2006-08-21,44.09
2006-08-22,44.07
2006-08-23,43.76
2006-08-24,43.7
2006-08-25,43.88
2006-08-28,44.43
2006-08-29,44.49
2006-08-30,44.62
2006-08-31,44.72
2006-09-01,45.45
2006-09-05,45.57
2006-09-06,45.4
2006-09-07,45.54
2006-09-08,46.72
2006-09-11,47.49
2006-09-12,48.07
2006-09-13,48.08
2006-09-14,48.37
2006-09-15,48.22
2006-09-18,48.1
2006-09-19,48.5
2006-09-20,48.87
2006-09-21,48.46
2006-09-22,48.29
2006-09-25,48.82
2006-09-26,49.25
2006-09-27,49.5
2006-09-28,49.81
2006-09-29,49.32
2006-10-02,48.44
2006-10-03,49.46
2006-10-04,49.55
2006-10-05,48.41
2006-10-06,48.32
2006-10-09,48.22
2006-10-10,48.12
2006-10-11,48.31
2006-10-12,48.32
2006-10-13,48.46
2006-10-16,48.32
2006-10-17,48.28
2006-10-18,48.35
2006-10-19,48.49
2006-10-20,49.37
2006-10-23,51.28
2006-10-24,51.3
2006-10-25,50.85
2006-10-26,51.75
2006-10-27,50.73
2006-10-30,49.53
2006-10-31,49.28
2006-11-01,48.85
2006-11-02,48.29
2006-11-03,47.53
2006-11-06,47.49
2006-11-07,47.65
2006-11-08,47.03
2006-11-09,46.39
2006-11-10,46.47
2006-11-13,46.32
2006-11-14,47.66
2006-11-15,47.68
2006-11-16,47.91
2006-11-17,47.5
2006-11-20,47.72
2006-11-21,47.81
2006-11-22,48.03
2006-11-24,47.9
2006-11-27,46.61
2006-11-28,46.71
2006-11-29,46.89
2006-11-30,46.1
2006-12-01,45.87
2006-12-04,46.29
2006-12-05,46.48
2006-12-06,46.54
2006-12-07,46.37
2006-12-08,46.35
2006-12-11,46.0
2006-12-12,45.65
2006-12-13,45.9
2006-12-14,46.52
2006-12-15,46.45
2006-12-18,46.37
2006-12-19,46.09
2006-12-20,45.87
2006-12-21,45.71
2006-12-22,45.54
2006-12-26,46.11
2006-12-27,46.16
2006-12-28,46.01
2006-12-29,46.18
2007-01-03,47.55
2007-01-04,47.78
2007-01-05,47.39
2007-01-08,47.0
2007-01-09,47.39
2007-01-10,47.28
2007-01-11,47.6
2007-01-12,47.98
2007-01-16,48.31
2007-01-17,48.2
2007-01-18,48.39
2007-01-19,48.31
2007-01-22,47.96
2007-01-23,47.81
2007-01-24,48.61
2007-01-25,48.15
2007-01-26,47.67
2007-01-29,47.63
2007-01-30,47.28
2007-01-31,47.69
2007-02-01,47.78
2007-02-02,48.08
2007-02-05,48.52
2007-02-06,48.58
2007-02-07,48.58
2007-02-08,48.31
2007-02-09,47.97
