time_captured,MCD_Low
2007-02-28,43.38
2007-03-01,42.94
2007-03-02,43.63
2007-03-05,42.85
2007-03-06,42.31
2007-03-07,42.65
2007-03-08,43.4
2007-03-09,43.78
2007-03-12,44.09
2007-03-13,43.43
2007-03-14,43.06
2007-03-15,43.4
2007-03-16,42.5
2007-03-19,43.65
2007-03-20,43.74
2007-03-21,43.82
2007-03-22,44.37
2007-03-23,44.34
2007-03-26,44.65
2007-03-27,44.82
2007-03-28,44.46
2007-03-29,44.66
2007-03-30,44.71
2007-04-02,44.26
2007-04-03,44.94
2007-04-04,45.04
2007-04-05,45.13
2007-04-09,45.81
2007-04-10,46.06
2007-04-11,46.24
2007-04-12,46.15
2007-04-13,46.87
2007-04-16,47.42
2007-04-17,48.05
2007-04-18,48.57
2007-04-19,48.32
2007-04-20,47.67
2007-04-23,48.23
2007-04-24,48.13
2007-04-25,48.32
2007-04-26,48.73
2007-04-27,48.7
2007-04-30,48.26
2007-05-01,48.21
2007-05-02,49.25
2007-05-03,49.58
2007-05-04,49.55
2007-05-07,49.42
2007-05-08,49.3
2007-05-09,49.25
2007-05-10,49.63
2007-05-11,49.58
2007-05-14,50.48
2007-05-15,50.63
2007-05-16,50.74
2007-05-17,51.51
2007-05-18,51.82
2007-05-21,51.99
2007-05-22,51.95
2007-05-23,51.35
2007-05-24,50.74
2007-05-25,50.73
2007-05-29,50.14
2007-05-30,49.79
2007-05-31,50.3
2007-06-01,50.55
2007-06-04,50.45
2007-06-05,50.43
2007-06-06,50.47
2007-06-07,50.21
2007-06-08,50.56
2007-06-11,50.98
2007-06-12,51.35
2007-06-13,51.25
2007-06-14,51.77
2007-06-15,52.13
2007-06-18,51.69
2007-06-19,52.19
2007-06-20,51.3
2007-06-21,50.64
2007-06-22,50.02
2007-06-25,50.19
2007-06-26,51.2
2007-06-27,51.19
2007-06-28,50.79
2007-06-29,50.47
2007-07-02,50.81
2007-07-03,51.34
2007-07-05,51.1
2007-07-06,51.0
2007-07-09,50.81
2007-07-10,50.25
2007-07-11,50.23
2007-07-12,50.5
2007-07-13,51.4
2007-07-16,51.82
2007-07-17,52.0
2007-07-18,51.92
2007-07-19,52.16
2007-07-20,51.95
2007-07-23,51.89
2007-07-24,51.49
2007-07-25,50.79
2007-07-26,48.86
2007-07-27,48.47
2007-07-30,48.05
2007-07-31,47.86
2007-08-01,47.5
2007-08-02,48.07
2007-08-03,48.46
2007-08-06,48.26
2007-08-07,49.0
2007-08-08,48.32
2007-08-09,49.01
2007-08-10,48.59
2007-08-13,48.6
2007-08-14,47.38
2007-08-15,47.5
2007-08-16,46.64
2007-08-17,47.33
2007-08-20,47.66
2007-08-21,48.06
2007-08-22,48.56
2007-08-23,49.5
2007-08-24,49.63
2007-08-27,49.39
2007-08-28,48.5
2007-08-29,48.17
2007-08-30,48.63
2007-08-31,49.12
2007-09-04,49.07
2007-09-05,48.98
2007-09-06,48.81
2007-09-07,49.0
2007-09-10,49.49
2007-09-11,50.93
2007-09-12,51.16
2007-09-13,52.66
2007-09-14,53.11
2007-09-17,54.14
2007-09-18,54.61
2007-09-19,54.75
2007-09-20,54.79
2007-09-21,54.7
2007-09-24,54.71
2007-09-25,53.89
2007-09-26,54.2
2007-09-27,54.06
2007-09-28,54.11
2007-10-01,54.67
2007-10-02,55.68
2007-10-03,55.54
2007-10-04,55.85
2007-10-05,55.93
2007-10-08,56.02
2007-10-09,56.7
2007-10-10,56.28
2007-10-11,55.95
2007-10-12,56.18
2007-10-15,55.93
2007-10-16,56.04
2007-10-17,56.45
2007-10-18,56.67
2007-10-19,56.32
2007-10-22,55.61
2007-10-23,55.69
2007-10-24,56.23
2007-10-25,56.94
2007-10-26,57.6
2007-10-29,58.42
2007-10-30,58.62
2007-10-31,58.83
2007-11-01,58.84
2007-11-02,58.5
2007-11-05,58.76
2007-11-06,59.39
2007-11-07,58.25
2007-11-08,58.81
2007-11-09,58.1
2007-11-12,58.51
2007-11-13,56.77
2007-11-14,56.58
2007-11-15,56.24
2007-11-16,57.49
2007-11-19,57.88
2007-11-20,57.9
2007-11-21,57.32
2007-11-23,57.3
2007-11-26,56.75
2007-11-27,56.89
2007-11-28,57.42
2007-11-29,57.57
2007-11-30,58.2
2007-12-03,58.1
2007-12-04,59.45
2007-12-05,59.06
2007-12-06,59.08
2007-12-07,59.94
2007-12-10,60.7
2007-12-11,61.75
2007-12-12,61.1
2007-12-13,61.1
2007-12-14,61.11
2007-12-17,59.71
2007-12-18,59.53
2007-12-19,58.75
2007-12-20,58.23
2007-12-21,59.0
2007-12-24,60.0
2007-12-26,59.81
2007-12-27,59.16
2007-12-28,59.17
2007-12-31,58.83
2008-01-02,57.89
2008-01-03,57.74
2008-01-04,56.43
2008-01-07,56.87
2008-01-08,56.96
2008-01-09,56.1
2008-01-10,56.96
2008-01-11,53.32
2008-01-14,53.72
2008-01-15,53.44
2008-01-16,52.22
2008-01-17,51.92
2008-01-18,52.26
2008-01-22,49.37
2008-01-23,50.89
2008-01-24,52.99
2008-01-25,53.99
2008-01-28,49.36
2008-01-29,50.07
2008-01-30,50.8
2008-01-31,50.11
2008-02-01,52.85
2008-02-04,53.3
2008-02-05,52.88
2008-02-06,53.53
2008-02-07,53.3
2008-02-08,54.81
2008-02-11,55.19
2008-02-12,55.92
2008-02-13,55.85
2008-02-14,55.5
2008-02-15,54.84
2008-02-19,55.5
2008-02-20,55.01
2008-02-21,55.12
2008-02-22,54.39
2008-02-25,55.12
2008-02-26,55.68
