time_captured,01_off_raw_accZ
1970-01-01 00:00:00.000000132,965.386
1970-01-01 00:00:00.000000133,963.678
1970-01-01 00:00:00.000000134,957.09
1970-01-01 00:00:00.000000135,960.872
1970-01-01 00:00:00.000000136,968.68
1970-01-01 00:00:00.000000137,960.994
1970-01-01 00:00:00.000000138,963.19
1970-01-01 00:00:00.000000139,960.994
1970-01-01 00:00:00.000000140,959.53
1970-01-01 00:00:00.000000141,959.53
1970-01-01 00:00:00.000000142,967.46
1970-01-01 00:00:00.000000143,965.264
1970-01-01 00:00:00.000000144,962.092
1970-01-01 00:00:00.000000145,963.068
1970-01-01 00:00:00.000000146,966.24
1970-01-01 00:00:00.000000147,959.896
1970-01-01 00:00:00.000000148,964.288
1970-01-01 00:00:00.000000149,962.214
1970-01-01 00:00:00.000000150,964.044
1970-01-01 00:00:00.000000151,961.97
1970-01-01 00:00:00.000000152,964.166
1970-01-01 00:00:00.000000153,966.606
1970-01-01 00:00:00.000000154,961.604
1970-01-01 00:00:00.000000155,963.068
1970-01-01 00:00:00.000000156,966.728
1970-01-01 00:00:00.000000157,965.752
1970-01-01 00:00:00.000000158,964.898
1970-01-01 00:00:00.000000159,964.776
1970-01-01 00:00:00.000000160,960.384
1970-01-01 00:00:00.000000161,964.288
1970-01-01 00:00:00.000000162,964.044
1970-01-01 00:00:00.000000163,964.654
1970-01-01 00:00:00.000000164,963.556
1970-01-01 00:00:00.000000165,966.24
1970-01-01 00:00:00.000000166,968.436
1970-01-01 00:00:00.000000167,959.896
1970-01-01 00:00:00.000000168,965.142
1970-01-01 00:00:00.000000169,965.508
1970-01-01 00:00:00.000000170,963.068
1970-01-01 00:00:00.000000171,963.678
1970-01-01 00:00:00.000000172,963.556
1970-01-01 00:00:00.000000173,963.19
1970-01-01 00:00:00.000000174,962.458
1970-01-01 00:00:00.000000175,959.408
1970-01-01 00:00:00.000000176,962.336
1970-01-01 00:00:00.000000177,961.726
1970-01-01 00:00:00.000000178,963.8
1970-01-01 00:00:00.000000179,967.582
1970-01-01 00:00:00.000000180,959.652
1970-01-01 00:00:00.000000181,962.336
1970-01-01 00:00:00.000000182,964.898
1970-01-01 00:00:00.000000183,961.726
1970-01-01 00:00:00.000000184,963.678
1970-01-01 00:00:00.000000185,961.482
1970-01-01 00:00:00.000000186,967.094
1970-01-01 00:00:00.000000187,963.8
1970-01-01 00:00:00.000000188,961.97
1970-01-01 00:00:00.000000189,967.46
1970-01-01 00:00:00.000000190,962.336
1970-01-01 00:00:00.000000191,963.556
1970-01-01 00:00:00.000000192,964.898
1970-01-01 00:00:00.000000193,960.384
1970-01-01 00:00:00.000000194,961.97
1970-01-01 00:00:00.000000195,963.312
1970-01-01 00:00:00.000000196,966.728
1970-01-01 00:00:00.000000197,965.386
1970-01-01 00:00:00.000000198,962.702
1970-01-01 00:00:00.000000199,965.63
1970-01-01 00:00:00.000000200,963.556
1970-01-01 00:00:00.000000201,962.214
1970-01-01 00:00:00.000000202,963.312
1970-01-01 00:00:00.000000203,961.97
1970-01-01 00:00:00.000000204,961.238
1970-01-01 00:00:00.000000205,965.142
1970-01-01 00:00:00.000000206,964.776
1970-01-01 00:00:00.000000207,964.41
1970-01-01 00:00:00.000000208,961.238
1970-01-01 00:00:00.000000209,965.63
1970-01-01 00:00:00.000000210,963.8
1970-01-01 00:00:00.000000211,962.336
1970-01-01 00:00:00.000000212,961.36
1970-01-01 00:00:00.000000213,961.36
1970-01-01 00:00:00.000000214,962.824
1970-01-01 00:00:00.000000215,963.312
1970-01-01 00:00:00.000000216,963.8
