time_captured,JPM_Volume
2007-02-28,19189200
2007-03-01,22632849
2007-03-02,16924500
2007-03-05,20231800
2007-03-06,17752140
2007-03-07,13664700
2007-03-08,11979700
2007-03-09,9452900
2007-03-12,10445700
2007-03-13,25294400
2007-03-14,25044000
2007-03-15,15828700
2007-03-16,24762832
2007-03-19,14448195
2007-03-20,14507366
2007-03-21,20747687
2007-03-22,19609809
2007-03-23,11748300
2007-03-26,11851000
2007-03-27,11183670
2007-03-28,13176750
2007-03-29,10837095
2007-03-30,12674716
2007-04-02,13834475
2007-04-03,13572155
2007-04-04,9165227
2007-04-05,7991639
2007-04-09,7509461
2007-04-10,8200099
2007-04-11,12046120
2007-04-12,9472504
2007-04-13,11266319
2007-04-16,15764982
2007-04-17,12238991
2007-04-18,39200025
2007-04-19,20708638
2007-04-20,21168919
2007-04-23,12675506
2007-04-24,10860748
2007-04-25,18088439
2007-04-26,14440456
2007-04-27,14428558
2007-04-30,29900156
2007-05-01,13857416
2007-05-02,13194737
2007-05-03,9755189
2007-05-04,11976896
2007-05-07,7375343
2007-05-08,9028148
2007-05-09,12563653
2007-05-10,13478659
2007-05-11,12419349
2007-05-14,9342827
2007-05-15,11105002
2007-05-16,12925711
2007-05-17,9049968
2007-05-18,11115016
2007-05-21,10408224
2007-05-22,9665750
2007-05-23,11454241
2007-05-24,13105950
2007-05-25,10761416
2007-05-29,9552263
2007-05-30,10243379
2007-05-31,11024061
2007-06-01,12104746
2007-06-04,11122478
2007-06-05,13617278
2007-06-06,13885374
2007-06-07,17412969
2007-06-08,13564675
2007-06-11,11251980
2007-06-12,15389880
2007-06-13,14508000
2007-06-14,12440636
2007-06-15,18354200
2007-06-18,9293861
2007-06-19,12251872
2007-06-20,14921249
2007-06-21,20101918
2007-06-22,25110463
2007-06-25,17240147
2007-06-26,18965379
2007-06-27,16354111
2007-06-28,14430872
2007-06-29,21768160
2007-07-02,15735507
2007-07-03,7443990
2007-07-05,11612922
2007-07-06,10792303
2007-07-09,10577992
2007-07-10,21881922
2007-07-11,27237437
2007-07-12,19172919
2007-07-13,16393761
2007-07-16,12264636
2007-07-17,18302139
2007-07-18,35536900
2007-07-19,26199900
2007-07-20,30678200
2007-07-23,20521300
2007-07-24,35706800
2007-07-25,40176500
2007-07-26,51335731
2007-07-27,40020600
2007-07-30,32318300
2007-07-31,34080842
2007-08-01,44504483
2007-08-02,28322100
2007-08-03,36628800
2007-08-06,34200000
2007-08-07,30567500
2007-08-08,27477200
2007-08-09,39309000
2007-08-10,32549000
2007-08-13,21359500
2007-08-14,25217200
2007-08-15,27726695
2007-08-16,51421000
2007-08-17,57869823
2007-08-20,32691700
2007-08-21,23582204
2007-08-22,30846800
2007-08-23,21476600
2007-08-24,13248500
2007-08-27,13527102
2007-08-28,23517300
2007-08-29,21605600
2007-08-30,15581500
2007-08-31,16937800
2007-09-04,15416718
2007-09-05,15557000
2007-09-06,18994400
2007-09-07,21526200
2007-09-10,17187500
2007-09-11,15148000
2007-09-12,13903005
2007-09-13,20263027
2007-09-14,12482470
2007-09-17,17958300
2007-09-18,27267718
2007-09-19,31807739
2007-09-20,19553500
2007-09-21,20535000
2007-09-24,17346900
2007-09-25,16405154
2007-09-26,17485400
2007-09-27,12846300
2007-09-28,15587900
2007-10-01,17276202
2007-10-02,16003197
2007-10-03,12675700
2007-10-04,11141000
2007-10-05,13443200
2007-10-08,8310200
2007-10-09,12967407
2007-10-10,18858500
2007-10-11,27920700
2007-10-12,12506902
2007-10-15,16575300
2007-10-16,22510200
2007-10-17,34659600
2007-10-18,19400264
2007-10-19,29500900
2007-10-22,18094024
2007-10-23,13519045
2007-10-24,27352826
2007-10-25,20076379
2007-10-26,18852454
2007-10-29,18863100
2007-10-30,13131400
2007-10-31,23899100
2007-11-01,31730700
2007-11-02,39570300
2007-11-05,28852720
2007-11-06,28757366
2007-11-07,28982634
2007-11-08,37343357
2007-11-09,43587231
2007-11-12,27693578
2007-11-13,35966729
2007-11-14,25367380
2007-11-15,23434162
2007-11-16,29023947
2007-11-19,29656654
2007-11-20,33277745
2007-11-21,26759276
2007-11-23,10808359
2007-11-26,27132253
2007-11-27,28501541
2007-11-28,32246483
2007-11-29,23553931
2007-11-30,40113440
2007-12-03,21417200
2007-12-04,19315164
2007-12-05,20629364
2007-12-06,19131980
2007-12-07,15286546
2007-12-10,23391493
2007-12-11,38456367
2007-12-12,44364992
2007-12-13,41273001
2007-12-14,27651846
2007-12-17,19965649
2007-12-18,25224981
2007-12-19,21298489
2007-12-20,27147434
2007-12-21,26418091
2007-12-24,7679621
2007-12-26,14578604
2007-12-27,16533263
2007-12-28,16852162
2007-12-31,16361231
2008-01-02,22125565
2008-01-03,17151723
2008-01-04,25873807
2008-01-07,25650562
2008-01-08,33647847
2008-01-09,33546825
2008-01-10,41864265
2008-01-11,37520426
2008-01-14,22816918
2008-01-15,45254794
2008-01-16,63183651
2008-01-17,39653309
2008-01-18,51919063
2008-01-22,57178514
2008-01-23,77138502
2008-01-24,52062970
2008-01-25,38410888
2008-01-28,29739012
2008-01-29,56116750
2008-01-30,68346890
2008-01-31,55504631
2008-02-01,48839012
2008-02-04,28310182
2008-02-05,39046676
2008-02-06,27274782
2008-02-07,36819422
2008-02-08,26058426
2008-02-11,25873943
2008-02-12,27193377
2008-02-13,26533355
2008-02-14,31179952
2008-02-15,29037010
2008-02-19,25812146
2008-02-20,30150921
2008-02-21,32883925
2008-02-22,30453056
2008-02-25,27917259
2008-02-26,24989230
2008-02-27,38566939
2008-02-28,36608387
2008-02-29,36856972
2008-03-03,31482144
2008-03-04,56449288
2008-03-05,36325514
2008-03-06,44358883
2008-03-07,43263954
2008-03-10,41282906
2008-03-11,58410916
2008-03-12,44573337
2008-03-13,45538291
2008-03-14,77779621
2008-03-17,125322123
2008-03-18,76994238
2008-03-19,70596937
2008-03-20,72777140
2008-03-24,66013717
2008-03-25,54490422
2008-03-26,41132183
