time_captured,PFE_Close
2006-11-08,26.62
2006-11-09,25.84
2006-11-10,25.71
2006-11-13,25.89
2006-11-14,26.25
2006-11-15,26.53
2006-11-16,26.76
2006-11-17,27.21
2006-11-20,27.05
2006-11-21,26.95
2006-11-22,27.1
2006-11-24,26.89
2006-11-27,26.97
2006-11-28,27.05
2006-11-29,27.07
2006-11-30,27.49
2006-12-01,27.86
2006-12-04,24.9
2006-12-05,24.82
2006-12-06,24.8
2006-12-07,24.86
2006-12-08,25.17
2006-12-11,25.15
2006-12-12,25.17
2006-12-13,25.39
2006-12-14,25.56
2006-12-15,25.64
2006-12-18,25.83
2006-12-19,26.2
2006-12-20,26.21
2006-12-21,26.07
2006-12-22,25.97
2006-12-26,25.93
2006-12-27,26.15
2006-12-28,26.07
2006-12-29,25.9
2007-01-03,26.29
2007-01-04,26.38
2007-01-05,26.3
2007-01-08,26.16
2007-01-09,26.17
2007-01-10,26.2
2007-01-11,26.46
2007-01-12,26.64
2007-01-16,26.77
2007-01-17,26.89
2007-01-18,27.17
2007-01-19,27.22
2007-01-22,26.95
2007-01-23,26.37
2007-01-24,26.82
2007-01-25,26.36
2007-01-26,26.29
2007-01-29,26.06
2007-01-30,26.1
2007-01-31,26.24
2007-02-01,26.62
2007-02-02,26.8
2007-02-05,26.88
2007-02-06,26.83
2007-02-07,26.52
2007-02-08,26.44
2007-02-09,26.38
2007-02-12,26.22
2007-02-13,26.39
2007-02-14,26.58
2007-02-15,26.53
2007-02-16,26.3
2007-02-20,26.3
2007-02-21,26.07
2007-02-22,25.87
2007-02-23,25.62
2007-02-26,25.84
2007-02-27,25.14
2007-02-28,24.96
2007-03-01,25.04
2007-03-02,24.79
2007-03-05,24.93
2007-03-06,25.19
2007-03-07,25.27
2007-03-08,25.41
2007-03-09,25.41
2007-03-12,25.38
2007-03-13,24.94
2007-03-14,24.86
2007-03-15,24.99
2007-03-16,24.99
2007-03-19,25.36
2007-03-20,25.54
2007-03-21,25.85
2007-03-22,25.79
2007-03-23,25.66
2007-03-26,25.67
2007-03-27,25.49
2007-03-28,25.18
2007-03-29,25.41
2007-03-30,25.26
2007-04-02,25.34
2007-04-03,25.67
2007-04-04,25.81
2007-04-05,25.84
2007-04-09,26.0
2007-04-10,26.0
2007-04-11,26.04
2007-04-12,26.46
2007-04-13,26.67
2007-04-16,26.94
2007-04-17,26.9
2007-04-18,26.78
2007-04-19,27.07
2007-04-20,26.97
2007-04-23,26.35
2007-04-24,26.15
2007-04-25,26.32
2007-04-26,26.72
2007-04-27,26.61
2007-04-30,26.46
2007-05-01,26.59
2007-05-02,26.6
2007-05-03,26.87
2007-05-04,27.08
2007-05-07,27.38
2007-05-08,27.35
2007-05-09,27.16
2007-05-10,26.8
2007-05-11,27.04
2007-05-14,27.23
2007-05-15,27.1
2007-05-16,27.32
2007-05-17,27.36
2007-05-18,27.44
2007-05-21,27.42
2007-05-22,27.37
2007-05-23,27.34
2007-05-24,27.28
2007-05-25,27.53
2007-05-29,27.56
2007-05-30,27.41
2007-05-31,27.49
2007-06-01,27.68
2007-06-04,27.52
2007-06-05,27.28
2007-06-06,26.79
2007-06-07,26.29
2007-06-08,26.52
2007-06-11,26.37
2007-06-12,26.11
2007-06-13,26.35
2007-06-14,26.39
2007-06-15,26.47
2007-06-18,26.26
2007-06-19,26.21
2007-06-20,25.71
2007-06-21,25.92
2007-06-22,25.38
2007-06-25,25.4
2007-06-26,25.59
2007-06-27,25.61
2007-06-28,25.63
2007-06-29,25.57
2007-07-02,25.73
2007-07-03,25.81
2007-07-05,25.9
2007-07-06,25.92
2007-07-09,25.88
2007-07-10,25.58
2007-07-11,25.45
2007-07-12,25.98
2007-07-13,25.91
2007-07-16,26.08
2007-07-17,25.96
2007-07-18,25.13
2007-07-19,24.99
2007-07-20,24.9
2007-07-23,25.03
2007-07-24,24.89
2007-07-25,24.78
2007-07-26,24.15
2007-07-27,23.79
2007-07-30,23.76
2007-07-31,23.51
2007-08-01,23.63
2007-08-02,23.85
2007-08-03,23.51
2007-08-06,24.11
2007-08-07,24.35
2007-08-08,24.61
2007-08-09,24.14
2007-08-10,23.99
2007-08-13,23.89
2007-08-14,23.58
2007-08-15,23.53
2007-08-16,23.39
2007-08-17,23.94
2007-08-20,24.17
2007-08-21,24.24
2007-08-22,24.65
2007-08-23,24.62
2007-08-24,24.74
2007-08-27,24.76
2007-08-28,24.47
2007-08-29,24.67
2007-08-30,24.55
2007-08-31,24.84
2007-09-04,25.08
2007-09-05,24.71
2007-09-06,24.62
2007-09-07,24.25
2007-09-10,23.96
2007-09-11,24.19
2007-09-12,24.19
2007-09-13,24.23
2007-09-14,24.29
2007-09-17,24.13
2007-09-18,24.54
2007-09-19,24.88
2007-09-20,24.52
2007-09-21,24.59
2007-09-24,24.42
2007-09-25,24.24
2007-09-26,24.58
2007-09-27,24.75
2007-09-28,24.43
2007-10-01,24.85
2007-10-02,24.94
2007-10-03,25.08
2007-10-04,25.3
2007-10-05,25.58
2007-10-08,25.45
2007-10-09,25.54
2007-10-10,25.54
2007-10-11,25.45
2007-10-12,25.26
2007-10-15,25.0
2007-10-16,24.63
2007-10-17,24.55
2007-10-18,24.54
2007-10-19,24.07
2007-10-22,24.02
2007-10-23,24.05
2007-10-24,23.98
2007-10-25,24.29
2007-10-26,24.31
2007-10-29,24.51
2007-10-30,24.45
2007-10-31,24.61
2007-11-01,23.95
2007-11-02,23.67
2007-11-05,23.67
2007-11-06,23.93
2007-11-07,23.32
2007-11-08,23.11
2007-11-09,22.83
2007-11-12,23.02
2007-11-13,23.55
2007-11-14,23.61
2007-11-15,23.29
2007-11-16,23.39
2007-11-19,22.71
2007-11-20,22.72
2007-11-21,22.35
2007-11-23,22.98
2007-11-26,22.3
2007-11-27,22.88
2007-11-28,23.44
2007-11-29,23.6
2007-11-30,23.76
2007-12-03,23.55
2007-12-04,23.47
2007-12-05,23.98
2007-12-06,24.17
2007-12-07,24.4
2007-12-10,24.37
2007-12-11,23.83
2007-12-12,23.81
2007-12-13,23.64
2007-12-14,23.1
2007-12-17,22.97
2007-12-18,23.37
2007-12-19,23.27
2007-12-20,23.22
2007-12-21,23.24
2007-12-24,23.33
2007-12-26,23.2
2007-12-27,22.92
2007-12-28,22.9
2007-12-31,22.73
2008-01-02,22.91
2008-01-03,23.18
2008-01-04,22.83
2008-01-07,23.23
2008-01-08,23.47
2008-01-09,23.92
2008-01-10,24.08
2008-01-11,24.02
2008-01-14,23.97
2008-01-15,23.59
2008-01-16,23.4
2008-01-17,22.96
2008-01-18,22.5
2008-01-22,22.23
2008-01-23,22.86
2008-01-24,23.05
2008-01-25,22.61
2008-01-28,22.99
2008-01-29,23.18
2008-01-30,23.1
2008-01-31,23.36
2008-02-01,23.59
2008-02-04,23.63
2008-02-05,22.96
2008-02-06,22.59
2008-02-07,22.67
2008-02-08,22.3
2008-02-11,22.2
2008-02-12,22.68
2008-02-13,22.74
2008-02-14,22.45
2008-02-15,22.33
2008-02-19,22.37
2008-02-20,22.47
2008-02-21,22.4
2008-02-22,22.5
2008-02-25,22.78
2008-02-26,22.83
2008-02-27,22.75
2008-02-28,22.55
2008-02-29,22.28
2008-03-03,22.25
2008-03-04,22.24
2008-03-05,22.05
2008-03-06,21.59
2008-03-07,21.35
2008-03-10,21.15
2008-03-11,21.72
2008-03-12,21.28
2008-03-13,21.21
2008-03-14,20.64
2008-03-17,20.57
2008-03-18,21.0
2008-03-19,20.61
2008-03-20,20.59
2008-03-24,20.61
2008-03-25,20.78
2008-03-26,20.69
2008-03-27,20.56
2008-03-28,20.5
2008-03-31,20.93
2008-04-01,21.38
2008-04-02,21.51
2008-04-03,21.34
2008-04-04,21.35
2008-04-07,21.48
2008-04-08,21.0
2008-04-09,20.89
2008-04-10,20.92
2008-04-11,20.45
2008-04-14,20.56
2008-04-15,20.71
2008-04-16,21.1
2008-04-17,20.4
2008-04-18,20.47
2008-04-21,20.2
2008-04-22,19.79
2008-04-23,19.88
2008-04-24,20.04
2008-04-25,20.43
2008-04-28,20.23
2008-04-29,20.24
2008-04-30,20.11
2008-05-01,20.44
2008-05-02,20.61
2008-05-05,20.52
2008-05-06,20.42
2008-05-07,19.92
2008-05-08,19.97
2008-05-09,19.79
2008-05-12,19.91
2008-05-13,19.97
2008-05-14,20.06
2008-05-15,20.08
2008-05-16,20.03
2008-05-19,20.23
2008-05-20,20.05
2008-05-21,20.01
2008-05-22,19.78
2008-05-23,19.53
2008-05-27,19.33
2008-05-28,19.3
2008-05-29,19.4
2008-05-30,19.36
2008-06-02,19.18
2008-06-03,19.01
2008-06-04,18.8
2008-06-05,18.67
2008-06-06,17.96
2008-06-09,18.02
2008-06-10,17.94
2008-06-11,17.55
2008-06-12,17.73
2008-06-13,17.99
2008-06-16,17.77
2008-06-17,17.72
2008-06-18,17.77
2008-06-19,17.77
2008-06-20,17.33
2008-06-23,17.38
2008-06-24,17.69
2008-06-25,17.88
2008-06-26,17.17
2008-06-27,17.28
2008-06-30,17.47
2008-07-01,17.73
2008-07-02,17.62
2008-07-03,17.75
2008-07-07,17.39
2008-07-08,18.19
2008-07-09,18.03
2008-07-10,18.03
2008-07-11,17.81
2008-07-14,17.65
2008-07-15,17.58
2008-07-16,18.26
2008-07-17,18.39
2008-07-18,18.32
2008-07-21,18.09
2008-07-22,18.35
2008-07-23,19.07
2008-07-24,18.81
2008-07-25,18.89
2008-07-28,18.36
2008-07-29,18.53
2008-07-30,18.88
2008-07-31,18.67
2008-08-01,18.6
2008-08-04,18.98
2008-08-05,19.71
2008-08-06,19.43
2008-08-07,19.21
2008-08-08,19.84
2008-08-11,19.88
2008-08-12,19.72
2008-08-13,19.64
2008-08-14,19.78
2008-08-15,19.97
2008-08-18,19.64
2008-08-19,19.34
2008-08-20,19.28
2008-08-21,19.37
2008-08-22,19.75
2008-08-25,19.51
2008-08-26,19.28
2008-08-27,19.08
2008-08-28,19.27
2008-08-29,19.11
2008-09-02,19.17
2008-09-03,19.2
2008-09-04,18.67
2008-09-05,18.51
2008-09-08,19.14
2008-09-09,18.24
2008-09-10,18.2
2008-09-11,18.39
2008-09-12,18.62
2008-09-15,18.05
2008-09-16,17.81
2008-09-17,17.17
2008-09-18,17.99
2008-09-19,18.55
2008-09-22,18.07
2008-09-23,18.01
2008-09-24,17.99
2008-09-25,18.64
2008-09-26,18.66
2008-09-29,17.65
2008-09-30,18.44
2008-10-01,18.94
2008-10-02,18.79
2008-10-03,19.0
2008-10-06,18.94
2008-10-07,17.65
2008-10-08,17.13
2008-10-09,15.67
2008-10-10,15.14
2008-10-13,16.68
2008-10-14,17.13
2008-10-15,16.27
2008-10-16,16.97
2008-10-17,16.91
2008-10-20,17.34
2008-10-21,17.34
2008-10-22,16.74
2008-10-23,17.1
2008-10-24,16.57
2008-10-27,16.39
2008-10-28,17.82
2008-10-29,17.19
2008-10-30,17.86
2008-10-31,17.71
2008-11-03,17.76
2008-11-04,18.41
2008-11-05,17.0
2008-11-06,16.37
2008-11-07,16.86
2008-11-10,16.6
2008-11-11,16.77
2008-11-12,15.83
2008-11-13,16.73
2008-11-14,16.28
2008-11-17,15.92
2008-11-18,16.29
2008-11-19,15.56
2008-11-20,14.45
2008-11-21,15.67
2008-11-24,16.04
2008-11-25,15.94
2008-11-26,16.07
2008-11-28,16.43
2008-12-01,15.28
2008-12-02,16.02
2008-12-03,16.62
2008-12-04,16.27
2008-12-05,16.55
2008-12-08,16.93
2008-12-09,16.47
2008-12-10,16.57
2008-12-11,16.56
2008-12-12,16.92
2008-12-15,16.63
2008-12-16,17.36
2008-12-17,17.25
2008-12-18,17.12
2008-12-19,17.3
2008-12-22,17.18
2008-12-23,17.03
2008-12-24,17.01
2008-12-26,17.1
2008-12-29,17.29
2008-12-30,17.75
2008-12-31,17.71
2009-01-02,18.27
2009-01-05,18.16
2009-01-06,17.8
2009-01-07,17.49
2009-01-08,17.65
2009-01-09,17.44
2009-01-12,17.36
2009-01-13,17.59
2009-01-14,17.24
2009-01-15,17.39
2009-01-16,17.5
2009-01-20,17.2
2009-01-21,17.48
2009-01-22,17.21
2009-01-23,17.45
2009-01-26,15.65
2009-01-27,15.82
2009-01-28,15.44
2009-01-29,15.12
2009-01-30,14.58
2009-02-02,14.89
2009-02-03,15.2
2009-02-04,14.57
2009-02-05,14.5
2009-02-06,14.84
2009-02-09,14.71
2009-02-10,14.07
2009-02-11,14.38
2009-02-12,14.65
2009-02-13,14.58
2009-02-17,14.25
2009-02-18,14.16
