time_captured,02_on_raw_accZ
1970-01-01 00:00:00.000000130,1032.364
1970-01-01 00:00:00.000000131,462.014
1970-01-01 00:00:00.000000132,316.712
1970-01-01 00:00:00.000000133,578.646
1970-01-01 00:00:00.000000134,922.442
1970-01-01 00:00:00.000000135,937.936
1970-01-01 00:00:00.000000136,741.516
1970-01-01 00:00:00.000000137,1714.954
1970-01-01 00:00:00.000000138,1449.36
1970-01-01 00:00:00.000000139,759.084
1970-01-01 00:00:00.000000140,856.928
1970-01-01 00:00:00.000000141,600.24
1970-01-01 00:00:00.000000142,600.24
1970-01-01 00:00:00.000000143,816.668
1970-01-01 00:00:00.000000144,945.622
1970-01-01 00:00:00.000000145,1313.452
1970-01-01 00:00:00.000000146,1159.732
1970-01-01 00:00:00.000000147,1298.69
1970-01-01 00:00:00.000000148,914.634
1970-01-01 00:00:00.000000149,820.938
1970-01-01 00:00:00.000000150,564.494
1970-01-01 00:00:00.000000151,1001.742
1970-01-01 00:00:00.000000152,788.364
1970-01-01 00:00:00.000000153,919.392
1970-01-01 00:00:00.000000154,1185.474
1970-01-01 00:00:00.000000155,1263.432
1970-01-01 00:00:00.000000156,1276.242
1970-01-01 00:00:00.000000157,1443.016
1970-01-01 00:00:00.000000158,858.026
1970-01-01 00:00:00.000000159,636.23
1970-01-01 00:00:00.000000160,876.448
1970-01-01 00:00:00.000000161,755.302
1970-01-01 00:00:00.000000162,847.046
1970-01-01 00:00:00.000000163,1357.86
1970-01-01 00:00:00.000000164,1428.742
1970-01-01 00:00:00.000000165,1190.72
1970-01-01 00:00:00.000000166,1238.178
1970-01-01 00:00:00.000000167,511.302
1970-01-01 00:00:00.000000168,826.55
1970-01-01 00:00:00.000000169,568.276
1970-01-01 00:00:00.000000170,793.244
1970-01-01 00:00:00.000000171,839.238
1970-01-01 00:00:00.000000172,1105.198
1970-01-01 00:00:00.000000173,1665.422
1970-01-01 00:00:00.000000174,929.518
1970-01-01 00:00:00.000000175,701.378
1970-01-01 00:00:00.000000176,471.042
1970-01-01 00:00:00.000000177,811.544
1970-01-01 00:00:00.000000178,930.86
1970-01-01 00:00:00.000000179,841.8
1970-01-01 00:00:00.000000180,1046.638
1970-01-01 00:00:00.000000181,1483.154
1970-01-01 00:00:00.000000182,1196.454
1970-01-01 00:00:00.000000183,940.376
1970-01-01 00:00:00.000000184,977.22
1970-01-01 00:00:00.000000185,639.524
1970-01-01 00:00:00.000000186,918.538
1970-01-01 00:00:00.000000187,876.082
1970-01-01 00:00:00.000000188,889.38
1970-01-01 00:00:00.000000189,1058.106
1970-01-01 00:00:00.000000190,1735.084
1970-01-01 00:00:00.000000191,1195.356
1970-01-01 00:00:00.000000192,810.934
1970-01-01 00:00:00.000000193,1013.21
1970-01-01 00:00:00.000000194,559.614
1970-01-01 00:00:00.000000195,876.082
1970-01-01 00:00:00.000000196,835.7
1970-01-01 00:00:00.000000197,909.632
1970-01-01 00:00:00.000000198,1250.012
1970-01-01 00:00:00.000000199,1288.32
1970-01-01 00:00:00.000000200,1163.27
1970-01-01 00:00:00.000000201,938.302
1970-01-01 00:00:00.000000202,1109.59
1970-01-01 00:00:00.000000203,663.558
1970-01-01 00:00:00.000000204,782.02
1970-01-01 00:00:00.000000205,1044.076
1970-01-01 00:00:00.000000206,924.272
1970-01-01 00:00:00.000000207,1381.772
1970-01-01 00:00:00.000000208,998.326
1970-01-01 00:00:00.000000209,909.144
1970-01-01 00:00:00.000000210,1180.838
1970-01-01 00:00:00.000000211,1012.844
1970-01-01 00:00:00.000000212,444.568
1970-01-01 00:00:00.000000213,672.22
1970-01-01 00:00:00.000000214,783.85
1970-01-01 00:00:00.000000215,1091.778
1970-01-01 00:00:00.000000216,1517.192
1970-01-01 00:00:00.000000217,1117.276
1970-01-01 00:00:00.000000218,1079.09
1970-01-01 00:00:00.000000219,1321.992
1970-01-01 00:00:00.000000220,715.042
1970-01-01 00:00:00.000000221,685.396
1970-01-01 00:00:00.000000222,758.23
1970-01-01 00:00:00.000000223,927.566
1970-01-01 00:00:00.000000224,831.918
1970-01-01 00:00:00.000000225,1103.856
1970-01-01 00:00:00.000000226,1317.478
1970-01-01 00:00:00.000000227,1312.598
1970-01-01 00:00:00.000000228,1101.294
1970-01-01 00:00:00.000000229,541.192
1970-01-01 00:00:00.000000230,553.636
1970-01-01 00:00:00.000000231,1096.658
1970-01-01 00:00:00.000000232,980.636
1970-01-01 00:00:00.000000233,1023.58
1970-01-01 00:00:00.000000234,1062.742
1970-01-01 00:00:00.000000235,1575.874
1970-01-01 00:00:00.000000236,957.09
