time_captured,06_c25_raw_accY
1970-01-01 00:00:00.000000129,349.774
1970-01-01 00:00:00.000000130,-295.85
1970-01-01 00:00:00.000000131,-44.164
1970-01-01 00:00:00.000000132,-10.736
1970-01-01 00:00:00.000000133,281.942
1970-01-01 00:00:00.000000134,-18.788
1970-01-01 00:00:00.000000135,-34.282
1970-01-01 00:00:00.000000136,3.66
1970-01-01 00:00:00.000000137,7.808
1970-01-01 00:00:00.000000138,-160.796
1970-01-01 00:00:00.000000139,234.728
1970-01-01 00:00:00.000000140,-1.464
1970-01-01 00:00:00.000000141,-252.784
1970-01-01 00:00:00.000000142,-137.616
1970-01-01 00:00:00.000000143,506.788
1970-01-01 00:00:00.000000144,269.01
1970-01-01 00:00:00.000000145,182.146
1970-01-01 00:00:00.000000146,-94.062
1970-01-01 00:00:00.000000147,406.016
1970-01-01 00:00:00.000000148,-31.354
1970-01-01 00:00:00.000000149,-256.444
1970-01-01 00:00:00.000000150,-378.932
1970-01-01 00:00:00.000000151,-524.234
1970-01-01 00:00:00.000000152,-120.414
1970-01-01 00:00:00.000000153,-264.984
1970-01-01 00:00:00.000000154,128.1
1970-01-01 00:00:00.000000155,16.104
1970-01-01 00:00:00.000000156,112.85
1970-01-01 00:00:00.000000157,238.51
1970-01-01 00:00:00.000000158,18.666
1970-01-01 00:00:00.000000159,612.196
1970-01-01 00:00:00.000000160,442.128
1970-01-01 00:00:00.000000161,26.596
1970-01-01 00:00:00.000000162,95.282
1970-01-01 00:00:00.000000163,6.466
1970-01-01 00:00:00.000000164,-119.072
1970-01-01 00:00:00.000000165,-205.326
1970-01-01 00:00:00.000000166,8.906
1970-01-01 00:00:00.000000167,139.08
1970-01-01 00:00:00.000000168,-118.706
1970-01-01 00:00:00.000000169,-204.838
1970-01-01 00:00:00.000000170,-437.492
1970-01-01 00:00:00.000000171,103.944
1970-01-01 00:00:00.000000172,104.432
1970-01-01 00:00:00.000000173,127.124
1970-01-01 00:00:00.000000174,340.624
1970-01-01 00:00:00.000000175,340.624
1970-01-01 00:00:00.000000176,271.694
1970-01-01 00:00:00.000000177,-274.744
