time_captured,04_out_hrm_accZ
1970-01-01 00:00:00.000000116,628.797730016003
1970-01-01 00:00:00.000000117,259.333309750662
1970-01-01 00:00:00.000000118,1249.38277791095
1970-01-01 00:00:00.000000119,476.229826792977
1970-01-01 00:00:00.000000120,1479.616
1970-01-01 00:00:00.000000121,1328.8356386634
1970-01-01 00:00:00.000000122,973.530496172833
1970-01-01 00:00:00.000000123,297.317716271803
1970-01-01 00:00:00.000000124,607.703748790942
1970-01-01 00:00:00.000000125,497.987315987662
1970-01-01 00:00:00.000000126,1247.206
1970-01-01 00:00:00.000000127,1402.0663151374
1970-01-01 00:00:00.000000128,1449.20062593315
1970-01-01 00:00:00.000000129,284.375862827362
1970-01-01 00:00:00.000000130,1080.23247067067
1970-01-01 00:00:00.000000131,631.401134002134
1970-01-01 00:00:00.000000132,885.11
1970-01-01 00:00:00.000000133,1538.66955725185
1970-01-01 00:00:00.000000134,1348.72291102466
1970-01-01 00:00:00.000000135,776.393944196588
1970-01-01 00:00:00.000000136,902.154725356184
1970-01-01 00:00:00.000000137,570.97867009331
1970-01-01 00:00:00.000000138,893.894
1970-01-01 00:00:00.000000139,1517.02058742821
1970-01-01 00:00:00.000000140,1187.33273742073
1970-01-01 00:00:00.000000141,263.803991933892
1970-01-01 00:00:00.000000142,626.861614678478
1970-01-01 00:00:00.000000143,455.617943628524
1970-01-01 00:00:00.000000144,880.184715968778
1970-01-01 00:00:00.000000145,1557.5149117533
1970-01-01 00:00:00.000000146,1090.1683408227
1970-01-01 00:00:00.000000147,2.806
1970-01-01 00:00:00.000000148,606.311475639484
1970-01-01 00:00:00.000000149,458.700389785927
1970-01-01 00:00:00.000000150,808.261913596087
1970-01-01 00:00:00.000000151,963.083337916285
1970-01-01 00:00:00.000000152,1360.17256296597
1970-01-01 00:00:00.000000153,865.468
1970-01-01 00:00:00.000000154,757.710984425955
1970-01-01 00:00:00.000000155,509.721735028528
1970-01-01 00:00:00.000000156,774.924226084308
1970-01-01 00:00:00.000000157,1009.25787178709
1970-01-01 00:00:00.000000158,1573.28294039181
1970-01-01 00:00:00.000000159,833.138
1970-01-01 00:00:00.000000160,1240.16352781718
1970-01-01 00:00:00.000000161,497.510419915736
1970-01-01 00:00:00.000000162,751.747658512499
1970-01-01 00:00:00.000000163,845.119292903276
1970-01-01 00:00:00.000000164,1033.59574870124
1970-01-01 00:00:00.000000165,965.142
1970-01-01 00:00:00.000000166,874.413798442424
1970-01-01 00:00:00.000000167,490.527612924045
1970-01-01 00:00:00.000000168,706.67439564356
1970-01-01 00:00:00.000000169,787.19462881191
1970-01-01 00:00:00.000000170,1568.98596506827
1970-01-01 00:00:00.000000171,1108.126
1970-01-01 00:00:00.000000172,1178.46762441875
1970-01-01 00:00:00.000000173,207.51978119937
1970-01-01 00:00:00.000000174,847.9
