time_captured,06_c25_raw_accX
1970-01-01 00:00:00.000000000,-524.112
1970-01-01 00:00:00.000000001,523.746
1970-01-01 00:00:00.000000002,898.408
1970-01-01 00:00:00.000000003,406.016
1970-01-01 00:00:00.000000004,-276.574
1970-01-01 00:00:00.000000005,-726.754
1970-01-01 00:00:00.000000006,-187.026
1970-01-01 00:00:00.000000007,33.55
1970-01-01 00:00:00.000000008,104.92
1970-01-01 00:00:00.000000009,251.442
1970-01-01 00:00:00.000000010,521.184
1970-01-01 00:00:00.000000011,1221.952
1970-01-01 00:00:00.000000012,1303.326
1970-01-01 00:00:00.000000013,1.83
1970-01-01 00:00:00.000000014,-877.912
1970-01-01 00:00:00.000000015,-746.152
1970-01-01 00:00:00.000000016,-1059.082
1970-01-01 00:00:00.000000017,-662.46
1970-01-01 00:00:00.000000018,-285.236
1970-01-01 00:00:00.000000019,798.124
1970-01-01 00:00:00.000000020,1135.332
1970-01-01 00:00:00.000000021,25.01
1970-01-01 00:00:00.000000022,-420.656
1970-01-01 00:00:00.000000023,-718.336
1970-01-01 00:00:00.000000024,-202.886
1970-01-01 00:00:00.000000025,204.228
1970-01-01 00:00:00.000000026,181.78
1970-01-01 00:00:00.000000027,431.636
1970-01-01 00:00:00.000000028,679.906
1970-01-01 00:00:00.000000029,1658.102
1970-01-01 00:00:00.000000030,1221.83
1970-01-01 00:00:00.000000031,-395.768
1970-01-01 00:00:00.000000032,-1140.822
1970-01-01 00:00:00.000000033,-745.908
1970-01-01 00:00:00.000000034,-936.838
1970-01-01 00:00:00.000000035,-722.728
1970-01-01 00:00:00.000000036,188.978
1970-01-01 00:00:00.000000037,1135.454
1970-01-01 00:00:00.000000038,1044.686
1970-01-01 00:00:00.000000039,-416.874
1970-01-01 00:00:00.000000040,-678.076
1970-01-01 00:00:00.000000041,-142.252
1970-01-01 00:00:00.000000042,-109.434
1970-01-01 00:00:00.000000043,114.558
1970-01-01 00:00:00.000000044,126.758
1970-01-01 00:00:00.000000045,388.57
1970-01-01 00:00:00.000000046,919.636
1970-01-01 00:00:00.000000047,1379.576
1970-01-01 00:00:00.000000048,410.042
1970-01-01 00:00:00.000000049,-644.16
1970-01-01 00:00:00.000000050,-826.062
1970-01-01 00:00:00.000000051,-879.254
1970-01-01 00:00:00.000000052,-916.708
1970-01-01 00:00:00.000000053,-192.882
1970-01-01 00:00:00.000000054,374.54
1970-01-01 00:00:00.000000055,1022.36
1970-01-01 00:00:00.000000056,153.72
1970-01-01 00:00:00.000000057,-284.504
1970-01-01 00:00:00.000000058,-979.782
1970-01-01 00:00:00.000000059,-128.222
1970-01-01 00:00:00.000000060,192.76
1970-01-01 00:00:00.000000061,193.126
1970-01-01 00:00:00.000000062,384.422
1970-01-01 00:00:00.000000063,609.634
1970-01-01 00:00:00.000000064,1441.064
1970-01-01 00:00:00.000000065,1283.44
1970-01-01 00:00:00.000000066,-246.44
1970-01-01 00:00:00.000000067,-1143.506
1970-01-01 00:00:00.000000068,-719.19
1970-01-01 00:00:00.000000069,-1128.134
1970-01-01 00:00:00.000000070,-825.452
1970-01-01 00:00:00.000000071,131.638
1970-01-01 00:00:00.000000072,970.876
1970-01-01 00:00:00.000000073,1047.858
1970-01-01 00:00:00.000000074,-390.644
1970-01-01 00:00:00.000000075,-676.978
1970-01-01 00:00:00.000000076,41.114
1970-01-01 00:00:00.000000077,35.38
1970-01-01 00:00:00.000000078,-95.404
