time_captured,01_off_hrm_accX
1970-01-01 00:00:00.000000109,-5.56747261901626
1970-01-01 00:00:00.000000110,-6.14701366796203
1970-01-01 00:00:00.000000111,-5.1425821206888
1970-01-01 00:00:00.000000112,-8.67945909416399
1970-01-01 00:00:00.000000113,-2.34453849622218
1970-01-01 00:00:00.000000114,-8.13836843403049
1970-01-01 00:00:00.000000115,-4.11652248244237
1970-01-01 00:00:00.000000116,-7.08814613720788
1970-01-01 00:00:00.000000117,-7.79469248550164
1970-01-01 00:00:00.000000118,-8.06842933420048
1970-01-01 00:00:00.000000119,-6.04892403659841
1970-01-01 00:00:00.000000120,-7.93
1970-01-01 00:00:00.000000121,-7.87620539889705
1970-01-01 00:00:00.000000122,-5.97363053912472
1970-01-01 00:00:00.000000123,-7.686
1970-01-01 00:00:00.000000124,-6.33426927208239
1970-01-01 00:00:00.000000125,-7.60738477401021
1970-01-01 00:00:00.000000126,-5.10900433218576
1970-01-01 00:00:00.000000127,-7.81149590548202
1970-01-01 00:00:00.000000128,-6.79590717941504
1970-01-01 00:00:00.000000129,-9.35071696990011
1970-01-01 00:00:00.000000130,-6.13441526825169
1970-01-01 00:00:00.000000131,-6.28192715036451
1970-01-01 00:00:00.000000132,-10.1067734712226
1970-01-01 00:00:00.000000133,-7.55012640780376
1970-01-01 00:00:00.000000134,-6.76467557192386
1970-01-01 00:00:00.000000135,-8.052
1970-01-01 00:00:00.000000136,-8.06311922364995
1970-01-01 00:00:00.000000137,-4.34274402561925
1970-01-01 00:00:00.000000138,-8.662
1970-01-01 00:00:00.000000139,-3.89696307689674
1970-01-01 00:00:00.000000140,-6.79447569365501
1970-01-01 00:00:00.000000141,-9.30878436127564
1970-01-01 00:00:00.000000142,-9.22211564734935
1970-01-01 00:00:00.000000143,-6.09512549812047
1970-01-01 00:00:00.000000144,-8.10729394375962
1970-01-01 00:00:00.000000145,-4.48236386072163
1970-01-01 00:00:00.000000146,-11.3061358615237
1970-01-01 00:00:00.000000147,-3.87971357133621
1970-01-01 00:00:00.000000148,-10.3433704849365
1970-01-01 00:00:00.000000149,-4.63804238548264
1970-01-01 00:00:00.000000150,-8.296
1970-01-01 00:00:00.000000151,-5.91068733791281
1970-01-01 00:00:00.000000152,-8.4198904933472
1970-01-01 00:00:00.000000153,-5.978
1970-01-01 00:00:00.000000154,-7.51595982864548
1970-01-01 00:00:00.000000155,-4.61122488874897
1970-01-01 00:00:00.000000156,-7.63560094756493
1970-01-01 00:00:00.000000157,-9.36417098668864
1970-01-01 00:00:00.000000158,-7.77613964441114
1970-01-01 00:00:00.000000159,-7.71249320266718
1970-01-01 00:00:00.000000160,-4.63444799806005
1970-01-01 00:00:00.000000161,-7.94783238810419
1970-01-01 00:00:00.000000162,-8.59883994581957
1970-01-01 00:00:00.000000163,-10.7043102630828
1970-01-01 00:00:00.000000164,-6.00885597795478
1970-01-01 00:00:00.000000165,-10.98
1970-01-01 00:00:00.000000166,-3.69413007304746
1970-01-01 00:00:00.000000167,-7.00419842178545
1970-01-01 00:00:00.000000168,-9.272
1970-01-01 00:00:00.000000169,-5.49166499924513
1970-01-01 00:00:00.000000170,-5.71498990690021
1970-01-01 00:00:00.000000171,-8.10498464539583
1970-01-01 00:00:00.000000172,-6.0220159801177
1970-01-01 00:00:00.000000173,-8.38158391223845
1970-01-01 00:00:00.000000174,-7.00023514576521
1970-01-01 00:00:00.000000175,-9.27516864144533
1970-01-01 00:00:00.000000176,-5.71350411520034
1970-01-01 00:00:00.000000177,-7.72963079842803
1970-01-01 00:00:00.000000178,-7.29761705811159
1970-01-01 00:00:00.000000179,-3.79969032602324
1970-01-01 00:00:00.000000180,-8.418
1970-01-01 00:00:00.000000181,-9.53086097041561
1970-01-01 00:00:00.000000182,-6.97163442471972
1970-01-01 00:00:00.000000183,-7.808
1970-01-01 00:00:00.000000184,-7.0479292518957
1970-01-01 00:00:00.000000185,-8.12408197955528
1970-01-01 00:00:00.000000186,-9.21913033846903
1970-01-01 00:00:00.000000187,-4.86721405334298
1970-01-01 00:00:00.000000188,-9.70130570330518
1970-01-01 00:00:00.000000189,-7.49941506786182
1970-01-01 00:00:00.000000190,-6.80113721603105
1970-01-01 00:00:00.000000191,-6.37366471366816
1970-01-01 00:00:00.000000192,-8.4630891146498
1970-01-01 00:00:00.000000193,-3.9124934708681
1970-01-01 00:00:00.000000194,-8.62276130601542
1970-01-01 00:00:00.000000195,-6.222
1970-01-01 00:00:00.000000196,-5.85828632972435
1970-01-01 00:00:00.000000197,-6.47994525416947
1970-01-01 00:00:00.000000198,-7.32
1970-01-01 00:00:00.000000199,-7.956129734749
1970-01-01 00:00:00.000000200,-7.01642838244016
1970-01-01 00:00:00.000000201,-6.29016635557797
1970-01-01 00:00:00.000000202,-8.12001714279744
