time_captured,BA_Close
2006-01-03,70.44
2006-01-04,71.17
2006-01-05,70.33
2006-01-06,69.35
2006-01-09,68.77
2006-01-10,69.1
2006-01-11,70.1
2006-01-12,69.69
2006-01-13,69.48
2006-01-17,68.69
2006-01-18,68.41
2006-01-19,68.17
2006-01-20,66.5
2006-01-23,67.02
2006-01-24,67.66
2006-01-25,66.91
2006-01-26,68.72
2006-01-27,68.56
2006-01-30,69.03
2006-01-31,68.31
2006-02-01,71.62
2006-02-02,71.7
2006-02-03,70.87
2006-02-06,71.14
2006-02-07,71.55
2006-02-08,71.76
2006-02-09,72.01
2006-02-10,72.53
2006-02-13,72.11
2006-02-14,72.71
2006-02-15,72.45
2006-02-16,72.55
2006-02-17,72.96
2006-02-21,73.05
2006-02-22,74.39
2006-02-23,73.9
2006-02-24,74.31
2006-02-27,74.13
2006-02-28,72.69
2006-03-01,72.95
2006-03-02,72.8
2006-03-03,73.39
2006-03-06,72.63
2006-03-07,73.16
2006-03-08,72.82
2006-03-09,73.76
2006-03-10,74.79
2006-03-13,74.84
2006-03-14,75.45
2006-03-15,76.05
2006-03-16,76.73
2006-03-17,77.85
2006-03-20,78.18
2006-03-21,78.26
2006-03-22,78.61
2006-03-23,77.9
2006-03-24,78.73
2006-03-27,78.39
2006-03-28,77.51
2006-03-29,79.18
2006-03-30,78.42
2006-03-31,77.93
2006-04-03,78.01
2006-04-04,78.6
2006-04-05,79.11
2006-04-06,79.82
2006-04-07,79.57
2006-04-10,80.79
2006-04-11,80.57
2006-04-12,83.21
2006-04-13,82.93
2006-04-17,82.35
2006-04-18,83.3
2006-04-19,84.96
2006-04-20,85.5
2006-04-21,86.46
2006-04-24,86.1
2006-04-25,85.11
2006-04-26,84.91
2006-04-27,84.1
2006-04-28,83.45
2006-05-01,83.86
2006-05-02,85.33
2006-05-03,85.87
2006-05-04,86.64
2006-05-05,88.47
2006-05-08,87.59
2006-05-09,87.99
2006-05-10,88.94
2006-05-11,88.21
2006-05-12,87.01
2006-05-15,85.86
2006-05-16,86.4
2006-05-17,83.77
2006-05-18,82.73
2006-05-19,84.61
2006-05-22,85.71
2006-05-23,85.15
2006-05-24,82.38
2006-05-25,82.99
2006-05-26,83.5
2006-05-30,82.13
2006-05-31,83.25
2006-06-01,83.64
2006-06-02,83.8
2006-06-05,82.13
2006-06-06,80.65
2006-06-07,81.46
2006-06-08,81.19
2006-06-09,80.5
2006-06-12,77.88
2006-06-13,76.98
2006-06-14,82.01
2006-06-15,84.81
2006-06-16,85.54
2006-06-19,84.76
2006-06-20,84.85
2006-06-21,85.85
2006-06-22,84.06
2006-06-23,83.39
2006-06-26,83.89
2006-06-27,81.93
2006-06-28,82.64
2006-06-29,83.0
2006-06-30,81.91
2006-07-03,81.3
2006-07-05,80.17
2006-07-06,80.81
2006-07-07,79.99
2006-07-10,80.35
2006-07-11,81.63
2006-07-12,80.92
2006-07-13,79.59
2006-07-14,77.25
2006-07-17,78.95
2006-07-18,79.17
2006-07-19,82.29
2006-07-20,80.69
2006-07-21,79.08
2006-07-24,81.44
2006-07-25,83.75
2006-07-26,79.9
2006-07-27,78.71
2006-07-28,78.91
2006-07-31,77.42
2006-08-01,78.17
2006-08-02,78.62
2006-08-03,79.4
2006-08-04,79.49
2006-08-07,79.75
2006-08-08,78.15
2006-08-09,77.16
2006-08-10,76.2
2006-08-11,75.96
2006-08-14,75.39
2006-08-15,76.58
2006-08-16,78.83
2006-08-17,78.59
2006-08-18,77.62
2006-08-21,76.63
2006-08-22,76.95
2006-08-23,76.36
2006-08-24,75.24
2006-08-25,73.93
2006-08-28,74.72
2006-08-29,73.78
2006-08-30,75.02
2006-08-31,74.9
2006-09-01,75.43
2006-09-05,75.36
2006-09-06,74.44
2006-09-07,72.87
2006-09-08,72.8
2006-09-11,73.82
2006-09-12,74.26
2006-09-13,76.32
2006-09-14,75.01
2006-09-15,75.01
2006-09-18,75.21
2006-09-19,74.87
2006-09-20,76.19
2006-09-21,76.11
2006-09-22,77.25
2006-09-25,77.71
2006-09-26,79.0
2006-09-27,79.41
2006-09-28,79.28
2006-09-29,78.85
2006-10-02,79.97
2006-10-03,81.78
2006-10-04,83.96
2006-10-05,83.62
2006-10-06,83.68
2006-10-09,82.65
2006-10-10,82.13
2006-10-11,81.64
2006-10-12,83.64
2006-10-13,82.39
2006-10-16,82.66
2006-10-17,82.29
2006-10-18,82.74
2006-10-19,82.41
2006-10-20,81.74
2006-10-23,82.8
2006-10-24,83.59
2006-10-25,80.86
2006-10-26,79.14
2006-10-27,79.74
2006-10-30,80.22
2006-10-31,79.86
2006-11-01,80.06
2006-11-02,79.2
2006-11-03,79.97
2006-11-06,80.48
2006-11-07,84.85
2006-11-08,85.45
2006-11-09,85.11
2006-11-10,85.62
2006-11-13,85.69
2006-11-14,85.74
2006-11-15,87.08
2006-11-16,88.71
2006-11-17,89.52
2006-11-20,89.12
2006-11-21,91.1
2006-11-22,90.1
2006-11-24,89.77
2006-11-27,87.37
2006-11-28,87.94
2006-11-29,88.89
2006-11-30,88.53
2006-12-01,89.55
2006-12-04,89.58
2006-12-05,90.73
2006-12-06,90.83
2006-12-07,90.01
2006-12-08,90.13
2006-12-11,89.78
2006-12-12,90.31
2006-12-13,89.6
2006-12-14,89.93
2006-12-15,90.7
2006-12-18,89.56
2006-12-19,90.17
2006-12-20,90.1
2006-12-21,89.94
2006-12-22,88.76
2006-12-26,88.79
2006-12-27,88.88
2006-12-28,89.0
2006-12-29,88.84
2007-01-03,89.17
2007-01-04,89.53
2007-01-05,89.15
2007-01-08,88.94
2007-01-09,88.0
2007-01-10,89.27
2007-01-11,88.84
2007-01-12,88.13
2007-01-16,88.0
2007-01-17,88.83
