time_captured,07_c75_raw_accX
1970-01-01 00:00:00.000000128,-101.138
1970-01-01 00:00:00.000000129,-453.108
1970-01-01 00:00:00.000000130,-637.45
1970-01-01 00:00:00.000000131,-204.472
1970-01-01 00:00:00.000000132,245.952
1970-01-01 00:00:00.000000133,181.658
1970-01-01 00:00:00.000000134,307.684
1970-01-01 00:00:00.000000135,859.246
1970-01-01 00:00:00.000000136,1682.014
1970-01-01 00:00:00.000000137,989.664
1970-01-01 00:00:00.000000138,-421.266
1970-01-01 00:00:00.000000139,-1058.96
1970-01-01 00:00:00.000000140,-823.378
1970-01-01 00:00:00.000000141,-942.816
1970-01-01 00:00:00.000000142,-414.8
1970-01-01 00:00:00.000000143,260.348
1970-01-01 00:00:00.000000144,1064.206
1970-01-01 00:00:00.000000145,778.726
1970-01-01 00:00:00.000000146,-352.58
1970-01-01 00:00:00.000000147,-787.632
1970-01-01 00:00:00.000000148,-828.136
1970-01-01 00:00:00.000000149,7.442
1970-01-01 00:00:00.000000150,255.224
1970-01-01 00:00:00.000000151,27.694
1970-01-01 00:00:00.000000152,547.536
1970-01-01 00:00:00.000000153,547.536
1970-01-01 00:00:00.000000154,1559.404
1970-01-01 00:00:00.000000155,217.404
1970-01-01 00:00:00.000000156,-864.614
1970-01-01 00:00:00.000000157,-920.124
1970-01-01 00:00:00.000000158,-812.886
1970-01-01 00:00:00.000000159,-803.614
1970-01-01 00:00:00.000000160,-162.992
1970-01-01 00:00:00.000000161,511.18
1970-01-01 00:00:00.000000162,1120.936
1970-01-01 00:00:00.000000163,100.772
1970-01-01 00:00:00.000000164,-513.498
1970-01-01 00:00:00.000000165,-773.724
1970-01-01 00:00:00.000000166,-292.312
1970-01-01 00:00:00.000000167,-159.82
1970-01-01 00:00:00.000000168,275.598
1970-01-01 00:00:00.000000169,353.678
1970-01-01 00:00:00.000000170,798.734
1970-01-01 00:00:00.000000171,798.734
1970-01-01 00:00:00.000000172,1161.074
1970-01-01 00:00:00.000000173,-328.18
1970-01-01 00:00:00.000000174,-1167.906
1970-01-01 00:00:00.000000175,-964.776
1970-01-01 00:00:00.000000176,-808.738
1970-01-01 00:00:00.000000177,-703.574
1970-01-01 00:00:00.000000178,14.64
1970-01-01 00:00:00.000000179,1006.378
1970-01-01 00:00:00.000000180,891.454
1970-01-01 00:00:00.000000181,-350.994
1970-01-01 00:00:00.000000182,-824.354
1970-01-01 00:00:00.000000183,-590.48
1970-01-01 00:00:00.000000184,-99.43
1970-01-01 00:00:00.000000185,11.59
1970-01-01 00:00:00.000000186,-45.018
1970-01-01 00:00:00.000000187,464.82
1970-01-01 00:00:00.000000188,1086.288
1970-01-01 00:00:00.000000189,1273.68
1970-01-01 00:00:00.000000190,482.266
1970-01-01 00:00:00.000000191,-652.456
1970-01-01 00:00:00.000000192,-794.586
1970-01-01 00:00:00.000000193,-675.27
1970-01-01 00:00:00.000000194,-1064.206
1970-01-01 00:00:00.000000195,-846.558
1970-01-01 00:00:00.000000196,409.92
1970-01-01 00:00:00.000000197,1208.532
1970-01-01 00:00:00.000000198,365.268
1970-01-01 00:00:00.000000199,-317.81
1970-01-01 00:00:00.000000200,-782.264
1970-01-01 00:00:00.000000201,-264.74
1970-01-01 00:00:00.000000202,-328.668
1970-01-01 00:00:00.000000203,-34.526
1970-01-01 00:00:00.000000204,76.006
1970-01-01 00:00:00.000000205,346.846
1970-01-01 00:00:00.000000206,1615.402
1970-01-01 00:00:00.000000207,1209.386
1970-01-01 00:00:00.000000208,1195.478
1970-01-01 00:00:00.000000209,-851.56
1970-01-01 00:00:00.000000210,-716.75
1970-01-01 00:00:00.000000211,-709.552
1970-01-01 00:00:00.000000212,-908.29
1970-01-01 00:00:00.000000213,-802.638
1970-01-01 00:00:00.000000214,872.178
1970-01-01 00:00:00.000000215,946.842
1970-01-01 00:00:00.000000216,-208.742
1970-01-01 00:00:00.000000217,-768.722
1970-01-01 00:00:00.000000218,-516.182
1970-01-01 00:00:00.000000219,-38.43
1970-01-01 00:00:00.000000220,-62.83
1970-01-01 00:00:00.000000221,-73.078
1970-01-01 00:00:00.000000222,206.668
1970-01-01 00:00:00.000000223,326.838
1970-01-01 00:00:00.000000224,1429.23
1970-01-01 00:00:00.000000225,991.982
1970-01-01 00:00:00.000000226,974.17
1970-01-01 00:00:00.000000227,-1101.05
1970-01-01 00:00:00.000000228,-994.666
1970-01-01 00:00:00.000000229,-1024.8
1970-01-01 00:00:00.000000230,-908.168
1970-01-01 00:00:00.000000231,-512.034
1970-01-01 00:00:00.000000232,597.19
1970-01-01 00:00:00.000000233,870.104
1970-01-01 00:00:00.000000234,-463.6
1970-01-01 00:00:00.000000235,-446.276
1970-01-01 00:00:00.000000236,-646.966
1970-01-01 00:00:00.000000237,-119.194
1970-01-01 00:00:00.000000238,-13.42
1970-01-01 00:00:00.000000239,186.66
1970-01-01 00:00:00.000000240,332.572
1970-01-01 00:00:00.000000241,704.794
1970-01-01 00:00:00.000000242,961.604
1970-01-01 00:00:00.000000243,28.06
1970-01-01 00:00:00.000000244,17.324
1970-01-01 00:00:00.000000245,-825.574
1970-01-01 00:00:00.000000246,-940.62
1970-01-01 00:00:00.000000247,-972.218
1970-01-01 00:00:00.000000248,-531.676
1970-01-01 00:00:00.000000249,-159.21
1970-01-01 00:00:00.000000250,888.648
1970-01-01 00:00:00.000000251,1070.916
1970-01-01 00:00:00.000000252,-228.384
1970-01-01 00:00:00.000000253,-470.188
1970-01-01 00:00:00.000000254,-746.64
1970-01-01 00:00:00.000000255,-203.13
1970-01-01 00:00:00.000000256,134.566
1970-01-01 00:00:00.000000257,210.084
1970-01-01 00:00:00.000000258,582.916
1970-01-01 00:00:00.000000259,832.04
1970-01-01 00:00:00.000000260,1605.032
1970-01-01 00:00:00.000000261,-500.2
1970-01-01 00:00:00.000000262,-512.034
1970-01-01 00:00:00.000000263,-1001.864
1970-01-01 00:00:00.000000264,-905.972
1970-01-01 00:00:00.000000265,-938.546
1970-01-01 00:00:00.000000266,-507.886
1970-01-01 00:00:00.000000267,373.32
1970-01-01 00:00:00.000000268,937.692
1970-01-01 00:00:00.000000269,-358.68
1970-01-01 00:00:00.000000270,-358.68
1970-01-01 00:00:00.000000271,-742.004
1970-01-01 00:00:00.000000272,-72.712
1970-01-01 00:00:00.000000273,-4.88
1970-01-01 00:00:00.000000274,123.342
1970-01-01 00:00:00.000000275,248.758
1970-01-01 00:00:00.000000276,738.466
1970-01-01 00:00:00.000000277,863.15
1970-01-01 00:00:00.000000278,399.184
1970-01-01 00:00:00.000000279,399.184
1970-01-01 00:00:00.000000280,-722.362
1970-01-01 00:00:00.000000281,-976.122
1970-01-01 00:00:00.000000282,-885.72
1970-01-01 00:00:00.000000283,-663.192
1970-01-01 00:00:00.000000284,-295.118
1970-01-01 00:00:00.000000285,574.62
1970-01-01 00:00:00.000000286,1007.232
1970-01-01 00:00:00.000000287,410.164
1970-01-01 00:00:00.000000288,-412.482
1970-01-01 00:00:00.000000289,-729.926
1970-01-01 00:00:00.000000290,-327.936
1970-01-01 00:00:00.000000291,162.382
1970-01-01 00:00:00.000000292,217.648
1970-01-01 00:00:00.000000293,292.312
1970-01-01 00:00:00.000000294,638.548
1970-01-01 00:00:00.000000295,1398.242
1970-01-01 00:00:00.000000296,1348.466
1970-01-01 00:00:00.000000297,-189.588
1970-01-01 00:00:00.000000298,-971.974
1970-01-01 00:00:00.000000299,-758.84
1970-01-01 00:00:00.000000300,-1163.148
1970-01-01 00:00:00.000000301,-804.468
1970-01-01 00:00:00.000000302,95.526
1970-01-01 00:00:00.000000303,887.55
1970-01-01 00:00:00.000000304,964.776
1970-01-01 00:00:00.000000305,-366.854
1970-01-01 00:00:00.000000306,-687.592
1970-01-01 00:00:00.000000307,-619.394
1970-01-01 00:00:00.000000308,-129.686
1970-01-01 00:00:00.000000309,198.494
1970-01-01 00:00:00.000000310,304.39
1970-01-01 00:00:00.000000311,389.79
1970-01-01 00:00:00.000000312,1066.036
1970-01-01 00:00:00.000000313,1147.288
1970-01-01 00:00:00.000000314,746.518
1970-01-01 00:00:00.000000315,-477.02
1970-01-01 00:00:00.000000316,-897.554
1970-01-01 00:00:00.000000317,-878.278
1970-01-01 00:00:00.000000318,-790.56
1970-01-01 00:00:00.000000319,-444.69
1970-01-01 00:00:00.000000320,342.454
1970-01-01 00:00:00.000000321,1125.084
1970-01-01 00:00:00.000000322,664.656
1970-01-01 00:00:00.000000323,-305.976
1970-01-01 00:00:00.000000324,-779.214
1970-01-01 00:00:00.000000325,-357.948
1970-01-01 00:00:00.000000326,-248.636
1970-01-01 00:00:00.000000327,207.766
1970-01-01 00:00:00.000000328,72.468
1970-01-01 00:00:00.000000329,335.866
1970-01-01 00:00:00.000000330,1166.32
1970-01-01 00:00:00.000000331,1420.446
1970-01-01 00:00:00.000000332,58.316
1970-01-01 00:00:00.000000333,-945.256
1970-01-01 00:00:00.000000334,-800.808
1970-01-01 00:00:00.000000335,-761.402
1970-01-01 00:00:00.000000336,-925.004
1970-01-01 00:00:00.000000337,-768.844
1970-01-01 00:00:00.000000338,10.614
1970-01-01 00:00:00.000000339,783.24
1970-01-01 00:00:00.000000340,52.704
1970-01-01 00:00:00.000000341,-409.31
1970-01-01 00:00:00.000000342,-799.1
1970-01-01 00:00:00.000000343,-139.812
1970-01-01 00:00:00.000000344,-148.108
1970-01-01 00:00:00.000000345,147.01
1970-01-01 00:00:00.000000346,217.526
1970-01-01 00:00:00.000000347,321.226
1970-01-01 00:00:00.000000348,956.48
1970-01-01 00:00:00.000000349,989.054
1970-01-01 00:00:00.000000350,-469.334
1970-01-01 00:00:00.000000351,-930.616
1970-01-01 00:00:00.000000352,-885.11
1970-01-01 00:00:00.000000353,-909.754
1970-01-01 00:00:00.000000354,-868.274
1970-01-01 00:00:00.000000355,-622.81
1970-01-01 00:00:00.000000356,218.868
1970-01-01 00:00:00.000000357,1023.336
1970-01-01 00:00:00.000000358,-369.172
1970-01-01 00:00:00.000000359,-829.966
1970-01-01 00:00:00.000000360,-323.544
1970-01-01 00:00:00.000000361,-88.328
1970-01-01 00:00:00.000000362,43.188
1970-01-01 00:00:00.000000363,69.418
1970-01-01 00:00:00.000000364,353.312
1970-01-01 00:00:00.000000365,618.784
1970-01-01 00:00:00.000000366,1007.598
1970-01-01 00:00:00.000000367,1369.206
1970-01-01 00:00:00.000000368,-741.882
1970-01-01 00:00:00.000000369,-792.146
1970-01-01 00:00:00.000000370,-792.146
1970-01-01 00:00:00.000000371,-884.622
1970-01-01 00:00:00.000000372,-855.708
1970-01-01 00:00:00.000000373,-112.728
1970-01-01 00:00:00.000000374,746.884
1970-01-01 00:00:00.000000375,1068.232
1970-01-01 00:00:00.000000376,107.482
1970-01-01 00:00:00.000000377,-623.664
1970-01-01 00:00:00.000000378,-173.728
1970-01-01 00:00:00.000000379,-173.728
1970-01-01 00:00:00.000000380,-159.576
1970-01-01 00:00:00.000000381,180.438
1970-01-01 00:00:00.000000382,410.408
1970-01-01 00:00:00.000000383,940.986
1970-01-01 00:00:00.000000384,1626.504
1970-01-01 00:00:00.000000385,1165.222
1970-01-01 00:00:00.000000386,-1145.336
1970-01-01 00:00:00.000000387,-992.226
1970-01-01 00:00:00.000000388,-992.226
1970-01-01 00:00:00.000000389,-949.038
1970-01-01 00:00:00.000000390,-666.974
1970-01-01 00:00:00.000000391,334.158
1970-01-01 00:00:00.000000392,1075.186
1970-01-01 00:00:00.000000393,583.648
1970-01-01 00:00:00.000000394,-351.97
1970-01-01 00:00:00.000000395,-586.454
1970-01-01 00:00:00.000000396,18.91
1970-01-01 00:00:00.000000397,18.91
1970-01-01 00:00:00.000000398,-73.932
1970-01-01 00:00:00.000000399,417.484
1970-01-01 00:00:00.000000400,570.594
1970-01-01 00:00:00.000000401,991.128
1970-01-01 00:00:00.000000402,1133.868
1970-01-01 00:00:00.000000403,560.224
1970-01-01 00:00:00.000000404,-597.556
1970-01-01 00:00:00.000000405,-736.27
1970-01-01 00:00:00.000000406,-1079.822
1970-01-01 00:00:00.000000407,-1090.924
1970-01-01 00:00:00.000000408,-350.75
1970-01-01 00:00:00.000000409,863.272
1970-01-01 00:00:00.000000410,856.684
1970-01-01 00:00:00.000000411,353.922
1970-01-01 00:00:00.000000412,-413.336
1970-01-01 00:00:00.000000413,-240.34
1970-01-01 00:00:00.000000414,-319.03
1970-01-01 00:00:00.000000415,149.45
1970-01-01 00:00:00.000000416,55.876
1970-01-01 00:00:00.000000417,299.876
1970-01-01 00:00:00.000000418,552.294
1970-01-01 00:00:00.000000419,1347.002
1970-01-01 00:00:00.000000420,1178.398
1970-01-01 00:00:00.000000421,-32.086
1970-01-01 00:00:00.000000422,-895.48
1970-01-01 00:00:00.000000423,-659.288
1970-01-01 00:00:00.000000424,-1127.768
1970-01-01 00:00:00.000000425,-586.454
1970-01-01 00:00:00.000000426,-140.544
1970-01-01 00:00:00.000000427,724.436
1970-01-01 00:00:00.000000428,1032.364
1970-01-01 00:00:00.000000429,-150.67
1970-01-01 00:00:00.000000430,-475.068
1970-01-01 00:00:00.000000431,-102.968
1970-01-01 00:00:00.000000432,-299.388
1970-01-01 00:00:00.000000433,356.484
1970-01-01 00:00:00.000000434,155.062
1970-01-01 00:00:00.000000435,485.194
1970-01-01 00:00:00.000000436,701.744
1970-01-01 00:00:00.000000437,1479.982
1970-01-01 00:00:00.000000438,930.128
1970-01-01 00:00:00.000000439,-425.536
1970-01-01 00:00:00.000000440,-792.024
1970-01-01 00:00:00.000000441,-1062.62
1970-01-01 00:00:00.000000442,-939.888
1970-01-01 00:00:00.000000443,-967.704
1970-01-01 00:00:00.000000444,359.412
