time_captured,GE_Low
2007-02-28,34.65
2007-03-01,34.32
2007-03-02,34.7
2007-03-05,34.52
2007-03-06,34.52
2007-03-07,34.32
2007-03-08,34.35
2007-03-09,34.22
2007-03-12,34.01
2007-03-13,34.01
2007-03-14,33.9
2007-03-15,34.11
2007-03-16,34.25
2007-03-19,34.43
2007-03-20,34.5
2007-03-21,34.73
2007-03-22,35.4
2007-03-23,35.6
2007-03-26,35.44
2007-03-27,35.66
2007-03-28,35.3
2007-03-29,35.34
2007-03-30,35.0
2007-04-02,35.11
2007-04-03,35.17
2007-04-04,35.07
2007-04-05,34.94
2007-04-09,34.75
2007-04-10,34.75
2007-04-11,34.86
2007-04-12,34.86
2007-04-13,35.25
2007-04-16,35.2
2007-04-17,35.06
2007-04-18,34.9
2007-04-19,34.9
2007-04-20,34.93
2007-04-23,34.78
2007-04-24,34.55
2007-04-25,34.91
2007-04-26,35.46
2007-04-27,36.02
2007-04-30,36.61
2007-05-01,36.72
2007-05-02,37.12
2007-05-03,37.13
2007-05-04,37.06
2007-05-07,37.15
2007-05-08,36.95
2007-05-09,36.86
2007-05-10,36.7
2007-05-11,36.8
2007-05-14,36.5
2007-05-15,36.61
2007-05-16,36.52
2007-05-17,36.45
2007-05-18,36.7
2007-05-21,37.0
2007-05-22,37.11
2007-05-23,37.34
2007-05-24,37.28
2007-05-25,37.32
2007-05-29,37.14
2007-05-30,37.16
2007-05-31,37.51
2007-06-01,37.24
2007-06-04,37.68
2007-06-05,37.37
2007-06-06,37.12
2007-06-07,36.73
2007-06-08,36.65
2007-06-11,37.05
2007-06-12,37.05
2007-06-13,37.1
2007-06-14,37.6
2007-06-15,37.96
2007-06-18,37.96
2007-06-19,37.91
2007-06-20,38.96
2007-06-21,38.5
2007-06-22,38.24
2007-06-25,37.93
2007-06-26,37.87
2007-06-27,37.64
2007-06-28,37.78
2007-06-29,38.0
2007-07-02,38.02
2007-07-03,38.36
2007-07-05,38.37
2007-07-06,38.37
2007-07-09,38.37
2007-07-10,37.89
2007-07-11,37.73
2007-07-12,38.2
2007-07-13,39.5
2007-07-16,39.54
2007-07-17,40.0
2007-07-18,39.93
2007-07-19,40.48
2007-07-20,40.0
2007-07-23,40.3
2007-07-24,40.15
2007-07-25,39.94
2007-07-26,39.35
2007-07-27,38.79
2007-07-30,38.65
2007-07-31,38.73
2007-08-01,38.45
2007-08-02,38.64
2007-08-03,38.06
2007-08-06,38.01
2007-08-07,38.74
2007-08-08,39.46
2007-08-09,38.87
2007-08-10,37.19
2007-08-13,38.0
2007-08-14,37.51
2007-08-15,36.72
2007-08-16,36.2
2007-08-17,37.72
2007-08-20,37.75
2007-08-21,37.98
2007-08-22,38.5
2007-08-23,38.6
2007-08-24,38.98
2007-08-27,38.9
2007-08-28,38.05
2007-08-29,38.15
2007-08-30,38.25
2007-08-31,38.49
2007-09-04,38.51
2007-09-05,38.45
2007-09-06,38.51
2007-09-07,38.61
2007-09-10,38.51
2007-09-11,39.05
2007-09-12,39.31
2007-09-13,39.94
2007-09-14,39.94
2007-09-17,40.04
2007-09-18,40.2
2007-09-19,41.64
2007-09-20,41.05
2007-09-21,41.18
2007-09-24,40.77
2007-09-25,40.56
2007-09-26,40.96
2007-09-27,41.13
2007-09-28,41.1
2007-10-01,41.28
2007-10-02,41.8
2007-10-03,41.5
2007-10-04,41.45
2007-10-05,41.69
2007-10-08,41.41
2007-10-09,41.5
2007-10-10,41.7
2007-10-11,41.37
2007-10-12,40.12
2007-10-15,40.41
2007-10-16,40.58
2007-10-17,40.77
2007-10-18,40.52
2007-10-19,39.87
2007-10-22,39.68
2007-10-23,40.02
2007-10-24,39.4
2007-10-25,39.72
2007-10-26,39.96
2007-10-29,40.32
2007-10-30,40.31
2007-10-31,40.46
2007-11-01,40.17
2007-11-02,39.97
2007-11-05,39.95
2007-11-06,39.97
2007-11-07,38.99
2007-11-08,37.5
2007-11-09,38.11
2007-11-12,38.17
2007-11-13,38.25
2007-11-14,38.82
2007-11-15,38.13
2007-11-16,37.87
2007-11-19,38.0
2007-11-20,37.5
2007-11-21,36.94
2007-11-23,37.16
2007-11-26,36.52
2007-11-27,36.8
2007-11-28,37.56
2007-11-29,37.8
2007-11-30,37.65
2007-12-03,36.6
2007-12-04,36.07
2007-12-05,36.24
2007-12-06,36.54
2007-12-07,36.95
2007-12-10,37.05
2007-12-11,36.15
2007-12-12,36.85
2007-12-13,36.75
2007-12-14,36.87
2007-12-17,36.28
2007-12-18,36.24
2007-12-19,36.32
2007-12-20,36.22
2007-12-21,36.65
2007-12-24,37.15
2007-12-26,37.4
2007-12-27,37.11
2007-12-28,37.06
2007-12-31,36.96
2008-01-02,36.55
2008-01-03,36.7
2008-01-04,35.98
2008-01-07,35.91
2008-01-08,35.2
2008-01-09,35.15
2008-01-10,35.37
2008-01-11,34.98
2008-01-14,35.25
2008-01-15,34.35
2008-01-16,34.31
2008-01-17,32.92
2008-01-18,33.8
2008-01-22,33.19
2008-01-23,33.25
2008-01-24,33.95
2008-01-25,33.87
2008-01-28,34.14
2008-01-29,34.5
2008-01-30,34.57
2008-01-31,34.5
2008-02-01,35.36
2008-02-04,35.19
2008-02-05,34.18
2008-02-06,34.0
2008-02-07,34.02
2008-02-08,33.54
2008-02-11,33.55
2008-02-12,34.1
2008-02-13,34.59
2008-02-14,34.27
2008-02-15,34.1
2008-02-19,34.11
2008-02-20,33.8
2008-02-21,33.47
2008-02-22,33.15
2008-02-25,33.55
2008-02-26,33.77
2008-02-27,33.73
2008-02-28,33.62
2008-02-29,33.09
2008-03-03,33.14
2008-03-04,33.14
2008-03-05,33.29
2008-03-06,32.8
2008-03-07,32.01
2008-03-10,31.65
2008-03-11,32.31
2008-03-12,33.45
2008-03-13,33.31
2008-03-14,33.06
2008-03-17,32.83
2008-03-18,34.71
2008-03-19,35.55
2008-03-20,35.59
2008-03-24,37.04
2008-03-25,36.92
2008-03-26,36.79
2008-03-27,36.72
2008-03-28,36.51
2008-03-31,36.54
2008-04-01,37.32
2008-04-02,37.71
2008-04-03,37.57
2008-04-04,37.32
2008-04-07,37.1
2008-04-08,36.55
2008-04-09,36.21
2008-04-10,36.16
2008-04-11,31.81
2008-04-14,31.75
2008-04-15,31.55
2008-04-16,32.02
2008-04-17,32.0
2008-04-18,32.27
2008-04-21,32.38
2008-04-22,32.2
2008-04-23,32.28
2008-04-24,32.43
2008-04-25,32.81
2008-04-28,33.03
2008-04-29,32.75
2008-04-30,32.6
2008-05-01,32.64
2008-05-02,33.17
2008-05-05,32.96
2008-05-06,32.62
2008-05-07,32.5
2008-05-08,32.45
2008-05-09,32.14
2008-05-12,32.2
2008-05-13,32.26
2008-05-14,32.33
2008-05-15,32.17
2008-05-16,31.97
2008-05-19,32.0
2008-05-20,31.55
2008-05-21,30.91
2008-05-22,30.8
2008-05-23,30.35
2008-05-27,30.21
2008-05-28,30.21
2008-05-29,30.26
2008-05-30,30.57
2008-06-02,30.18
2008-06-03,30.25
2008-06-04,30.3
2008-06-05,30.46
2008-06-06,30.0
2008-06-09,29.88
2008-06-10,29.78
2008-06-11,29.8
2008-06-12,28.89
2008-06-13,28.49
2008-06-16,28.38
2008-06-17,28.77
2008-06-18,28.16
2008-06-19,27.8
2008-06-20,27.27
2008-06-23,27.28
2008-06-24,27.2
2008-06-25,27.65
2008-06-26,26.51
2008-06-27,26.15
2008-06-30,26.31
2008-07-01,26.3
2008-07-02,26.46
2008-07-03,26.5
2008-07-07,26.84
2008-07-08,27.11
2008-07-09,27.14
2008-07-10,27.07
2008-07-11,27.3
2008-07-14,27.02
2008-07-15,25.6
2008-07-16,26.42
2008-07-17,27.69
2008-07-18,27.58
2008-07-21,27.61
2008-07-22,27.6
2008-07-23,28.55
2008-07-24,28.68
2008-07-25,28.35
2008-07-28,27.65
2008-07-29,27.75
