time_captured,06_c25_hrm_accZ
1970-01-01 00:00:00.000000116,814.866087316651
1970-01-01 00:00:00.000000117,663.314
1970-01-01 00:00:00.000000118,1404.78015361647
1970-01-01 00:00:00.000000119,1456.52096819109
1970-01-01 00:00:00.000000120,877.631694067988
1970-01-01 00:00:00.000000121,1207.47705502246
1970-01-01 00:00:00.000000122,442.138338663861
1970-01-01 00:00:00.000000123,222.629587748464
1970-01-01 00:00:00.000000124,927.565002552147
1970-01-01 00:00:00.000000125,1212.55459465531
1970-01-01 00:00:00.000000126,1519.144
1970-01-01 00:00:00.000000127,1031.04216324006
1970-01-01 00:00:00.000000128,716.28476243761
1970-01-01 00:00:00.000000129,394.548
1970-01-01 00:00:00.000000130,983.241008873744
1970-01-01 00:00:00.000000131,1833.50579088384
1970-01-01 00:00:00.000000132,1002.24546873424
1970-01-01 00:00:00.000000133,924.42840277459
1970-01-01 00:00:00.000000134,821.061572173912
1970-01-01 00:00:00.000000135,1078.18758863266
1970-01-01 00:00:00.000000136,538.896057875231
1970-01-01 00:00:00.000000137,816.326066423886
1970-01-01 00:00:00.000000138,1732.888
1970-01-01 00:00:00.000000139,1557.57238604721
1970-01-01 00:00:00.000000140,454.112972520718
1970-01-01 00:00:00.000000141,637.956865858784
1970-01-01 00:00:00.000000142,1162.2559936931
1970-01-01 00:00:00.000000143,1797.80972468734
1970-01-01 00:00:00.000000144,828.881036212988
1970-01-01 00:00:00.000000145,1297.09335003433
1970-01-01 00:00:00.000000146,565.088846320239
1970-01-01 00:00:00.000000147,589.87
1970-01-01 00:00:00.000000148,402.48985019777
1970-01-01 00:00:00.000000149,1156.24197620736
1970-01-01 00:00:00.000000150,1224.36482491026
1970-01-01 00:00:00.000000151,1371.03955968222
1970-01-01 00:00:00.000000152,671.910913673896
1970-01-01 00:00:00.000000153,349.406909422033
1970-01-01 00:00:00.000000154,503.025311276102
1970-01-01 00:00:00.000000155,1095.66739589733
1970-01-01 00:00:00.000000156,1009.59091906846
1970-01-01 00:00:00.000000157,1114.97225410651
1970-01-01 00:00:00.000000158,724.94663336501
1970-01-01 00:00:00.000000159,779.214
1970-01-01 00:00:00.000000160,524.486860675591
1970-01-01 00:00:00.000000161,1011.359792244
1970-01-01 00:00:00.000000162,545.046498768032
1970-01-01 00:00:00.000000163,1554.45902291076
1970-01-01 00:00:00.000000164,352.886646541758
1970-01-01 00:00:00.000000165,681.336524858998
1970-01-01 00:00:00.000000166,1065.34673585639
1970-01-01 00:00:00.000000167,796.423072959453
1970-01-01 00:00:00.000000168,1689.334
1970-01-01 00:00:00.000000169,670.546983644711
1970-01-01 00:00:00.000000170,712.740511343648
1970-01-01 00:00:00.000000171,616.1
1970-01-01 00:00:00.000000172,667.966429584573
1970-01-01 00:00:00.000000173,260.902726726635
1970-01-01 00:00:00.000000174,932.311509093229
1970-01-01 00:00:00.000000175,1865.00507949495
1970-01-01 00:00:00.000000176,1104.43000802913
1970-01-01 00:00:00.000000177,454.426391221736
1970-01-01 00:00:00.000000178,795.90217422837
1970-01-01 00:00:00.000000179,956.019215204373
1970-01-01 00:00:00.000000180,1357.12722112606
1970-01-01 00:00:00.000000181,1150.70452324713
1970-01-01 00:00:00.000000182,849.72816687836
1970-01-01 00:00:00.000000183,608.697678856206
1970-01-01 00:00:00.000000184,614.229589032241
1970-01-01 00:00:00.000000185,632.795084427499
1970-01-01 00:00:00.000000186,537.776
1970-01-01 00:00:00.000000187,1742.35568271482
1970-01-01 00:00:00.000000188,1077.34115079926
1970-01-01 00:00:00.000000189,785.333176586046
1970-01-01 00:00:00.000000190,541.540767257378
1970-01-01 00:00:00.000000191,798.698223892079
1970-01-01 00:00:00.000000192,1286.55880556588
