time_captured,03_cap_raw_accY
1970-01-01 00:00:00.000000129,-244.244
1970-01-01 00:00:00.000000130,-179.096
1970-01-01 00:00:00.000000131,-490.928
1970-01-01 00:00:00.000000132,-126.27
1970-01-01 00:00:00.000000133,449.814
1970-01-01 00:00:00.000000134,76.006
1970-01-01 00:00:00.000000135,96.014
1970-01-01 00:00:00.000000136,161.284
1970-01-01 00:00:00.000000137,133.712
1970-01-01 00:00:00.000000138,49.898
1970-01-01 00:00:00.000000139,-94.306
1970-01-01 00:00:00.000000140,-337.574
1970-01-01 00:00:00.000000141,10.004
1970-01-01 00:00:00.000000142,-22.936
1970-01-01 00:00:00.000000143,-126.026
1970-01-01 00:00:00.000000144,-243.268
1970-01-01 00:00:00.000000145,-127.734
1970-01-01 00:00:00.000000146,13.664
1970-01-01 00:00:00.000000147,-205.082
1970-01-01 00:00:00.000000148,26.474
1970-01-01 00:00:00.000000149,-281.942
1970-01-01 00:00:00.000000150,132.248
1970-01-01 00:00:00.000000151,433.344
1970-01-01 00:00:00.000000152,93.696
1970-01-01 00:00:00.000000153,-24.156
1970-01-01 00:00:00.000000154,439.322
1970-01-01 00:00:00.000000155,-265.35
1970-01-01 00:00:00.000000156,-96.258
1970-01-01 00:00:00.000000157,-313.662
1970-01-01 00:00:00.000000158,-453.962
1970-01-01 00:00:00.000000159,-104.554
1970-01-01 00:00:00.000000160,151.036
1970-01-01 00:00:00.000000161,-344.406
1970-01-01 00:00:00.000000162,-325.496
1970-01-01 00:00:00.000000163,6.588
1970-01-01 00:00:00.000000164,281.21
1970-01-01 00:00:00.000000165,-17.812
1970-01-01 00:00:00.000000166,44.53
1970-01-01 00:00:00.000000167,173.484
1970-01-01 00:00:00.000000168,177.266
1970-01-01 00:00:00.000000169,553.148
1970-01-01 00:00:00.000000170,186.294
1970-01-01 00:00:00.000000171,-8.174
1970-01-01 00:00:00.000000172,112.362
1970-01-01 00:00:00.000000173,383.568
1970-01-01 00:00:00.000000174,-128.954
1970-01-01 00:00:00.000000175,-120.536
1970-01-01 00:00:00.000000176,-261.446
1970-01-01 00:00:00.000000177,-1.464
1970-01-01 00:00:00.000000178,0.854
1970-01-01 00:00:00.000000179,-339.038
1970-01-01 00:00:00.000000180,-35.624
1970-01-01 00:00:00.000000181,202.154
1970-01-01 00:00:00.000000182,388.57
1970-01-01 00:00:00.000000183,352.702
1970-01-01 00:00:00.000000184,-415.044
1970-01-01 00:00:00.000000185,-699.548
1970-01-01 00:00:00.000000186,94.916
1970-01-01 00:00:00.000000187,95.038
1970-01-01 00:00:00.000000188,-4.636
1970-01-01 00:00:00.000000189,107.726
1970-01-01 00:00:00.000000190,418.46
1970-01-01 00:00:00.000000191,-174.338
1970-01-01 00:00:00.000000192,-7.686
1970-01-01 00:00:00.000000193,-91.012
1970-01-01 00:00:00.000000194,-729.072
1970-01-01 00:00:00.000000195,-144.814
1970-01-01 00:00:00.000000196,30.744
1970-01-01 00:00:00.000000197,13.176
1970-01-01 00:00:00.000000198,-507.886
1970-01-01 00:00:00.000000199,-122.488
1970-01-01 00:00:00.000000200,-261.324
1970-01-01 00:00:00.000000201,-452.864
1970-01-01 00:00:00.000000202,-117.12
1970-01-01 00:00:00.000000203,-694.912
1970-01-01 00:00:00.000000204,262.666
1970-01-01 00:00:00.000000205,28.914
1970-01-01 00:00:00.000000206,415.166
1970-01-01 00:00:00.000000207,134.078
1970-01-01 00:00:00.000000208,465.918
1970-01-01 00:00:00.000000209,-134.566
1970-01-01 00:00:00.000000210,144.936
1970-01-01 00:00:00.000000211,304.268
1970-01-01 00:00:00.000000212,-435.174
1970-01-01 00:00:00.000000213,-81.13
1970-01-01 00:00:00.000000214,635.742
1970-01-01 00:00:00.000000215,-7.564
1970-01-01 00:00:00.000000216,-435.662
1970-01-01 00:00:00.000000217,-270.596
1970-01-01 00:00:00.000000218,-99.552
1970-01-01 00:00:00.000000219,252.784
1970-01-01 00:00:00.000000220,211.67
1970-01-01 00:00:00.000000221,-442.738
1970-01-01 00:00:00.000000222,228.018
1970-01-01 00:00:00.000000223,384.544
1970-01-01 00:00:00.000000224,374.784
1970-01-01 00:00:00.000000225,-104.066
1970-01-01 00:00:00.000000226,5.856
1970-01-01 00:00:00.000000227,-101.504
1970-01-01 00:00:00.000000228,4.636
1970-01-01 00:00:00.000000229,-137.25
1970-01-01 00:00:00.000000230,-533.14
1970-01-01 00:00:00.000000231,-21.716
1970-01-01 00:00:00.000000232,660.63
1970-01-01 00:00:00.000000233,216.55
1970-01-01 00:00:00.000000234,-196.42
1970-01-01 00:00:00.000000235,91.256
1970-01-01 00:00:00.000000236,295.606
1970-01-01 00:00:00.000000237,152.012
1970-01-01 00:00:00.000000238,-269.132
1970-01-01 00:00:00.000000239,-465.186
1970-01-01 00:00:00.000000240,378.078
1970-01-01 00:00:00.000000241,350.384
1970-01-01 00:00:00.000000242,81.252
1970-01-01 00:00:00.000000243,-174.46
1970-01-01 00:00:00.000000244,96.258
1970-01-01 00:00:00.000000245,79.422
1970-01-01 00:00:00.000000246,147.498
1970-01-01 00:00:00.000000247,-176.9
1970-01-01 00:00:00.000000248,-673.44
1970-01-01 00:00:00.000000249,173.728
1970-01-01 00:00:00.000000250,385.276
1970-01-01 00:00:00.000000251,44.042
1970-01-01 00:00:00.000000252,-114.192
1970-01-01 00:00:00.000000253,316.224
1970-01-01 00:00:00.000000254,-85.156
1970-01-01 00:00:00.000000255,225.334
