time_captured,03_cap_hrm_accY
1970-01-01 00:00:00.000000114,-344.406
1970-01-01 00:00:00.000000115,-217.96131296221
1970-01-01 00:00:00.000000116,274.104464093893
1970-01-01 00:00:00.000000117,-83.9878214286063
1970-01-01 00:00:00.000000118,156.223775198167
1970-01-01 00:00:00.000000119,296.281228838913
1970-01-01 00:00:00.000000120,379.485599911514
1970-01-01 00:00:00.000000121,-10.9227747648945
1970-01-01 00:00:00.000000122,384.765444022771
1970-01-01 00:00:00.000000123,-128.954
1970-01-01 00:00:00.000000124,-191.477484311222
1970-01-01 00:00:00.000000125,-46.0686815161266
1970-01-01 00:00:00.000000126,-182.392111998463
1970-01-01 00:00:00.000000127,-146.197448453956
1970-01-01 00:00:00.000000128,263.9885586537
1970-01-01 00:00:00.000000129,498.171562650001
1970-01-01 00:00:00.000000130,-536.573362283959
1970-01-01 00:00:00.000000131,-439.500694299203
1970-01-01 00:00:00.000000132,95.038
1970-01-01 00:00:00.000000133,-37.7804051689621
1970-01-01 00:00:00.000000134,427.434332060031
1970-01-01 00:00:00.000000135,-259.676952586014
1970-01-01 00:00:00.000000136,28.0606537378433
1970-01-01 00:00:00.000000137,-732.766143409051
1970-01-01 00:00:00.000000138,-14.4700318026689
1970-01-01 00:00:00.000000139,-41.2642605637621
1970-01-01 00:00:00.000000140,-419.459323068509
1970-01-01 00:00:00.000000141,-107.388340642308
1970-01-01 00:00:00.000000142,-399.731424036985
1970-01-01 00:00:00.000000143,-578.40395733111
1970-01-01 00:00:00.000000144,262.666
1970-01-01 00:00:00.000000145,280.326341562745
1970-01-01 00:00:00.000000146,123.197877168382
1970-01-01 00:00:00.000000147,208.973187381904
1970-01-01 00:00:00.000000148,-3.01742276688972
1970-01-01 00:00:00.000000149,172.23868862873
1970-01-01 00:00:00.000000150,-385.367968333757
1970-01-01 00:00:00.000000151,610.919454702688
1970-01-01 00:00:00.000000152,-404.976974239586
1970-01-01 00:00:00.000000153,-270.596
1970-01-01 00:00:00.000000154,-47.6995783704693
1970-01-01 00:00:00.000000155,271.236460540096
1970-01-01 00:00:00.000000156,-442.738
1970-01-01 00:00:00.000000157,376.487958505408
1970-01-01 00:00:00.000000158,426.253164986961
1970-01-01 00:00:00.000000159,-90.0551309665695
1970-01-01 00:00:00.000000160,-83.2491327205682
1970-01-01 00:00:00.000000161,4.74911135165396
1970-01-01 00:00:00.000000162,-533.14
1970-01-01 00:00:00.000000163,108.913533546396
1970-01-01 00:00:00.000000164,580.785047307429
1970-01-01 00:00:00.000000165,-196.42
