time_captured,04_out_hrm_accX
1970-01-01 00:00:00.000000114,991.494
1970-01-01 00:00:00.000000115,700.799141729987
1970-01-01 00:00:00.000000116,-716.363328802833
1970-01-01 00:00:00.000000117,-285.923794874459
1970-01-01 00:00:00.000000118,-420.31382010913
1970-01-01 00:00:00.000000119,-175.57895900671
1970-01-01 00:00:00.000000120,763.964
1970-01-01 00:00:00.000000121,670.77812742499
1970-01-01 00:00:00.000000122,-419.724444605612
1970-01-01 00:00:00.000000123,-500.704097359109
1970-01-01 00:00:00.000000124,-625.051591735546
1970-01-01 00:00:00.000000125,-387.603570306639
1970-01-01 00:00:00.000000126,468.236
1970-01-01 00:00:00.000000127,1000.72662852553
1970-01-01 00:00:00.000000128,-678.045228837486
1970-01-01 00:00:00.000000129,-368.561543844212
1970-01-01 00:00:00.000000130,-507.956817944829
1970-01-01 00:00:00.000000131,-454.198672339161
1970-01-01 00:00:00.000000132,618.174
1970-01-01 00:00:00.000000133,1130.79287898536
1970-01-01 00:00:00.000000134,439.124201897801
1970-01-01 00:00:00.000000135,-980.325969064663
1970-01-01 00:00:00.000000136,-739.826712152434
1970-01-01 00:00:00.000000137,-697.252486326695
1970-01-01 00:00:00.000000138,-156.404
1970-01-01 00:00:00.000000139,1022.59229388046
1970-01-01 00:00:00.000000140,229.295474777522
1970-01-01 00:00:00.000000141,-989.955103560422
1970-01-01 00:00:00.000000142,-419.633069864693
1970-01-01 00:00:00.000000143,-425.681427947325
1970-01-01 00:00:00.000000144,-238.382580340239
1970-01-01 00:00:00.000000145,580.954621433891
1970-01-01 00:00:00.000000146,1319.26455561936
1970-01-01 00:00:00.000000147,-981.856
1970-01-01 00:00:00.000000148,-398.195245091709
1970-01-01 00:00:00.000000149,-632.297382285416
1970-01-01 00:00:00.000000150,-294.536981104594
1970-01-01 00:00:00.000000151,919.736382941644
1970-01-01 00:00:00.000000152,1168.3187341176
1970-01-01 00:00:00.000000153,-458.354
1970-01-01 00:00:00.000000154,-495.820423626433
1970-01-01 00:00:00.000000155,-474.473689855389
1970-01-01 00:00:00.000000156,-464.80952952015
1970-01-01 00:00:00.000000157,216.837019782321
1970-01-01 00:00:00.000000158,906.491550402071
1970-01-01 00:00:00.000000159,-462.868
1970-01-01 00:00:00.000000160,-465.465710354986
1970-01-01 00:00:00.000000161,-419.551691460252
1970-01-01 00:00:00.000000162,-444.071674281301
1970-01-01 00:00:00.000000163,78.8894810178625
1970-01-01 00:00:00.000000164,1280.99760646819
1970-01-01 00:00:00.000000165,227.896
1970-01-01 00:00:00.000000166,-666.069043118498
1970-01-01 00:00:00.000000167,-387.420077256563
1970-01-01 00:00:00.000000168,-371.691254102504
1970-01-01 00:00:00.000000169,-9.01291977710662
1970-01-01 00:00:00.000000170,1225.94328023082
1970-01-01 00:00:00.000000171,317.078
1970-01-01 00:00:00.000000172,-776.842144071824
1970-01-01 00:00:00.000000173,-501.561322223819
1970-01-01 00:00:00.000000174,-664.656
1970-01-01 00:00:00.000000175,-421.219163314825
1970-01-01 00:00:00.000000176,678.779494916561
1970-01-01 00:00:00.000000177,623.834536831791
1970-01-01 00:00:00.000000178,-855.845514588944
1970-01-01 00:00:00.000000179,-418.392924525572
1970-01-01 00:00:00.000000180,-309.392
1970-01-01 00:00:00.000000181,-377.722135754182
1970-01-01 00:00:00.000000182,323.87524515155
1970-01-01 00:00:00.000000183,1287.65478472815
1970-01-01 00:00:00.000000184,-67.2239679325811
1970-01-01 00:00:00.000000185,-462.640811055988
1970-01-01 00:00:00.000000186,-574.864
1970-01-01 00:00:00.000000187,-523.285318040719
