time_captured,DIS_Close
2006-01-03,24.4
2006-01-04,23.99
2006-01-05,24.41
2006-01-06,24.74
2006-01-09,25.0
2006-01-10,25.32
2006-01-11,25.56
2006-01-12,25.64
2006-01-13,25.7
2006-01-17,25.38
2006-01-18,25.22
2006-01-19,26.24
2006-01-20,25.72
2006-01-23,25.52
2006-01-24,25.99
2006-01-25,25.44
2006-01-26,25.08
2006-01-27,25.08
2006-01-30,25.46
2006-01-31,25.31
2006-02-01,25.27
2006-02-02,25.1
2006-02-03,25.01
2006-02-06,24.96
2006-02-07,26.7
2006-02-08,26.9
2006-02-09,26.72
2006-02-10,26.68
2006-02-13,26.41
2006-02-14,26.75
2006-02-15,26.88
2006-02-16,27.05
2006-02-17,26.91
2006-02-21,27.16
2006-02-22,27.46
2006-02-23,27.71
2006-02-24,27.98
2006-02-27,28.38
2006-02-28,27.99
2006-03-01,28.09
2006-03-02,28.03
2006-03-03,28.22
2006-03-06,27.88
2006-03-07,28.01
2006-03-08,28.05
2006-03-09,28.09
2006-03-10,28.16
2006-03-13,28.56
2006-03-14,28.66
2006-03-15,28.75
2006-03-16,28.68
2006-03-17,28.64
2006-03-20,28.64
2006-03-21,28.1
2006-03-22,27.79
2006-03-23,27.52
2006-03-24,27.45
2006-03-27,27.34
2006-03-28,27.09
2006-03-29,27.86
2006-03-30,27.87
2006-03-31,27.89
2006-04-03,27.94
2006-04-04,27.91
2006-04-05,27.79
2006-04-06,27.68
2006-04-07,27.53
2006-04-10,27.79
2006-04-11,27.77
2006-04-12,27.92
2006-04-13,27.88
2006-04-17,27.65
2006-04-18,28.09
2006-04-19,27.48
2006-04-20,27.34
2006-04-21,27.02
2006-04-24,27.27
2006-04-25,27.0
2006-04-26,27.2
2006-04-27,27.76
2006-04-28,27.96
2006-05-01,27.67
2006-05-02,27.89
2006-05-03,28.11
2006-05-04,28.4
2006-05-05,29.09
2006-05-08,28.77
2006-05-09,29.58
2006-05-10,30.11
2006-05-11,29.8
2006-05-12,29.9
2006-05-15,29.99
2006-05-16,30.35
2006-05-17,29.76
2006-05-18,29.6
2006-05-19,30.15
2006-05-22,30.0
2006-05-23,30.23
2006-05-24,30.14
2006-05-25,30.15
2006-05-26,30.51
2006-05-30,30.2
2006-05-31,30.5
2006-06-01,30.62
2006-06-02,30.62
2006-06-05,30.74
2006-06-06,30.53
2006-06-07,30.65
2006-06-08,29.87
2006-06-09,29.33
2006-06-12,28.9
2006-06-13,28.28
2006-06-14,28.69
2006-06-15,29.19
2006-06-16,29.45
2006-06-19,29.07
2006-06-20,29.23
2006-06-21,29.13
2006-06-22,29.28
2006-06-23,29.12
2006-06-26,29.67
2006-06-27,29.41
2006-06-28,29.38
2006-06-29,29.88
2006-06-30,30.0
2006-07-03,30.02
2006-07-05,30.07
2006-07-06,30.04
2006-07-07,29.83
2006-07-10,29.92
2006-07-11,30.25
2006-07-12,29.91
2006-07-13,28.7
2006-07-14,28.49
2006-07-17,28.6
2006-07-18,29.1
2006-07-19,29.26
2006-07-20,29.12
2006-07-21,28.47
2006-07-24,29.37
2006-07-25,29.48
2006-07-26,29.34
2006-07-27,29.21
2006-07-28,29.7
2006-07-31,29.69
2006-08-01,29.35
2006-08-02,29.8
2006-08-03,30.04
2006-08-04,29.9
2006-08-07,29.39
2006-08-08,28.98
2006-08-09,28.83
2006-08-10,29.58
2006-08-11,29.43
2006-08-14,29.52
2006-08-15,29.64
2006-08-16,29.71
2006-08-17,29.9
2006-08-18,29.91
2006-08-21,29.97
2006-08-22,29.64
2006-08-23,29.19
2006-08-24,28.95
2006-08-25,28.95
2006-08-28,29.37
2006-08-29,29.11
2006-08-30,29.57
2006-08-31,29.65
2006-09-01,29.89
2006-09-05,29.85
2006-09-06,29.61
2006-09-07,29.49
2006-09-08,29.58
2006-09-11,29.77
2006-09-12,30.21
2006-09-13,30.45
2006-09-14,30.39
2006-09-15,30.31
2006-09-18,30.06
2006-09-19,30.47
2006-09-20,31.03
2006-09-21,30.71
2006-09-22,30.08
2006-09-25,30.16
2006-09-26,31.07
2006-09-27,31.04
2006-09-28,30.93
2006-09-29,30.91
2006-10-02,30.53
2006-10-03,31.0
2006-10-04,31.19
2006-10-05,31.07
2006-10-06,31.34
2006-10-09,31.39
2006-10-10,31.25
2006-10-11,31.31
2006-10-12,31.3
2006-10-13,31.11
2006-10-16,31.02
2006-10-17,31.1
2006-10-18,31.58
2006-10-19,31.59
2006-10-20,31.45
2006-10-23,31.28
2006-10-24,31.38
2006-10-25,31.2
2006-10-26,31.98
2006-10-27,31.73
2006-10-30,31.86
2006-10-31,31.46
2006-11-01,31.73
2006-11-02,31.7
2006-11-03,31.89
2006-11-06,32.46
2006-11-07,32.85
2006-11-08,33.1
2006-11-09,33.58
2006-11-10,32.4
2006-11-13,32.26
2006-11-14,32.53
2006-11-15,32.69
2006-11-16,33.06
2006-11-17,32.94
2006-11-20,33.12
2006-11-21,33.23
2006-11-22,32.99
2006-11-24,32.91
2006-11-27,32.59
2006-11-28,32.89
2006-11-29,32.88
2006-11-30,33.05
2006-12-01,33.09
2006-12-04,33.44
2006-12-05,34.2
2006-12-06,34.1
2006-12-07,34.14
2006-12-08,34.39
2006-12-11,34.52
2006-12-12,34.54
2006-12-13,34.45
2006-12-14,34.72
2006-12-15,34.3
2006-12-18,34.49
2006-12-19,34.85
2006-12-20,34.61
2006-12-21,34.54
2006-12-22,34.16
2006-12-26,34.53
2006-12-27,34.54
2006-12-28,34.52
2006-12-29,34.27
2007-01-03,34.2
2007-01-04,34.47
2007-01-05,34.19
2007-01-08,34.5
2007-01-09,34.45
2007-01-10,34.49
2007-01-11,34.99
2007-01-12,35.21
2007-01-16,35.03
2007-01-17,35.25
2007-01-18,35.85
2007-01-19,35.5
2007-01-22,35.15
2007-01-23,35.58
