time_captured,02_on_raw_accY
1970-01-01 00:00:00.000000129,-141.276
1970-01-01 00:00:00.000000130,-83.936
1970-01-01 00:00:00.000000131,-239.974
1970-01-01 00:00:00.000000132,204.96
1970-01-01 00:00:00.000000133,341.966
1970-01-01 00:00:00.000000134,23.546
1970-01-01 00:00:00.000000135,-159.942
1970-01-01 00:00:00.000000136,-83.814
1970-01-01 00:00:00.000000137,155.062
1970-01-01 00:00:00.000000138,44.164
1970-01-01 00:00:00.000000139,-23.912
1970-01-01 00:00:00.000000140,-354.044
1970-01-01 00:00:00.000000141,488.732
1970-01-01 00:00:00.000000142,323.422
1970-01-01 00:00:00.000000143,140.544
1970-01-01 00:00:00.000000144,-349.164
1970-01-01 00:00:00.000000145,161.406
1970-01-01 00:00:00.000000146,-198.616
1970-01-01 00:00:00.000000147,-20.984
1970-01-01 00:00:00.000000148,-70.882
1970-01-01 00:00:00.000000149,-412.848
1970-01-01 00:00:00.000000150,50.508
1970-01-01 00:00:00.000000151,-181.536
1970-01-01 00:00:00.000000152,95.16
1970-01-01 00:00:00.000000153,98.82
1970-01-01 00:00:00.000000154,-378.932
1970-01-01 00:00:00.000000155,-504.714
1970-01-01 00:00:00.000000156,128.71
1970-01-01 00:00:00.000000157,196.298
1970-01-01 00:00:00.000000158,-263.642
1970-01-01 00:00:00.000000159,-10.614
1970-01-01 00:00:00.000000160,-102.724
1970-01-01 00:00:00.000000161,180.56
1970-01-01 00:00:00.000000162,-0.976
1970-01-01 00:00:00.000000163,-349.042
1970-01-01 00:00:00.000000164,-597.19
1970-01-01 00:00:00.000000165,-80.276
1970-01-01 00:00:00.000000166,84.302
1970-01-01 00:00:00.000000167,-177.022
1970-01-01 00:00:00.000000168,336.11
1970-01-01 00:00:00.000000169,42.822
1970-01-01 00:00:00.000000170,138.348
1970-01-01 00:00:00.000000171,-14.396
1970-01-01 00:00:00.000000172,-56.364
1970-01-01 00:00:00.000000173,-219.478
1970-01-01 00:00:00.000000174,47.702
1970-01-01 00:00:00.000000175,21.716
1970-01-01 00:00:00.000000176,264.862
1970-01-01 00:00:00.000000177,177.144
1970-01-01 00:00:00.000000178,-164.212
