time_captured,05_unb_hrm_accZ
1970-01-01 00:00:00.000000116,787.826055702947
1970-01-01 00:00:00.000000117,834.191229611575
1970-01-01 00:00:00.000000118,1661.37597323477
1970-01-01 00:00:00.000000119,1011.11171527677
1970-01-01 00:00:00.000000120,999.553049971236
1970-01-01 00:00:00.000000121,476.67190350054
1970-01-01 00:00:00.000000122,660.363595495396
1970-01-01 00:00:00.000000123,350.262
1970-01-01 00:00:00.000000124,994.983691080225
1970-01-01 00:00:00.000000125,1728.83751092271
1970-01-01 00:00:00.000000126,1112.152
1970-01-01 00:00:00.000000127,420.290209955611
1970-01-01 00:00:00.000000128,718.560440799101
1970-01-01 00:00:00.000000129,809.871447353796
1970-01-01 00:00:00.000000130,1433.52757905847
1970-01-01 00:00:00.000000131,1171.76740728518
1970-01-01 00:00:00.000000132,1023.824
1970-01-01 00:00:00.000000133,612.426406582975
1970-01-01 00:00:00.000000134,445.901257480431
1970-01-01 00:00:00.000000135,419.194191988686
1970-01-01 00:00:00.000000136,594.926640018149
1970-01-01 00:00:00.000000137,1917.67175871134
1970-01-01 00:00:00.000000138,1584.6360351467
1970-01-01 00:00:00.000000139,529.709941921278
1970-01-01 00:00:00.000000140,591.572910935442
1970-01-01 00:00:00.000000141,951.6
1970-01-01 00:00:00.000000142,1675.97991368173
1970-01-01 00:00:00.000000143,911.143503356478
1970-01-01 00:00:00.000000144,1224.636
1970-01-01 00:00:00.000000145,662.065450523727
1970-01-01 00:00:00.000000146,803.632738494842
1970-01-01 00:00:00.000000147,305.132148687021
1970-01-01 00:00:00.000000148,626.512996500656
1970-01-01 00:00:00.000000149,1395.41251452676
1970-01-01 00:00:00.000000150,1449.238
1970-01-01 00:00:00.000000151,1232.93069065875
1970-01-01 00:00:00.000000152,622.624264398699
1970-01-01 00:00:00.000000153,1013.576
1970-01-01 00:00:00.000000154,1352.8083384589
1970-01-01 00:00:00.000000155,1428.53115639485
1970-01-01 00:00:00.000000156,1242.33865859929
1970-01-01 00:00:00.000000157,708.003474483002
1970-01-01 00:00:00.000000158,806.602433990973
1970-01-01 00:00:00.000000159,453.046004712534
1970-01-01 00:00:00.000000160,588.151740256943
1970-01-01 00:00:00.000000161,1321.37067934274
1970-01-01 00:00:00.000000162,1416.42
1970-01-01 00:00:00.000000163,985.57635497961
1970-01-01 00:00:00.000000164,770.889108671791
1970-01-01 00:00:00.000000165,537.776
1970-01-01 00:00:00.000000166,495.041548995177
