time_captured,01_off_raw_accY
1970-01-01 00:00:00.000000126,-16.714
1970-01-01 00:00:00.000000127,-15.738
1970-01-01 00:00:00.000000128,-13.786
1970-01-01 00:00:00.000000129,-14.03
1970-01-01 00:00:00.000000130,-15.494
1970-01-01 00:00:00.000000131,-14.274
1970-01-01 00:00:00.000000132,-15.128
1970-01-01 00:00:00.000000133,-13.054
1970-01-01 00:00:00.000000134,-15.006
1970-01-01 00:00:00.000000135,-13.054
1970-01-01 00:00:00.000000136,-13.664
1970-01-01 00:00:00.000000137,-13.542
1970-01-01 00:00:00.000000138,-15.006
1970-01-01 00:00:00.000000139,-15.982
1970-01-01 00:00:00.000000140,-15.372
1970-01-01 00:00:00.000000141,-15.738
1970-01-01 00:00:00.000000142,-15.128
1970-01-01 00:00:00.000000143,-15.616
1970-01-01 00:00:00.000000144,-13.908
1970-01-01 00:00:00.000000145,-12.444
1970-01-01 00:00:00.000000146,-14.64
1970-01-01 00:00:00.000000147,-14.396
1970-01-01 00:00:00.000000148,-14.274
1970-01-01 00:00:00.000000149,-15.616
1970-01-01 00:00:00.000000150,-16.836
1970-01-01 00:00:00.000000151,-13.664
1970-01-01 00:00:00.000000152,-14.03
1970-01-01 00:00:00.000000153,-16.104
1970-01-01 00:00:00.000000154,-14.884
1970-01-01 00:00:00.000000155,-13.542
1970-01-01 00:00:00.000000156,-14.884
1970-01-01 00:00:00.000000157,-13.908
1970-01-01 00:00:00.000000158,-15.372
1970-01-01 00:00:00.000000159,-15.128
1970-01-01 00:00:00.000000160,-16.836
1970-01-01 00:00:00.000000161,-14.518
1970-01-01 00:00:00.000000162,-14.884
1970-01-01 00:00:00.000000163,-13.42
1970-01-01 00:00:00.000000164,-14.884
1970-01-01 00:00:00.000000165,-13.176
1970-01-01 00:00:00.000000166,-16.348
1970-01-01 00:00:00.000000167,-15.494
1970-01-01 00:00:00.000000168,-13.908
1970-01-01 00:00:00.000000169,-14.884
1970-01-01 00:00:00.000000170,-14.274
1970-01-01 00:00:00.000000171,-13.908
1970-01-01 00:00:00.000000172,-14.518
1970-01-01 00:00:00.000000173,-14.274
1970-01-01 00:00:00.000000174,-13.786
1970-01-01 00:00:00.000000175,-14.152
1970-01-01 00:00:00.000000176,-13.542
1970-01-01 00:00:00.000000177,-14.884
1970-01-01 00:00:00.000000178,-13.786
1970-01-01 00:00:00.000000179,-14.884
1970-01-01 00:00:00.000000180,-16.104
1970-01-01 00:00:00.000000181,-13.908
1970-01-01 00:00:00.000000182,-14.396
1970-01-01 00:00:00.000000183,-14.64
1970-01-01 00:00:00.000000184,-13.542
1970-01-01 00:00:00.000000185,-14.518
1970-01-01 00:00:00.000000186,-14.64
1970-01-01 00:00:00.000000187,-16.592
1970-01-01 00:00:00.000000188,-14.518
1970-01-01 00:00:00.000000189,-14.518
1970-01-01 00:00:00.000000190,-15.86
1970-01-01 00:00:00.000000191,-13.908
1970-01-01 00:00:00.000000192,-15.372
1970-01-01 00:00:00.000000193,-14.03
1970-01-01 00:00:00.000000194,-14.64
1970-01-01 00:00:00.000000195,-13.786
1970-01-01 00:00:00.000000196,-14.762
1970-01-01 00:00:00.000000197,-15.616
1970-01-01 00:00:00.000000198,-14.396
1970-01-01 00:00:00.000000199,-13.176
1970-01-01 00:00:00.000000200,-13.908
1970-01-01 00:00:00.000000201,-13.664
1970-01-01 00:00:00.000000202,-14.152
1970-01-01 00:00:00.000000203,-15.006
1970-01-01 00:00:00.000000204,-15.982
1970-01-01 00:00:00.000000205,-13.786
1970-01-01 00:00:00.000000206,-14.762
1970-01-01 00:00:00.000000207,-15.128
1970-01-01 00:00:00.000000208,-14.762
1970-01-01 00:00:00.000000209,-14.762
1970-01-01 00:00:00.000000210,-15.616
1970-01-01 00:00:00.000000211,-14.274
1970-01-01 00:00:00.000000212,-15.982
1970-01-01 00:00:00.000000213,-14.152
1970-01-01 00:00:00.000000214,-14.274
1970-01-01 00:00:00.000000215,-14.274
1970-01-01 00:00:00.000000216,-13.908
1970-01-01 00:00:00.000000217,-15.494
1970-01-01 00:00:00.000000218,-15.128
1970-01-01 00:00:00.000000219,-15.128
1970-01-01 00:00:00.000000220,-14.152
1970-01-01 00:00:00.000000221,-15.006
1970-01-01 00:00:00.000000222,-15.25
1970-01-01 00:00:00.000000223,-14.762
1970-01-01 00:00:00.000000224,-15.128
1970-01-01 00:00:00.000000225,-15.86
1970-01-01 00:00:00.000000226,-16.47
1970-01-01 00:00:00.000000227,-14.762
1970-01-01 00:00:00.000000228,-12.81
1970-01-01 00:00:00.000000229,-12.81
1970-01-01 00:00:00.000000230,-14.274
1970-01-01 00:00:00.000000231,-14.518
1970-01-01 00:00:00.000000232,-15.25
1970-01-01 00:00:00.000000233,-13.664
1970-01-01 00:00:00.000000234,-14.762
1970-01-01 00:00:00.000000235,-15.616
1970-01-01 00:00:00.000000236,-15.738
1970-01-01 00:00:00.000000237,-15.616
1970-01-01 00:00:00.000000238,-16.348
1970-01-01 00:00:00.000000239,-16.348
1970-01-01 00:00:00.000000240,-14.152
1970-01-01 00:00:00.000000241,-16.592
1970-01-01 00:00:00.000000242,-16.104
1970-01-01 00:00:00.000000243,-13.176
1970-01-01 00:00:00.000000244,-14.518
1970-01-01 00:00:00.000000245,-14.64
1970-01-01 00:00:00.000000246,-16.104
1970-01-01 00:00:00.000000247,-15.494
1970-01-01 00:00:00.000000248,-13.054
1970-01-01 00:00:00.000000249,-13.054
1970-01-01 00:00:00.000000250,-15.616
1970-01-01 00:00:00.000000251,-15.982
1970-01-01 00:00:00.000000252,-15.25
1970-01-01 00:00:00.000000253,-12.2
1970-01-01 00:00:00.000000254,-16.47
1970-01-01 00:00:00.000000255,-15.25
1970-01-01 00:00:00.000000256,-16.348
1970-01-01 00:00:00.000000257,-15.738
1970-01-01 00:00:00.000000258,-15.25
1970-01-01 00:00:00.000000259,-14.274
1970-01-01 00:00:00.000000260,-16.958
1970-01-01 00:00:00.000000261,-15.372
1970-01-01 00:00:00.000000262,-16.226
1970-01-01 00:00:00.000000263,-13.542
1970-01-01 00:00:00.000000264,-15.86
1970-01-01 00:00:00.000000265,-16.836
1970-01-01 00:00:00.000000266,-14.274
1970-01-01 00:00:00.000000267,-17.446
1970-01-01 00:00:00.000000268,-15.006
1970-01-01 00:00:00.000000269,-16.47
1970-01-01 00:00:00.000000270,-16.348
1970-01-01 00:00:00.000000271,-15.982
1970-01-01 00:00:00.000000272,-14.152
1970-01-01 00:00:00.000000273,-15.372
1970-01-01 00:00:00.000000274,-15.25
1970-01-01 00:00:00.000000275,-14.274
1970-01-01 00:00:00.000000276,-16.104
1970-01-01 00:00:00.000000277,-14.762
1970-01-01 00:00:00.000000278,-17.08
1970-01-01 00:00:00.000000279,-14.64
1970-01-01 00:00:00.000000280,-15.494
1970-01-01 00:00:00.000000281,-13.786
1970-01-01 00:00:00.000000282,-14.518
1970-01-01 00:00:00.000000283,-13.542
1970-01-01 00:00:00.000000284,-14.274
1970-01-01 00:00:00.000000285,-14.64
1970-01-01 00:00:00.000000286,-15.86
1970-01-01 00:00:00.000000287,-15.006
1970-01-01 00:00:00.000000288,-14.518
1970-01-01 00:00:00.000000289,-14.274
1970-01-01 00:00:00.000000290,-15.006
1970-01-01 00:00:00.000000291,-14.762
1970-01-01 00:00:00.000000292,-14.396
1970-01-01 00:00:00.000000293,-15.128
1970-01-01 00:00:00.000000294,-14.03
1970-01-01 00:00:00.000000295,-14.396
1970-01-01 00:00:00.000000296,-16.226
1970-01-01 00:00:00.000000297,-15.86
1970-01-01 00:00:00.000000298,-15.616
