time_captured,03_cap_raw_accZ
1970-01-01 00:00:00.000000130,1197.308
1970-01-01 00:00:00.000000131,1425.082
1970-01-01 00:00:00.000000132,1505.602
1970-01-01 00:00:00.000000133,1151.436
1970-01-01 00:00:00.000000134,476.288
1970-01-01 00:00:00.000000135,588.528
1970-01-01 00:00:00.000000136,1123.62
1970-01-01 00:00:00.000000137,598.532
1970-01-01 00:00:00.000000138,838.384
1970-01-01 00:00:00.000000139,1550.132
1970-01-01 00:00:00.000000140,1489.986
1970-01-01 00:00:00.000000141,1133.868
1970-01-01 00:00:00.000000142,576.45
1970-01-01 00:00:00.000000143,816.18
1970-01-01 00:00:00.000000144,511.668
1970-01-01 00:00:00.000000145,1095.194
1970-01-01 00:00:00.000000146,749.69
1970-01-01 00:00:00.000000147,801.906
1970-01-01 00:00:00.000000148,1429.718
1970-01-01 00:00:00.000000149,1338.584
1970-01-01 00:00:00.000000150,1133.258
1970-01-01 00:00:00.000000151,1374.574
1970-01-01 00:00:00.000000152,710.284
1970-01-01 00:00:00.000000153,709.308
1970-01-01 00:00:00.000000154,1404.83
1970-01-01 00:00:00.000000155,342.576
1970-01-01 00:00:00.000000156,672.83
1970-01-01 00:00:00.000000157,1732.034
1970-01-01 00:00:00.000000158,1485.228
1970-01-01 00:00:00.000000159,1052.25
1970-01-01 00:00:00.000000160,653.676
1970-01-01 00:00:00.000000161,901.336
1970-01-01 00:00:00.000000162,1292.102
1970-01-01 00:00:00.000000163,1187.67
1970-01-01 00:00:00.000000164,643.794
1970-01-01 00:00:00.000000165,935.618
1970-01-01 00:00:00.000000166,1166.442
1970-01-01 00:00:00.000000167,1166.442
1970-01-01 00:00:00.000000168,1295.762
1970-01-01 00:00:00.000000169,574.62
1970-01-01 00:00:00.000000170,821.67
1970-01-01 00:00:00.000000171,778.726
1970-01-01 00:00:00.000000172,309.636
1970-01-01 00:00:00.000000173,614.88
1970-01-01 00:00:00.000000174,920.246
1970-01-01 00:00:00.000000175,2005.558
1970-01-01 00:00:00.000000176,1032.73
1970-01-01 00:00:00.000000177,898.164
1970-01-01 00:00:00.000000178,838.872
1970-01-01 00:00:00.000000179,860.466
1970-01-01 00:00:00.000000180,359.29
1970-01-01 00:00:00.000000181,475.8
1970-01-01 00:00:00.000000182,690.764
1970-01-01 00:00:00.000000183,1291.858
1970-01-01 00:00:00.000000184,1658.712
1970-01-01 00:00:00.000000185,995.886
1970-01-01 00:00:00.000000186,1348.832
1970-01-01 00:00:00.000000187,620.004
1970-01-01 00:00:00.000000188,808.982
1970-01-01 00:00:00.000000189,237.656
1970-01-01 00:00:00.000000190,650.138
1970-01-01 00:00:00.000000191,414.678
1970-01-01 00:00:00.000000192,871.812
1970-01-01 00:00:00.000000193,1468.88
1970-01-01 00:00:00.000000194,1252.086
1970-01-01 00:00:00.000000195,980.392
1970-01-01 00:00:00.000000196,693.57
1970-01-01 00:00:00.000000197,465.064
1970-01-01 00:00:00.000000198,496.296
1970-01-01 00:00:00.000000199,900.116
1970-01-01 00:00:00.000000200,808.372
1970-01-01 00:00:00.000000201,564.738
1970-01-01 00:00:00.000000202,1170.712
1970-01-01 00:00:00.000000203,1109.712
1970-01-01 00:00:00.000000204,1095.804
1970-01-01 00:00:00.000000205,1196.576
1970-01-01 00:00:00.000000206,227.042
1970-01-01 00:00:00.000000207,351.97
1970-01-01 00:00:00.000000208,1211.216
1970-01-01 00:00:00.000000209,755.912
1970-01-01 00:00:00.000000210,1369.206
1970-01-01 00:00:00.000000211,1388.116
1970-01-01 00:00:00.000000212,870.226
1970-01-01 00:00:00.000000213,857.66
1970-01-01 00:00:00.000000214,449.326
1970-01-01 00:00:00.000000215,493.612
1970-01-01 00:00:00.000000216,504.226
1970-01-01 00:00:00.000000217,1174.128
1970-01-01 00:00:00.000000218,891.576
1970-01-01 00:00:00.000000219,697.962
1970-01-01 00:00:00.000000220,1379.576
1970-01-01 00:00:00.000000221,1319.43
1970-01-01 00:00:00.000000222,1139.236
1970-01-01 00:00:00.000000223,260.592
1970-01-01 00:00:00.000000224,567.91
1970-01-01 00:00:00.000000225,795.318
1970-01-01 00:00:00.000000226,1422.276
1970-01-01 00:00:00.000000227,801.662
1970-01-01 00:00:00.000000228,747.982
1970-01-01 00:00:00.000000229,1822.436
1970-01-01 00:00:00.000000230,843.02
1970-01-01 00:00:00.000000231,1535.37
1970-01-01 00:00:00.000000232,493.002
1970-01-01 00:00:00.000000233,591.944
1970-01-01 00:00:00.000000234,823.134
1970-01-01 00:00:00.000000235,1141.31
1970-01-01 00:00:00.000000236,714.554
1970-01-01 00:00:00.000000237,720.288
1970-01-01 00:00:00.000000238,1180.96
1970-01-01 00:00:00.000000239,1438.746
1970-01-01 00:00:00.000000240,1670.546
1970-01-01 00:00:00.000000241,289.262
1970-01-01 00:00:00.000000242,566.934
1970-01-01 00:00:00.000000243,827.526
1970-01-01 00:00:00.000000244,938.302
1970-01-01 00:00:00.000000245,504.47
1970-01-01 00:00:00.000000246,1110.078
1970-01-01 00:00:00.000000247,1552.694
1970-01-01 00:00:00.000000248,1195.112
1970-01-01 00:00:00.000000249,1282.342
1970-01-01 00:00:00.000000250,449.204
1970-01-01 00:00:00.000000251,686.25
1970-01-01 00:00:00.000000252,937.204
1970-01-01 00:00:00.000000253,1078.846
1970-01-01 00:00:00.000000254,314.516
1970-01-01 00:00:00.000000255,707.722
1970-01-01 00:00:00.000000256,1366.766
1970-01-01 00:00:00.000000257,1354.078
1970-01-01 00:00:00.000000258,1161.806
1970-01-01 00:00:00.000000259,407.358
1970-01-01 00:00:00.000000260,657.702
1970-01-01 00:00:00.000000261,837.652
1970-01-01 00:00:00.000000262,595.116
1970-01-01 00:00:00.000000263,679.662
1970-01-01 00:00:00.000000264,949.526
1970-01-01 00:00:00.000000265,1701.534
1970-01-01 00:00:00.000000266,1243.668
1970-01-01 00:00:00.000000267,244.244
1970-01-01 00:00:00.000000268,521.916
1970-01-01 00:00:00.000000269,866.932
1970-01-01 00:00:00.000000270,646.722
1970-01-01 00:00:00.000000271,454.938
1970-01-01 00:00:00.000000272,439.566
1970-01-01 00:00:00.000000273,1093.486
1970-01-01 00:00:00.000000274,1240.374
1970-01-01 00:00:00.000000275,1262.212
1970-01-01 00:00:00.000000276,937.082
1970-01-01 00:00:00.000000277,866.444
1970-01-01 00:00:00.000000278,279.624
1970-01-01 00:00:00.000000279,934.032
1970-01-01 00:00:00.000000280,687.592
1970-01-01 00:00:00.000000281,605.12
1970-01-01 00:00:00.000000282,1352.004
1970-01-01 00:00:00.000000283,1281.976
1970-01-01 00:00:00.000000284,1201.7
1970-01-01 00:00:00.000000285,929.396
1970-01-01 00:00:00.000000286,637.572
1970-01-01 00:00:00.000000287,563.03
