time_captured,NKE_Open
2006-01-03,10.85
2006-01-04,10.71
2006-01-05,10.69
2006-01-06,10.79
2006-01-09,10.72
2006-01-10,10.81
2006-01-11,10.91
2006-01-12,11.02
2006-01-13,10.84
2006-01-17,10.8
2006-01-18,10.63
2006-01-19,10.53
2006-01-20,10.64
2006-01-23,10.45
2006-01-24,10.54
2006-01-25,10.51
2006-01-26,10.64
2006-01-27,10.53
2006-01-30,10.33
2006-01-31,10.22
2006-02-01,10.16
2006-02-02,10.4
2006-02-03,10.36
2006-02-06,10.68
2006-02-07,10.54
2006-02-08,10.46
2006-02-09,10.48
2006-02-10,10.59
2006-02-13,10.52
2006-02-14,10.54
2006-02-15,10.53
2006-02-16,10.62
2006-02-17,10.53
2006-02-21,10.6
2006-02-22,10.66
2006-02-23,10.74
2006-02-24,10.82
2006-02-27,10.9
2006-02-28,10.85
2006-03-01,10.83
2006-03-02,10.72
2006-03-03,10.73
2006-03-06,10.81
2006-03-07,10.71
2006-03-08,10.59
2006-03-09,10.6
2006-03-10,10.67
2006-03-13,10.62
2006-03-14,10.55
2006-03-15,10.63
2006-03-16,10.62
2006-03-17,10.72
2006-03-20,10.62
2006-03-21,10.69
2006-03-22,10.61
2006-03-23,10.84
2006-03-24,10.76
2006-03-27,10.73
2006-03-28,10.66
2006-03-29,10.64
2006-03-30,10.74
2006-03-31,10.62
2006-04-03,10.64
2006-04-04,10.61
2006-04-05,10.61
2006-04-06,10.59
2006-04-07,10.64
2006-04-10,10.48
2006-04-11,10.44
2006-04-12,10.31
2006-04-13,10.33
2006-04-17,10.4
2006-04-18,10.22
2006-04-19,10.22
2006-04-20,10.26
2006-04-21,10.39
2006-04-24,10.38
2006-04-25,10.32
2006-04-26,10.28
2006-04-27,10.04
2006-04-28,10.27
2006-05-01,10.25
2006-05-02,10.26
2006-05-03,10.2
2006-05-04,10.17
2006-05-05,10.15
2006-05-08,10.2
2006-05-09,10.29
2006-05-10,10.3
2006-05-11,10.37
2006-05-12,10.12
2006-05-15,10.12
2006-05-16,10.23
2006-05-17,10.01
2006-05-18,9.94
2006-05-19,9.95
2006-05-22,9.81
2006-05-23,9.84
2006-05-24,9.88
2006-05-25,9.96
2006-05-26,9.99
2006-05-30,10.11
2006-05-31,10.0
2006-06-01,10.05
2006-06-02,10.17
2006-06-05,10.22
2006-06-06,10.06
2006-06-07,10.03
2006-06-08,10.08
2006-06-09,10.12
2006-06-12,10.16
2006-06-13,10.12
2006-06-14,10.15
2006-06-15,10.26
2006-06-16,10.4
2006-06-19,10.5
2006-06-20,10.42
2006-06-21,10.27
2006-06-22,10.34
2006-06-23,10.48
2006-06-26,10.61
2006-06-27,10.56
2006-06-28,10.19
2006-06-29,10.0
2006-06-30,10.14
2006-07-03,10.13
2006-07-05,10.09
2006-07-06,10.04
2006-07-07,9.94
2006-07-10,9.88
2006-07-11,9.84
2006-07-12,9.77
2006-07-13,9.83
2006-07-14,9.8
2006-07-17,9.75
2006-07-18,9.86
2006-07-19,9.86
2006-07-20,9.79
2006-07-21,9.95
2006-07-24,10.0
2006-07-25,10.02
2006-07-26,10.0
2006-07-27,10.06
2006-07-28,9.9
2006-07-31,9.95
2006-08-01,9.88
2006-08-02,9.85
2006-08-03,9.71
2006-08-04,9.81
2006-08-07,9.78
2006-08-08,9.79
2006-08-09,9.66
2006-08-10,9.58
2006-08-11,9.56
2006-08-14,9.62
2006-08-15,9.68
2006-08-16,9.75
2006-08-17,9.72
2006-08-18,9.61
2006-08-21,9.59
2006-08-22,9.62
2006-08-23,9.6
2006-08-24,9.6
2006-08-25,9.6
2006-08-28,9.62
2006-08-29,9.72
2006-08-30,9.98
2006-08-31,9.98
2006-09-01,10.1
2006-09-05,10.12
2006-09-06,10.16
2006-09-07,10.12
2006-09-08,10.1
2006-09-11,10.25
2006-09-12,10.3
2006-09-13,10.38
2006-09-14,10.37
2006-09-15,10.35
2006-09-18,10.33
2006-09-19,10.29
2006-09-20,10.31
2006-09-21,10.36
2006-09-22,10.77
2006-09-25,10.81
2006-09-26,10.74
2006-09-27,10.95
2006-09-28,11.01
2006-09-29,11.06
2006-10-02,10.87
2006-10-03,10.9
2006-10-04,10.96
2006-10-05,11.09
2006-10-06,11.09
2006-10-09,10.96
2006-10-10,11.05
2006-10-11,11.06
2006-10-12,11.04
2006-10-13,11.19
2006-10-16,11.2
2006-10-17,11.25
2006-10-18,11.23
2006-10-19,11.08
2006-10-20,11.18
2006-10-23,11.08
2006-10-24,11.19
2006-10-25,11.42
2006-10-26,11.63
2006-10-27,11.62
2006-10-30,11.42
2006-10-31,11.48
2006-11-01,11.51
2006-11-02,11.35
2006-11-03,11.62
2006-11-06,11.57
2006-11-07,11.61
2006-11-08,11.45
2006-11-09,11.67
2006-11-10,11.61
2006-11-13,11.71
2006-11-14,11.79
2006-11-15,11.84
2006-11-16,11.98
2006-11-17,11.88
2006-11-20,11.94
2006-11-21,12.0
2006-11-22,12.04
2006-11-24,12.07
2006-11-27,12.06
2006-11-28,11.9
2006-11-29,12.08
2006-11-30,12.11
2006-12-01,12.34
2006-12-04,12.12
2006-12-05,12.23
2006-12-06,12.34
2006-12-07,12.25
2006-12-08,12.18
2006-12-11,12.12
2006-12-12,12.16
2006-12-13,12.04
2006-12-14,12.01
2006-12-15,12.14
2006-12-18,12.11
2006-12-19,12.02
2006-12-20,12.12
